SPP_SYMBOL,CC_SURROGATE,CC_B0,CC_B1,CC_B2,CC_C0,CC_C1,CC_C2
2TB,ALRU2,0.3227,0.0,0.0,8.0,1.53,0.0
2TN,PSME,0.0,0.0044,0.602,4.6198,1.8426,-0.0113
ABAM,ABGRC,0.0,0.0031,0.0,6.188,1.0069,0.0
ABBR,ABGRC,0.0,0.0031,0.0,6.188,1.0069,0.0
ABCO,ABGRC,0.0,0.0031,0.0,6.188,1.0069,0.0
ABGR,ABGRC,0.0,0.0031,0.0,6.188,1.0069,0.0
ABGRC,ABGRC,0.0,0.0031,0.0,6.188,1.0069,0.0
ABLA,ABGRC,0.0,0.0031,0.0,6.188,1.0069,0.0
ABLAA,ABGRC,0.0,0.0031,0.0,6.188,1.0069,0.0
ABMA,ABGRC,0.0,0.0031,0.0,6.188,1.0069,0.0
ABPR,ABGRC,0.0,0.0031,0.0,6.188,1.0069,0.0
ABPRSH,ABGRC,0.0,0.0031,0.0,6.188,1.0069,0.0
ABSH,ABGRC,0.0,0.0031,0.0,6.188,1.0069,0.0
ACCI,ACMA3,0.0,0.0,1.4702,4.0953,2.3849,-0.0116
ACGL,ACMA3,0.0,0.0,1.4702,4.0953,2.3849,-0.0116
ACGLD4,ACMA3,0.0,0.0,1.4702,4.0953,2.3849,-0.0116
ACGR3,ACMA3,0.0,0.0,1.4702,4.0953,2.3849,-0.0116
ACMA3,ACMA3,0.0,0.0,1.4702,4.0953,2.3849,-0.0116
ACNE2,ACMA3,0.0,0.0,1.4702,4.0953,2.3849,-0.0116
AECA,QUGA4,0.3648,0.0,0.0,3.0786,1.9242,0.0
AESCU,QUKE,0.0,0.0,1.272,3.3625,2.0303,-0.0073
AIAL,ALRU2,0.3227,0.0,0.0,8.0,1.53,0.0
ALIN2,ALRU2,0.3227,0.0,0.0,8.0,1.53,0.0
ALRH2,ALRU2,0.3227,0.0,0.0,8.0,1.53,0.0
ALRU2,ALRU2,0.3227,0.0,0.0,8.0,1.53,0.0
ALVIS,ALRU2,0.3227,0.0,0.0,8.0,1.53,0.0
ARME,ARME,0.1186,0.0038,0.0,3.4299,1.3532,0.0
BEOC2,CHCH7,0.0,0.0,1.1614,2.9794,1.5512,-0.0142
BEPA,ALRU2,0.3227,0.0,0.0,8.0,1.53,0.0
BEPAC,ALRU2,0.3227,0.0,0.0,8.0,1.53,0.0
BETUL,ALRU2,0.3227,0.0,0.0,8.0,1.53,0.0
BEUT,ALRU2,0.3227,0.0,0.0,8.0,1.53,0.0
CADE27,CADE27,-0.2514,0.0069,0.9859,3.2837,1.2031,-0.0072
CECAT,QUGA4,0.3648,0.0,0.0,3.0786,1.9242,0.0
CELE3,QUGA4,0.3648,0.0,0.0,3.0786,1.9242,0.0
CHCH7,CHCH7,0.0,0.0,1.1614,2.9794,1.5512,-0.0142
CHLA,CADE27,-0.2514,0.0069,0.9859,3.2837,1.2031,-0.0072
CHNO,CADE27,-0.2514,0.0069,0.9859,3.2837,1.2031,-0.0072
COCOC,ALRU2,0.3227,0.0,0.0,8.0,1.53,0.0
CONU4,ALRU2,0.3227,0.0,0.0,8.0,1.53,0.0
CRATA,ALRU2,0.3227,0.0,0.0,8.0,1.53,0.0
CUBA,PIPO,0.3555,0.0,0.0,3.4835,1.343,-0.0083
CUFO2,PIPO,0.3555,0.0,0.0,3.4835,1.343,-0.0083
CUMA,PIPO,0.3555,0.0,0.0,3.4835,1.343,-0.0083
CUMA2,PIPO,0.3555,0.0,0.0,3.4835,1.343,-0.0083
CUPRE,CADE27,-0.2514,0.0069,0.9859,3.2837,1.2031,-0.0072
CUSA3,PIPO,0.3555,0.0,0.0,3.4835,1.343,-0.0083
ELAN,ALRU2,0.3227,0.0,0.0,8.0,1.53,0.0
EUCAL,QUKE,0.0,0.0,1.272,3.3625,2.0303,-0.0073
EUGL,QUKE,0.0,0.0,1.272,3.3625,2.0303,-0.0073
FRAXI,ACMA3,0.0,0.0,1.4702,4.0953,2.3849,-0.0116
FRLA,ALRU2,0.3227,0.0,0.0,8.0,1.53,0.0
FRPE,ALRU2,0.3227,0.0,0.0,8.0,1.53,0.0
FRPU7,ALRU2,0.3227,0.0,0.0,8.0,1.53,0.0
FRVE2,ALRU2,0.3227,0.0,0.0,8.0,1.53,0.0
GLTR,ALRU2,0.3227,0.0,0.0,8.0,1.53,0.0
ILEX,ALRU2,0.3227,0.0,0.0,8.0,1.53,0.0
ILOP,ALRU2,0.3227,0.0,0.0,8.0,1.53,0.0
JUCA,ACMA3,0.0,0.0,1.4702,4.0953,2.3849,-0.0116
JUCA7,CADE27,-0.2514,0.0069,0.9859,3.2837,1.2031,-0.0072
JUCO11,CADE27,-0.2514,0.0069,0.9859,3.2837,1.2031,-0.0072
JUDE2,CADE27,-0.2514,0.0069,0.9859,3.2837,1.2031,-0.0072
JUGLA,QUGA4,0.3648,0.0,0.0,3.0786,1.9242,0.0
JUHI,QUGA4,0.3648,0.0,0.0,3.0786,1.9242,0.0
JUMO,CADE27,-0.2514,0.0069,0.9859,3.2837,1.2031,-0.0072
JUNIP,CADE27,-0.2514,0.0069,0.9859,3.2837,1.2031,-0.0072
JUOC,CADE27,-0.2514,0.0069,0.9859,3.2837,1.2031,-0.0072
JUOS,CADE27,-0.2514,0.0069,0.9859,3.2837,1.2031,-0.0072
JUSC2,CADE27,-0.2514,0.0069,0.9859,3.2837,1.2031,-0.0072
LALY,PIPO,0.3555,0.0,0.0,3.4835,1.343,-0.0083
LAOC,PIPO,0.3555,0.0,0.0,3.4835,1.343,-0.0083
LIDE3,LIDE3,0.0,0.0112,0.0,4.4443,1.704,0.0
LIST2,ACMA3,0.0,0.0,1.4702,4.0953,2.3849,-0.0116
MAFU,ALRU2,0.3227,0.0,0.0,8.0,1.53,0.0
MALUS,ALRU2,0.3227,0.0,0.0,8.0,1.53,0.0
OLTE,QUGA4,0.3648,0.0,0.0,3.0786,1.9242,0.0
PIAL,PIPO,0.3555,0.0,0.0,3.4835,1.343,-0.0083
PIAR,PIPO,0.3555,0.0,0.0,3.4835,1.343,-0.0083
PIAT,PIPO,0.3555,0.0,0.0,3.4835,1.343,-0.0083
PIBA,PILA,0.0,0.0034,0.5324,4.6601,1.0702,0.0
PIBR,CADE27,-0.2514,0.0069,0.9859,3.2837,1.2031,-0.0072
PICE,PIPO,0.3555,0.0,0.0,3.4835,1.343,-0.0083
PICO,PIPO,0.3555,0.0,0.0,3.4835,1.343,-0.0083
PICO3,PIPO,0.3555,0.0,0.0,3.4835,1.343,-0.0083
PIDI3,PIPO,0.3555,0.0,0.0,3.4835,1.343,-0.0083
PIED,PIPO,0.3555,0.0,0.0,3.4835,1.343,-0.0083
PIEN,PIPO,0.3555,0.0,0.0,3.4835,1.343,-0.0083
PIEN2,PIPO,0.3555,0.0,0.0,3.4835,1.343,-0.0083
PIFL2,PIPO,0.3555,0.0,0.0,3.4835,1.343,-0.0083
PIJE,PIPO,0.3555,0.0,0.0,3.4835,1.343,-0.0083
PILA,PILA,0.0,0.0034,0.5324,4.6601,1.0702,0.0
PILEC,PILA,0.0,0.0034,0.5324,4.6601,1.0702,0.0
PILO,PIPO,0.3555,0.0,0.0,3.4835,1.343,-0.0083
PIMO,PIPO,0.3555,0.0,0.0,3.4835,1.343,-0.0083
PIMO3,PILA,0.0,0.0034,0.5324,4.6601,1.0702,0.0
PIMOF,PIPO,0.3555,0.0,0.0,3.4835,1.343,-0.0083
PIMU,PIPO,0.3555,0.0,0.0,3.4835,1.343,-0.0083
PIPO,PIPO,0.3555,0.0,0.0,3.4835,1.343,-0.0083
PIPU,PIPO,0.3555,0.0,0.0,3.4835,1.343,-0.0083
PIRA2,PIPO,0.3555,0.0,0.0,3.4835,1.343,-0.0083
PISA2,PIPO,0.3555,0.0,0.0,3.4835,1.343,-0.0083
PISI,PSME,0.0,0.0044,0.602,4.6198,1.8426,-0.0113
PIST3,PILA,0.0,0.0034,0.5324,4.6601,1.0702,0.0
PISY,PIPO,0.3555,0.0,0.0,3.4835,1.343,-0.0083
PIWA,PIPO,0.3555,0.0,0.0,3.4835,1.343,-0.0083
PLRA,ACMA3,0.0,0.0,1.4702,4.0953,2.3849,-0.0116
POAN3,ALRU2,0.3227,0.0,0.0,8.0,1.53,0.0
POBAT,ALRU2,0.3227,0.0,0.0,8.0,1.53,0.0
PODE3,ALRU2,0.3227,0.0,0.0,8.0,1.53,0.0
PODEM,ALRU2,0.3227,0.0,0.0,8.0,1.53,0.0
POFR2,ALRU2,0.3227,0.0,0.0,8.0,1.53,0.0
POTR5,ALRU2,0.3227,0.0,0.0,8.0,1.53,0.0
PRAV,ALRU2,0.3227,0.0,0.0,8.0,1.53,0.0
PREM,ALRU2,0.3227,0.0,0.0,8.0,1.53,0.0
PRGLT,QUKE,0.0,0.0,1.272,3.3625,2.0303,-0.0073
PROSO,QUKE,0.0,0.0,1.272,3.3625,2.0303,-0.0073
PRPU,QUKE,0.0,0.0,1.272,3.3625,2.0303,-0.0073
PRUNU,ALRU2,0.3227,0.0,0.0,8.0,1.53,0.0
PRVE,QUKE,0.0,0.0,1.272,3.3625,2.0303,-0.0073
PRVI,ALRU2,0.3227,0.0,0.0,8.0,1.53,0.0
PSMA,PSME,0.0,0.0044,0.602,4.6198,1.8426,-0.0113
PSME,PSME,0.0,0.0044,0.602,4.6198,1.8426,-0.0113
PYCO,ALRU2,0.3227,0.0,0.0,8.0,1.53,0.0
QUAG,QUCH2,0.0,0.0208,0.0,4.4443,1.704,0.0
QUAR,QUCH2,0.0,0.0208,0.0,4.4443,1.704,0.0
QUCH2,QUCH2,0.0,0.0208,0.0,4.4443,1.704,0.0
QUDO,QUGA4,0.3648,0.0,0.0,3.0786,1.9242,0.0
QUEM,QUCH2,0.0,0.0208,0.0,4.4443,1.704,0.0
QUEN,QUKE,0.0,0.0,1.272,3.3625,2.0303,-0.0073
QUERC,QUKE,0.0,0.0,1.272,3.3625,2.0303,-0.0073
QUGA,QUGA4,0.3648,0.0,0.0,3.0786,1.9242,0.0
QUGA4,QUGA4,0.3648,0.0,0.0,3.0786,1.9242,0.0
QUGAG2,QUGA4,0.3648,0.0,0.0,3.0786,1.9242,0.0
QUHY,QUCH2,0.0,0.0208,0.0,4.4443,1.704,0.0
QUKE,QUKE,0.0,0.0,1.272,3.3625,2.0303,-0.0073
QULO,QUGA4,0.3648,0.0,0.0,3.0786,1.9242,0.0
QUMA2,QUCH2,0.0,0.0208,0.0,4.4443,1.704,0.0
QUMU,QUGA4,0.3648,0.0,0.0,3.0786,1.9242,0.0
QUOB,QUCH2,0.0,0.0208,0.0,4.4443,1.704,0.0
QUWI2,QUCH2,0.0,0.0208,0.0,4.4443,1.704,0.0
RHCR,QUGA4,0.3648,0.0,0.0,3.0786,1.9242,0.0
RONE,ALRU2,0.3227,0.0,0.0,8.0,1.53,0.0
ROPS,ALRU2,0.3227,0.0,0.0,8.0,1.53,0.0
SAAL2,ALRU2,0.3227,0.0,0.0,8.0,1.53,0.0
SALIX,ALRU2,0.3227,0.0,0.0,8.0,1.53,0.0
SALUL,ALRU2,0.3227,0.0,0.0,8.0,1.53,0.0
SANI,ALRU2,0.3227,0.0,0.0,8.0,1.53,0.0
