"SPCD","species","location","BF","variant"
119,"WP","604",1.081,"BM"
119,"WP","607",1,"BM"
119,"WP","614",1.128,"BM"
119,"WP","616",1,"BM"
119,"WP","619",1,"BM"
73,"WL","604",0.818,"BM"
73,"WL","607",0.879,"BM"
73,"WL","614",0.907,"BM"
73,"WL","616",0.818,"BM"
73,"WL","619",0.818,"BM"
202,"DF","604",1.058,"BM"
202,"DF","607",1.055,"BM"
202,"DF","614",1.055,"BM"
202,"DF","616",1,"BM"
202,"DF","619",1,"BM"
17,"GF","604",1,"BM"
17,"GF","607",1,"BM"
17,"GF","614",1.076,"BM"
17,"GF","616",1,"BM"
17,"GF","619",1,"BM"
264,"MH","604",1,"BM"
264,"MH","607",1,"BM"
264,"MH","614",1,"BM"
264,"MH","616",1.077,"BM"
264,"MH","619",1.077,"BM"
64,"WJ","604",1,"BM"
64,"WJ","607",1,"BM"
64,"WJ","614",1,"BM"
64,"WJ","616",1,"BM"
64,"WJ","619",1,"BM"
108,"LP","604",1.196,"BM"
108,"LP","607",1.196,"BM"
108,"LP","614",1.244,"BM"
108,"LP","616",1.114,"BM"
108,"LP","619",1.114,"BM"
93,"ES","604",1.121,"BM"
93,"ES","607",1.169,"BM"
93,"ES","614",1.137,"BM"
93,"ES","616",1.07,"BM"
93,"ES","619",1.07,"BM"
19,"AF","604",1.11,"BM"
19,"AF","607",1.11,"BM"
19,"AF","614",1.11,"BM"
19,"AF","616",1,"BM"
19,"AF","619",1,"BM"
122,"PP","604",1,"BM"
122,"PP","607",1,"BM"
122,"PP","614",1.035,"BM"
122,"PP","616",1,"BM"
122,"PP","619",1,"BM"
101,"WB","604",1,"BM"
101,"WB","607",1,"BM"
101,"WB","614",1,"BM"
101,"WB","616",1,"BM"
101,"WB","619",1,"BM"
113,"LM","604",1,"BM"
113,"LM","607",1,"BM"
113,"LM","614",1,"BM"
113,"LM","616",1,"BM"
113,"LM","619",1,"BM"
231,"PY","604",1,"BM"
231,"PY","607",1,"BM"
231,"PY","614",1,"BM"
231,"PY","616",1,"BM"
231,"PY","619",1,"BM"
42,"YC","604",1,"BM"
42,"YC","607",1,"BM"
42,"YC","614",1,"BM"
42,"YC","616",1,"BM"
42,"YC","619",1,"BM"
