"SPCD","species","eq","minD","minEL","maxEL","minHI","maxHI","maxCW","variant"
119,"WP",5,"1.0","10","75",NA,NA,"35","BM"
73,"WL",3,"1.0",NA,NA,NA,NA,"40","BM"
202,"DF",5,"1.0","1","75",NA,NA,"80","BM"
17,"GF",3,"1.0",NA,NA,NA,NA,"40","BM"
264,"MH",3,NA,NA,NA,NA,NA,"45","BM"
64,"WJ",5,"1.0",NA,NA,NA,NA,"36","BM"
108,"LP",5,"1.0","1","79",NA,NA,"40","BM"
93,"ES",5,"1.0","1","85",NA,NA,"40","BM"
19,"AF",5,"1.0","10","85",NA,NA,"30","BM"
122,"PP",5,"1.0","13","75",NA,NA,"50","BM"
101,"WB",5,"1.0",NA,NA,NA,NA,"40","BM"
113,"LM",1,"5.0",NA,NA,NA,NA,"25","BM"
231,"PY",4,"1.0",NA,NA,NA,NA,"30","BM"
42,"YC",5,"1.0","16","62",NA,NA,"59","BM"
746,"AS",5,"1.0",NA,NA,NA,NA,"45","BM"
747,"CW",5,"1.0",NA,NA,NA,NA,"56","BM"
122,"OS",5,"1.0","13","75",NA,NA,"50","BM"
312,"OH",6,"1.0",NA,NA,NA,NA,"30","BM"
41,"PC",5,"1.0","2","52",NA,NA,"49","CA"
81,"IC",5,"1.0","5","62",NA,NA,"78","CA"
242,"RC",5,"1.0","1","72",NA,NA,"45","CA"
15,"WF",5,"1.0","2","75",NA,NA,"35","CA"
20,"RF",6,"1.0",NA,NA,NA,NA,"65","CA"
21,"SH",5,"1.0",NA,NA,NA,NA,"65","CA"
202,"DF",5,"1.0","1","75",NA,NA,"80","CA"
263,"WH",5,"1.0","1","72",NA,NA,"54","CA"
264,"MH",3,NA,NA,NA,NA,NA,"45","CA"
101,"WB",5,"1.0",NA,NA,NA,NA,"40","CA"
103,"KP",5,"1.0","12","49",NA,NA,"46","CA"
108,"LP",5,"1.0","1","79",NA,NA,"40","CA"
108,"CP",5,"1.0","1","79",NA,NA,"40","CA"
113,"LM",1,"5.0",NA,NA,NA,NA,"25","CA"
116,"JP",5,"1.0",NA,NA,NA,NA,"39","CA"
117,"SP",5,"1.0","5","75",NA,NA,"56","CA"
119,"WP",5,"1.0","10","75",NA,NA,"35","CA"
122,"PP",5,"1.0","13","75",NA,NA,"50","CA"
127,"MP",2,"5.0",NA,NA,"-69","-4","54","CA"
127,"GP",2,"5.0",NA,NA,"-69","-4","54","CA"
64,"WJ",5,"1.0",NA,NA,NA,NA,"36","CA"
92,"BR",4,"1.0",NA,NA,NA,NA,"38","CA"
211,"GS",4,"1.0",NA,NA,NA,NA,"39","CA"
231,"PY",4,"1.0",NA,NA,NA,NA,"30","CA"
116,"OS",5,"1.0",NA,NA,NA,NA,"39","CA"
801,"LO",2,"5.0",NA,NA,"-73","-54","53","CA"
805,"CY",2,"5.0",NA,NA,"-60","-5","49","CA"
807,"BL",2,"5.0",NA,NA,NA,NA,"61","CA"
807,"EO",2,"5.0",NA,NA,NA,NA,"61","CA"
815,"WO",5,"1.0",NA,NA,NA,NA,"39","CA"
818,"BO",2,"5.0",NA,NA,"-47","-8","52","CA"
821,"VO",2,"5.0",NA,NA,NA,NA,"47","CA"
839,"IO",2,"5.0",NA,NA,"-60","-5","37","CA"
312,"BM",6,"1.0",NA,NA,NA,NA,"30","CA"
312,"BU",6,"1.0",NA,NA,NA,NA,"30","CA"
351,"RA",6,"1.0",NA,NA,NA,NA,"35","CA"
361,"MA",2,"5.0",NA,NA,"-55","15","43","CA"
631,"GC",2,"5.0",NA,NA,"-55","15","41","CA"
351,"DG",6,"1.0",NA,NA,NA,NA,"35","CA"
312,"FL",6,"1.0",NA,NA,NA,NA,"30","CA"
312,"WN",6,"1.0",NA,NA,NA,NA,"30","CA"
631,"TO",2,"5.0",NA,NA,"-55","15","41","CA"
631,"SY",2,"5.0",NA,NA,"-55","15","41","CA"
746,"AS",5,"1.0",NA,NA,NA,NA,"45","CA"
747,"CW",5,"1.0",NA,NA,NA,NA,"56","CA"
312,"WI",6,"1.0",NA,NA,NA,NA,"30","CA"
981,"CN",2,"5.0",NA,NA,NA,NA,"44","CA"
981,"CL",2,"5.0",NA,NA,NA,NA,"44","CA"
312,"OH",6,"1.0",NA,NA,NA,NA,"30","CA"
119,"WP",5,"1.0","10","75",NA,NA,"35","EC"
73,"WL",3,"1.0",NA,NA,NA,NA,"40","EC"
202,"DF",5,"1.0","1","75",NA,NA,"80","EC"
11,"SF",5,"1.0","4","72",NA,NA,"33","EC"
242,"RC",5,"1.0","1","72",NA,NA,"45","EC"
17,"GF",3,"1.0",NA,NA,NA,NA,"40","EC"
108,"LP",5,"1.0","1","79",NA,NA,"40","EC"
93,"ES",5,"1.0","1","85",NA,NA,"40","EC"
19,"AF",5,"1.0","10","85",NA,NA,"30","EC"
122,"PP",5,"1.0","13","75",NA,NA,"50","EC"
263,"WH",5,"1.0","1","72",NA,NA,"54","EC"
264,"MH",3,NA,NA,NA,NA,NA,"45","EC"
231,"PY",4,"1.0",NA,NA,NA,NA,"30","EC"
101,"WB",5,"1.0",NA,NA,NA,NA,"40","EC"
22,"NF",6,"1.0",NA,NA,NA,NA,"40","EC"
15,"WF",5,"1.0","2","75",NA,NA,"35","EC"
72,"LL",4,"1.0",NA,NA,NA,NA,"33","EC"
42,"YC",5,"1.0","16","62",NA,NA,"59","EC"
64,"WJ",5,"1.0",NA,NA,NA,NA,"36","EC"
312,"BM",6,"1.0",NA,NA,NA,NA,"30","EC"
321,"VN",2,"5.0",NA,NA,NA,NA,"39","EC"
351,"RA",6,"1.0",NA,NA,NA,NA,"35","EC"
375,"PB",6,"1.0",NA,NA,NA,NA,"25","EC"
631,"GC",2,"5.0",NA,NA,"-55","15","41","EC"
351,"DG",6,"1.0",NA,NA,NA,NA,"35","EC"
746,"AS",5,"1.0",NA,NA,NA,NA,"45","EC"
747,"CW",5,"1.0",NA,NA,NA,NA,"56","EC"
815,"WO",5,"1.0",NA,NA,NA,NA,"39","EC"
351,"PL",6,"1.0",NA,NA,NA,NA,"35","EC"
312,"WI",6,"1.0",NA,NA,NA,NA,"30","EC"
264,"OS",3,NA,NA,NA,NA,NA,"45","EC"
746,"OH",5,"1.0",NA,NA,NA,NA,"45","EC"
119,"WP",3,"1.0",NA,NA,NA,NA,"35","IE"
73,"WL",3,"1.0",NA,NA,NA,NA,"40","IE"
202,"DF",3,"1.0",NA,NA,NA,NA,"80","IE"
17,"GF",3,"1.0",NA,NA,NA,NA,"40","IE"
263,"WH",3,"1.0",NA,NA,NA,NA,"54","IE"
242,"RC",3,"1.0",NA,NA,NA,NA,"45","IE"
108,"LP",3,"0.7",NA,NA,NA,NA,"40","IE"
93,"ES",3,"1.0",NA,NA,NA,NA,"40","IE"
19,"AF",3,"1.0",NA,NA,NA,NA,"30","IE"
122,"PP",3,"2.0",NA,NA,NA,NA,"46","IE"
264,"MH",5,"1.0","10","79",NA,NA,"45","IE"
101,"WB",5,"1.0",NA,NA,NA,NA,"40","IE"
113,"LM",1,"5.0",NA,NA,NA,NA,"25","IE"
72,"LL",4,"1.0",NA,NA,NA,NA,"33","IE"
106,"PI",2,"5.0",NA,NA,"-40","11","25","IE"
66,"RM",2,"5.0",NA,NA,"-37","19","29","IE"
231,"PY",4,"1.0",NA,NA,NA,NA,"30","IE"
746,"AS",5,"1.0",NA,NA,NA,NA,"45","IE"
749,"CO",2,"5.0",NA,NA,"-26","-2","35","IE"
321,"MM",2,"5.0",NA,NA,NA,NA,"39","IE"
375,"PB",6,"1.0",NA,NA,NA,NA,"25","IE"
749,"OH",2,"5.0",NA,NA,"-26","-2","35","IE"
122,"OS",5,"1.0","13","75",NA,NA,"50","IE"
122,"OS",5,"1.0","13","75",NA,NA,"50","NC"
117,"SP",5,"1.0","5","75",NA,NA,"56","NC"
202,"DF",5,"1.0","1","75",NA,NA,"80","NC"
15,"WF",5,"1.0","2","75",NA,NA,"35","NC"
361,"MA",2,"5.0",NA,NA,"-55","15","43","NC"
81,"IC",5,"1.0","5","62",NA,NA,"78","NC"
818,"BO",2,"5.0",NA,NA,"-47","-8","52","NC"
631,"TO",2,"5.0",NA,NA,"-55","15","41","NC"
20,"RF",6,"1.0",NA,NA,NA,NA,"65","NC"
122,"PP",5,"1.0","13","75",NA,NA,"50","NC"
818,"OH",2,"5.0",NA,NA,"-47","-8","52","NC"
11,"SF",5,"1.0","4","72",NA,NA,"33","PN"
15,"WF",5,"1.0","2","75",NA,NA,"35","PN"
17,"GF",3,"1.0",NA,NA,NA,NA,"40","PN"
19,"AF",5,"1.0","10","85",NA,NA,"30","PN"
20,"RF",6,"1.0",NA,NA,NA,NA,"65","PN"
98,"SS",5,"1.0",NA,NA,NA,NA,"50","PN"
22,"NF",6,"1.0",NA,NA,NA,NA,"40","PN"
42,"YC",5,"1.0","16","62",NA,NA,"59","PN"
