"SPCD","species","eq","a1","a2","a3","a4","a5","a6","variant"
119,"WP",5,"5.3822","0.57896","-0.19579","0.14875",NA,"-0.00685","BM"
73,"WL",3,"1.02478","0.99889","0.19422","0.59423","-0.09078","-0.02341","BM"
202,"DF",5,"6.0227","0.54361","-0.20669","0.20395","-0.00644","-0.00378","BM"
17,"GF",3,"1.0303","1.14079","0.20904","0.38787",NA,NA,"BM"
264,"MH",3,"6.90396","0.55645","-0.28509","0.20430",NA,NA,"BM"
64,"WJ",5,"5.1486","0.73636","-0.46927","0.39114","-0.05429",NA,"BM"
108,"LP",5,"6.6941","0.81980","-0.36992","0.17722","-0.01202","-0.00882","BM"
93,"ES",5,"6.7575","0.55048","-0.25204","0.19002",NA,"-0.00313","BM"
19,"AF",5,"5.8827","0.51479","-0.21501","0.17916","0.03277","-0.00828","BM"
122,"PP",5,"4.7762","0.74126","-0.28734","0.17137","-0.00602","-0.00209","BM"
101,"WB",5,"2.2354","0.66680","-0.11658","0.16927",NA,NA,"BM"
113,"LM",1,"4.0181","0.8528",NA,NA,NA,NA,"BM"
231,"PY",4,"6.1297","0.45424",NA,NA,NA,NA,"BM"
42,"YC",5,"3.3756","0.45445","-0.11523","0.22547","0.08756","-0.00894","BM"
746,"AS",5,"4.7961","0.64167","-0.18695","0.18581",NA,NA,"BM"
747,"CW",5,"4.4327","0.41505","-0.23264","0.41477",NA,NA,"BM"
122,"OS",5,"4.7762","0.74126","-0.28734","0.17137","-0.00602","-0.00209","BM"
312,"OH",6,"7.5183","0.4461",NA,NA,NA,NA,"BM"
41,"PC",5,"4.6387","0.50874","-0.22111","0.17505","0.06447","-0.00602","CA"
81,"IC",5,"5.0446","0.47419","-0.13917","0.1423","0.04838","-0.00616","CA"
242,"RC",5,"6.2382","0.29517","-0.10673","0.23219","0.05341","-0.00787","CA"
15,"WF",5,"5.0312","0.5368","-0.18957","0.16199","0.04385","-0.00651","CA"
20,"RF",6,"3.1146","0.578",NA,NA,NA,NA,"CA"
21,"SH",5,"2.317","0.4788","-0.06093","0.15482","0.05182",NA,"CA"
202,"DF",5,"6.0227","0.54361","-0.20669","0.20395","-0.00644","-0.00378","CA"
263,"WH",5,"6.0384","0.51581","-0.21349","0.17468","0.06143","-0.00571","CA"
264,"MH",3,"6.90396","0.55645","-0.28509","0.2043",NA,NA,"CA"
101,"WB",5,"2.2354","0.6668","-0.11658","0.16927",NA,NA,"CA"
103,"KP",5,"4.0069","0.84628","-0.29035","0.13143",NA,"-0.00842","CA"
108,"LP",5,"6.6941","0.8198","-0.36992","0.17722","-0.01202","-0.00882","CA"
108,"CP",5,"6.6941","0.8198","-0.36992","0.17722","-0.01202","-0.00882","CA"
113,"LM",1,"4.0181","0.8528",NA,NA,NA,NA,"CA"
116,"JP",5,"4.0217","0.66815","-0.11346","0.09689","-0.636",NA,"CA"
117,"SP",5,"3.593","0.63503","-0.22766","0.17827","0.04267","-0.0029","CA"
119,"WP",5,"5.3822","0.57896","-0.19579","0.14875",NA,"-0.00685","CA"
122,"PP",5,"4.7762","0.74126","-0.28734","0.17137","-0.00602","-0.00209","CA"
127,"MP",2,"-2.4909","1.0716",NA,"0.0648",NA,"-0.1127","CA"
127,"GP",2,"-2.4909","1.0716",NA,"0.0648",NA,"-0.1127","CA"
64,"WJ",5,"5.1486","0.73636","-0.46927","0.39114","-0.05429",NA,"CA"
92,"BR",4,"2.8232","0.66326",NA,NA,NA,NA,"CA"
211,"GS",4,"3.7023","0.52618",NA,NA,NA,NA,"CA"
231,"PY",4,"6.1297","0.45424",NA,NA,NA,NA,"CA"
116,"OS",5,"4.0217","0.66815","-0.11346","0.09689","-0.636",NA,"CA"
801,"LO",2,"-16.1696","1.7456",NA,"0.0925",NA,"-0.1956","CA"
805,"CY",2,"0.2738","1.0534",NA,"0.035",NA,"-0.1385","CA"
807,"BL",2,"2.711","1.5159",NA,"0.0415","-0.0271",NA,"CA"
807,"EO",2,"2.711","1.5159",NA,"0.0415","-0.0271",NA,"CA"
815,"WO",5,"2.4857","0.70862",NA,"0.10168",NA,NA,"CA"
818,"BO",2,"1.6306","0.9867",NA,"0.0556",NA,"-0.1199","CA"
821,"VO",2,"-2.1068","1.9385",NA,"0.086",NA,NA,"CA"
839,"IO",2,"0.7146","1.546",NA,NA,NA,"-0.1121","CA"
312,"BM",6,"7.5183","0.4461",NA,NA,NA,NA,"CA"
312,"BU",6,"7.5183","0.4461",NA,NA,NA,NA,"CA"
351,"RA",6,"7.0806","0.4771",NA,NA,NA,NA,"CA"
361,"MA",2,"4.9133","0.9459",NA,"0.0611",NA,"0.0523","CA"
631,"GC",2,"3.115","0.7966",NA,"0.0745","-0.0053","0.0523","CA"
351,"DG",6,"7.0806","0.4771",NA,NA,NA,NA,"CA"
312,"FL",6,"7.5183","0.4461",NA,NA,NA,NA,"CA"
312,"WN",6,"7.5183","0.4461",NA,NA,NA,NA,"CA"
631,"TO",2,"3.115","0.7966",NA,"0.0745","-0.0053","0.0523","CA"
631,"SY",2,"3.115","0.7966",NA,"0.0745","-0.0053","0.0523","CA"
746,"AS",5,"4.7961","0.64167","-0.18695","0.18581",NA,NA,"CA"
747,"CW",5,"4.4327","0.41505","-0.23264","0.41477",NA,NA,"CA"
312,"WI",6,"7.5183","0.4461",NA,NA,NA,NA,"CA"
981,"CN",2,"2.4247","1.3174",NA,"0.0786",NA,NA,"CA"
981,"CL",2,"2.4247","1.3174",NA,"0.0786",NA,NA,"CA"
312,"OH",6,"7.5183","0.4461",NA,NA,NA,NA,"CA"
119,"WP",5,"5.3822","0.57896","-0.19579","0.14875",NA,"-0.00685","EC"
73,"WL",3,"1.02478","0.99889","0.19422","0.59423","-0.09078","-0.02341","EC"
202,"DF",5,"6.0227","0.54361","-0.20669","0.20395","-0.00644","-0.00378","EC"
11,"SF",5,"4.4799","0.45976","-0.10425","0.11866","0.06762","-0.00715","EC"
242,"RC",5,"6.2382","0.29517","-0.10673","0.23219","0.05341","-0.00787","EC"
17,"GF",3,"1.0303","1.14079","0.20904","0.38787",NA,NA,"EC"
108,"LP",5,"6.6941","0.81980","-0.36992","0.17722","-0.01202","-0.00882","EC"
93,"ES",5,"6.7575","0.55048","-0.25204","0.19002",NA,"-0.00313","EC"
19,"AF",5,"5.8827","0.51479","-0.21501","0.17916","0.03277","-0.00828","EC"
122,"PP",5,"4.7762","0.74126","-0.28734","0.17137","-0.00602","-0.00209","EC"
263,"WH",5,"6.0384","0.51581","-0.21349","0.17468","0.06143","-0.00571","EC"
264,"MH",3,"6.90396","0.55645","-0.28509","0.20430",NA,NA,"EC"
231,"PY",4,"6.1297","0.45424",NA,NA,NA,NA,"EC"
101,"WB",5,"2.2354","0.66680","-0.11658","0.16927",NA,NA,"EC"
22,"NF",6,"3.0614","0.6276",NA,NA,NA,NA,"EC"
15,"WF",5,"5.0312","0.53680","-0.18957","0.16199","0.04385","-0.00651","EC"
72,"LL",4,"2.2586","0.68532",NA,NA,NA,NA,"EC"
42,"YC",5,"3.3756","0.45445","-0.11523","0.22547","0.08756","-0.00894","EC"
64,"WJ",5,"5.1486","0.73636","-0.46927","0.39114","-0.05429",NA,"EC"
312,"BM",6,"7.5183","0.4461",NA,NA,NA,NA,"EC"
321,"VN",2,"5.9765","0.8648",NA,"0.0675",NA,NA,"EC"
351,"RA",6,"7.0806","0.4771",NA,NA,NA,NA,"EC"
375,"PB",6,"5.8980","0.4841",NA,NA,NA,NA,"EC"
631,"GC",2,"3.1150","0.7966",NA,"0.0745","-0.0053","0.0523","EC"
351,"DG",6,"7.0806","0.4771",NA,NA,NA,NA,"EC"
746,"AS",5,"4.7961","0.64167","-0.18695","0.18581",NA,NA,"EC"
747,"CW",5,"4.4327","0.41505","-0.23264","0.41477",NA,NA,"EC"
815,"WO",5,"2.4857","0.70862",NA,"0.10168",NA,NA,"EC"
351,"PL",6,"7.0806","0.4771",NA,NA,NA,NA,"EC"
312,"WI",6,"7.5183","0.4461",NA,NA,NA,NA,"EC"
264,"OS",3,"6.90396","0.55645","-0.28509","0.20430",NA,NA,"EC"
746,"OH",5,"4.7961","0.64167","-0.18695","0.18581",NA,NA,"EC"
119,"WP",3,"1.0405","1.2799","0.11941","0.42745",NA,"-0.07182","IE"
73,"WL",3,"1.02478","0.99889","0.19422","0.59423","-0.09078","-0.02341","IE"
202,"DF",3,"1.01685","1.48372","0.27378","0.49646","-0.18669","-0.01509","IE"
17,"GF",3,"1.0303","1.14079","0.20904","0.38787",NA,NA,"IE"
263,"WH",3,"1.02460","1.3522","0.24844","0.412117","-0.104357","0.03538","IE"
242,"RC",3,"1.03597","1.46111","0.26289","0.18779",NA,NA,"IE"
108,"LP",3,"1.03992","1.58777","0.30812","0.64934","-0.38964",NA,"IE"
93,"ES",3,"1.02687","1.28027","0.2249","0.47075","-0.15911",NA,"IE"
19,"AF",3,"1.02886","1.01255","0.30374","0.37093","-0.13731",NA,"IE"
122,"PP",3,"1.02687","1.49085","0.1862","0.68272","-0.28242",NA,"IE"
264,"MH",5,"3.7854","0.54684","-0.12954","0.16151","0.03047","-0.00561","IE"
101,"WB",5,"2.2354","0.6668","-0.11658","0.16927",NA,NA,"IE"
113,"LM",1,"4.0181","0.8528",NA,NA,NA,NA,"IE"
72,"LL",4,"2.2586","0.68532",NA,NA,NA,NA,"IE"
106,"PI",2,"-5.4647","1.966",NA,"-0.0395","0.0427","-0.0259","IE"
