PVT,class,lower,upper,yintercept,slope
Western hemlock,1,0,4.3,0,11.76
Western hemlock,2,4.3,7,11.2,9.12
Western hemlock,3,7,18.4,59.67,2.19
Western hemlock,4,18.4,1000,100,0
Douglas-fir,1,0,1.1,0,45.96
Douglas-fir,2,1.1,2.3,6.68,21.43
Douglas-fir,3,2.3,8.4,65.85,4.06
Douglas-fir,4,8.4,1000,100,0
White fir/grand fir,1,0,2.2,0,23.22
White fir/grand fir,2,2.2,4,1.1,13.46
White fir/grand fir,3,4,10.6,59.89,3.77
White fir/grand fir,4,10.6,1000,100,0
Pacific silver fir,1,0,4.9,0,10.15
Pacific silver fir,2,4.9,8.1,11.78,7.76
Pacific silver fir,3,8.1,17,52.06,2.82
Pacific silver fir,4,17,1000,100,0
Mountain hemlock,1,0,2.6,0,19.14
Mountain hemlock,2,2.6,4.9,1.18,11.03
Mountain hemlock,3,4.9,12.4,58.79,3.32
Mountain hemlock,4,12.4,1000,100,0
Tanoak,1,0,1.6,0,30.84
Tanoak,2,1.6,2.8,6.84,20.46
Tanoak,3,2.8,10.4,65.54,3.33
Tanoak,4,10.4,1000,100,0
Redwood,1,0,3.1,0,16.21
Redwood,2,3.1,5.4,7.26,10.62
Redwood,3,5.4,12.7,56.31,3.44
Redwood,4,12.7,1000,100,0
Sitka spruce,1,0,3.9,0,12.82
Sitka spruce,2,3.9,7.1,19.53,7.81
Sitka spruce,3,7.1,17.4,57.77,2.43
Sitka spruce,4,17.4,1000,100,0
Western redcedar,1,0,0.7,0,71.43
Western redcedar,2,0.7,2.3,9.06,15.63
Western redcedar,3,2.3,5.4,56.45,8.06
Western redcedar,4,5.4,1000,100,0
Oak woodland,1,0,1000,0,0
Ponderosa pine,1,0,1000,0,0
Subalpine,1,0,1.6,0,31.48
Subalpine,2,1.6,3.9,32.87,10.78
Subalpine,3,3.9,12.6,63.71,2.89
Subalpine,4,12.6,1000,100,0
Other pine,1,0,1000,0,0
Port Orford cedar,1,0,1.6,0,30.5
Port Orford cedar,2,1.6,3.4,27.11,13.96
Port Orford cedar,3,3.4,7.4,53.25,6.34
Port Orford cedar,4,7.4,1000,100,0
Shasta red fir,1,0,1.8,0,28.3
Shasta red fir,2,1.8,2.9,11.02,22.07
Shasta red fir,3,2.9,12.8,67.7,2.52
Shasta red fir,4,12.8,1000,100,0
Juniper,1,0,1000,0,0
