PVT,class,lower,upper,yintercept,slope
Western hemlock,1,0,6.2,0,8
Western hemlock,2,6.2,11.5,20.24,4.76
Western hemlock,3,11.5,39.1,64.59,0.91
Western hemlock,4,39.1,1000,100,0
Douglas-fir,1,0,3.3,0,15.24
Douglas-fir,2,3.3,9.9,37.57,3.79
Douglas-fir,3,9.9,46.8,68.32,0.68
Douglas-fir,4,46.8,1000,100,0
White fir/grand fir,1,0,9.9,0,50.6
White fir/grand fir,2,9.9,18.4,20.93,2.94
White fir/grand fir,3,18.4,68.3,65.8,0.5
White fir/grand fir,4,68.3,1000,100,0
Pacific silver fir,1,0,22,0,2.27
Pacific silver fir,2,22,33.5,2.17,2.17
Pacific silver fir,3,33.5,82,57.76,0.51
Pacific silver fir,4,82,1000,100,0
Mountain hemlock,1,0,13.1,0,3.8
Mountain hemlock,2,13.1,23,16.55,2.54
Mountain hemlock,3,23,60.4,59.65,0.67
Mountain hemlock,4,60.4,1000,100,0
Tanoak,1,0,5.2,0,9.53
Tanoak,2,5.2,12.7,32.28,3.38
Tanoak,3,12.7,41,63.84,0.88
Tanoak,4,41,1000,100,0
Redwood,1,0,2.3,0,21.7
Redwood,2,2.3,4.9,28.13,9.49
Redwood,3,4.9,13.8,61.08,2.82
Redwood,4,13.8,1000,100,0
Sitka spruce,1,0,5.6,0,8.93
Sitka spruce,2,5.6,14.8,34.78,2.72
Sitka spruce,3,14.8,24.3,36.05,2.63
Sitka spruce,4,24.3,1000,100,0
Western redcedar,1,0,3.8,0,13.16
Western redcedar,2,3.8,7.8,26.25,6.25
Western redcedar,3,7.8,28.9,65.76,1.18
Western redcedar,4,28.9,1000,100,0
Oak woodland,1,0,1000,0,0
Ponderosa pine,1,0,1000,0,0
Subalpine,1,0,5.2,0,9.53
Subalpine,2,5.2,13.3,33.72,3.1
Subalpine,3,13.3,61.4,68.07,0.52
Subalpine,4,61.4,1000,100,0
Other pine,1,0,1000,0,0
Port Orford cedar,1,0,9.8,0,5.08
Port Orford cedar,2,9.8,18.4,21.15,2.93
Port Orford cedar,3,18.4,45.7,58.2,0.91
Port Orford cedar,4,45.7,1000,100,0
Shasta red fir,1,0,7.9,0,6.33
Shasta red fir,2,7.9,14.8,11.02,3.62
Shasta red fir,3,14.8,44.3,62.42,0.83
Shasta red fir,4,44.3,1000,100,0
Juniper,1,0,1000,0,0
