OBJECTID,LF_BpS_Code,BpS,PVT,Sclass,BPS_SCLASS_old,BPS_SCLASS,Avg_,Minus_2_SD,Plus_2_SD,FRG,LL
1,Na0210290_fdw,Na0210290,fdw,A,Na0210290_A,Na0210290_fdw_A,9.2579842,7.4481230,11.0678453,1,1
2,Na0210290_fdw,Na0210290,fdw,B,Na0210290_B,Na0210290_fdw_B,1.0929142,0.4737174,1.7121110,1,1
3,Na0210290_fdw,Na0210290,fdw,E,Na0210290_E,Na0210290_fdw_E,3.5473454,2.4199164,4.6747742,1,1
4,Na0210290_fdw,Na0210290,fdw,C,Na0210290_C,Na0210290_fdw_C,21.1797199,18.7219772,23.6374645,1,1
5,Na0210290_fdw,Na0210290,fdw,D,Na0210290_D,Na0210290_fdw_D,64.9220352,61.8647766,67.9792938,1,1
6,Na0210290_fwo,Na0210290,fwo,A,Na0210290_A,Na0210290_fwo_A,9.2579842,7.4481230,11.0678453,1,1
7,Na0210290_fwo,Na0210290,fwo,B,Na0210290_B,Na0210290_fwo_B,1.0929142,0.4737174,1.7121110,1,1
8,Na0210290_fwo,Na0210290,fwo,E,Na0210290_E,Na0210290_fwo_E,3.5473454,2.4199164,4.6747742,1,1
9,Na0210290_fwo,Na0210290,fwo,C,Na0210290_C,Na0210290_fwo_C,21.1797199,18.7219772,23.6374645,1,1
10,Na0210290_fwo,Na0210290,fwo,D,Na0210290_D,Na0210290_fwo_D,64.9220352,61.8647766,67.9792938,1,1
11,Na0210350_fvg,Na0210350,fvg,A,Na0210350_A,Na0210350_fvg_A,5.0556688,3.7304027,6.3809347,3,2
12,Na0210350_fvg,Na0210350,fvg,B,Na0210350_B,Na0210350_fvg_B,10.1828747,8.3379650,12.0277834,3,2
13,Na0210350_fvg,Na0210350,fvg,E,Na0210350_E,Na0210350_fvg_E,31.8171654,28.8285542,34.8057785,3,2
14,Na0210350_fvg,Na0210350,fvg,C,Na0210350_C,Na0210350_fvg_C,8.9932537,7.2271471,10.7593594,3,2
15,Na0210350_fvg,Na0210350,fvg,D,Na0210350_D,Na0210350_fvg_D,43.9510384,40.6682854,47.2337914,3,2
16,Na0710270_fdd,Na0710270,fdd,A,Na0710270_A,Na0710270_fdd_A,9.0266666,7.3264332,10.7269001,1,1
17,Na0710270_fdd,Na0710270,fdd,B,Na0710270_B,Na0710270_fdd_B,6.3079243,4.7416506,7.8741975,1,1
18,Na0710270_fdd,Na0710270,fdd,E,Na0710270_E,Na0710270_fdd_E,22.3374043,19.9653835,24.7094269,1,1
19,Na0710270_fdd,Na0710270,fdd,C,Na0710270_C,Na0710270_fdd_C,20.0505581,17.7665081,22.3346081,1,1
20,Na0710270_fdd,Na0710270,fdd,D,Na0710270_D,Na0710270_fdd_D,42.2774467,39.5455666,45.0093231,1,1
21,Na0710411_fmt,Na0710411,fmt,A,Na0710411_A,Na0710411_fmt_A,0.9187026,0.3473442,1.4900610,5,3
22,Na0710411_fmt,Na0710411,fmt,B,Na0710411_B,Na0710411_fmt_B,4.8074250,3.4502459,6.1646042,5,3
23,Na0710411_fmt,Na0710411,fmt,E,Na0710411_E,Na0710411_fmt_E,86.3926163,84.2138214,88.5714111,5,3
24,Na0710411_fmt,Na0710411,fmt,C,Na0710411_C,Na0710411_fmt_C,4.4182434,3.1143947,5.7220926,5,3
25,Na0710411_fmt,Na0710411,fmt,D,Na0710411_D,Na0710411_fmt_D,3.4630139,2.2942257,4.6318026,5,3
26,Na0710412_fmc,Na0710412,fmc,A,Na0710412_A,Na0710412_fmc_A,14.7510376,12.6295376,16.8725376,5,3
27,Na0710412_fmc,Na0710412,fmc,B,Na0710412_B,Na0710412_fmc_B,22.6912384,20.1662178,25.2162571,5,3
28,Na0710412_fmc,Na0710412,fmc,E,Na0710412_E,Na0710412_fmc_E,41.6884422,38.9809990,44.3958893,5,3
29,Na0710412_fmc,Na0710412,fmc,C,Na0710412_C,Na0710412_fmc_C,15.9429340,13.6679621,18.2179050,5,3
30,Na0710412_fmc,Na0710412,fmc,D,Na0710412_D,Na0710412_fmc_D,4.9263473,3.5100791,6.3426156,5,3
31,Na0710412_fmh,Na0710412,fmh,A,Na0710412_A,Na0710412_fmh_A,14.7510376,12.6295376,16.8725376,5,3
32,Na0710412_fmh,Na0710412,fmh,B,Na0710412_B,Na0710412_fmh_B,22.6912384,20.1662178,25.2162571,5,3
33,Na0710412_fmh,Na0710412,fmh,E,Na0710412_E,Na0710412_fmh_E,41.6884422,38.9809990,44.3958893,5,3
34,Na0710412_fmh,Na0710412,fmh,C,Na0710412_C,Na0710412_fmh_C,15.9429340,13.6679621,18.2179050,5,3
35,Na0710412_fmh,Na0710412,fmh,D,Na0710412_D,Na0710412_fmh_D,4.9263473,3.5100791,6.3426156,5,3
36,Na0710412_fmi,Na0710412,fmi,A,Na0710412_A,Na0710412_fmi_A,14.7510376,12.6295376,16.8725376,5,3
37,Na0710412_fmi,Na0710412,fmi,B,Na0710412_B,Na0710412_fmi_B,22.6912384,20.1662178,25.2162571,5,3
38,Na0710412_fmi,Na0710412,fmi,E,Na0710412_E,Na0710412_fmi_E,41.6884422,38.9809990,44.3958893,5,3
39,Na0710412_fmi,Na0710412,fmi,C,Na0710412_C,Na0710412_fmi_C,15.9429340,13.6679621,18.2179050,5,3
40,Na0710412_fmi,Na0710412,fmi,D,Na0710412_D,Na0710412_fmi_D,4.9263473,3.5100791,6.3426156,5,3
41,Na1010471_frn,Na1010471,frn,A,Na1010471_A,Na1010471_frn_A,12.0867262,10.0740681,14.0993853,3,2
42,Na1010471_frn,Na1010471,frn,B,Na1010471_B,Na1010471_frn_B,34.9256096,32.0490112,37.8022079,3,2
43,Na1010471_frn,Na1010471,frn,E,Na1010471_E,Na1010471_frn_E,38.6932144,35.7337685,41.6526566,3,2
44,Na1010471_frn,Na1010471,frn,C,Na1010471_C,Na1010471_frn_C,4.9521956,3.5550418,6.3493495,3,2
45,Na1010471_frn,Na1010471,frn,D,Na1010471_D,Na1010471_frn_D,9.3422556,7.5391006,11.1454105,3,2
46,R1RFWF_fcw,R1RFWF,fcw,A,R1RFWF_A,R1RFWF_fcw_A,16.9258480,14.8082247,19.0434723,3,2
47,R1RFWF_fcw,R1RFWF,fcw,B,R1RFWF_B,R1RFWF_fcw_B,25.1635933,22.5084877,27.8186970,3,2
48,R1RFWF_fcw,R1RFWF,fcw,E,R1RFWF_E,R1RFWF_fcw_E,32.5365868,29.9211483,35.1520271,3,2
49,R1RFWF_fcw,R1RFWF,fcw,C,R1RFWF_C,R1RFWF_fcw_C,8.7735128,6.8962159,10.6508102,3,2
50,R1RFWF_fcw,R1RFWF,fcw,D,R1RFWF_D,R1RFWF_fcw_D,16.6004581,14.4294424,18.7714767,3,2
51,R1RFWF_frm,R1RFWF,frm,A,R1RFWF_A,R1RFWF_frm_A,16.9258480,14.8082247,19.0434723,3,2
52,R1RFWF_frm,R1RFWF,frm,B,R1RFWF_B,R1RFWF_frm_B,25.1635933,22.5084877,27.8186970,3,2
53,R1RFWF_frm,R1RFWF,frm,E,R1RFWF_E,R1RFWF_frm_E,32.5365868,29.9211483,35.1520271,3,2
54,R1RFWF_frm,R1RFWF,frm,C,R1RFWF_C,R1RFWF_frm_C,8.7735128,6.8962159,10.6508102,3,2
55,R1RFWF_frm,R1RFWF,frm,D,R1RFWF_D,R1RFWF_frm_D,16.6004581,14.4294424,18.7714767,3,2
56,RaABAMlw_fsi,RaABAMlw,fsi,A,RaABAMlw_A,RaABAMlw_fsi_A,13.1543913,11.0649042,15.2438784,3,2
57,RaABAMlw_fsi,RaABAMlw,fsi,B,RaABAMlw_B,RaABAMlw_fsi_B,20.8231144,18.0855846,23.5606422,3,2
