ID,PVTCode,PVTName,RegionCode,Size_TH,QMD_TH
3,OBM_fcd,Subalpine fir - Cold/Dry,OBM,12,
4,OBM_fcm,Grand fir - Cool/moist,OBM,15,
7,OBM_fdd,Douglas-fir - Dry,OBM,15,
5,OBM_fdg,Grand fir - Warm/Dry,OBM,15,
8,OBM_fdp,"Ponderosa pine - Dry, with juniper",OBM,8,
2,OBM_fmh,Mountain hemlock - Cold/Dry,OBM,12,
6,OBM_fmz,Mixed Conifer - Cold/dry,OBM,12,
1,OBM_fsw,Subalpine woodland,OBM,12,
9,OBM_fxp,Ponderosa pine - Xeric,OBM,8,
12,OCR_fcw,White fir - Cool,OCR,8,
22,OCR_fdm,Douglas-fir - Moist,OCR,8,
23,OCR_fdw,Douglas-fir - White oak,OCR,8,
16,OCR_fhc,Western hemlock - Coastal,OCR,12,
13,OCR_fiw,White fir - Intermediate,OCR,8,
10,OCR_fsi,Pacific silver fir - Intermediate,OCR,15,
27,OCR_fss,Sitka spruce,OCR,15,
11,OCR_fsw,Pacific silver fir - Warm,OCR,15,
26,OCR_ftd,Tan oak - Douglas-fir - Dry,OCR,8,
25,OCR_ftm,Tan oak - Douglas-fir - Moist,OCR,8,
24,OCR_fto,Tan oak - Moist,OCR,8,
15,OCR_fvg,Grand fir - Valley,OCR,8,
14,OCR_fvw,White fir - Moist,OCR,8,
20,OCR_fwc,Western hemlock - Cold,OCR,12,
17,OCR_fwi,Western hemlock - Intermediate,OCR,12,
18,OCR_fwn,Western hemlock - Moist (Coastal),OCR,12,
19,OCR_fww,Western hemlock - Wet,OCR,12,
21,OCR_fwx,Western hemlock - Hyperdry,OCR,8,
28,OEC_fal,Subalpine parkland,OEC,12,
41,OEC_fld,Lodgepole pine - Dry,OEC,8,
42,OEC_flw,Lodgepole pine - Wet,OEC,8,
36,OEC_fmd,Mixed Conifer - Dry,OEC,15,
29,OEC_fmh,Mountain hemlock - Cold/Dry,OEC,12,
30,OEC_fmi,Mountain hemlock - Intermediate,OEC,20,
35,OEC_fmm,Mixed Conifer - Moist,OEC,20,
37,OEC_fmx,Mixed Conifer - Dry (Pumice soils),OEC,15,
34,OEC_fmz,Mixed Conifer - Cold/dry,OEC,12,
46,OEC_fop,Oregon white oak - Ponderosa pine,OEC,8,
43,OEC_fpd,"Ponderosa pine - Dry, with juniper",OEC,8,
44,OEC_fpl,Ponderosa pine - Lodgepole pine,OEC,10,
31,OEC_frf,Shasta red fir - Dry,OEC,20,
32,OEC_fsi,Pacific silver fir - Intermediate,OEC,20,
33,OEC_fsw,Pacific silver fir - Warm,OEC,20,
40,OEC_fwc,Western hemlock - Cold,OEC,20,
38,OEC_fwi,Western hemlock - Intermediate,OEC,20,
39,OEC_fww,Western hemlock - Wet,OEC,20,
45,OEC_fxp,Ponderosa pine - Xeric,OEC,8,
47,OSE_fmd,Mixed Conifer - Dry,OSE,15,
48,OSE_fmx,Mixed Conifer - Dry (Pumice soils),OSE,15,
49,OSE_fpd,"Ponderosa pine - Dry, with juniper",OSE,8,
50,OSE_fxp,Ponderosa pine - Xeric,OSE,8,
51,OSW_fal,Subalpine parkland,OSW,12,
55,OSW_fcw,White fir - Cool,OSW,,30
63,OSW_fdd,Douglas-fir - Dry,OSW,,30
62,OSW_fdm,Douglas-fir - Moist,OSW,,30
58,OSW_fhc,Western hemlock - Coastal,OSW,,30
56,OSW_fiw,White fir - Intermediate,OSW,,30
52,OSW_fmh,Mountain hemlock - Cold/Dry,OSW,12,
66,OSW_fpd,Ponderosa pine - Dry,OSW,8,
53,OSW_frm,Shasta red fir - Moist,OSW,20,
54,OSW_fsi,Pacific silver fir - Intermediate,OSW,,30
69,OSW_fss,Sitka spruce,OSW,,30
65,OSW_ftd,Tan oak - Douglas-fir - Dry,OSW,20,
