LF_BpS_Code,FRG,Order,Donate,Receive,Primary,Secondary,ActiveOnly,ActivePassive,PassiveOnly
Na0210290_fdw,1,1,B,C,Thin / low fire,None,1,0,0
Na0210290_fdw,1,2,E,D,Thin / low fire,None,1,0,0
Na0210290_fdw,1,3,B,D,Thin / low fire,Grow w/ fire,0,1,0
Na0210290_fdw,1,4,D,C,Overstory removal,None,1,0,0
Na0210290_fdw,1,5,E,C,Overstory removal,None,1,0,0
Na0210290_fdw,1,6,B,A,Regen / high fire,None,1,0,0
Na0210290_fdw,1,7,C,A,Regen / high fire,None,1,0,0
Na0210290_fdw,1,8,D,A,Regen / high fire,None,1,0,0
Na0210290_fdw,1,9,E,A,Regen / high fire,None,1,0,0
Na0210290_fdw,1,10,A,C,Grow w/ fire,None,0,0,1
Na0210290_fdw,1,11,C,D,Grow w/ fire,None,0,0,1
Na0210290_fdw,1,12,A,B,Grow w/o fire,None,0,0,1
Na0210290_fdw,1,13,B,E,Grow w/o fire,None,0,0,1
Na0210290_fdw,1,14,C,B,Grow w/o fire,None,0,0,1
Na0210290_fdw,1,15,D,E,Grow w/o fire,None,0,0,1
Na0210290_fdw,1,16,D,B,Regen / high fire,Grow w/o fire,0,1,0
Na0210290_fdw,1,17,E,B,Regen / high fire,Grow w/o fire,0,1,0
Na0210290_fdw,1,18,A,D,Grow w/ fire,Grow w/ fire,0,0,1
Na0210290_fdw,1,19,A,E,Grow w/o fire,Grow w/o fire,0,0,1
Na0210290_fdw,1,20,C,E,Grow w/o fire,Grow w/o fire,0,0,1
Na0210290_fwo,1,1,B,C,Thin / low fire,None,1,0,0
Na0210290_fwo,1,2,E,D,Thin / low fire,None,1,0,0
Na0210290_fwo,1,3,B,D,Thin / low fire,Grow w/ fire,0,1,0
Na0210290_fwo,1,4,D,C,Overstory removal,None,1,0,0
Na0210290_fwo,1,5,E,C,Overstory removal,None,1,0,0
Na0210290_fwo,1,6,B,A,Regen / high fire,None,1,0,0
Na0210290_fwo,1,7,C,A,Regen / high fire,None,1,0,0
Na0210290_fwo,1,8,D,A,Regen / high fire,None,1,0,0
Na0210290_fwo,1,9,E,A,Regen / high fire,None,1,0,0
Na0210290_fwo,1,10,A,C,Grow w/ fire,None,0,0,1
Na0210290_fwo,1,11,C,D,Grow w/ fire,None,0,0,1
Na0210290_fwo,1,12,A,B,Grow w/o fire,None,0,0,1
Na0210290_fwo,1,13,B,E,Grow w/o fire,None,0,0,1
Na0210290_fwo,1,14,C,B,Grow w/o fire,None,0,0,1
Na0210290_fwo,1,15,D,E,Grow w/o fire,None,0,0,1
Na0210290_fwo,1,16,D,B,Regen / high fire,Grow w/o fire,0,1,0
Na0210290_fwo,1,17,E,B,Regen / high fire,Grow w/o fire,0,1,0
Na0210290_fwo,1,18,A,D,Grow w/ fire,Grow w/ fire,0,0,1
Na0210290_fwo,1,19,A,E,Grow w/o fire,Grow w/o fire,0,0,1
Na0210290_fwo,1,20,C,E,Grow w/o fire,Grow w/o fire,0,0,1
Na0210350_fvg,3,1,B,C,Thin / low fire,None,1,0,0
Na0210350_fvg,3,2,E,D,Thin / low fire,None,1,0,0
Na0210350_fvg,3,3,B,D,Thin / low fire,Grow w/ fire,0,1,0
Na0210350_fvg,3,4,D,C,Overstory removal,None,1,0,0
Na0210350_fvg,3,5,E,C,Overstory removal,None,1,0,0
Na0210350_fvg,3,6,B,A,Regen / high fire,None,1,0,0
Na0210350_fvg,3,7,C,A,Regen / high fire,None,1,0,0
Na0210350_fvg,3,8,D,A,Regen / high fire,None,1,0,0
Na0210350_fvg,3,9,E,A,Regen / high fire,None,1,0,0
Na0210350_fvg,3,10,A,C,Grow w/ fire,None,0,0,1
Na0210350_fvg,3,11,C,D,Grow w/ fire,None,0,0,1
Na0210350_fvg,3,12,A,B,Grow w/o fire,None,0,0,1
Na0210350_fvg,3,13,B,E,Grow w/o fire,None,0,0,1
Na0210350_fvg,3,14,C,E,Grow w/o fire,None,0,0,1
Na0210350_fvg,3,15,D,E,Grow w/o fire,None,0,0,1
Na0210350_fvg,3,16,C,B,Regen / high fire,Grow w/o fire,0,1,0
Na0210350_fvg,3,17,D,B,Regen / high fire,Grow w/o fire,0,1,0
Na0210350_fvg,3,18,E,B,Regen / high fire,Grow w/o fire,0,1,0
Na0210350_fvg,3,19,A,D,Grow w/ fire,Grow w/ fire,0,0,1
Na0210350_fvg,3,20,A,E,Grow w/o fire,Grow w/o fire,0,0,1
Na0710270_fdd,1,1,B,C,Thin / low fire,None,1,0,0
Na0710270_fdd,1,2,E,D,Thin / low fire,None,1,0,0
Na0710270_fdd,1,3,B,D,Thin / low fire,Grow w/ fire,0,1,0
Na0710270_fdd,1,4,D,C,Overstory removal,None,1,0,0
Na0710270_fdd,1,5,E,C,Overstory removal,None,1,0,0
Na0710270_fdd,1,6,B,A,Regen / high fire,None,1,0,0
Na0710270_fdd,1,7,C,A,Regen / high fire,None,1,0,0
Na0710270_fdd,1,8,D,A,Regen / high fire,None,1,0,0
Na0710270_fdd,1,9,E,A,Regen / high fire,None,1,0,0
Na0710270_fdd,1,10,A,C,Grow w/ fire,None,0,0,1
Na0710270_fdd,1,11,C,D,Grow w/ fire,None,0,0,1
Na0710270_fdd,1,12,A,B,Grow w/o fire,None,0,0,1
Na0710270_fdd,1,13,B,E,Grow w/o fire,None,0,0,1
Na0710270_fdd,1,14,C,B,Grow w/o fire,None,0,0,1
Na0710270_fdd,1,15,D,E,Grow w/o fire,None,0,0,1
Na0710270_fdd,1,16,D,B,Regen / high fire,Grow w/o fire,0,1,0
Na0710270_fdd,1,17,E,B,Regen / high fire,Grow w/o fire,0,1,0
Na0710270_fdd,1,18,A,D,Grow w/ fire,Grow w/ fire,0,0,1
Na0710270_fdd,1,19,C,E,Grow w/o fire,Grow w/o fire,0,0,1
Na0710270_fdd,1,20,A,E,Grow w/o fire,Grow w/o fire,0,0,1
Na0710411_fmt,5,1,B,A,Regen / high fire,None,1,0,0
Na0710411_fmt,5,2,C,A,Regen / high fire,None,1,0,0
