"strataID","YEAR","BpS_Code","SCLASS","BPS_LLID","sclass","PERC_AREA","AREA_TOTAL","PERC_AREA_VAR","AREA_TOTAL_VAR","nPlots_AREA","N","AREA_STRATA","avg","low","high","departure"
"2002_Na0710412_fmh_Na0710412_fmh_WEC",2002,"Na0710412_fmh","A","Na0710412_fmh_WEC","A",0.320113352258236,105566.084658307,7.59843646816577e-05,46777090.9572244,3,323,835866.585157539,123298.994262425,105566.084658307,141031.903866542,0
"2002_Na0710412_fmh_Na0710412_fmh_WEC",2002,"Na0710412_fmh","B","Na0710412_fmh_WEC","B",1.29274271336081,168562.676080292,0.00511676836355836,4376303851.07412,5,915,835866.585157539,189668.479544036,168562.676080292,210774.267126316,0
"2002_Na0710412_fmh_Na0710412_fmh_WEC",2002,"Na0710412_fmh","C","Na0710412_fmh_WEC","C",3.68515831257473,182892.874791956,0.0323829948073329,15862794419.9531,11,949,835866.585157539,133261.65799972,114245.928065897,152277.380410745,30615.4943812113
"2002_Na0710412_fmh_Na0710412_fmh_WEC",2002,"Na0710412_fmh","D","Na0710412_fmh_WEC","D",1.75984548347113,53015.8044253894,0.00237067084155412,1119116296.39556,4,323,835866.585157539,41177.6909495106,29339.5783094985,53015.8044253894,0
"2002_Na0710412_fmh_Na0710412_fmh_WEC",2002,"Na0710412_fmh","E","Na0710412_fmh_WEC","E",2.99294383510714,325829.145201595,0.0217238426335241,24376640077.3295,3,949,835866.585157539,348459.758222515,325829.145201595,371090.403842231,0
"2002_Na1010471_frn_Na1010471_frn_17010215",2002,"Na1010471_frn","A",NA,NA,0,5638.9058589821,NA,NA,NA,NA,55974.4663526952,6765.48048996139,5638.9058589821,7892.05568068535,0
"2002_Na1010471_frn_Na1010471_frn_17010215",2002,"Na1010471_frn","B","Na1010471_frn_17010215","B",1.57757290235654,24123.8872633225,0.00191079704809072,1309165514.92508,1,323,55974.4663526952,19549.4235940257,17939.2629905155,21159.5841415614,2964.30312176112
"2002_Na1010471_frn_Na1010471_frn_17010215",2002,"Na1010471_frn","C",NA,NA,0,1989.91567616525,NA,NA,NA,NA,55974.4663526952,2771.96505984165,1989.91567616525,3554.01449949252,0
"2002_Na1010471_frn_Na1010471_frn_17010215",2002,"Na1010471_frn","D",NA,NA,0,4219.97132864284,NA,NA,NA,NA,55974.4663526952,5229.27771740478,4219.97132864284,6238.58405019226,0
"2002_Na1010471_frn_Na1010471_frn_17010215",2002,"Na1010471_frn","E",NA,NA,0,20001.7862255825,NA,NA,NA,NA,55974.4663526952,21658.3202751042,20001.7862255825,23314.8522535707,0
"2002_Na1010471_frn_Na1010471_frn_17010216",2002,"Na1010471_frn","A","Na1010471_frn_17010216","A",1.01396660948433,35976.9363308383,0.000815786767449412,770341408.306083,2,323,301890.720429181,36488.7048014826,30412.6767636163,42564.7358582561,0
"2002_Na1010471_frn_Na1010471_frn_17010216",2002,"Na1010471_frn","B","Na1010471_frn_17010216","B",1.24208632309893,105278.110785802,0.00467051867777744,4751617621.64124,4,915,301890.720429181,105437.174435723,96752.990802109,114121.357767447,0
"2002_Na1010471_frn_Na1010471_frn_17010216",2002,"Na1010471_frn","C","Na1010471_frn_17010216","C",3.49221799827723,29998.8970361744,0.00902353395012525,2609558155.67644,7,323,301890.720429181,14950.2189739022,10732.3413015785,19168.0969481166,10830.8000880577
"2002_Na1010471_frn_Na1010471_frn_17010216",2002,"Na1010471_frn","D",NA,NA,0,22759.8451152207,NA,NA,NA,NA,301890.720429181,28203.4027351755,22759.8451152207,33646.9600532396,0
"2002_Na1010471_frn_Na1010471_frn_17010216",2002,"Na1010471_frn","E","Na1010471_frn_17010216","E",1.03510493809338,107876.931161146,0.000847215970999175,802558301.218708,2,323,301890.720429181,116811.223709368,107876.931161146,125745.505087633,0
"2002_Na1010471_frn_Na1010471_frn_17010305",2002,"Na1010471_frn","A","Na1010471_frn_17010305","A",1.71554199317391,17857.0241857831,0.0253678894943871,5465023687.43652,1,592,84537.9838597439,10217.8746441274,8516.41406439761,11919.3360692371,5937.68811654602
"2002_Na1010471_frn_Na1010471_frn_17010305",2002,"Na1010471_frn","B",NA,NA,0,27093.5879154635,NA,NA,NA,NA,84537.9838597439,29525.4062065652,27093.5879154635,31957.2244131288,0
"2002_Na1010471_frn_Na1010471_frn_17010305",2002,"Na1010471_frn","C",NA,NA,0,3005.36066309115,NA,NA,NA,NA,84537.9838597439,4186.48631703095,3005.36066309115,5367.61205550873,0
"2002_Na1010471_frn_Na1010471_frn_17010305",2002,"Na1010471_frn","D",NA,NA,0,6373.40364839786,NA,NA,NA,NA,84537.9838597439,7897.75453126402,6373.40364839786,9422.1053295922,0
"2002_Na1010471_frn_Na1010471_frn_17010305",2002,"Na1010471_frn","E",NA,NA,0,30208.6074470082,NA,NA,NA,NA,84537.9838597439,32710.4633442881,30208.6074470082,35212.3161136625,0
"2002_Na1010471_frn_Na1010471_frn_17020001",2002,"Na1010471_frn","A",NA,NA,0,1372.9393348469,NA,NA,NA,NA,13628.4500086604,1647.23343785066,1372.9393348469,1921.52767713891,0
