"type","REST_ACRES","YEAR","BpS_Code","BPS_LLID","AREA_STRATA","REST_PCT"
"active",94208.0206105152,2002,"Na0710412_fmh","Na0710412_fmh_WEC",835866.585157539,0.112707006456969
"both",58990.9755762709,2002,"Na0710412_fmh","Na0710412_fmh_WEC",835866.585157539,0.0705746307171169
"passive",33398.5926777356,2002,"Na0710412_fmh","Na0710412_fmh_WEC",835866.585157539,0.0399568463087214
"active",7628.82153514735,2002,"Na1010471_frn","Na1010471_frn_17010215",55974.4663526952,0.136291099
"both",4219.97132864284,2002,"Na1010471_frn","Na1010471_frn_17010215",55974.4663526952,0.075391006
"passive",20001.7862255825,2002,"Na1010471_frn","Na1010471_frn_17010215",55974.4663526952,0.357337685
"passive",93909.8228390526,2002,"Na1010471_frn","Na1010471_frn_17010216",301890.720429181,0.311072240662271
"passive",66680.9596739608,2002,"Na1010471_frn","Na1010471_frn_17010305",84537.9838597439,0.788769221
"active",1372.9393348469,2002,"Na1010471_frn","Na1010471_frn_17020001",13628.4500086604,0.100740681
"passive",10265.2048022685,2002,"Na1010471_frn","Na1010471_frn_17020001",13628.4500086604,0.753218803
"active",3365.57941688724,2002,"Na1010471_frn","Na1010471_frn_17020002",33408.3449057411,0.100740681
"passive",25163.7935601135,2002,"Na1010471_frn","Na1010471_frn_17020002",33408.3449057411,0.753218803
"active",7239.86808119291,2002,"Na1010471_frn","Na1010471_frn_17020003",71866.3801884852,0.100740681
"both",5418.07869998837,2002,"Na1010471_frn","Na1010471_frn_17020003",71866.3801884852,0.075391006
"passive",25680.5659258832,2002,"Na1010471_frn","Na1010471_frn_17020003",71866.3801884852,0.357337685
"active",4179.82352010056,2002,"RaABAMlw_fsi","RaABAMlw_fsi_17020011",37775.5057300953,0.110649042
"both",6831.92104689423,2002,"RaABAMlw_fsi","RaABAMlw_fsi_17020011",37775.5057300953,0.180855846
"passive",21999.1332255681,2002,"RaABAMlw_fsi","RaABAMlw_fsi_17020011",37775.5057300953,0.582365022
"active",3478.63055244632,2002,"RaABAMlw_fsi","RaABAMlw_fsi_17030001",79521.6896636185,0.0437444245357604
"both",14381.9624594632,2002,"RaABAMlw_fsi","RaABAMlw_fsi_17030001",79521.6896636185,0.180855846
"passive",41658.624945765,2002,"RaABAMlw_fsi","RaABAMlw_fsi_17030001",79521.6896636185,0.523864937
"passive",28212.2667702704,2002,"RaABAMlw_fsi","RaABAMlw_fsi_17030002",59056.9786383128,0.477712667
"active",326.202511170108,2002,"RaABAMlw_fsi","RaABAMlw_fsi_17070105A",16240.1863838341,0.020086131
"both",1248.21471659252,2002,"RaABAMlw_fsi","RaABAMlw_fsi_17070105A",16240.1863838341,0.0768596299999999
"passive",10196.582147889,2002,"RaABAMlw_fsi","RaABAMlw_fsi_17070105A",16240.1863838341,0.627861153
"active",13184.9057341339,2002,"RaMCONdy_fdd","RaMCONdy_fdd_1701021601",45849.8223941622,0.287567215
"both",3000.64163375501,2002,"RaMCONdy_fdd","RaMCONdy_fdd_1701021601",45849.8223941622,0.0654450001563597
"passive",19237.7167986863,2002,"RaMCONdy_fdd","RaMCONdy_fdd_1701021601",45849.8223941622,0.41958105384364
"active",65539.4611918903,2002,"RaMCONdy_fdd","RaMCONdy_fdd_1701021602",103723.327496308,0.631868093454899
"passive",4144.43239376534,2002,"RaMCONdy_fdd","RaMCONdy_fdd_1701021602",103723.327496308,0.0399566085451014
"active",16374.4055331009,2002,"RaMCONdy_fdd","RaMCONdy_fdd_1701021603",56941.1416843915,0.287567215
"both",19804.1682457161,2002,"RaMCONdy_fdd","RaMCONdy_fdd_1701021603",56941.1416843915,0.347800687866165
"passive",7813.76901571918,2002,"RaMCONdy_fdd","RaMCONdy_fdd_1701021603",56941.1416843915,0.137225366133835
"active",14968.1009575241,2002,"RaMCONdy_fdd","RaMCONdy_fdd_1701021610",37028.3681214808,0.404233341
