"BpS_Code","Order","Donate","Receive","Primary","Secondary","ActiveOnly","ActivePassive","PassiveOnly","REST_ACRES","strataID"
"Na0710412_fmh",2,"C","A","Regen / high fire","None",1,0,0,94208.0206105152,"2002_Na0710412_fmh_Na0710412_fmh_WEC"
"Na0710412_fmh",11,"D","E","Grow w/o fire","None",0,0,1,9425.94495643071,"2002_Na0710412_fmh_Na0710412_fmh_WEC"
"Na0710412_fmh",14,"C","B","Regen / high fire","Grow w/o fire",0,1,0,58990.9755762709,"2002_Na0710412_fmh_Na0710412_fmh_WEC"
"Na0710412_fmh",19,"C","E","Grow w/o fire","Grow w/o fire",0,0,1,23972.6477213049,"2002_Na0710412_fmh_Na0710412_fmh_WEC"
"Na1010471_frn",1,"B","C","Thin / low fire","None",1,0,0,1989.91567616525,"2002_Na1010471_frn_Na1010471_frn_17010215"
"Na1010471_frn",3,"B","D","Thin / low fire","Grow w/ fire",0,1,0,4219.97132864284,"2002_Na1010471_frn_Na1010471_frn_17010215"
"Na1010471_frn",6,"B","A","Regen / high fire","None",1,0,0,5638.9058589821,"2002_Na1010471_frn_Na1010471_frn_17010215"
"Na1010471_frn",13,"B","E","Grow w/o fire","None",0,0,1,20001.7862255825,"2002_Na1010471_frn_Na1010471_frn_17010215"
"Na1010471_frn",11,"C","D","Grow w/ fire","None",0,0,1,22759.8451152207,"2002_Na1010471_frn_Na1010471_frn_17010216"
"Na1010471_frn",20,"C","E","Grow w/o fire","Grow w/o fire",0,0,1,71149.9777238319,"2002_Na1010471_frn_Na1010471_frn_17010216"
"Na1010471_frn",10,"A","C","Grow w/ fire","None",0,0,1,3005.36066309115,"2002_Na1010471_frn_Na1010471_frn_17010305"
"Na1010471_frn",12,"A","B","Grow w/o fire","None",0,0,1,27093.5879154635,"2002_Na1010471_frn_Na1010471_frn_17010305"
"Na1010471_frn",18,"A","D","Grow w/ fire","Grow w/ fire",0,0,1,6373.40364839786,"2002_Na1010471_frn_Na1010471_frn_17010305"
"Na1010471_frn",19,"A","E","Grow w/o fire","Grow w/o fire",0,0,1,30208.6074470082,"2002_Na1010471_frn_Na1010471_frn_17010305"
"Na1010471_frn",7,"C","A","Regen / high fire","None",1,0,0,1372.9393348469,"2002_Na1010471_frn_Na1010471_frn_17020001"
"Na1010471_frn",11,"C","D","Grow w/ fire","None",0,0,1,1027.46255637362,"2002_Na1010471_frn_Na1010471_frn_17020001"
"Na1010471_frn",14,"C","B","Grow w/o fire","None",0,0,1,4367.78346966197,"2002_Na1010471_frn_Na1010471_frn_17020001"
"Na1010471_frn",20,"C","E","Grow w/o fire","Grow w/o fire",0,0,1,4869.95877623294,"2002_Na1010471_frn_Na1010471_frn_17020001"
"Na1010471_frn",7,"C","A","Regen / high fire","None",1,0,0,3365.57941688724,"2002_Na1010471_frn_Na1010471_frn_17020002"
"Na1010471_frn",11,"C","D","Grow w/ fire","None",0,0,1,2518.6887312388,"2002_Na1010471_frn_Na1010471_frn_17020002"
"Na1010471_frn",14,"C","B","Grow w/o fire","None",0,0,1,10707.0442005756,"2002_Na1010471_frn_Na1010471_frn_17020002"
"Na1010471_frn",20,"C","E","Grow w/o fire","Grow w/o fire",0,0,1,11938.0606282991,"2002_Na1010471_frn_Na1010471_frn_17020002"
"Na1010471_frn",3,"B","D","Thin / low fire","Grow w/ fire",0,1,0,5418.07869998837,"2002_Na1010471_frn_Na1010471_frn_17020003"
"Na1010471_frn",6,"B","A","Regen / high fire","None",1,0,0,7239.86808119291,"2002_Na1010471_frn_Na1010471_frn_17020003"
"Na1010471_frn",13,"B","E","Grow w/o fire","None",0,0,1,15502.8377835929,"2002_Na1010471_frn_Na1010471_frn_17020003"
"Na1010471_frn",20,"C","E","Grow w/o fire","Grow w/o fire",0,0,1,10177.7281422902,"2002_Na1010471_frn_Na1010471_frn_17020003"
"RaABAMlw_fsi",7,"C","A","Regen / high fire","None",1,0,0,4179.82352010056,"2002_RaABAMlw_fsi_RaABAMlw_fsi_17020011"
"RaABAMlw_fsi",11,"C","D","Grow w/ fire","None",0,0,1,2209.87029612856,"2002_RaABAMlw_fsi_RaABAMlw_fsi_17020011"
"RaABAMlw_fsi",14,"C","E","Grow w/o fire","None",0,0,1,19789.2629294395,"2002_RaABAMlw_fsi_RaABAMlw_fsi_17020011"
"RaABAMlw_fsi",16,"C","B","Regen / high fire","Grow w/o fire",0,1,0,6831.92104689423,"2002_RaABAMlw_fsi_RaABAMlw_fsi_17020011"
"RaABAMlw_fsi",7,"C","A","Regen / high fire","None",1,0,0,3478.63055244632,"2002_RaABAMlw_fsi_RaABAMlw_fsi_17030001"
"RaABAMlw_fsi",14,"C","E","Grow w/o fire","None",0,0,1,41658.624945765,"2002_RaABAMlw_fsi_RaABAMlw_fsi_17030001"
"RaABAMlw_fsi",16,"C","B","Regen / high fire","Grow w/o fire",0,1,0,9988.24299297469,"2002_RaABAMlw_fsi_RaABAMlw_fsi_17030001"
"RaABAMlw_fsi",17,"D","B","Regen / high fire","Grow w/o fire",0,1,0,4393.71946648849,"2002_RaABAMlw_fsi_RaABAMlw_fsi_17030001"
"RaABAMlw_fsi",13,"B","E","Grow w/o fire","None",0,0,1,7367.26947711419,"2002_RaABAMlw_fsi_RaABAMlw_fsi_17030002"
"RaABAMlw_fsi",14,"C","E","Grow w/o fire","None",0,0,1,13407.4635007087,"2002_RaABAMlw_fsi_RaABAMlw_fsi_17030002"
"RaABAMlw_fsi",15,"D","E","Grow w/o fire","None",0,0,1,6734.82487060984,"2002_RaABAMlw_fsi_RaABAMlw_fsi_17030002"
"RaABAMlw_fsi",20,"A","E","Grow w/o fire","Grow w/o fire",0,0,1,702.708921837713,"2002_RaABAMlw_fsi_RaABAMlw_fsi_17030002"
"RaABAMlw_fsi",4,"D","C","Overstory removal","None",1,0,0,326.202511170108,"2002_RaABAMlw_fsi_RaABAMlw_fsi_17070105A"
"RaABAMlw_fsi",12,"A","B","Grow w/o fire","None",0,0,1,1688.91793105347,"2002_RaABAMlw_fsi_RaABAMlw_fsi_17070105A"
"RaABAMlw_fsi",15,"D","E","Grow w/o fire","None",0,0,1,8507.66421683551,"2002_RaABAMlw_fsi_RaABAMlw_fsi_17070105A"
"RaABAMlw_fsi",17,"D","B","Regen / high fire","Grow w/o fire",0,1,0,1248.21471659252,"2002_RaABAMlw_fsi_RaABAMlw_fsi_17070105A"
"RaMCONdy_fdd",1,"B","C","Thin / low fire","None",1,0,0,13184.9057341339,"2002_RaMCONdy_fdd_RaMCONdy_fdd_1701021601"
"RaMCONdy_fdd",3,"B","D","Thin / low fire","Grow w/ fire",0,1,0,3000.64163375501,"2002_RaMCONdy_fdd_RaMCONdy_fdd_1701021601"
"RaMCONdy_fdd",19,"A","D","Grow w/ fire","Grow w/ fire",0,0,1,14534.3443573715,"2002_RaMCONdy_fdd_RaMCONdy_fdd_1701021601"
"RaMCONdy_fdd",20,"A","E","Grow w/o fire","Grow w/o fire",0,0,1,4703.37244131486,"2002_RaMCONdy_fdd_RaMCONdy_fdd_1701021601"
"RaMCONdy_fdd",2,"E","D","Thin / low fire","None",1,0,0,39668.3563780252,"2002_RaMCONdy_fdd_RaMCONdy_fdd_1701021602"
"RaMCONdy_fdd",5,"E","C","Overstory removal","None",1,0,0,25871.1048138651,"2002_RaMCONdy_fdd_RaMCONdy_fdd_1701021602"
