"type","REST_ACRES","YEAR","BpS_Code","BPS_LLID","AREA_STRATA","REST_PCT"
"passive",100707.876123008,2011,"Na0710412_fmh","Na0710412_fmh_WEC",628993.674984818,0.160109521173546
"active",2565.14014883913,2011,"Na1010471_frn","Na1010471_frn_17010214",12485.3892973309,0.205451355
"both",337.618234838897,2011,"Na1010471_frn","Na1010471_frn_17010215",63632.8490018571,0.00530572243950674
"passive",20105.6080175507,2011,"Na1010471_frn","Na1010471_frn_17010215",63632.8490018571,0.315962719459
"passive",91147.8698852341,2011,"Na1010471_frn","Na1010471_frn_17010216",261660.14655691,0.348344488393114
"passive",5680.6918770647,2011,"Na1010471_frn","Na1010471_frn_17010305",7201.96950619185,0.788769221
"passive",31620.9590841553,2011,"Na1010471_frn","Na1010471_frn_17020001",55364.8186920201,0.57113813123916
"active",1803.90312260158,2011,"Na1010471_frn","Na1010471_frn_17020002",34856.1805368579,0.0517527478575594
"both",612.144824826695,2011,"Na1010471_frn","Na1010471_frn_17020002",34856.1805368579,0.0175620167040217
"passive",10482.4681854309,2011,"Na1010471_frn","Na1010471_frn_17020002",34856.1805368579,0.300734848855468
"passive",32842.1151275305,2011,"Na1010471_frn","Na1010471_frn_17020003",68304.8731475051,0.480816574486679
"active",178.696805516916,2011,"Na1010471_frn","Na1010471_frn_17020008",1773.82963608233,0.100740681
"passive",1336.08183521586,2011,"Na1010471_frn","Na1010471_frn_17020008",1773.82963608233,0.753218803
"active",214.915019596893,2011,"RaABAMlw_fsi","RaABAMlw_fsi_17020010",1942.31251994837,0.110649042
"both",351.278573991654,2011,"RaABAMlw_fsi","RaABAMlw_fsi_17020010",1942.31251994837,0.180855846
"passive",1131.13487341061,2011,"RaABAMlw_fsi","RaABAMlw_fsi_17020010",1942.31251994837,0.582365022
"passive",15880.0303284353,2011,"RaABAMlw_fsi","RaABAMlw_fsi_17020011",48202.0567323886,0.329447152361136
"passive",51255.7173184953,2011,"RaABAMlw_fsi","RaABAMlw_fsi_17030001",94609.5816353328,0.541760321021791
"active",2201.62015372963,2011,"RaABAMlw_fsi","RaABAMlw_fsi_17030002",48974.5297391318,0.044954390893732
"passive",11021.0694305363,2011,"RaABAMlw_fsi","RaABAMlw_fsi_17030002",48974.5297391318,0.225036758683364
"active",1659.41053244331,2011,"RaABAMlw_fsi","RaABAMlw_fsi_17070105A",43265.0075598445,0.0383545647171794
"passive",13382.8164464867,2011,"RaABAMlw_fsi","RaABAMlw_fsi_17070105A",43265.0075598445,0.309321948643495
"active",492.318240121531,2011,"RaABLA_faf","RaABLA_faf_WNE",3716.14215603071,0.132481003
"both",59.4911549222879,2011,"RaABLA_faf","RaABLA_faf_WNE",3716.14215603071,0.016008848
"passive",2115.24803373464,2011,"RaABLA_faf","RaABLA_faf_WNE",3716.14215603071,0.56920536
