"BpS_Code","Order","Donate","Receive","Primary","Secondary","ActiveOnly","ActivePassive","PassiveOnly","REST_ACRES","strataID"
"Na0710412_fmh",11,"D","E","Grow w/o fire","None",0,0,1,77760.8922560147,"2011_Na0710412_fmh_Na0710412_fmh_WEC"
"Na0710412_fmh",19,"C","E","Grow w/o fire","Grow w/o fire",0,0,1,22946.9838669932,"2011_Na0710412_fmh_Na0710412_fmh_WEC"
"Na1010471_frn",1,"B","C","Thin / low fire","None",1,0,0,443.860808412839,"2011_Na1010471_frn_Na1010471_frn_17010214"
"Na1010471_frn",2,"E","D","Thin / low fire","None",1,0,0,941.286059427409,"2011_Na1010471_frn_Na1010471_frn_17010214"
"Na1010471_frn",6,"B","A","Regen / high fire","None",1,0,0,773.798979893038,"2011_Na1010471_frn_Na1010471_frn_17010214"
"Na1010471_frn",9,"E","A","Regen / high fire","None",1,0,0,406.194301105843,"2011_Na1010471_frn_Na1010471_frn_17010214"
"Na1010471_frn",3,"B","D","Thin / low fire","Grow w/ fire",0,1,0,337.618234838897,"2011_Na1010471_frn_Na1010471_frn_17010215"
"Na1010471_frn",11,"C","D","Grow w/ fire","None",0,0,1,4459.72626605721,"2011_Na1010471_frn_Na1010471_frn_17010215"
"Na1010471_frn",19,"A","E","Grow w/o fire","Grow w/o fire",0,0,1,2487.72995762376,"2011_Na1010471_frn_Na1010471_frn_17010215"
"Na1010471_frn",20,"C","E","Grow w/o fire","Grow w/o fire",0,0,1,13158.1517938697,"2011_Na1010471_frn_Na1010471_frn_17010215"
"Na1010471_frn",11,"C","D","Grow w/ fire","None",0,0,1,15564.8343263287,"2011_Na1010471_frn_Na1010471_frn_17010216"
"Na1010471_frn",19,"A","E","Grow w/o fire","Grow w/o fire",0,0,1,25441.7539621628,"2011_Na1010471_frn_Na1010471_frn_17010216"
"Na1010471_frn",20,"C","E","Grow w/o fire","Grow w/o fire",0,0,1,50141.2815967426,"2011_Na1010471_frn_Na1010471_frn_17010216"
"Na1010471_frn",10,"A","C","Grow w/ fire","None",0,0,1,256.033026368374,"2011_Na1010471_frn_Na1010471_frn_17010305"
"Na1010471_frn",12,"A","B","Grow w/o fire","None",0,0,1,2308.16001366001,"2011_Na1010471_frn_Na1010471_frn_17010305"
"Na1010471_frn",18,"A","D","Grow w/ fire","Grow w/ fire",0,0,1,542.963726253127,"2011_Na1010471_frn_Na1010471_frn_17010305"
"Na1010471_frn",19,"A","E","Grow w/o fire","Grow w/o fire",0,0,1,2573.53511078319,"2011_Na1010471_frn_Na1010471_frn_17010305"
"Na1010471_frn",11,"C","D","Grow w/ fire","None",0,0,1,4174.009378199,"2011_Na1010471_frn_Na1010471_frn_17020001"
"Na1010471_frn",12,"A","B","Grow w/o fire","None",0,0,1,8999.57800061256,"2011_Na1010471_frn_Na1010471_frn_17020001"
"Na1010471_frn",14,"C","B","Grow w/o fire","None",0,0,1,679.133254657179,"2011_Na1010471_frn_Na1010471_frn_17020001"
"Na1010471_frn",20,"C","E","Grow w/o fire","Grow w/o fire",0,0,1,17768.2384506866,"2011_Na1010471_frn_Na1010471_frn_17020001"
"Na1010471_frn",3,"B","D","Thin / low fire","Grow w/ fire",0,1,0,612.144824826695,"2011_Na1010471_frn_Na1010471_frn_17020002"
"Na1010471_frn",6,"B","A","Regen / high fire","None",1,0,0,83.8391150143616,"2011_Na1010471_frn_Na1010471_frn_17020002"
"Na1010471_frn",7,"C","A","Regen / high fire","None",1,0,0,1720.06400758721,"2011_Na1010471_frn_Na1010471_frn_17020002"
"Na1010471_frn",20,"C","E","Grow w/o fire","Grow w/o fire",0,0,1,10482.4681854309,"2011_Na1010471_frn_Na1010471_frn_17020002"
"Na1010471_frn",11,"C","D","Grow w/ fire","None",0,0,1,5149.5731012928,"2011_Na1010471_frn_Na1010471_frn_17020003"
"Na1010471_frn",12,"A","B","Grow w/o fire","None",0,0,1,3284.63678148961,"2011_Na1010471_frn_Na1010471_frn_17020003"
"Na1010471_frn",19,"A","E","Grow w/o fire","Grow w/o fire",0,0,1,8984.65097141561,"2011_Na1010471_frn_Na1010471_frn_17020003"
"Na1010471_frn",20,"C","E","Grow w/o fire","Grow w/o fire",0,0,1,15423.2542733325,"2011_Na1010471_frn_Na1010471_frn_17020003"
"Na1010471_frn",7,"C","A","Regen / high fire","None",1,0,0,178.696805516916,"2011_Na1010471_frn_Na1010471_frn_17020008"
"Na1010471_frn",11,"C","D","Grow w/ fire","None",0,0,1,133.730800736861,"2011_Na1010471_frn_Na1010471_frn_17020008"
"Na1010471_frn",14,"C","B","Grow w/o fire","None",0,0,1,568.494858736945,"2011_Na1010471_frn_Na1010471_frn_17020008"
"Na1010471_frn",20,"C","E","Grow w/o fire","Grow w/o fire",0,0,1,633.856175742052,"2011_Na1010471_frn_Na1010471_frn_17020008"
"RaABAMlw_fsi",7,"C","A","Regen / high fire","None",1,0,0,214.915019596893,"2011_RaABAMlw_fsi_RaABAMlw_fsi_17020010"
"RaABAMlw_fsi",11,"C","D","Grow w/ fire","None",0,0,1,113.625447513544,"2011_RaABAMlw_fsi_RaABAMlw_fsi_17020010"
"RaABAMlw_fsi",14,"C","E","Grow w/o fire","None",0,0,1,1017.50942589706,"2011_RaABAMlw_fsi_RaABAMlw_fsi_17020010"
"RaABAMlw_fsi",16,"C","B","Regen / high fire","Grow w/o fire",0,1,0,351.278573991654,"2011_RaABAMlw_fsi_RaABAMlw_fsi_17020010"
"RaABAMlw_fsi",12,"A","B","Grow w/o fire","None",0,0,1,1220.91038726875,"2011_RaABAMlw_fsi_RaABAMlw_fsi_17020011"
"RaABAMlw_fsi",14,"C","E","Grow w/o fire","None",0,0,1,12200.5309850483,"2011_RaABAMlw_fsi_RaABAMlw_fsi_17020011"
"RaABAMlw_fsi",20,"A","E","Grow w/o fire","Grow w/o fire",0,0,1,2458.58895611824,"2011_RaABAMlw_fsi_RaABAMlw_fsi_17020011"
"RaABAMlw_fsi",12,"A","B","Grow w/o fire","None",0,0,1,4669.06627418808,"2011_RaABAMlw_fsi_RaABAMlw_fsi_17030001"
"RaABAMlw_fsi",14,"C","E","Grow w/o fire","None",0,0,1,36915.6189355497,"2011_RaABAMlw_fsi_RaABAMlw_fsi_17030001"
"RaABAMlw_fsi",15,"D","E","Grow w/o fire","None",0,0,1,1345.47681660027,"2011_RaABAMlw_fsi_RaABAMlw_fsi_17030001"
"RaABAMlw_fsi",20,"A","E","Grow w/o fire","Grow w/o fire",0,0,1,8325.5552921572,"2011_RaABAMlw_fsi_RaABAMlw_fsi_17030001"
"RaABAMlw_fsi",7,"C","A","Regen / high fire","None",1,0,0,2201.62015372963,"2011_RaABAMlw_fsi_RaABAMlw_fsi_17030002"
"RaABAMlw_fsi",11,"C","D","Grow w/ fire","None",0,0,1,907.492796973849,"2011_RaABAMlw_fsi_RaABAMlw_fsi_17030002"
"RaABAMlw_fsi",14,"C","E","Grow w/o fire","None",0,0,1,10113.5766335624,"2011_RaABAMlw_fsi_RaABAMlw_fsi_17030002"
"RaABAMlw_fsi",6,"B","A","Regen / high fire","None",1,0,0,1201.62184231878,"2011_RaABAMlw_fsi_RaABAMlw_fsi_17070105A"
"RaABAMlw_fsi",7,"C","A","Regen / high fire","None",1,0,0,457.78869012453,"2011_RaABAMlw_fsi_RaABAMlw_fsi_17070105A"
"RaABAMlw_fsi",14,"C","E","Grow w/o fire","None",0,0,1,9378.78306982597,"2011_RaABAMlw_fsi_RaABAMlw_fsi_17070105A"
"RaABAMlw_fsi",15,"D","E","Grow w/o fire","None",0,0,1,4004.03337666069,"2011_RaABAMlw_fsi_RaABAMlw_fsi_17070105A"
"RaABLA_faf",1,"B","A","Regen / high fire","None",1,0,0,480.73903473857,"2011_RaABLA_faf_RaABLA_faf_WNE"
"RaABLA_faf",7,"B","C","Thin / low fire","None",1,0,0,11.5792053829614,"2011_RaABLA_faf_RaABLA_faf_WNE"
"RaABLA_faf",10,"B","E","Grow w/o fire","None",0,0,1,2115.24803373464,"2011_RaABLA_faf_RaABLA_faf_WNE"
"RaABLA_faf",18,"B","D","Thin / low fire","Grow w/ fire",0,1,0,59.4911549222879,"2011_RaABLA_faf_RaABLA_faf_WNE"
"RaDFHEdy_fwi",4,"D","C","Overstory removal","None",1,0,0,483.929603132744,"2011_RaDFHEdy_fwi_RaDFHEdy_fwi_17070105B"
"RaDFHEdy_fwi",8,"D","A","Regen / high fire","None",1,0,0,454.064646465113,"2011_RaDFHEdy_fwi_RaDFHEdy_fwi_17070105B"
"RaDFHEdy_fwi",17,"D","B","Regen / high fire","Grow w/o fire",0,1,0,618.689899361281,"2011_RaDFHEdy_fwi_RaDFHEdy_fwi_17070105B"
"RaDFHEdy_fwi",18,"E","B","Regen / high fire","Grow w/o fire",0,1,0,912.389426870421,"2011_RaDFHEdy_fwi_RaDFHEdy_fwi_17070105B"
"RaMCONdy_fdd",1,"B","C","Thin / low fire","None",1,0,0,1882.98342054875,"2011_RaMCONdy_fdd_RaMCONdy_fdd_1701021405"
"RaMCONdy_fdd",3,"B","D","Thin / low fire","Grow w/ fire",0,1,0,2504.23389947844,"2011_RaMCONdy_fdd_RaMCONdy_fdd_1701021405"
"RaMCONdy_fdd",6,"B","A","Regen / high fire","None",1,0,0,763.927073528361,"2011_RaMCONdy_fdd_RaMCONdy_fdd_1701021405"
"RaMCONdy_fdd",13,"B","E","Grow w/o fire","None",0,0,1,671.7053960222,"2011_RaMCONdy_fdd_RaMCONdy_fdd_1701021405"
"RaMCONdy_fdd",1,"B","C","Thin / low fire","None",1,0,0,1558.76198877106,"2011_RaMCONdy_fdd_RaMCONdy_fdd_1701021601"
"RaMCONdy_fdd",3,"B","D","Thin / low fire","Grow w/ fire",0,1,0,3981.89716377617,"2011_RaMCONdy_fdd_RaMCONdy_fdd_1701021601"
"RaMCONdy_fdd",19,"A","D","Grow w/ fire","Grow w/ fire",0,0,1,10250.8421365376,"2011_RaMCONdy_fdd_RaMCONdy_fdd_1701021601"
"RaMCONdy_fdd",20,"A","E","Grow w/o fire","Grow w/o fire",0,0,1,2196.5421744654,"2011_RaMCONdy_fdd_RaMCONdy_fdd_1701021601"
"RaMCONdy_fdd",3,"B","D","Thin / low fire","Grow w/ fire",0,1,0,26697.6726179608,"2011_RaMCONdy_fdd_RaMCONdy_fdd_1701021602"
"RaMCONdy_fdd",19,"A","D","Grow w/ fire","Grow w/ fire",0,0,1,13132.8636109613,"2011_RaMCONdy_fdd_RaMCONdy_fdd_1701021602"
"RaMCONdy_fdd",20,"A","E","Grow w/o fire","Grow w/o fire",0,0,1,849.014814460463,"2011_RaMCONdy_fdd_RaMCONdy_fdd_1701021602"
"RaMCONdy_fdd",3,"B","D","Thin / low fire","Grow w/ fire",0,1,0,10558.1072153494,"2011_RaMCONdy_fdd_RaMCONdy_fdd_1701021603"
"RaMCONdy_fdd",6,"B","A","Regen / high fire","None",1,0,0,1028.78602195972,"2011_RaMCONdy_fdd_RaMCONdy_fdd_1701021603"
"RaMCONdy_fdd",13,"B","E","Grow w/o fire","None",0,0,1,2831.97890972093,"2011_RaMCONdy_fdd_RaMCONdy_fdd_1701021603"
"RaMCONdy_fdd",1,"B","C","Thin / low fire","None",1,0,0,2057.31258216512,"2011_RaMCONdy_fdd_RaMCONdy_fdd_1701021604"
"RaMCONdy_fdd",2,"E","D","Thin / low fire","None",1,0,0,842.774084091704,"2011_RaMCONdy_fdd_RaMCONdy_fdd_1701021604"
"RaMCONdy_fdd",10,"A","C","Grow w/ fire","None",0,0,1,204.73458451119,"2011_RaMCONdy_fdd_RaMCONdy_fdd_1701021604"
"RaMCONdy_fdd",19,"A","D","Grow w/ fire","Grow w/ fire",0,0,1,434.382533158252,"2011_RaMCONdy_fdd_RaMCONdy_fdd_1701021604"
"RaMCONdy_fdd",1,"B","C","Thin / low fire","None",1,0,0,2394.69275034509,"2011_RaMCONdy_fdd_RaMCONdy_fdd_1701021609"
"RaMCONdy_fdd",3,"B","D","Thin / low fire","Grow w/ fire",0,1,0,4760.71570624375,"2011_RaMCONdy_fdd_RaMCONdy_fdd_1701021609"
"RaMCONdy_fdd",19,"A","D","Grow w/ fire","Grow w/ fire",0,0,1,726.434683515281,"2011_RaMCONdy_fdd_RaMCONdy_fdd_1701021609"
"RaMCONdy_fdd",20,"A","E","Grow w/o fire","Grow w/o fire",0,0,1,1471.80681738798,"2011_RaMCONdy_fdd_RaMCONdy_fdd_1701021609"
"RaMCONdy_fdd",1,"B","C","Thin / low fire","None",1,0,0,1648.21512832139,"2011_RaMCONdy_fdd_RaMCONdy_fdd_1701021610"
"RaMCONdy_fdd",3,"B","D","Thin / low fire","Grow w/ fire",0,1,0,2192.0087840034,"2011_RaMCONdy_fdd_RaMCONdy_fdd_1701021610"
"RaMCONdy_fdd",6,"B","A","Regen / high fire","None",1,0,0,668.681490119967,"2011_RaMCONdy_fdd_RaMCONdy_fdd_1701021610"
"RaMCONdy_fdd",13,"B","E","Grow w/o fire","None",0,0,1,587.957909462771,"2011_RaMCONdy_fdd_RaMCONdy_fdd_1701021610"
"RaMCONdy_fdd",1,"B","C","Thin / low fire","None",1,0,0,1431.12137244342,"2011_RaMCONdy_fdd_RaMCONdy_fdd_1701030503"
"RaMCONdy_fdd",2,"E","D","Thin / low fire","None",1,0,0,4172.30490879043,"2011_RaMCONdy_fdd_RaMCONdy_fdd_1701030503"
"RaMCONdy_fdd",3,"B","D","Thin / low fire","Grow w/ fire",0,1,0,6195.50655221076,"2011_RaMCONdy_fdd_RaMCONdy_fdd_1701030503"
"RaMCONdy_fdd",6,"B","A","Regen / high fire","None",1,0,0,3162.74445048683,"2011_RaMCONdy_fdd_RaMCONdy_fdd_1701030503"
"RaMCONdy_fdd",7,"C","A","Regen / high fire","None",1,0,0,2009.72894749892,"2011_RaMCONdy_fdd_RaMCONdy_fdd_1701030504"
"RaMCONdy_fdd",11,"C","D","Grow w/ fire","None",0,0,1,6867.34138304917,"2011_RaMCONdy_fdd_RaMCONdy_fdd_1701030504"
"RaMCONdy_fdd",15,"C","E","Grow w/o fire","Grow w/o fire",0,0,1,1842.01254694356,"2011_RaMCONdy_fdd_RaMCONdy_fdd_1701030504"
"RaMCONdy_fdd",16,"C","B","Regen / high fire","Grow w/o fire",0,1,0,32.5651826558154,"2011_RaMCONdy_fdd_RaMCONdy_fdd_1701030504"
"RaMCONdy_fdd",3,"B","D","Thin / low fire","Grow w/ fire",0,1,0,24569.6288798928,"2011_RaMCONdy_fdd_RaMCONdy_fdd_1701030702"
"RaMCONdy_fdd",13,"B","E","Grow w/o fire","None",0,0,1,949.182570791026,"2011_RaMCONdy_fdd_RaMCONdy_fdd_1701030702"
"RaMCONdy_fdd",15,"C","E","Grow w/o fire","Grow w/o fire",0,0,1,5641.07734874928,"2011_RaMCONdy_fdd_RaMCONdy_fdd_1701030702"
"RaMCONdy_fdd",1,"B","C","Thin / low fire","None",1,0,0,6854.64868397917,"2011_RaMCONdy_fdd_RaMCONdy_fdd_1701030703"
"RaMCONdy_fdd",3,"B","D","Thin / low fire","Grow w/ fire",0,1,0,9116.19476629987,"2011_RaMCONdy_fdd_RaMCONdy_fdd_1701030703"
"RaMCONdy_fdd",13,"B","E","Grow w/o fire","None",0,0,1,1988.56369020155,"2011_RaMCONdy_fdd_RaMCONdy_fdd_1701030703"
"RaMCONdy_fdd",20,"A","E","Grow w/o fire","Grow w/o fire",0,0,1,456.654073597707,"2011_RaMCONdy_fdd_RaMCONdy_fdd_1701030703"
"RaMCONdy_fdd",3,"B","D","Thin / low fire","Grow w/ fire",0,1,0,16998.3967312413,"2011_RaMCONdy_fdd_RaMCONdy_fdd_1701030704"
"RaMCONdy_fdd",13,"B","E","Grow w/o fire","None",0,0,1,2977.57414566644,"2011_RaMCONdy_fdd_RaMCONdy_fdd_1701030704"
"RaMCONdy_fdd",15,"C","E","Grow w/o fire","Grow w/o fire",0,0,1,1581.8700861519,"2011_RaMCONdy_fdd_RaMCONdy_fdd_1701030704"
"RaMCONdy_fdd",2,"E","D","Thin / low fire","None",1,0,0,1389.71317547121,"2011_RaMCONdy_fdd_RaMCONdy_fdd_1701030801"
"RaMCONdy_fdd",3,"B","D","Thin / low fire","Grow w/ fire",0,1,0,24674.8949854796,"2011_RaMCONdy_fdd_RaMCONdy_fdd_1701030801"
"RaMCONdy_fdd",11,"C","D","Grow w/ fire","None",0,0,1,9570.0276644208,"2011_RaMCONdy_fdd_RaMCONdy_fdd_1701030801"
"RaMCONdy_fdd",1,"B","C","Thin / low fire","None",1,0,0,2774.67630048554,"2011_RaMCONdy_fdd_RaMCONdy_fdd_1701030802"
"RaMCONdy_fdd",3,"B","D","Thin / low fire","Grow w/ fire",0,1,0,4207.53494292258,"2011_RaMCONdy_fdd_RaMCONdy_fdd_1701030802"
