"type","REST_ACRES","YEAR","BpS_Code","MAP_ZONE","AREA_STRATA","REST_PCT"
"active",94208.0206105152,2002,"Na0710412_fmh","WEC",835866.585157539,0.112707006456969
"both",58990.9755762709,2002,"Na0710412_fmh","WEC",835866.585157539,0.0705746307171169
"passive",33398.5926777356,2002,"Na0710412_fmh","WEC",835866.585157539,0.0399568463087214
"both",4394.24837809568,2002,"Na1010471_frn","WNE",561306.345744507,0.00782860983384613
"passive",193218.906098001,2002,"Na1010471_frn","WNE",561306.345744507,0.34423075306893
"active",2120.17812004871,2002,"RaABAMlw_fsi","WEC",192594.360415861,0.0110085161137154
"both",13550.3430796219,2002,"RaABAMlw_fsi","WEC",192594.360415861,0.0703569047939059
"passive",100893.43248581,2002,"RaABAMlw_fsi","WEC",192594.360415861,0.523864937
"active",11812.6373364028,2002,"RaMCONdy_fdd","OBM",101251.646398225,0.116666126
"both",183.626239596904,2002,"RaMCONdy_fdd","OBM",101251.646398225,0.001813563
"passive",49109.6865135344,2002,"RaMCONdy_fdd","OBM",101251.646398225,0.485026054
"both",1204747.76936263,2002,"RaMCONdy_fdd","WNE",3200960.07924482,0.376370757378161
"passive",102699.554943575,2002,"RaMCONdy_fdd","WNE",3200960.07924482,0.0320839849298601
"active",36663.399310876,2002,"RaMCONdy_fmd","WEC",1676017.3949224,0.021875309541506
"both",202033.173246644,2002,"RaMCONdy_fmd","WEC",1676017.3949224,0.120543601670672
"passive",223788.449290385,2002,"RaMCONdy_fmd","WEC",1676017.3949224,0.133523941916334
"passive",100863.868986391,2002,"RaMCONdy_fmd","WNE",151507.222849471,0.665736372757643
"both",22485.9065846549,2002,"RaMCONms_fcm","OBM",130144.020238877,0.172777101424886
"passive",26561.7140430205,2002,"RaMCONms_fcm","OBM",130144.020238877,0.204094771271604
"active",14886.8072716705,2002,"RaMCONms_fmm","WEC",956472.920556148,0.0155642746927058
"both",131797.990320021,2002,"RaMCONms_fmm","WEC",956472.920556148,0.1377958408309
"passive",124505.152088832,2002,"RaMCONms_fmm","WEC",956472.920556148,0.130171120805425
"passive",31405.4824860079,2002,"RaPIPOm_fpd","WCB",67693.2728209273,0.463938013
"active",24229.7977903941,2002,"RaPIPOm_fpd","WEC",56115.5488926017,0.431784029
"both",3062.52852703329,2002,"RaPIPOm_fpd","WEC",56115.5488926017,0.0545754
"passive",958.006895316452,2002,"RaPIPOm_fpd","WEC",56115.5488926017,0.01707204
"active",75028.0116965206,2002,"RaPIPOm_fpd","WNE",310530.238096534,0.24161257904036
"passive",113525.051199178,2002,"RaPIPOm_fpd","WNE",310530.238096534,0.365584530173473
"active",7797.99824192038,2002,"RaSAWD_fal","WEC",44997.4075122635,0.173298833711589
"passive",7044.15696494665,2002,"RaSAWD_fal","WEC",44997.4075122635,0.156545840180389
"active",145717.02007549,2002,"RaSAWD_fal","WNE",826111.554351064,0.176389035243497
"passive",228485.909165213,2002,"RaSAWD_fal","WNE",826111.554351064,0.276579970297953
"both",50408.2425622867,2002,"RaSPFI_fcd","WNE",659097.630933681,0.0764806914733985
