"BpS_Code","Order","Donate","Receive","Primary","Secondary","ActiveOnly","ActivePassive","PassiveOnly","REST_ACRES","strataID"
"Na0710412_fmh",2,"C","A","Regen / high fire","None",1,0,0,94208.0206105152,"2002_Na0710412_fmh_WEC"
"Na0710412_fmh",11,"D","E","Grow w/o fire","None",0,0,1,9425.94495643071,"2002_Na0710412_fmh_WEC"
"Na0710412_fmh",14,"C","B","Regen / high fire","Grow w/o fire",0,1,0,58990.9755762709,"2002_Na0710412_fmh_WEC"
"Na0710412_fmh",19,"C","E","Grow w/o fire","Grow w/o fire",0,0,1,23972.6477213049,"2002_Na0710412_fmh_WEC"
"Na1010471_frn",3,"B","D","Thin / low fire","Grow w/ fire",0,1,0,4394.24837809568,"2002_Na1010471_frn_WNE"
"Na1010471_frn",11,"C","D","Grow w/ fire","None",0,0,1,37923.2017017665,"2002_Na1010471_frn_WNE"
"Na1010471_frn",19,"A","E","Grow w/o fire","Grow w/o fire",0,0,1,41374.1757907138,"2002_Na1010471_frn_WNE"
"Na1010471_frn",20,"C","E","Grow w/o fire","Grow w/o fire",0,0,1,113921.52860552,"2002_Na1010471_frn_WNE"
"RaABAMlw_fsi",7,"C","A","Regen / high fire","None",1,0,0,2120.17812004871,"2002_RaABAMlw_fsi_WEC"
"RaABAMlw_fsi",14,"C","E","Grow w/o fire","None",0,0,1,100893.43248581,"2002_RaABAMlw_fsi_WEC"
"RaABAMlw_fsi",16,"C","B","Regen / high fire","Grow w/o fire",0,1,0,1179.16184490202,"2002_RaABAMlw_fsi_WEC"
"RaABAMlw_fsi",17,"D","B","Regen / high fire","Grow w/o fire",0,1,0,12371.1812347199,"2002_RaABAMlw_fsi_WEC"
"RaMCONdy_fdd",7,"C","A","Regen / high fire","None",1,0,0,11812.6373364028,"2002_RaMCONdy_fdd_OBM"
"RaMCONdy_fdd",11,"C","D","Grow w/ fire","None",0,0,1,38723.0769599976,"2002_RaMCONdy_fdd_OBM"
"RaMCONdy_fdd",15,"C","E","Grow w/o fire","Grow w/o fire",0,0,1,10386.6095535367,"2002_RaMCONdy_fdd_OBM"
"RaMCONdy_fdd",16,"C","B","Regen / high fire","Grow w/o fire",0,1,0,183.626239596904,"2002_RaMCONdy_fdd_OBM"
"RaMCONdy_fdd",3,"B","D","Thin / low fire","Grow w/ fire",0,1,0,1204747.76936263,"2002_RaMCONdy_fdd_WNE"
"RaMCONdy_fdd",11,"C","D","Grow w/ fire","None",0,0,1,2054.31490863697,"2002_RaMCONdy_fdd_WNE"
"RaMCONdy_fdd",15,"C","E","Grow w/o fire","Grow w/o fire",0,0,1,44457.3387918763,"2002_RaMCONdy_fdd_WNE"
"RaMCONdy_fdd",20,"A","E","Grow w/o fire","Grow w/o fire",0,0,1,56187.9012430615,"2002_RaMCONdy_fdd_WNE"
