"type","REST_ACRES","YEAR","BpS_Code","MAP_ZONE","AREA_STRATA","REST_PCT"
"passive",100707.876123008,2011,"Na0710412_fmh","WEC",628993.674984818,0.160109521173546
"passive",179372.457415166,2011,"Na1010471_frn","WNE",505280.056374755,0.354996115821617
"passive",86906.6878675155,2011,"RaABAMlw_fsi","WEC",236993.488186646,0.366704961104549
"active",492.318240121531,2011,"RaABLA_faf","WNE",3716.14215603071,0.132481003
"both",59.4911549222879,2011,"RaABLA_faf","WNE",3716.14215603071,0.016008848
"passive",2115.24803373464,2011,"RaABLA_faf","WNE",3716.14215603071,0.56920536
"active",937.994249597857,2011,"RaDFHEdy_fwi","OEC",10774.1942314709,0.087059341
"both",1531.0793262317,2011,"RaDFHEdy_fwi","OEC",10774.1942314709,0.142106156
"active",1350.25320114521,2011,"RaMCONdy_fdd","OBM",61750.5357855111,0.0218662588748263
"both",8461.19852882109,2011,"RaMCONdy_fdd","OBM",61750.5357855111,0.137022269057079
"passive",13189.5053792451,2011,"RaMCONdy_fdd","OBM",61750.5357855111,0.213593375530514
"both",826996.657794888,2011,"RaMCONdy_fdd","WNE",2743239.20184676,0.301467206081828
"passive",248263.718908008,2011,"RaMCONdy_fdd","WNE",2743239.20184676,0.0905002081994438
"active",4586.08384999814,2011,"RaMCONdy_fmd","OEC",5829.68906569092,0.786677265
"both",10.5725083910416,2011,"RaMCONdy_fmd","OEC",5829.68906569092,0.001813563
"passive",4899.1529512036,2011,"RaMCONdy_fmd","WCB",6326.32971296359,0.774406832
"both",299392.734432071,2011,"RaMCONdy_fmd","WEC",1321086.42262771,0.226626153523373
"passive",168135.038159246,2011,"RaMCONdy_fmd","WEC",1321086.42262771,0.12727027943018
"active",9083.87792142653,2011,"RaMCONdy_fmd","WNE",77107.2687955834,0.117808321618919
"both",8364.05171861451,2011,"RaMCONdy_fmd","WNE",77107.2687955834,0.108472934513971
"passive",18299.7767544701,2011,"RaMCONdy_fmd","WNE",77107.2687955834,0.237328815302538
"both",79780.7100791485,2011,"RaMCONms_fcm","OBM",282573.85471843,0.282335781414193
"passive",15810.2958603639,2011,"RaMCONms_fcm","OBM",282573.85471843,0.0559510216404065
"active",691.48475836623,2011,"RaMCONms_fmm","WCB",5568.08173436669,0.12418725
"both",2312.38816845546,2011,"RaMCONms_fmm","WCB",5568.08173436669,0.415293503
"passive",1363.05666442993,2011,"RaMCONms_fmm","WCB",5568.08173436669,0.24479825
"both",188618.058003564,2011,"RaMCONms_fmm","WEC",762544.01379724,0.247353666923832
"passive",20948.7238100174,2011,"RaMCONms_fmm","WEC",762544.01379724,0.0274721503689985
"passive",452.824108499726,2011,"RaOAPI_fop","WEC",679.68592145895,0.666225523
"passive",158.772836384873,2011,"RaPIPOm_fdp","OBM",196.841217437291,0.806603609
