"BpS_Code","Order","Donate","Receive","Primary","Secondary","ActiveOnly","ActivePassive","PassiveOnly","REST_ACRES","strataID"
"Na0710412_fmh",11,"D","E","Grow w/o fire","None",0,0,1,77760.8922560147,"2011_Na0710412_fmh_WEC"
"Na0710412_fmh",19,"C","E","Grow w/o fire","Grow w/o fire",0,0,1,22946.9838669932,"2011_Na0710412_fmh_WEC"
"Na1010471_frn",11,"C","D","Grow w/ fire","None",0,0,1,31915.8867179607,"2011_Na1010471_frn_WNE"
"Na1010471_frn",12,"A","B","Grow w/o fire","None",0,0,1,1478.48193954054,"2011_Na1010471_frn_WNE"
"Na1010471_frn",19,"A","E","Grow w/o fire","Grow w/o fire",0,0,1,48688.9666388816,"2011_Na1010471_frn_WNE"
"Na1010471_frn",20,"C","E","Grow w/o fire","Grow w/o fire",0,0,1,97289.1221187827,"2011_Na1010471_frn_WNE"
"RaABAMlw_fsi",12,"A","B","Grow w/o fire","None",0,0,1,958.269569195654,"2011_RaABAMlw_fsi_WEC"
"RaABAMlw_fsi",14,"C","E","Grow w/o fire","None",0,0,1,76587.9868647805,"2011_RaABAMlw_fsi_WEC"
"RaABAMlw_fsi",15,"D","E","Grow w/o fire","None",0,0,1,1839.11213747284,"2011_RaABAMlw_fsi_WEC"
"RaABAMlw_fsi",20,"A","E","Grow w/o fire","Grow w/o fire",0,0,1,7521.31929606652,"2011_RaABAMlw_fsi_WEC"
"RaABLA_faf",1,"B","A","Regen / high fire","None",1,0,0,480.73903473857,"2011_RaABLA_faf_WNE"
"RaABLA_faf",7,"B","C","Thin / low fire","None",1,0,0,11.5792053829614,"2011_RaABLA_faf_WNE"
"RaABLA_faf",10,"B","E","Grow w/o fire","None",0,0,1,2115.24803373464,"2011_RaABLA_faf_WNE"
"RaABLA_faf",18,"B","D","Thin / low fire","Grow w/ fire",0,1,0,59.4911549222879,"2011_RaABLA_faf_WNE"
"RaDFHEdy_fwi",4,"D","C","Overstory removal","None",1,0,0,483.929603132744,"2011_RaDFHEdy_fwi_OEC"
"RaDFHEdy_fwi",8,"D","A","Regen / high fire","None",1,0,0,454.064646465113,"2011_RaDFHEdy_fwi_OEC"
"RaDFHEdy_fwi",17,"D","B","Regen / high fire","Grow w/o fire",0,1,0,618.689899361281,"2011_RaDFHEdy_fwi_OEC"
"RaDFHEdy_fwi",18,"E","B","Regen / high fire","Grow w/o fire",0,1,0,912.389426870421,"2011_RaDFHEdy_fwi_OEC"
"RaMCONdy_fdd",3,"B","D","Thin / low fire","Grow w/ fire",0,1,0,8461.19852882109,"2011_RaMCONdy_fdd_OBM"
"RaMCONdy_fdd",7,"C","A","Regen / high fire","None",1,0,0,1350.25320114521,"2011_RaMCONdy_fdd_OBM"
"RaMCONdy_fdd",11,"C","D","Grow w/ fire","None",0,0,1,13189.5053792451,"2011_RaMCONdy_fdd_OBM"
"RaMCONdy_fdd",3,"B","D","Thin / low fire","Grow w/ fire",0,1,0,826996.657794888,"2011_RaMCONdy_fdd_WNE"
"RaMCONdy_fdd",11,"C","D","Grow w/ fire","None",0,0,1,125687.387224985,"2011_RaMCONdy_fdd_WNE"
"RaMCONdy_fdd",19,"A","D","Grow w/ fire","Grow w/ fire",0,0,1,26666.7598333347,"2011_RaMCONdy_fdd_WNE"
"RaMCONdy_fdd",20,"A","E","Grow w/o fire","Grow w/o fire",0,0,1,95909.5718496884,"2011_RaMCONdy_fdd_WNE"
"RaMCONdy_fmd",2,"E","D","Thin / low fire","None",1,0,0,2229.52916198273,"2011_RaMCONdy_fmd_OEC"
"RaMCONdy_fmd",5,"E","C","Overstory removal","None",1,0,0,1676.42744893669,"2011_RaMCONdy_fmd_OEC"
"RaMCONdy_fmd",9,"E","A","Regen / high fire","None",1,0,0,680.127239078719,"2011_RaMCONdy_fmd_OEC"
"RaMCONdy_fmd",18,"E","B","Regen / high fire","Grow w/o fire",0,1,0,10.5725083910416,"2011_RaMCONdy_fmd_OEC"
"RaMCONdy_fmd",10,"A","C","Grow w/ fire","None",0,0,1,1819.24501672869,"2011_RaMCONdy_fmd_WCB"
"RaMCONdy_fmd",12,"A","B","Grow w/o fire","None",0,0,1,11.4731974932314,"2011_RaMCONdy_fmd_WCB"
"RaMCONdy_fmd",19,"A","D","Grow w/ fire","Grow w/ fire",0,0,1,2419.46635994359,"2011_RaMCONdy_fmd_WCB"
"RaMCONdy_fmd",20,"A","E","Grow w/o fire","Grow w/o fire",0,0,1,648.968377038094,"2011_RaMCONdy_fmd_WCB"
"RaMCONdy_fmd",3,"B","D","Thin / low fire","Grow w/ fire",0,1,0,299392.734432071,"2011_RaMCONdy_fmd_WEC"
"RaMCONdy_fmd",11,"C","D","Grow w/ fire","None",0,0,1,96621.4669673971,"2011_RaMCONdy_fmd_WEC"
"RaMCONdy_fmd",13,"B","E","Grow w/o fire","None",0,0,1,2.00088834390044e-11,"2011_RaMCONdy_fmd_WEC"
"RaMCONdy_fmd",19,"A","D","Grow w/ fire","Grow w/ fire",0,0,1,70097.3015009499,"2011_RaMCONdy_fmd_WEC"
"RaMCONdy_fmd",20,"A","E","Grow w/o fire","Grow w/o fire",0,0,1,1416.2696908988,"2011_RaMCONdy_fmd_WEC"
"RaMCONdy_fmd",1,"B","C","Thin / low fire","None",1,0,0,9083.87792142653,"2011_RaMCONdy_fmd_WNE"
"RaMCONdy_fmd",3,"B","D","Thin / low fire","Grow w/ fire",0,1,0,8364.05171861451,"2011_RaMCONdy_fmd_WNE"
"RaMCONdy_fmd",13,"B","E","Grow w/o fire","None",0,0,1,4.54747350886464e-13,"2011_RaMCONdy_fmd_WNE"
"RaMCONdy_fmd",19,"A","D","Grow w/ fire","Grow w/ fire",0,0,1,10389.9488829367,"2011_RaMCONdy_fmd_WNE"
"RaMCONdy_fmd",20,"A","E","Grow w/o fire","Grow w/o fire",0,0,1,7909.82787153348,"2011_RaMCONdy_fmd_WNE"
