"strataID","YEAR","BpS_Code","SCLASS","sclass","PERC_AREA","AREA_TOTAL","PERC_AREA_VAR","AREA_TOTAL_VAR","nPlots_AREA","N","AREA_STRATA","avg","low","high","departure"
"2002_Na0710412_fmh",2002,"Na0710412_fmh","A","A",0.320113352258236,105566.084658307,7.59843646816577e-05,46777090.9572244,3,323,835866.585157539,123298.994262425,105566.084658307,141031.903866542,0
"2002_Na0710412_fmh",2002,"Na0710412_fmh","B","B",1.29274271336081,168562.676080292,0.00511676836355836,4376303851.07412,5,915,835866.585157539,189668.479544036,168562.676080292,210774.267126316,0
"2002_Na0710412_fmh",2002,"Na0710412_fmh","C","C",3.68515831257473,182892.874791956,0.0323829948073329,15862794419.9531,11,949,835866.585157539,133261.65799972,114245.928065897,152277.380410745,30615.4943812113
"2002_Na0710412_fmh",2002,"Na0710412_fmh","D","D",1.75984548347113,53015.8044253894,0.00237067084155412,1119116296.39556,4,323,835866.585157539,41177.6909495106,29339.5783094985,53015.8044253894,0
"2002_Na0710412_fmh",2002,"Na0710412_fmh","E","E",2.99294383510714,325829.145201595,0.0217238426335241,24376640077.3295,3,949,835866.585157539,348459.758222515,325829.145201595,371090.403842231,0
"2002_Na1010471_frn",2002,"Na1010471_frn","A","A",1.42185239629384,79140.7443998682,0.00616885398376881,6235365095.7426,3,915,561306.345744507,67843.5611533639,56546.3835199231,79140.7443998682,0
"2002_Na1010471_frn",2002,"Na1010471_frn","B","B",2.55524724518737,212186.191774231,0.0194033231860112,12951027778.7833,7,915,561306.345744507,196039.662974753,179893.133613968,212186.191774231,0
"2002_Na1010471_frn",2002,"Na1010471_frn","C","C",5.28401158106191,35639.3016569971,0.0205409544470809,3400963923.49896,11,323,561306.345744507,27796.9881564803,19954.6752172697,35639.3016569971,0
"2002_Na1010471_frn",2002,"Na1010471_frn","D",NA,0,42317.4500798622,NA,NA,NA,NA,561306.345744507,52438.6735184716,42317.4500798622,62559.8963957746,0
"2002_Na1010471_frn",2002,"Na1010471_frn","E","E",1.03510493809338,192022.657833548,0.000847215970999175,802558301.218708,2,323,561306.345744507,217187.467799727,200575.910164152,233799.004666968,-8553.25233060363
"2002_RaABAMlw_fsi",2002,"RaABAMlw_fsi","A","A",0.226408784753876,21310.3814746177,0.000157472079658439,109071214.552372,4,915,192594.360415861,25334.6157908346,21310.3814746177,29358.8501070515,0
"2002_RaABAMlw_fsi",2002,"RaABAMlw_fsi","B","B",0.25108188432901,34831.8159878394,0.000198814879637497,455167066.637572,1,915,192594.360415861,40104.143997343,34831.8159878394,45376.4681549594,0
"2002_RaABAMlw_fsi",2002,"RaABAMlw_fsi","C","C",1.31828143235132,7543.5667238661,0.00525841968045671,4755884206.61915,4,915,192594.360415861,5706.02142741169,3868.47555317419,7543.5667238661,0
"2002_RaABAMlw_fsi",2002,"RaABAMlw_fsi","D","D",1.13824048025343,28015.1637437273,0.000954918270562287,619369575.701974,3,323,192594.360415861,14788.7485458948,11266.7864548485,18310.7098665636,9704.45387716366
"2002_RaABAMlw_fsi",2002,"RaABAMlw_fsi","E","E",0,100893.43248581,0,0,0,949,192594.360415861,106660.830654377,100893.43248581,112428.228822943,0
"2002_RaMCONdy_fdd",2002,"RaMCONdy_fdd","A","A",6.80559071897483,537116.747319887,0.140406834781469,21415183899.1311,29,915,3302211.72564304,461186.499942324,385256.249262549,537116.747319887,0
