"type","REST_ACRES","YEAR","BpS_Code","AREA_STRATA","REST_PCT"
"active",94208.0206105152,2002,"Na0710412_fmh",835866.585157539,0.112707006456969
"both",58990.9755762709,2002,"Na0710412_fmh",835866.585157539,0.0705746307171169
"passive",33398.5926777356,2002,"Na0710412_fmh",835866.585157539,0.0399568463087214
"both",4394.24837809568,2002,"Na1010471_frn",561306.345744507,0.00782860983384613
"passive",193218.906098001,2002,"Na1010471_frn",561306.345744507,0.34423075306893
"active",2120.17812004871,2002,"RaABAMlw_fsi",192594.360415861,0.0110085161137154
"both",13550.3430796219,2002,"RaABAMlw_fsi",192594.360415861,0.0703569047939059
"passive",100893.43248581,2002,"RaABAMlw_fsi",192594.360415861,0.523864937
"both",1203602.47280583,2002,"RaMCONdy_fdd",3302211.72564304,0.364483737811044
"passive",152580.3416968,2002,"RaMCONdy_fdd",3302211.72564304,0.0462054993360816
"active",14895.3037804008,2002,"RaMCONdy_fmd",1827524.61777187,0.00815053522975863
"both",200319.416415698,2002,"RaMCONdy_fmd",1827524.61777187,0.109612431191175
"passive",262349.282477612,2002,"RaMCONdy_fmd",1827524.61777187,0.143554445136542
"both",22485.9065846549,2002,"RaMCONms_fcm",130144.020238877,0.172777101424886
"passive",26561.7140430205,2002,"RaMCONms_fcm",130144.020238877,0.204094771271604
"active",14886.8072716705,2002,"RaMCONms_fmm",956472.920556148,0.0155642746927058
"both",131797.990320021,2002,"RaMCONms_fmm",956472.920556148,0.1377958408309
"passive",124505.152088832,2002,"RaMCONms_fmm",956472.920556148,0.130171120805425
"active",59977.0032288447,2002,"RaPIPOm_fpd",434339.059810064,0.138087979596108
"passive",139654.070111474,2002,"RaPIPOm_fpd",434339.059810064,0.321532376509138
"active",153515.01831741,2002,"RaSAWD_fal",871108.961863326,0.17622940991106
"passive",235530.066130159,2002,"RaSAWD_fal",871108.961863326,0.270379569538986
"both",50408.2425622867,2002,"RaSPFI_fcd",659097.630933681,0.0764806914733985
"active",27931.3533761537,2003,"Na0710412_fmh",883662.684127303,0.0316086147778646
"passive",24755.425661737,2003,"Na0710412_fmh",883662.684127303,0.0280145649538039
"both",29392.4268295434,2003,"Na1010471_frn",683256.082387684,0.0430181707667053
"passive",255860.546512226,2003,"Na1010471_frn",683256.082387684,0.374472402233295
"passive",47665.7536929745,2003,"RaABAMlw_fsi",119548.92107606,0.398713374106057
"both",902082.247642142,2003,"RaMCONdy_fdd",3205417.94057021,0.281424221230157
"passive",399175.541278523,2003,"RaMCONdy_fdd",3205417.94057021,0.124531511546826
"both",257765.140859223,2003,"RaMCONdy_fmd",1709055.11466743,0.150823187998465
"passive",331633.909320909,2003,"RaMCONdy_fmd",1709055.11466743,0.194045181149961
"both",58564.3511435884,2003,"RaMCONms_fcm",294227.209453526,0.199044647340268
"passive",29177.5689705989,2003,"RaMCONms_fcm",294227.209453526,0.0991667936653139
"active",10738.3042613908,2003,"RaMCONms_fmm",964790.409067901,0.0111301938332547
"both",147681.428849543,2003,"RaMCONms_fmm",964790.409067901,0.153070996002355
"passive",77356.2025224262,2003,"RaMCONms_fmm",964790.409067901,0.0801792822517393
"passive",1053.91359677859,2003,"RaPIPOm_fdp",1306.606597118,0.806603609
"active",169710.564908292,2003,"RaPIPOm_fpd",604181.285943823,0.280893448467505
"passive",5485.11302671138,2003,"RaSAWD_fal",174076.470351588,0.0315097900114411
"active",154239.44652718,2003,"RaSPFI_fcd",1105940.11010019,0.13946455609898
"passive",137850.253735359,2003,"RaSPFI_fcd",1105940.11010019,0.124645315308141
"both",78222.8255072089,2004,"Na0710412_fmh",616850.970750074,0.126809925275942
"passive",219684.227098814,2004,"Na0710412_fmh",616850.970750074,0.356138253023553
"passive",168392.072601155,2004,"Na1010471_frn",495233.958801089,0.340025294325161
"passive",89792.888039462,2004,"RaABAMlw_fsi",275699.004445071,0.32569173842393
"active",3447.89689855532,2004,"RaABLA_faf",26025.5947681444,0.132481003
"both",416.639790752819,2004,"RaABLA_faf",26025.5947681444,0.016008848
"passive",14813.9080392158,2004,"RaABLA_faf",26025.5947681444,0.56920536
"both",889295.62827046,2004,"RaMCONdy_fdd",3761915.69543148,0.236394353374381
"passive",673606.79474024,2004,"RaMCONdy_fdd",3761915.69543148,0.179059513629792
"active",18692.5669749198,2004,"RaMCONdy_fmd",2128590.77633372,0.00878166305273379
"both",562515.322763017,2004,"RaMCONdy_fmd",2128590.77633372,0.26426654151527
"passive",96179.9137304379,2004,"RaMCONdy_fmd",2128590.77633372,0.0451847836605296
"active",4636.94900399613,2004,"RaMCONms_fcm",223828.185284784,0.0207165554154692
"both",5550.6868494556,2004,"RaMCONms_fcm",223828.185284784,0.0247988734858985
"passive",48328.1272765221,2004,"RaMCONms_fcm",223828.185284784,0.215916182383522
"active",39826.1526528138,2004,"RaMCONms_fmm",1058589.08012398,0.03762191902466
"both",338660.637548167,2004,"RaMCONms_fmm",1058589.08012398,0.319916995089825
"active",80129.1666464597,2004,"RaPIPOm_fpd",537501.821176691,0.149077014234188
"passive",172196.489506148,2004,"RaPIPOm_fpd",537501.821176691,0.320364476401546
"active",36574.1542203656,2004,"RaSAWD_fal",301136.348667438,0.121453801184116
"passive",95096.2498236748,2004,"RaSAWD_fal",301136.348667438,0.315791335866581
"active",156629.979213535,2004,"RaSPFI_fcd",1124202.59369747,0.13932540281586
"active",5579.90433585442,2005,"Na0710412_fmh",467605.132744256,0.0119329407337926
"both",13521.8764901495,2005,"Na0710412_fmh",467605.132744256,0.0289172969740366
"passive",135516.116476274,2005,"Na0710412_fmh",467605.132744256,0.289808872885899
"passive",291652.356147853,2005,"Na1010471_frn",721362.325997874,0.404307718377731
"both",502.532079742959,2005,"RaABAMlw_fsi",313413.171581664,0.00160341723102093
"passive",91375.0571130555,2005,"RaABAMlw_fsi",313413.171581664,0.291548235359491
"active",3678.12789468812,2005,"RaDFHEdy_fwi",42248.5152361551,0.087059341
"both",6287.60857895915,2005,"RaDFHEdy_fwi",42248.5152361551,0.148824368
"passive",22381.9029276758,2005,"RaDFHEdy_fwi",42248.5152361551,0.529767799
"both",1236680.43891591,2005,"RaMCONdy_fdd",3747019.2271329,0.330043793199903
