"BpS_Code","Order","Donate","Receive","Primary","Secondary","ActiveOnly","ActivePassive","PassiveOnly","REST_ACRES","strataID"
"Na0710412_fmh",2,"C","A","Regen / high fire","None",1,0,0,94208.0206105152,"2002_Na0710412_fmh"
"Na0710412_fmh",11,"D","E","Grow w/o fire","None",0,0,1,9425.94495643071,"2002_Na0710412_fmh"
"Na0710412_fmh",14,"C","B","Regen / high fire","Grow w/o fire",0,1,0,58990.9755762709,"2002_Na0710412_fmh"
"Na0710412_fmh",19,"C","E","Grow w/o fire","Grow w/o fire",0,0,1,23972.6477213049,"2002_Na0710412_fmh"
"Na1010471_frn",3,"B","D","Thin / low fire","Grow w/ fire",0,1,0,4394.24837809568,"2002_Na1010471_frn"
"Na1010471_frn",11,"C","D","Grow w/ fire","None",0,0,1,37923.2017017665,"2002_Na1010471_frn"
"Na1010471_frn",19,"A","E","Grow w/o fire","Grow w/o fire",0,0,1,41374.1757907138,"2002_Na1010471_frn"
"Na1010471_frn",20,"C","E","Grow w/o fire","Grow w/o fire",0,0,1,113921.52860552,"2002_Na1010471_frn"
"RaABAMlw_fsi",7,"C","A","Regen / high fire","None",1,0,0,2120.17812004871,"2002_RaABAMlw_fsi"
"RaABAMlw_fsi",14,"C","E","Grow w/o fire","None",0,0,1,100893.43248581,"2002_RaABAMlw_fsi"
"RaABAMlw_fsi",16,"C","B","Regen / high fire","Grow w/o fire",0,1,0,1179.16184490202,"2002_RaABAMlw_fsi"
"RaABAMlw_fsi",17,"D","B","Regen / high fire","Grow w/o fire",0,1,0,12371.1812347199,"2002_RaABAMlw_fsi"
"RaMCONdy_fdd",3,"B","D","Thin / low fire","Grow w/ fire",0,1,0,1203602.47280583,"2002_RaMCONdy_fdd"
"RaMCONdy_fdd",11,"C","D","Grow w/ fire","None",0,0,1,41922.6884254303,"2002_RaMCONdy_fdd"
"RaMCONdy_fdd",13,"B","E","Grow w/o fire","None",0,0,1,8.00355337560177e-11,"2002_RaMCONdy_fdd"
"RaMCONdy_fdd",15,"C","E","Grow w/o fire","Grow w/o fire",0,0,1,70938.7005672168,"2002_RaMCONdy_fdd"
"RaMCONdy_fdd",20,"A","E","Grow w/o fire","Grow w/o fire",0,0,1,39718.952704153,"2002_RaMCONdy_fdd"
"RaMCONdy_fmd",2,"E","D","Thin / low fire","None",1,0,0,14895.3037804008,"2002_RaMCONdy_fmd"
"RaMCONdy_fmd",3,"B","D","Thin / low fire","Grow w/ fire",0,1,0,200319.416415698,"2002_RaMCONdy_fmd"
"RaMCONdy_fmd",11,"C","D","Grow w/ fire","None",0,0,1,188027.567884332,"2002_RaMCONdy_fmd"
"RaMCONdy_fmd",19,"A","D","Grow w/ fire","Grow w/ fire",0,0,1,74321.7145932807,"2002_RaMCONdy_fmd"
"RaMCONms_fcm",12,"A","B","Grow w/o fire","None",0,0,1,26561.7140430205,"2002_RaMCONms_fcm"
"RaMCONms_fcm",17,"D","B","Regen / high fire","Grow w/o fire",0,1,0,13315.2269551058,"2002_RaMCONms_fcm"
"RaMCONms_fcm",18,"E","B","Regen / high fire","Grow w/o fire",0,1,0,9170.67962954906,"2002_RaMCONms_fcm"
"RaMCONms_fmm",7,"C","A","Regen / high fire","None",1,0,0,14886.8072716705,"2002_RaMCONms_fmm"
"RaMCONms_fmm",15,"C","E","Grow w/o fire","Grow w/o fire",0,0,1,124505.152088832,"2002_RaMCONms_fmm"
"RaMCONms_fmm",16,"C","B","Regen / high fire","Grow w/o fire",0,1,0,131797.990320021,"2002_RaMCONms_fmm"
"RaPIPOm_fpd",1,"B","C","Thin / low fire","None",1,0,0,44620.6523687493,"2002_RaPIPOm_fpd"
"RaPIPOm_fpd",2,"E","D","Thin / low fire","None",1,0,0,15356.3508600954,"2002_RaPIPOm_fpd"
"RaPIPOm_fpd",10,"A","C","Grow w/ fire","None",0,0,1,40738.8512150002,"2002_RaPIPOm_fpd"
"RaPIPOm_fpd",18,"A","D","Grow w/ fire","Grow w/ fire",0,0,1,98915.2188964741,"2002_RaPIPOm_fpd"
"RaSAWD_fal",1,"B","C","Thin / low fire","None",1,0,0,153515.01831741,"2002_RaSAWD_fal"
"RaSAWD_fal",3,"A","C","Grow w/ fire","None",0,0,1,235530.066130159,"2002_RaSAWD_fal"
"RaSPFI_fcd",20,"E","C","Regen / high fire","Grow w/o fire",0,1,0,50408.2425622867,"2002_RaSPFI_fcd"
"Na0710412_fmh",1,"B","A","Regen / high fire","None",1,0,0,27931.3533761537,"2003_Na0710412_fmh"
"Na0710412_fmh",10,"B","E","Grow w/o fire","None",0,0,1,24755.425661737,"2003_Na0710412_fmh"
"Na1010471_frn",3,"B","D","Thin / low fire","Grow w/ fire",0,1,0,29392.4268295434,"2003_Na1010471_frn"
"Na1010471_frn",11,"C","D","Grow w/ fire","None",0,0,1,22118.936577283,"2003_Na1010471_frn"
"Na1010471_frn",19,"A","E","Grow w/o fire","Grow w/o fire",0,0,1,79497.339470724,"2003_Na1010471_frn"
"Na1010471_frn",20,"C","E","Grow w/o fire","Grow w/o fire",0,0,1,154244.270464219,"2003_Na1010471_frn"
"RaABAMlw_fsi",12,"A","B","Grow w/o fire","None",0,0,1,5756.74986784341,"2003_RaABAMlw_fsi"
"RaABAMlw_fsi",14,"C","E","Grow w/o fire","None",0,0,1,30915.2910287295,"2003_RaABAMlw_fsi"
"RaABAMlw_fsi",15,"D","E","Grow w/o fire","None",0,0,1,9983.8467629721,"2003_RaABAMlw_fsi"
"RaABAMlw_fsi",20,"A","E","Grow w/o fire","Grow w/o fire",0,0,1,1009.86603342947,"2003_RaABAMlw_fsi"
"RaMCONdy_fdd",3,"B","D","Thin / low fire","Grow w/ fire",0,1,0,902082.247642142,"2003_RaMCONdy_fdd"
"RaMCONdy_fdd",11,"C","D","Grow w/ fire","None",0,0,1,201374.350227243,"2003_RaMCONdy_fdd"
"RaMCONdy_fdd",13,"B","E","Grow w/o fire","None",0,0,1,4.36557456851006e-11,"2003_RaMCONdy_fdd"
"RaMCONdy_fdd",15,"C","E","Grow w/o fire","Grow w/o fire",0,0,1,197801.19105128,"2003_RaMCONdy_fdd"
"RaMCONdy_fmd",3,"B","D","Thin / low fire","Grow w/ fire",0,1,0,257765.140859223,"2003_RaMCONdy_fmd"
"RaMCONdy_fmd",11,"C","D","Grow w/ fire","None",0,0,1,329686.913656859,"2003_RaMCONdy_fmd"
"RaMCONdy_fmd",13,"B","E","Grow w/o fire","None",0,0,1,3.63797880709171e-12,"2003_RaMCONdy_fmd"
"RaMCONdy_fmd",15,"C","E","Grow w/o fire","Grow w/o fire",0,0,1,1946.99566404993,"2003_RaMCONdy_fmd"
"RaMCONms_fcm",12,"A","B","Grow w/o fire","None",0,0,1,29177.5689705989,"2003_RaMCONms_fcm"
"RaMCONms_fcm",16,"C","B","Regen / high fire","Grow w/o fire",0,1,0,48110.0080749965,"2003_RaMCONms_fcm"
"RaMCONms_fcm",17,"D","B","Regen / high fire","Grow w/o fire",0,1,0,2084.80912083253,"2003_RaMCONms_fcm"
"RaMCONms_fcm",18,"E","B","Regen / high fire","Grow w/o fire",0,1,0,8369.5339477594,"2003_RaMCONms_fcm"
"RaMCONms_fmm",2,"E","D","Thin / low fire","None",1,0,0,10738.3042613908,"2003_RaMCONms_fmm"
"RaMCONms_fmm",11,"C","D","Grow w/ fire","None",0,0,1,12575.9242679178,"2003_RaMCONms_fmm"
"RaMCONms_fmm",12,"A","B","Grow w/o fire","None",0,0,1,64780.2782545084,"2003_RaMCONms_fmm"
"RaMCONms_fmm",16,"C","B","Regen / high fire","Grow w/o fire",0,1,0,147681.428849543,"2003_RaMCONms_fmm"
"RaPIPOm_fdp",10,"A","C","Grow w/ fire","None",0,0,1,447.729128338971,"2003_RaPIPOm_fdp"
"RaPIPOm_fdp",12,"A","B","Grow w/o fire","None",0,0,1,71.3085776803537,"2003_RaPIPOm_fdp"
"RaPIPOm_fdp",18,"A","D","Grow w/ fire","Grow w/ fire",0,0,1,512.569450669,"2003_RaPIPOm_fdp"
"RaPIPOm_fdp",19,"A","E","Grow w/o fire","Grow w/o fire",0,0,1,22.3064400902624,"2003_RaPIPOm_fdp"
"RaPIPOm_fpd",1,"B","C","Thin / low fire","None",1,0,0,92206.6943459482,"2003_RaPIPOm_fpd"
"RaPIPOm_fpd",2,"E","D","Thin / low fire","None",1,0,0,56775.8408711571,"2003_RaPIPOm_fpd"
"RaPIPOm_fpd",5,"E","C","Overstory removal","None",1,0,0,20728.029691187,"2003_RaPIPOm_fpd"
"RaSAWD_fal",4,"C","B","Grow w/o fire","None",0,0,1,5485.11302671138,"2003_RaSAWD_fal"
"RaSPFI_fcd",3,"C","A","Regen / high fire","None",1,0,0,6445.58986703467,"2003_RaSPFI_fcd"
"RaSPFI_fcd",4,"C","B","Regen / high fire","None",1,0,0,95804.1379135035,"2003_RaSPFI_fcd"
"RaSPFI_fcd",6,"D","B","Regen / high fire","None",1,0,0,51989.7187466421,"2003_RaSPFI_fcd"
"RaSPFI_fcd",16,"D","E","Grow w/o fire","None",0,0,1,137850.253735359,"2003_RaSPFI_fcd"
"Na0710412_fmh",9,"A","B","Grow w/o fire","None",0,0,1,4128.26948725275,"2004_Na0710412_fmh"
"Na0710412_fmh",11,"D","E","Grow w/o fire","None",0,0,1,70878.0375820274,"2004_Na0710412_fmh"
"Na0710412_fmh",14,"C","B","Regen / high fire","Grow w/o fire",0,1,0,78222.8255072089,"2004_Na0710412_fmh"
"Na0710412_fmh",19,"C","E","Grow w/o fire","Grow w/o fire",0,0,1,144677.920029534,"2004_Na0710412_fmh"
"Na1010471_frn",11,"C","D","Grow w/ fire","None",0,0,1,37336.1863593767,"2004_Na1010471_frn"
"Na1010471_frn",19,"A","E","Grow w/o fire","Grow w/o fire",0,0,1,57357.5571108592,"2004_Na1010471_frn"
"Na1010471_frn",20,"C","E","Grow w/o fire","Grow w/o fire",0,0,1,73698.3291309192,"2004_Na1010471_frn"
"RaABAMlw_fsi",14,"C","E","Grow w/o fire","None",0,0,1,45321.9897241007,"2004_RaABAMlw_fsi"
"RaABAMlw_fsi",15,"D","E","Grow w/o fire","None",0,0,1,9601.96117574297,"2004_RaABAMlw_fsi"
"RaABAMlw_fsi",20,"A","E","Grow w/o fire","Grow w/o fire",0,0,1,34868.9371396184,"2004_RaABAMlw_fsi"
"RaABLA_faf",1,"B","A","Regen / high fire","None",1,0,0,3366.80320127977,"2004_RaABLA_faf"
"RaABLA_faf",7,"B","C","Thin / low fire","None",1,0,0,81.0936972755513,"2004_RaABLA_faf"
"RaABLA_faf",10,"B","E","Grow w/o fire","None",0,0,1,14813.9080392158,"2004_RaABLA_faf"
"RaABLA_faf",18,"B","D","Thin / low fire","Grow w/ fire",0,1,0,416.639790752819,"2004_RaABLA_faf"
"RaMCONdy_fdd",3,"B","D","Thin / low fire","Grow w/ fire",0,1,0,889295.62827046,"2004_RaMCONdy_fdd"
"RaMCONdy_fdd",11,"C","D","Grow w/ fire","None",0,0,1,509284.103542451,"2004_RaMCONdy_fdd"
"RaMCONdy_fdd",13,"B","E","Grow w/o fire","None",0,0,1,2.91038304567337e-11,"2004_RaMCONdy_fdd"
"RaMCONdy_fdd",19,"A","D","Grow w/ fire","Grow w/ fire",0,0,1,40142.0685050918,"2004_RaMCONdy_fdd"
"RaMCONdy_fdd",20,"A","E","Grow w/o fire","Grow w/o fire",0,0,1,124180.622692697,"2004_RaMCONdy_fdd"
"RaMCONdy_fmd",2,"E","D","Thin / low fire","None",1,0,0,18692.5669749198,"2004_RaMCONdy_fmd"
"RaMCONdy_fmd",3,"B","D","Thin / low fire","Grow w/ fire",0,1,0,562515.322763017,"2004_RaMCONdy_fmd"
"RaMCONdy_fmd",19,"A","D","Grow w/ fire","Grow w/ fire",0,0,1,96179.9137304379,"2004_RaMCONdy_fmd"
"RaMCONms_fcm",7,"C","A","Regen / high fire","None",1,0,0,4636.94900399613,"2004_RaMCONms_fcm"
"RaMCONms_fcm",11,"C","D","Grow w/ fire","None",0,0,1,17436.3479161421,"2004_RaMCONms_fcm"
"RaMCONms_fcm",15,"C","E","Grow w/o fire","Grow w/o fire",0,0,1,30891.7793603799,"2004_RaMCONms_fcm"
"RaMCONms_fcm",16,"C","B","Regen / high fire","Grow w/o fire",0,1,0,5550.6868494556,"2004_RaMCONms_fcm"
"RaMCONms_fmm",2,"E","D","Thin / low fire","None",1,0,0,39826.1526528138,"2004_RaMCONms_fmm"
"RaMCONms_fmm",16,"C","B","Regen / high fire","Grow w/o fire",0,1,0,322908.4567997,"2004_RaMCONms_fmm"
"RaMCONms_fmm",18,"E","B","Regen / high fire","Grow w/o fire",0,1,0,15752.1807484671,"2004_RaMCONms_fmm"
"RaPIPOm_fpd",1,"B","C","Thin / low fire","None",1,0,0,8575.86980990903,"2004_RaPIPOm_fpd"
"RaPIPOm_fpd",2,"E","D","Thin / low fire","None",1,0,0,68142.2742480117,"2004_RaPIPOm_fpd"
"RaPIPOm_fpd",5,"E","C","Overstory removal","None",1,0,0,3411.02258853897,"2004_RaPIPOm_fpd"
"RaPIPOm_fpd",10,"A","C","Grow w/ fire","None",0,0,1,172196.489506148,"2004_RaPIPOm_fpd"
