"type","REST_ACRES","YEAR","BpS_Code","AREA_STRATA","REST_PCT"
"passive",100707.876123008,2011,"Na0710412_fmh",628993.674984818,0.160109521173546
"passive",179372.457415166,2011,"Na1010471_frn",505280.056374755,0.354996115821617
"passive",86906.6878675155,2011,"RaABAMlw_fsi",236993.488186646,0.366704961104549
"active",492.318240121531,2011,"RaABLA_faf",3716.14215603071,0.132481003
"both",59.4911549222879,2011,"RaABLA_faf",3716.14215603071,0.016008848
"passive",2115.24803373464,2011,"RaABLA_faf",3716.14215603071,0.56920536
"active",937.994249597857,2011,"RaDFHEdy_fwi",10774.1942314709,0.087059341
"both",1531.0793262317,2011,"RaDFHEdy_fwi",10774.1942314709,0.142106156
"both",835457.856323709,2011,"RaMCONdy_fdd",2804989.73763228,0.297847027785894
"passive",260996.002509491,2011,"RaMCONdy_fdd",2804989.73763228,0.0930470436336785
"both",316703.162639328,2011,"RaMCONdy_fmd",1410349.71020195,0.224556477268307
"passive",177224.844312476,2011,"RaMCONdy_fmd",1410349.71020195,0.125660212520694
"both",79780.7100791485,2011,"RaMCONms_fcm",282573.85471843,0.282335781414193
"passive",15810.2958603639,2011,"RaMCONms_fcm",282573.85471843,0.0559510216404065
"both",190930.446172019,2011,"RaMCONms_fmm",768112.095531606,0.248571070918858
"passive",21382.4806678608,2011,"RaMCONms_fmm",768112.095531606,0.0278377085743744
"passive",452.824108499726,2011,"RaOAPI_fop",679.68592145895,0.666225523
"passive",158.772836384873,2011,"RaPIPOm_fdp",196.841217437291,0.806603609
"active",61130.2082284439,2011,"RaPIPOm_fpd",385466.729935813,0.158587508288
"passive",54769.7499978005,2011,"RaPIPOm_fpd",385466.729935813,0.142086841079438
"active",13467.8189849696,2011,"RaSAWD_fal",310196.305329579,0.0434170838065279
"passive",53714.5567940724,2011,"RaSAWD_fal",310196.305329579,0.173163109525117
"active",59047.3926027012,2011,"RaSPFI_fcd",756047.615902437,0.0781000976138531
"passive",92103.0583862392,2017,"Na0710412_fmh",632834.876527693,0.145540427372777
"passive",161846.939589765,2017,"Na1010471_frn",493795.970401295,0.327760754017972
"passive",78586.3891178863,2017,"RaABAMlw_fsi",238126.394428595,0.330019649045882
"active",505.817667294374,2017,"RaABLA_faf",3818.03923460916,0.132481003
"both",61.1224097648944,2017,"RaABLA_faf",3818.03923460916,0.016008848
"passive",264.228779725251,2017,"RaABLA_faf",3818.03923460916,0.06920536
"active",627.029802730039,2017,"RaDFHEdy_fwi",7202.32654563787,0.087059341
"both",1071.88169628418,2017,"RaDFHEdy_fwi",7202.32654563787,0.148824368
"passive",447.307381987617,2017,"RaDFHEdy_fwi",7202.32654563787,0.0621059568950718
"both",674213.810271375,2017,"RaMCONdy_fdd",2776519.82646865,0.242826938905342
"passive",355235.598597456,2017,"RaMCONdy_fdd",2776519.82646865,0.127942755967735
"both",309383.089828521,2017,"RaMCONdy_fmd",1392058.00015391,0.222248706443492
"passive",166432.654489022,2017,"RaMCONdy_fmd",1392058.00015391,0.119558706943691
"both",90394.9749959902,2017,"RaMCONms_fcm",277827.004417877,0.325364250265708
"passive",27968.8137726212,2017,"RaMCONms_fcm",277827.004417877,0.100669889275967
"both",137349.29901433,2017,"RaMCONms_fmm",739977.081432931,0.185612909454384
"passive",30279.5020343125,2017,"RaMCONms_fmm",739977.081432931,0.0409195133120578
"passive",447.519949191633,2017,"RaOAPI_fop",671.724414244083,0.666225523
"passive",220.017935119933,2017,"RaPIPOm_fdp",272.770829023073,0.806603609
"active",82024.1653992946,2017,"RaPIPOm_fpd",396593.514976943,0.206821751495517
"passive",53706.4271121547,2017,"RaPIPOm_fpd",396593.514976943,0.135419327558286
"active",2819.11051282351,2017,"RaSAWD_fal",301361.508240154,0.00935458058093129
"passive",71683.7706147867,2017,"RaSAWD_fal",301361.508240154,0.237866378600887
"active",81660.7838844257,2017,"RaSPFI_fcd",766933.600688634,0.106476993329151
"passive",91039.7885046866,2018,"Na0710412_fmh",629848.329453534,0.14454239893543
"passive",160317.605664773,2018,"Na1010471_frn",493543.089715375,0.324830007765336
"passive",72233.097608318,2018,"RaABAMlw_fsi",237371.84662844,0.304303558464476
"active",503.489818591716,2018,"RaABLA_faf",3800.46804591082,0.132481003
"both",60.8411152758433,2018,"RaABLA_faf",3800.46804591082,0.016008848
"passive",263.012759285755,2018,"RaABLA_faf",3800.46804591082,0.06920536
"active",568.382220210156,2018,"RaDFHEdy_fwi",6528.67588568303,0.087059341
"both",971.626062563617,2018,"RaDFHEdy_fwi",6528.67588568303,0.148824368
"passive",764.079614523283,2018,"RaDFHEdy_fwi",6528.67588568303,0.117034392256914
"both",676712.926435511,2018,"RaMCONdy_fdd",2769291.13770639,0.244363229716607
"passive",336263.803783363,2018,"RaMCONdy_fdd",2769291.13770639,0.121425948758088
"both",283626.17583087,2018,"RaMCONdy_fmd",1384994.76097393,0.204785017115461
"passive",176093.278852156,2018,"RaMCONdy_fmd",1384994.76097393,0.127143642571129
"both",94289.2550849676,2018,"RaMCONms_fcm",274510.594718053,0.343481296894246
"passive",24939.4593594475,2018,"RaMCONms_fcm",274510.594718053,0.0908506259478346
"both",136791.438972,2018,"RaMCONms_fmm",737537.059276456,0.185470597377434
"passive",31366.238218123,2018,"RaMCONms_fmm",737537.059276456,0.0425283554549709
"passive",447.867240786535,2018,"RaOAPI_fop",672.245696577036,0.666225523
"passive",220.017935119933,2018,"RaPIPOm_fdp",272.770829023073,0.806603609
"active",89206.6851168417,2018,"RaPIPOm_fpd",396287.226691642,0.225106132896519
"passive",40043.2228866243,2018,"RaPIPOm_fpd",396287.226691642,0.101045959065904
"active",2330.71966124981,2018,"RaSAWD_fal",302815.386702091,0.00769683366038055
"passive",84306.1851597039,2018,"RaSAWD_fal",302815.386702091,0.278407864533793
"active",84206.1789239431,2018,"RaSPFI_fcd",768940.104503167,0.109509412281664
"passive",302.267615951743,2018,"RaSPFI_fcd",768940.104503167,0.00039309643778698
"passive",91840.7901626157,2019,"Na0710412_fmh",618709.871825455,0.1484391866767
"passive",151287.151085654,2019,"Na1010471_frn",492801.469014966,0.306994115476267
"passive",70424.2827557827,2019,"RaABAMlw_fsi",235831.359983616,0.298621365541357
"active",501.183297951243,2019,"RaABLA_faf",3783.0578468012,0.132481003
"both",60.5623980446477,2019,"RaABLA_faf",3783.0578468012,0.016008848
"passive",261.807880188702,2019,"RaABLA_faf",3783.0578468012,0.06920536
"active",568.382220210156,2019,"RaDFHEdy_fwi",6528.67588568303,0.087059341
"both",971.626062563617,2019,"RaDFHEdy_fwi",6528.67588568303,0.148824368
"passive",764.079614523283,2019,"RaDFHEdy_fwi",6528.67588568303,0.117034392256914
"both",654776.446817826,2019,"RaMCONdy_fdd",2786303.1629855,0.234998278549216
"passive",351648.76246613,2019,"RaMCONdy_fdd",2786303.1629855,0.126206210127308
"both",290632.513770161,2019,"RaMCONdy_fmd",1384123.87782354,0.209975796550208
"passive",164440.737274487,2019,"RaMCONdy_fmd",1384123.87782354,0.118804927730212
"both",94591.599353678,2019,"RaMCONms_fcm",272703.099089891,0.346866609398149
