"YEAR","BpS_Code","MAP_ZONE","sclass","PERC_AREA","AREA_TOTAL","PERC_AREA_VAR","AREA_TOTAL_VAR","nPlots_AREA","N"
2002,"Na0710411_fmt","WCR","A",0,0,0,0,0,323
2002,"Na0710411_fmt","WCR","D",0,0,0,0,0,323
2002,"Na0710411_fmt","WNC","A",0,0,0,0,0,357
2002,"Na0710411_fmt","WNC","B",0,0,0,0,0,323
2002,"Na0710411_fmt","WNC","D",0,0,0,0,0,357
2002,"Na0710412_fmc","WNC","A",0,0,0,0,0,323
2002,"Na0710412_fmc","WNC","D",0,0,0,0,0,323
2002,"Na0710412_fmc","WNC","E",0,0,0,0,0,323
2002,"Na0710412_fmc","WWC","C",0,0,0,0,0,323
2002,"Na0710412_fmc","WWC","D",0,0,0,0,0,323
2002,"Na0710412_fmc","WWC","E",0,0,0,0,0,357
2002,"Na0710412_fmh","WEC","A",0.320113352258236,11358.0640477923,7.59843646816577e-05,46777090.9572244,3,323
2002,"Na0710412_fmh","WEC","B",1.29274271336081,109571.700504021,0.00511676836355836,4376303851.07412,5,915
2002,"Na0710412_fmh","WEC","C",3.68515831257473,360064.518700047,0.0323829948073329,15862794419.9531,11,949
2002,"Na0710412_fmh","WEC","D",1.75984548347113,62441.7493818201,0.00237067084155412,1119116296.39556,4,323
2002,"Na0710412_fmh","WEC","E",2.99294383510714,292430.552523859,0.0217238426335241,24376640077.3295,3,949
2002,"Na1010471_frn","WNE","A",1.42185239629384,120514.920190582,0.00616885398376881,6235365095.7426,3,915
2002,"Na1010471_frn","WNE","B",2.55524724518737,216580.440152327,0.0194033231860112,12951027778.7833,7,915
2002,"Na1010471_frn","WNE","C",5.28401158106191,187484.031964284,0.0205409544470809,3400963923.49896,11,323
2002,"Na1010471_frn","WNE","E",1.03510493809338,36726.9534373139,0.000847215970999175,802558301.218708,2,323
2002,"RaABAMlw_fsi","WCR","E",0,0,0,0,0,323
2002,"RaABAMlw_fsi","WEC","A",0.540852763331826,19190.203354569,0.000215244597955718,109071214.552372,4,323
2002,"RaABAMlw_fsi","WEC","B",0.599792676373092,21281.4729082175,0.000299521581554685,455167066.637572,1,323
2002,"RaABAMlw_fsi","WEC","C",1.31828143235132,111736.339174627,0.00525841968045671,4755884206.61915,4,915
2002,"RaABAMlw_fsi","WEC","D",1.13824048025343,40386.3449784472,0.000954918270562287,619369575.701974,3,323
2002,"RaABAMlw_fsi","WWC","A",0,0,0,0,0,915
2002,"RaABAMlw_fsi","WWC","B",0,0,0,0,0,915
2002,"RaABAMlw_fsi","WWC","C",0,0,0,0,0,323
2002,"RaABAMlw_fsi","WWC","D",0,0,0,0,0,323
2002,"RaABAMlw_fsi","WWC","E",0,0,0,0,0,949
2002,"RaABAMlw_fwc","WNC","A",0,0,0,0,0,592
2002,"RaABAMlw_fwc","WNC","C",0,0,0,0,0,592
2002,"RaABAMlw_fwc","WWC","A",0,0,0,0,0,323
2002,"RaABAMlw_fwc","WWC","E",0,0,0,0,0,323
2002,"RaABAMup_fst","WCR","A",0,0,0,0,0,323
2002,"RaABAMup_fst","WCR","B",0,0,0,0,0,323
2002,"RaABAMup_fst","WCR","C",0,0,0,0,0,323
2002,"RaABAMup_fst","WCR","E",0,0,0,0,0,915
2002,"RaABAMup_fst","WNC","A",0,0,0,0,0,915
2002,"RaABAMup_fst","WNC","B",0,0,0,0,0,915
2002,"RaABAMup_fst","WNC","C",0,0,0,0,0,949
2002,"RaABAMup_fst","WNC","D",0,0,0,0,0,949
2002,"RaABAMup_fst","WNC","E",0,0,0,0,0,949
2002,"RaABAMup_fst","WWC","A",0,0,0,0,0,323
2002,"RaABAMup_fst","WWC","B",0,0,0,0,0,592
2002,"RaABAMup_fst","WWC","D",0,0,0,0,0,915
2002,"RaABAMup_fst","WWC","E",0,0,0,0,0,915
2002,"RaABLA_faf","WNC","C",0,0,0,0,0,592
2002,"RaABLA_faf","WNC","E",0,0,0,0,0,592
2002,"RaDFHEdy_fdg","WCR","A",0,0,0,0,0,915
2002,"RaDFHEdy_fdg","WCR","B",0,0,0,0,0,592
2002,"RaDFHEdy_fdg","WCR","C",0,0,0,0,0,592
2002,"RaDFHEdy_fdg","WCR","D",0,0,0,0,0,592
2002,"RaDFHEdy_fdg","WCR","E",0,0,0,0,0,915
2002,"RaDFHEdy_fdg","WNC","A",0,0,0,0,0,592
2002,"RaDFHEdy_fdg","WNC","D",0,0,0,0,0,592
2002,"RaDFHEdy_fdg","WNC","E",0,0,0,0,0,915
2002,"RaDFHEdy_fdg","WWC","A",0,0,0,0,0,592
2002,"RaDFHEdy_fdg","WWC","B",0,0,0,0,0,592
2002,"RaDFHEdy_fdg","WWC","D",0,0,0,0,0,592
2002,"RaDFHEdy_fdg","WWC","E",0,0,0,0,0,592
2002,"RaDFHEdy_fwi","WCR","A",0,0,0,0,0,915
2002,"RaDFHEdy_fwi","WCR","B",0,0,0,0,0,915
2002,"RaDFHEdy_fwi","WCR","C",0,0,0,0,0,915
2002,"RaDFHEdy_fwi","WCR","D",0,0,0,0,0,915
2002,"RaDFHEdy_fwi","WCR","E",0,0,0,0,0,915
2002,"RaDFHEdy_fwi","WNC","A",0,0,0,0,0,592
2002,"RaDFHEdy_fwi","WNC","B",0,0,0,0,0,592
