"YEAR","BpS_Code","sclass","PERC_AREA","AREA_TOTAL","PERC_AREA_VAR","AREA_TOTAL_VAR","nPlots_AREA","N"
2002,"Na0710411_fmt","A",0,0,0,0,0,357
2002,"Na0710411_fmt","B",0,0,0,0,0,323
2002,"Na0710411_fmt","D",0,0,0,0,0,357
2002,"Na0710412_fmc","A",0,0,0,0,0,323
2002,"Na0710412_fmc","C",0,0,0,0,0,323
2002,"Na0710412_fmc","D",0,0,0,0,0,323
2002,"Na0710412_fmc","E",0,0,0,0,0,357
2002,"Na0710412_fmh","A",0.320113352258236,11358.0640477923,7.59843646816577e-05,46777090.9572244,3,323
2002,"Na0710412_fmh","B",1.29274271336081,109571.700504021,0.00511676836355836,4376303851.07412,5,915
2002,"Na0710412_fmh","C",3.68515831257473,360064.518700047,0.0323829948073329,15862794419.9531,11,949
2002,"Na0710412_fmh","D",1.75984548347113,62441.7493818201,0.00237067084155412,1119116296.39556,4,323
2002,"Na0710412_fmh","E",2.99294383510714,292430.552523859,0.0217238426335241,24376640077.3295,3,949
2002,"Na1010471_frn","A",1.42185239629384,120514.920190582,0.00616885398376881,6235365095.7426,3,915
2002,"Na1010471_frn","B",2.55524724518737,216580.440152327,0.0194033231860112,12951027778.7833,7,915
2002,"Na1010471_frn","C",5.28401158106191,187484.031964284,0.0205409544470809,3400963923.49896,11,323
2002,"Na1010471_frn","E",1.03510493809338,36726.9534373139,0.000847215970999175,802558301.218708,2,323
2002,"RaABAMlw_fsi","A",0.226408784753876,19190.203354569,0.000157472079658439,109071214.552372,4,915
2002,"RaABAMlw_fsi","B",0.25108188432901,21281.4729082175,0.000198814879637497,455167066.637572,1,915
2002,"RaABAMlw_fsi","C",1.31828143235132,111736.339174627,0.00525841968045671,4755884206.61915,4,915
2002,"RaABAMlw_fsi","D",1.13824048025343,40386.3449784472,0.000954918270562287,619369575.701974,3,323
2002,"RaABAMlw_fsi","E",0,0,0,0,0,949
2002,"RaABAMlw_fwc","A",0,0,0,0,0,915
2002,"RaABAMlw_fwc","C",0,0,0,0,0,592
2002,"RaABAMlw_fwc","E",0,0,0,0,0,323
2002,"RaABAMup_fst","A",0,0,0,0,0,915
2002,"RaABAMup_fst","B",0,0,0,0,0,915
2002,"RaABAMup_fst","C",0,0,0,0,0,949
2002,"RaABAMup_fst","D",0,0,0,0,0,949
2002,"RaABAMup_fst","E",0,0,0,0,0,949
2002,"RaABLA_faf","C",0,0,0,0,0,592
2002,"RaABLA_faf","E",0,0,0,0,0,592
2002,"RaDFHEdy_fdg","A",0,0,0,0,0,915
2002,"RaDFHEdy_fdg","B",0,0,0,0,0,592
2002,"RaDFHEdy_fdg","C",0,0,0,0,0,592
2002,"RaDFHEdy_fdg","D",0,0,0,0,0,592
2002,"RaDFHEdy_fdg","E",0,0,0,0,0,915
2002,"RaDFHEdy_fwi","A",0,0,0,0,0,915
2002,"RaDFHEdy_fwi","B",0,0,0,0,0,915
2002,"RaDFHEdy_fwi","C",0,0,0,0,0,915
2002,"RaDFHEdy_fwi","D",0,0,0,0,0,915
2002,"RaDFHEdy_fwi","E",0,0,0,0,0,915
2002,"RaDFHEwt_fwm","A",0,0,0,0,0,915
2002,"RaDFHEwt_fwm","B",0,0,0,0,0,915
2002,"RaDFHEwt_fwm","C",0,0,0,0,0,915
2002,"RaDFHEwt_fwm","D",0,0,0,0,0,915
2002,"RaDFHEwt_fwm","E",0,0,0,0,0,915
2002,"RaDFHEwt_fwn","A",0,0,0,0,0,915
2002,"RaDFHEwt_fwn","B",0,0,0,0,0,915
2002,"RaDFHEwt_fwn","C",0,0,0,0,0,915
2002,"RaDFHEwt_fwn","E",0,0,0,0,0,915
2002,"RaDFHEwt_fww","A",0,0,0,0,0,592
2002,"RaDFHEwt_fww","B",0,0,0,0,0,592
2002,"RaMCONdy_fdd","A",6.80559071897483,576835.70002404,0.140406834781469,21415183899.1311,29,915
2002,"RaMCONdy_fdd","B",14.6409667264125,1240955.06759052,0.644120210299125,54466646737.9573,40,915
2002,"RaMCONdy_fdd","C",14.7612368407691,1251149.05345767,0.650743541692502,57879604895.8289,38,915
