"YEAR","BpS_Code","sclass","PERC_AREA","AREA_TOTAL","PERC_AREA_VAR","AREA_TOTAL_VAR","nPlots_AREA","N"
2011,"Na0710411_fmt","A",0,0,0,0,0,9487
2011,"Na0710411_fmt","B",0,0,0,0,0,3631
2011,"Na0710411_fmt","C",0,0,0,0,0,9487
2011,"Na0710411_fmt","D",0,0,0,0,0,9487
2011,"Na0710411_fmt","E",0,0,0,0,0,9487
2011,"Na0710412_fmc","A",0,0,0,0,0,9487
2011,"Na0710412_fmc","B",0,0,0,0,0,3631
2011,"Na0710412_fmc","C",0,0,0,0,0,9487
2011,"Na0710412_fmc","D",0,0,0,0,0,9487
2011,"Na0710412_fmc","E",0,0,0,0,0,9487
2011,"Na0710412_fmh","A",1.12829515938788,91441.2159018965,0.000387482743792611,301494492.305844,49,9487
2011,"Na0710412_fmh","B",1.87076696082926,151613.878818846,0.00105919594713345,777430715.467303,43,9487
2011,"Na0710412_fmh","C",1.6970653090382,137536.454031736,0.000873328004578197,688436421.405135,41,9487
2011,"Na0710412_fmh","D",1.4517543163452,117655.543208615,0.000642081575065748,489512674.035728,44,9487
2011,"Na0710412_fmh","E",1.61328494243167,130746.583023724,0.000788045928950762,818788508.735986,27,9487
2011,"Na0710412_fmi","D",0,0,0,0,0,5856
2011,"Na1010471_frn","A",1.49806621104965,121408.830570756,0.000683266761088421,436006828.714112,58,9487
2011,"Na1010471_frn","B",2.27934864010411,160458.779919371,0.00179776262709981,421143241.537086,61,9144
2011,"Na1010471_frn","C",2.59468220357208,182657.243976799,0.00232797054702693,562406800.21969,74,9144
2011,"Na1010471_frn","D",0.206299569386822,6177.6850438688,9.1481372787596e-06,12385338.8700948,3,3288
2011,"Na1010471_frn","E",0.491180451961854,34577.5168639601,8.49879534958509e-05,96073353.8582293,13,9144
2011,"RaABAMlw_fsi","A",0.575545413032725,46644.330551789,0.000102742216576205,138850271.34775,23,9487
2011,"RaABAMlw_fsi","B",0.517046822258986,41903.3882332912,8.28525338942897e-05,151849879.308889,17,9487
2011,"RaABAMlw_fsi","C",1.0595590320651,85870.5857290331,0.00034472126594339,405147178.611195,27,9487
2011,"RaABAMlw_fsi","D",0.300714587495699,24371.0232125449,2.86670866515896e-05,71040309.9415587,12,9487
2011,"RaABAMlw_fsi","E",0.471401970001449,38204.1604599877,6.91520153000081e-05,146838184.052238,16,9487
2011,"RaABAMlw_fwc","A",0,0,0,0,0,9144
2011,"RaABAMlw_fwc","B",0,0,0,0,0,9144
2011,"RaABAMlw_fwc","C",0,0,0,0,0,9144
2011,"RaABAMlw_fwc","D",0,0,0,0,0,9144
2011,"RaABAMlw_fwc","E",0,0,0,0,0,9144
2011,"RaABAMup_fst","A",0,0,0,0,0,9487
2011,"RaABAMup_fst","B",0,0,0,0,0,9487
2011,"RaABAMup_fst","C",0,0,0,0,0,9487
2011,"RaABAMup_fst","D",0,0,0,0,0,9487
2011,"RaABAMup_fst","E",0,0,0,0,0,9487
2011,"RaABLA_faf","A",0,0,0,0,0,9487
2011,"RaABLA_faf","B",0.0458535591952875,3716.14215603071,7.54738033629129e-07,7556676.74910465,2,9487
2011,"RaABLA_faf","C",0,0,0,0,0,9144
2011,"RaABLA_faf","E",0,0,0,0,0,9487
2011,"RaDFHEdy_fdg","A",0,0,0,0,0,9144
2011,"RaDFHEdy_fdg","B",0,0,0,0,0,9487
2011,"RaDFHEdy_fdg","C",0,0,0,0,0,9144
2011,"RaDFHEdy_fdg","D",0,0,0,0,0,9144
2011,"RaDFHEdy_fdg","E",0,0,0,0,0,9487
