"YEAR","BpS_Code","MAP_ZONE","sclass","PERC_CHNG","AREA_CHNG","PREV_AREA","PERC_CHNG_VAR","AREA_CHNG_VAR","PREV_AREA_VAR","nPlots_AREA","N"
2017,"Na0710411_fmt","WCR","A",NA,0,0,NA,0,0,0,5421
2017,"Na0710411_fmt","WCR","C",NA,0,0,NA,0,0,0,5421
2017,"Na0710411_fmt","WCR","D",NA,0,0,NA,0,0,0,5421
2017,"Na0710411_fmt","WCR","E",NA,0,0,NA,0,0,0,5421
2017,"Na0710411_fmt","WNC","A",NA,0,0,NA,0,0,0,5606
2017,"Na0710411_fmt","WNC","B",NA,0,0,NA,0,0,0,2140
2017,"Na0710411_fmt","WNC","C",NA,0,0,NA,0,0,0,2140
2017,"Na0710411_fmt","WNC","D",NA,0,0,NA,0,0,0,5606
2017,"Na0710411_fmt","WNC","E",NA,0,0,NA,0,0,0,5606
2017,"Na0710412_fmc","WCR","A",NA,0,0,NA,0,0,0,5421
2017,"Na0710412_fmc","WCR","B",NA,0,0,NA,0,0,0,1955
2017,"Na0710412_fmc","WCR","C",NA,0,0,NA,0,0,0,3466
2017,"Na0710412_fmc","WCR","D",NA,0,0,NA,0,0,0,3466
2017,"Na0710412_fmc","WCR","E",NA,0,0,NA,0,0,0,3466
2017,"Na0710412_fmc","WNC","A",NA,0,0,NA,0,0,0,2140
2017,"Na0710412_fmc","WNC","B",NA,0,0,NA,0,0,0,2140
2017,"Na0710412_fmc","WNC","C",NA,0,0,NA,0,0,0,185
2017,"Na0710412_fmc","WNC","D",NA,0,0,NA,0,0,0,1955
2017,"Na0710412_fmc","WNC","E",NA,0,0,NA,0,0,0,2140
2017,"Na0710412_fmc","WWC","A",NA,0,0,NA,0,0,0,5606
2017,"Na0710412_fmc","WWC","B",NA,0,0,NA,0,0,0,2140
2017,"Na0710412_fmc","WWC","C",NA,0,0,NA,0,0,0,5606
2017,"Na0710412_fmc","WWC","D",NA,0,0,NA,0,0,0,5606
2017,"Na0710412_fmc","WWC","E",NA,0,0,NA,0,0,0,5606
2017,"Na0710412_fmh","WEC","A",3.33657852357873,2644.79323557375,79266.6264822988,0.70369871110252,5596448.19360949,387183154.557441,47,5606
2017,"Na0710412_fmh","WEC","B",-0.0632558540920103,-100.058118620111,158180.013623037,0.000443057012105779,12213083.8028251,1551944988.32581,42,5606
2017,"Na0710412_fmh","WEC","C",-1.64061365377486,-3630.03987867333,221261.103753528,0.103315077408706,13717411.8473238,1976878978.07851,56,5606
2017,"Na0710412_fmh","WEC","D",-0.358293208611126,-502.646506331964,140289.152641325,0.00522303421520902,15412699.5712113,1138315646.02928,44,5606
2017,"Na0710412_fmh","WEC","E",0.908326652746426,996.165415132655,109670.393588104,0.0938292512115385,12455192.1263861,1233231803.56613,23,5606
2017,"Na0710412_fmi","WWC","D",NA,0,0,NA,0,0,0,3466
2017,"Na1010471_frn","WNE","A",-1.70295110214048,-2603.03395573294,152854.298192187,0.126121089467335,7563312.17569822,1065986957.07311,54,5606
2017,"Na1010471_frn","WNE","B",2.5385691663586,5912.92991959531,232923.727190659,0.14104987479358,7057178.09292555,1172060388.2024,66,5421
2017,"Na1010471_frn","WNE","C",-1.58857434177729,-3684.7279487929,231951.873569255,0.0647576966111082,10320534.0053499,1463448596.50331,65,5421
2017,"Na1010471_frn","WNE","D",9.12110362576903,601.703597462768,6596.82887236177,42.3680620345003,216189.057130735,22143079.1058316,4,1955
2017,"Na1010471_frn","WNE","E",2.90966027123363,1149.78691729436,39516.191242728,1.11145954859771,572937.492270495,203982653.710659,15,5421
2017,"RaABAMlw_fsi","WCR","A",NA,0,0,NA,0,0,0,1955
2017,"RaABAMlw_fsi","WCR","B",NA,0,0,NA,0,0,0,1955
2017,"RaABAMlw_fsi","WCR","C",NA,0,0,NA,0,0,0,1955
2017,"RaABAMlw_fsi","WCR","D",NA,0,0,NA,0,0,0,3466
2017,"RaABAMlw_fsi","WCR","E",NA,0,0,NA,0,0,0,5421
2017,"RaABAMlw_fsi","WEC","A",0.231431098908466,160.066165072796,69163.636964842,0.00465329185396624,805014.385844783,370457027.255033,20,2140
2017,"RaABAMlw_fsi","WEC","B",1.18141172446532,685.499254290679,58023.7388960162,0.199662898450355,849415.333587462,476395878.799035,15,2140
2017,"RaABAMlw_fsi","WEC","C",0.262334757707306,302.434108516949,115285.565344102,0.00600202834747897,2298772.25883535,1006320906.95122,26,5606
2017,"RaABAMlw_fsi","WEC","D",-6.71746018356188,-1753.42641582819,26102.5204156618,10.6322959913933,1806254.38655709,165295746.146178,10,2140
2017,"RaABAMlw_fsi","WEC","E",1.42830167899919,603.631599694003,42262.1921243535,0.313697543688095,502034.94738777,272140665.659301,16,2140
2017,"RaABAMlw_fsi","WNC","A",NA,0,0,NA,0,0,0,1955
2017,"RaABAMlw_fsi","WNC","B",NA,0,0,NA,0,0,0,1955
2017,"RaABAMlw_fsi","WNC","C",NA,0,0,NA,0,0,0,2140
2017,"RaABAMlw_fsi","WNC","D",NA,0,0,NA,0,0,0,1955
2017,"RaABAMlw_fsi","WNC","E",NA,0,0,NA,0,0,0,5606
2017,"RaABAMlw_fsi","WWC","A",NA,0,0,NA,0,0,0,5421
2017,"RaABAMlw_fsi","WWC","B",NA,0,0,NA,0,0,0,5421
2017,"RaABAMlw_fsi","WWC","C",NA,0,0,NA,0,0,0,5606
2017,"RaABAMlw_fsi","WWC","D",NA,0,0,NA,0,0,0,5421
2017,"RaABAMlw_fsi","WWC","E",NA,0,0,NA,0,0,0,5606
2017,"RaABAMlw_fwc","WNC","A",NA,0,0,NA,0,0,0,5421
2017,"RaABAMlw_fwc","WNC","B",NA,0,0,NA,0,0,0,1955
2017,"RaABAMlw_fwc","WNC","C",NA,0,0,NA,0,0,0,5421
2017,"RaABAMlw_fwc","WNC","D",NA,0,0,NA,0,0,0,3466
2017,"RaABAMlw_fwc","WNC","E",NA,0,0,NA,0,0,0,5421
2017,"RaABAMlw_fwc","WWC","A",NA,0,0,NA,0,0,0,5421
2017,"RaABAMlw_fwc","WWC","B",NA,0,0,NA,0,0,0,5421
2017,"RaABAMlw_fwc","WWC","C",NA,0,0,NA,0,0,0,5421
2017,"RaABAMlw_fwc","WWC","D",NA,0,0,NA,0,0,0,5421
2017,"RaABAMlw_fwc","WWC","E",NA,0,0,NA,0,0,0,5421
2017,"RaABAMup_fst","WCR","A",NA,0,0,NA,0,0,0,5421
2017,"RaABAMup_fst","WCR","B",NA,0,0,NA,0,0,0,5421
2017,"RaABAMup_fst","WCR","C",NA,0,0,NA,0,0,0,1955
2017,"RaABAMup_fst","WCR","D",NA,0,0,NA,0,0,0,5421
2017,"RaABAMup_fst","WCR","E",NA,0,0,NA,0,0,0,5421
2017,"RaABAMup_fst","WNC","A",NA,0,0,NA,0,0,0,5606
2017,"RaABAMup_fst","WNC","B",NA,0,0,NA,0,0,0,5606
2017,"RaABAMup_fst","WNC","C",NA,0,0,NA,0,0,0,5606
2017,"RaABAMup_fst","WNC","D",NA,0,0,NA,0,0,0,5606
2017,"RaABAMup_fst","WNC","E",NA,0,0,NA,0,0,0,5606
2017,"RaABAMup_fst","WWC","A",NA,0,0,NA,0,0,0,5421
2017,"RaABAMup_fst","WWC","B",NA,0,0,NA,0,0,0,5421
2017,"RaABAMup_fst","WWC","C",NA,0,0,NA,0,0,0,5421
2017,"RaABAMup_fst","WWC","D",NA,0,0,NA,0,0,0,5421
2017,"RaABAMup_fst","WWC","E",NA,0,0,NA,0,0,0,5421
2017,"RaABLA_faf","WCR","A",NA,0,0,NA,0,0,0,3466
2017,"RaABLA_faf","WCR","B",NA,0,0,NA,0,0,0,185
2017,"RaABLA_faf","WCR","C",NA,0,0,NA,0,0,0,3466
2017,"RaABLA_faf","WCR","E",NA,0,0,NA,0,0,0,3651
2017,"RaABLA_faf","WNC","A",NA,0,0,NA,0,0,0,5606
2017,"RaABLA_faf","WNC","B",NA,0,0,NA,0,0,0,5606
2017,"RaABLA_faf","WNC","C",NA,0,0,NA,0,0,0,5421
2017,"RaABLA_faf","WNC","E",NA,0,0,NA,0,0,0,5421
2017,"RaABLA_faf","WNE","B",-5.53091466307484,-355.314936443718,6424.16233278468,16.0328924886746,131990.723540616,22064510.1742012,2,1955
2017,"RaABLA_faf","WNE","E",Inf,355.314936443718,0,NA,131990.723540616,0,1,1955
2017,"RaDFHEdy_fdg","WCR","A",NA,0,0,NA,0,0,0,5421
2017,"RaDFHEdy_fdg","WCR","B",NA,0,0,NA,0,0,0,5421
2017,"RaDFHEdy_fdg","WCR","C",NA,0,0,NA,0,0,0,5421
2017,"RaDFHEdy_fdg","WCR","D",NA,0,0,NA,0,0,0,5421
2017,"RaDFHEdy_fdg","WCR","E",NA,0,0,NA,0,0,0,5421
2017,"RaDFHEdy_fdg","WNC","A",NA,0,0,NA,0,0,0,5421
2017,"RaDFHEdy_fdg","WNC","B",NA,0,0,NA,0,0,0,5421
2017,"RaDFHEdy_fdg","WNC","C",NA,0,0,NA,0,0,0,5421
2017,"RaDFHEdy_fdg","WNC","D",NA,0,0,NA,0,0,0,5421
2017,"RaDFHEdy_fdg","WNC","E",NA,0,0,NA,0,0,0,5421
2017,"RaDFHEdy_fdg","WWC","A",NA,0,0,NA,0,0,0,5421
2017,"RaDFHEdy_fdg","WWC","B",NA,0,0,NA,0,0,0,5421
2017,"RaDFHEdy_fdg","WWC","C",NA,0,0,NA,0,0,0,5421
2017,"RaDFHEdy_fdg","WWC","D",NA,0,0,NA,0,0,0,3466
2017,"RaDFHEdy_fdg","WWC","E",NA,0,0,NA,0,0,0,5421
2017,"RaDFHEdy_fwi","OEC","D",-0.208097369266634,-15.9685401814192,7673.5906069811,0.0375235933998867,225.440159547211,52059273.507401,1,3466
2017,"RaDFHEdy_fwi","OEC","E",0,0,8993.04484457868,0,0,32556016.0362551,1,1955
2017,"RaDFHEdy_fwi","WCR","A",NA,0,0,NA,0,0,0,5421
2017,"RaDFHEdy_fwi","WCR","B",NA,0,0,NA,0,0,0,5421
2017,"RaDFHEdy_fwi","WCR","C",NA,0,0,NA,0,0,0,5421
2017,"RaDFHEdy_fwi","WCR","D",NA,0,0,NA,0,0,0,5421
2017,"RaDFHEdy_fwi","WCR","E",NA,0,0,NA,0,0,0,5606
2017,"RaDFHEdy_fwi","WNC","A",NA,0,0,NA,0,0,0,3466
2017,"RaDFHEdy_fwi","WNC","B",NA,0,0,NA,0,0,0,5421
2017,"RaDFHEdy_fwi","WNC","C",NA,0,0,NA,0,0,0,3466
2017,"RaDFHEdy_fwi","WNC","D",NA,0,0,NA,0,0,0,5421
2017,"RaDFHEdy_fwi","WNC","E",NA,0,0,NA,0,0,0,5421
2017,"RaDFHEdy_fwi","WWC","A",NA,0,0,NA,0,0,0,5421
2017,"RaDFHEdy_fwi","WWC","B",NA,0,0,NA,0,0,0,5421
2017,"RaDFHEdy_fwi","WWC","C",NA,0,0,NA,0,0,0,5421
2017,"RaDFHEdy_fwi","WWC","D",NA,0,0,NA,0,0,0,5421
2017,"RaDFHEdy_fwi","WWC","E",NA,0,0,NA,0,0,0,5421
2017,"RaDFHEwt_fwm","WCR","A",NA,0,0,NA,0,0,0,3466
2017,"RaDFHEwt_fwm","WCR","B",NA,0,0,NA,0,0,0,3466
2017,"RaDFHEwt_fwm","WCR","C",NA,0,0,NA,0,0,0,3466
