"YEAR","AREA_DOMAIN1","AREA_DOMAIN2","sclass1","sclass2","STATUS1","STATUS2","AREA_CHNG","AREA_CHNG_VAR","nPlots_AREA","N"
2017,0,1,NA,"A","Non-forest","Forest",8592.48317972915,3536623.724166,71,5606
2017,0,1,NA,"B","Non-forest","Forest",2564.50301809714,708803.91842265,29,5606
2017,0,1,NA,"C","Non-forest","Forest",6772.02290545198,2776505.84225422,65,5606
2017,0,1,NA,"D","Non-forest","Forest",302.627224503529,20058.3397189398,12,5421
2017,0,1,NA,"E","Non-forest","Forest",1028.58610963086,126112.851810755,14,5421
2017,1,0,"A",NA,"Forest","Non-forest",8639.73637055603,3704599.34700386,68,5606
2017,1,0,"B",NA,"Forest","Non-forest",3197.25715791083,1481276.16859099,32,5606
2017,1,0,"C",NA,"Forest","Non-forest",8551.09763373839,3050944.3037327,75,5606
2017,1,0,"D",NA,"Forest","Non-forest",2034.90719249398,710663.149396305,17,5606
2017,1,0,"E",NA,"Forest","Non-forest",930.044102290203,275785.809274723,8,5606
2017,1,1,"A","B","Forest","Forest",20905.3941694652,14474113.9863483,53,5421
2017,1,1,"A","C","Forest","Forest",31504.4771559839,22648053.6010628,96,5606
2017,1,1,"A","D","Forest","Forest",4736.34301662644,5004159.58796172,11,5606
2017,1,1,"A","E","Forest","Forest",4012.77604357324,3323751.66761162,10,5421
2017,1,1,"B","A","Forest","Forest",26279.3843555494,21665515.3000118,77,5606
2017,1,1,"B","C","Forest","Forest",45856.8920139043,34477115.4677314,100,5606
2017,1,1,"B","D","Forest","Forest",7229.00658400164,4941173.64449391,17,5606
2017,1,1,"B","E","Forest","Forest",21106.1348845637,15781199.9815474,41,5421
2017,1,1,"C","A","Forest","Forest",58930.6374382758,43403321.8290305,159,5606
2017,1,1,"C","B","Forest","Forest",47852.3525956418,39257850.5925273,86,5606
2017,1,1,"C","D","Forest","Forest",25857.4532940462,19902851.3097662,54,5606
2017,1,1,"C","E","Forest","Forest",10596.4065588701,8998001.43215919,20,5606
2017,1,1,"D","A","Forest","Forest",11600.3154611231,10502468.6362083,30,5606
2017,1,1,"D","B","Forest","Forest",2302.34927894379,1575564.6155178,7,5421
2017,1,1,"D","C","Forest","Forest",10760.029394873,8636959.0104342,26,5606
2017,1,1,"D","E","Forest","Forest",12977.6818204651,12036791.9336938,26,5606
2017,1,1,"E","A","Forest","Forest",9744.63754654303,8831113.375731,23,5606
2017,1,1,"E","B","Forest","Forest",8753.121089072,7333264.92959318,16,5606
2017,1,1,"E","C","Forest","Forest",8924.34452657834,7954582.32679819,18,5606
2017,1,1,"E","D","Forest","Forest",10078.2501897933,8915667.23663495,21,5606
2018,0,1,NA,"A","Non-forest","Forest",8753.05220172358,3276293.22640617,78,6527
2018,0,1,NA,"B","Non-forest","Forest",2645.54903872179,603646.466412802,34,6527
2018,0,1,NA,"C","Non-forest","Forest",6045.68606606767,2096275.24117975,70,6527
2018,0,1,NA,"D","Non-forest","Forest",1108.71345208062,610422.076446914,16,6527
2018,0,1,NA,"E","Non-forest","Forest",1013.43445128059,102478.010178074,16,6527
2018,1,0,"A",NA,"Forest","Non-forest",8545.7892752314,3120079.91680009,78,6527
2018,1,0,"B",NA,"Forest","Non-forest",3299.60045561249,1157530.95287835,40,6527
2018,1,0,"C",NA,"Forest","Non-forest",8142.73239920277,2294514.84910639,86,6527
2018,1,0,"D",NA,"Forest","Non-forest",1769.94532100709,464343.375457313,20,6527
2018,1,0,"E",NA,"Forest","Non-forest",1099.14348729461,261930.751644483,12,6527
2018,1,1,"A","B","Forest","Forest",24030.876480901,14808668.8927306,63,6308
2018,1,1,"A","C","Forest","Forest",33260.2420301166,20089733.1442829,115,6527
2018,1,1,"A","D","Forest","Forest",5552.08629611107,5702236.11085807,13,6527
2018,1,1,"A","E","Forest","Forest",3749.60908297651,2513930.04980516,13,6308
2018,1,1,"B","A","Forest","Forest",27099.4357658497,20525085.5519459,89,6527
2018,1,1,"B","C","Forest","Forest",45059.4318558769,28167699.6075583,116,6527
2018,1,1,"B","D","Forest","Forest",7356.02915674524,4549661.73438169,19,6527
2018,1,1,"B","E","Forest","Forest",21718.2709187601,15107008.1936967,47,6527
2018,1,1,"C","A","Forest","Forest",61584.8425556962,40150749.5027565,181,6527
2018,1,1,"C","B","Forest","Forest",46110.009366813,32744127.2815658,97,6527
2018,1,1,"C","D","Forest","Forest",25161.7764128929,15880979.206626,62,6527
2018,1,1,"C","E","Forest","Forest",10922.1773445655,7899656.14979194,23,6527
2018,1,1,"D","A","Forest","Forest",10742.5573166511,7597227.94511184,35,6527
2018,1,1,"D","B","Forest","Forest",2297.55113200419,1285389.5880404,8,6308
2018,1,1,"D","C","Forest","Forest",10837.6843506883,7762463.38491172,29,6527
2018,1,1,"D","E","Forest","Forest",11497.0429933275,8195492.98743221,29,6527
2018,1,1,"E","A","Forest","Forest",8837.25251662398,6667108.21897897,25,6527
2018,1,1,"E","B","Forest","Forest",9345.57875306157,6715608.69104209,20,6527
2018,1,1,"E","C","Forest","Forest",7708.73440828626,5625965.48819272,19,6527
2018,1,1,"E","D","Forest","Forest",10467.7492123487,7720769.97546632,26,6527
2019,0,1,NA,"A","Non-forest","Forest",9716.60478934058,3755267.47615991,90,7427
2019,0,1,NA,"B","Non-forest","Forest",2433.0815065446,495820.34426607,38,7427
2019,0,1,NA,"C","Non-forest","Forest",6328.01614800362,2242984.4826047,75,7427
2019,0,1,NA,"D","Non-forest","Forest",1248.76399099016,582150.052614148,17,7427
2019,0,1,NA,"E","Non-forest","Forest",911.827629921733,79572.9347151815,17,7427
