"YEAR","sclass","PERC_CHNG","AREA_CHNG","PREV_AREA","PERC_CHNG_VAR","AREA_CHNG_VAR","PREV_AREA_VAR","nPlots_AREA","N"
2017,"A",2.2063722622465,45348.7312250156,2055352.67103305,0.0170737402121875,141683031.373873,14261115004.889,746,5606
2017,"B",-0.824310525211407,-21290.95484471,2582880.38227458,0.0016412967481192,151503935.195887,17975066149.8388,595,5606
2017,"C",-1.20442602527884,-47970.1815237808,3982825.05666342,0.00222262649604851,198676568.190037,26049807264.9576,887,5606
2017,"D",1.01130813236824,8528.39716107217,843303.528183909,0.0113796671951433,75986076.7434675,7099852498.11494,247,5606
2017,"E",0.959060641270311,11291.1879628262,1177317.4163284,0.00678725249395741,76467273.4853803,9447686076.06311,291,5606
2018,"A",1.98135227401538,41878.537191208,2113634.09427126,0.0112579377915575,129098503.34086,12243357010.1513,876,6527
2018,"B",-0.78296177784379,-20103.203381343,2567584.26148278,0.00128768365766383,133369626.477488,15539382826.7222,697,6527
2018,"C",-1.24903805121191,-49009.7593681346,3923800.34544037,0.00207226353045676,169194593.025993,21901141432.8698,1026,6527
2018,"D",1.55730215671895,12501.5734165005,802771.213188311,0.0219608218601085,62075486.0063342,5447029339.64742,285,6527
2018,"E",0.945051463102792,11442.076413295,1210735.80223117,0.00549672345571663,63205431.3109481,8358376322.43448,336,6527
2019,"A",1.89542384621843,40296.5009376209,2125988.91894374,0.00905701471482852,113453113.203499,10864934581.7599,993,7427
2019,"B",-0.830246839353163,-21225.048562161,2556474.47916781,0.00127876210924378,115861731.651724,13526499401.4346,794,7427
2019,"C",-1.25446730507352,-48517.4133122509,3867570.96944885,0.00185688767265844,152759310.690887,18944288125.4897,1152,7427
2019,"D",1.79954809634992,14842.522976215,824791.679995694,0.0249579480577641,56487871.4506323,4953590796.72178,328,7427
2019,"E",1.02358939685366,12338.7683153118,1205441.20066495,0.00568846947156974,55074635.3940404,7355924074.47525,390,7427
