"PLT_CN","sclass"
558630458126144,"E"
558630459126144,"B"
558630460126144,"C"
558630461126144,"C"
558630462126144,"D"
558630463126144,"A"
558630464126144,"D"
558630465126144,"D"
558630466126144,"B"
558630467126144,"A"
558630468126144,"E"
558630469126144,"C"
558630470126144,"C"
558630471126144,"A"
558630472126144,"A"
558630473126144,"A"
558630474126144,NA
558630475126144,"A"
558630476126144,"C"
558630477126144,"A"
558630478126144,"E"
558630479126144,"B"
558630480126144,"C"
558630481126144,"E"
558630482126144,"C"
558630483126144,"C"
558630484126144,"A"
558630485126144,"E"
558630486126144,"E"
558630487126144,"B"
558630488126144,"C"
558630489126144,"E"
558630490126144,"E"
558630491126144,"C"
558630492126144,"C"
558630493126144,"B"
558630494126144,"C"
558630495126144,"B"
558630496126144,"E"
558630497126144,"C"
558630499126144,NA
558630500126144,"D"
558630501126144,"C"
558630502126144,"A"
558630503126144,"B"
558630504126144,"C"
558630653126144,"E"
558630654126144,"E"
558630656126144,"B"
558630657126144,"E"
558630658126144,"B"
558630659126144,"C"
558630660126144,"E"
558630661126144,"B"
558630662126144,"E"
558630663126144,"E"
558630664126144,"E"
558630665126144,"E"
558630666126144,"B"
558630667126144,"E"
558630668126144,"E"
558630669126144,"E"
558630670126144,"C"
558630671126144,"E"
558630672126144,"D"
558630673126144,"E"
558630674126144,"E"
558630676126144,"E"
558630677126144,"E"
558630678126144,"D"
558630679126144,"C"
558630680126144,"E"
558630681126144,"B"
558630682126144,"C"
558630684126144,"A"
558630686126144,"D"
558630687126144,"E"
558630688126144,"E"
558630691126144,"C"
558630692126144,"C"
558630693126144,"D"
558630694126144,"D"
558630695126144,"D"
558630696126144,"E"
558630697126144,"D"
558630699126144,"E"
558630700126144,"A"
558630701126144,"D"
558630702126144,"E"
558630703126144,"E"
558630704126144,"E"
558630705126144,"E"
558630706126144,"E"
558630707126144,"D"
558630711126144,"E"
558630712126144,"B"
558630713126144,"E"
558630714126144,"D"
558630715126144,"B"
558630717126144,"D"
558630718126144,"E"
558630720126144,"E"
558630506126144,"B"
558630507126144,"C"
558630508126144,"C"
558630509126144,"A"
558630510126144,"C"
558630511126144,"C"
558630513126144,NA
558630514126144,NA
558630515126144,"B"
558630516126144,NA
558630517126144,"C"
558630518126144,"E"
558630519126144,"D"
558630520126144,"C"
558630521126144,NA
558630522126144,"B"
558630523126144,"C"
558630524126144,"C"
558630525126144,"C"
558630526126144,NA
558630527126144,NA
558630528126144,"C"
558630529126144,"D"
558630530126144,"C"
558630531126144,"E"
558630532126144,NA
558630533126144,"C"
558630534126144,"E"
558630535126144,"E"
558630536126144,"C"
558630537126144,"C"
558630538126144,"C"
558630539126144,"B"
558630540126144,"C"
558630541126144,"C"
558630542126144,"B"
558630543126144,NA
558630544126144,"B"
558630546126144,"B"
558630547126144,"B"
558630548126144,"C"
558630549126144,"D"
558630550126144,"E"
558630551126144,"B"
558630552126144,"D"
558630553126144,"B"
558630554126144,"E"
558630555126144,"D"
558630556126144,"B"
558630557126144,"E"
558630558126144,"E"
558630559126144,"E"
558630560126144,"C"
558630561126144,"C"
558630562126144,NA
558630563126144,"C"
558630564126144,"D"
558630565126144,"D"
558630566126144,"D"
558630567126144,"C"
558630721126144,"E"
558630722126144,"B"
558630723126144,"E"
558630724126144,"B"
558630725126144,"E"
558630726126144,"D"
558630727126144,"E"
558630728126144,"D"
558630729126144,"E"
558630730126144,"B"
558630731126144,"E"
558630732126144,"E"
558630749126144,"E"
558630750126144,"B"
558630752126144,"B"
558630753126144,"E"
558630754126144,"B"
558630755126144,"E"
558630756126144,"C"
558630758126144,"E"
558630761126144,"D"
558630762126144,"E"
558630768126144,"D"
558630771126144,"E"
558630772126144,"C"
558630773126144,"E"
558630774126144,"D"
558630775126144,"B"
558630776126144,"B"
558630777126144,"B"
558630783126144,"E"
558630784126144,"B"
558630786126144,"E"
558630787126144,"B"
558630788126144,"E"
558630789126144,"D"
558630790126144,"E"
558629958126144,"A"
558629959126144,"E"
558629960126144,"E"
558629963126144,"B"
558629964126144,"D"
558629966126144,"D"
558629968126144,"D"
558629969126144,"D"
558629972126144,"E"
558629973126144,"E"
558630568126144,"D"
30764379020004,NA
30764380020004,NA
30764381020004,NA
30764382020004,NA
30764383020004,NA
30764384020004,NA
30764385020004,NA
30764386020004,NA
30764387020004,"B"
30764388020004,"C"
30764389020004,"C"
30764390020004,"B"
30764392020004,"A"
30764393020004,"C"
30764394020004,NA
30764395020004,NA
30764396020004,NA
30764397020004,NA
30764398020004,"A"
30764400020004,"D"
30764401020004,"C"
30764402020004,NA
30764403020004,NA
30764413020004,"E"
174763763020004,"D"
174763765020004,NA
174763778020004,"C"
174763782020004,"A"
174763783020004,"E"
174763786020004,"A"
174763789020004,"A"
174763797020004,"D"
174763800020004,"C"
174763801020004,"C"
174763665020004,"C"
174763666020004,"E"
174763667020004,NA
174763668020004,"B"
174763669020004,"E"
174763670020004,"E"
174763674020004,"D"
174763675020004,"A"
174763687020004,"E"
174763688020004,"B"
174763689020004,"E"
174763690020004,"E"
174763691020004,"B"
174763700020004,"E"
174763701020004,"E"
174763702020004,"D"
174763703020004,"B"
174763704020004,"E"
174763705020004,"C"
174763709020004,"E"
174763711020004,"C"
174763716020004,"A"
174763718020004,"C"
174763719020004,"C"
174763730020004,"C"
174763731020004,"C"
174763732020004,"E"
174763733020004,"B"
174763734020004,"B"
174763735020004,"E"
174763738020004,"C"
174763739020004,"A"
174763741020004,"C"
174763746020004,"B"
174763748020004,"B"
174763750020004,"A"
174763751020004,"C"
174763752020004,"A"
174763754020004,"A"
174763755020004,"D"
174763756020004,NA
30852396020004,"C"
30852399020004,"A"
30852401020004,"D"
30852643020004,"C"
30852644020004,"E"
30852645020004,"C"
30852646020004,"C"
30852647020004,"D"
30852648020004,"E"
30852649020004,"C"
30852650020004,"D"
30852651020004,"C"
30852653020004,"E"
30852654020004,"E"
30852655020004,"E"
30852656020004,NA
30852657020004,"B"
30852658020004,"D"
30852660020004,"A"
30852661020004,"C"
30852662020004,"C"
30852663020004,"B"
30852664020004,"E"
30852665020004,"A"
30852666020004,"B"
30852667020004,"D"
30852668020004,"B"
30852669020004,"D"
30852670020004,"A"
30852671020004,"C"
30852672020004,"B"
30852673020004,"C"
30852674020004,"A"
30852675020004,"B"
30852676020004,NA
30852677020004,"C"
30852678020004,"C"
30852679020004,"C"
30852680020004,"E"
30852681020004,"C"
30852682020004,"E"
30852683020004,"C"
30852684020004,"B"
30852685020004,"E"
30852686020004,"E"
30852687020004,"B"
30852688020004,"C"
30852689020004,"B"
30852690020004,"E"
30852692020004,"B"
30852693020004,"B"
30852694020004,"B"
30852695020004,"D"
30852696020004,"B"
30764414020004,"D"
30764415020004,"E"
30764416020004,"E"
30764417020004,"A"
30764419020004,"B"
30764420020004,"E"
30764421020004,"B"
30764428020004,NA
30764429020004,NA
30764430020004,NA
30764431020004,"B"
30764432020004,NA
30764433020004,NA
30764434020004,NA
30764435020004,NA
30764436020004,NA
30764437020004,NA
30764438020004,"A"
30764439020004,"C"
30764440020004,"C"
30764441020004,"C"
30764442020004,"C"
30764443020004,"B"
30764444020004,NA
30764445020004,"C"
30764457020004,"E"
30764458020004,NA
30764459020004,"E"
30764495020004,"B"
30764496020004,NA
30764497020004,NA
30764500020004,"E"
30764501020004,"B"
30764502020004,"E"
30764503020004,"E"
30764504020004,NA
30764505020004,"E"
30764506020004,"B"
30764507020004,"B"
30764508020004,"B"
30764509020004,"D"
30764510020004,"E"
30764511020004,"B"
30764512020004,"B"
30764513020004,"A"
30764514020004,"D"
30764515020004,NA
30764516020004,NA
30764517020004,NA
30764518020004,"E"
30764519020004,"C"
30764520020004,"A"
30764521020004,"A"
30764522020004,"B"
30764523020004,"D"
30764524020004,NA
30764525020004,NA
30764526020004,NA
30764527020004,NA
30764528020004,NA
174763874020004,"C"
174763875020004,"B"
174763876020004,"E"
174763877020004,"E"
174763878020004,"C"
174763880020004,"A"
174763881020004,"B"
174763882020004,"E"
174763888020004,"D"
174763889020004,"E"
174763890020004,"C"
174763891020004,"B"
174763892020004,"E"
174763893020004,"A"
174763895020004,"D"
174763897020004,"C"
174763901020004,"D"
174763802020004,"D"
174763803020004,"C"
174763807020004,"D"
174763809020004,"E"
174763810020004,"C"
174763811020004,"B"
174763812020004,"C"
174763813020004,"B"
174763815020004,"D"
174763816020004,"A"
174763817020004,"C"
174763819020004,"B"
174763820020004,"A"
174763821020004,"A"
174763822020004,"E"
174763824020004,"C"
174763825020004,"B"
174763826020004,"E"
174763827020004,"E"
174763828020004,"B"
174763830020004,"C"
174763831020004,"C"
174763832020004,"A"
174763833020004,"C"
174763835020004,NA
174763836020004,"B"
174763840020004,"B"
174763841020004,"E"
174763843020004,"E"
174763847020004,"A"
174763848020004,"E"
174763849020004,"B"
174763851020004,"E"
174763857020004,"E"
174763858020004,"E"
174763859020004,"A"
174763860020004,"E"
174763864020004,"C"
174763868020004,"E"
174763871020004,"E"
174763872020004,"B"
174763873020004,"C"
30852697020004,"E"
30852698020004,"C"
30852699020004,"C"
30852700020004,"B"
30852701020004,"B"
30852702020004,"C"
30852703020004,"D"
30852704020004,"B"
30852705020004,"B"
30852706020004,"B"
30852707020004,"D"
30852708020004,"B"
30852709020004,"D"
30852710020004,"E"
30852711020004,"C"
30852712020004,"D"
30852713020004,"A"
30852715020004,"B"
30852716020004,"D"
30852717020004,"E"
30852718020004,"C"
30852719020004,"E"
30852720020004,"B"
30852721020004,"E"
30852722020004,"A"
30852723020004,"E"
30852724020004,"B"
30852725020004,"E"
30852726020004,"E"
30852727020004,"D"
30852728020004,"D"
30852729020004,"B"
30852730020004,NA
30852731020004,"D"
30852732020004,"E"
30852733020004,"A"
30852734020004,"A"
30852735020004,"A"
30852736020004,"D"
30852737020004,"D"
30852738020004,"B"
30852739020004,"A"
30852740020004,"E"
30852741020004,"E"
30852742020004,"B"
30852743020004,NA
30852744020004,"E"
30852745020004,NA
30852746020004,NA
30852747020004,"C"
30852748020004,"C"
30852749020004,"E"
30852750020004,"E"
30852751020004,"A"
30852752020004,"E"
30852753020004,"C"
30852754020004,"D"
30852755020004,"D"
30852756020004,"C"
558630592126144,"E"
558630593126144,"A"
558630594126144,"E"
558630595126144,"E"
558630596126144,"E"
558630597126144,"D"
558630599126144,"B"
558630600126144,"C"
558630602126144,"D"
558630603126144,"A"
558630604126144,"C"
558630605126144,"E"
558630606126144,"E"
558630607126144,"A"
558630608126144,"E"
558630610126144,"B"
558630611126144,"E"
558630612126144,"A"
558630613126144,"E"
558630614126144,"E"
558630615126144,"E"
558630616126144,"D"
558630617126144,"D"
558630618126144,"E"
558630619126144,"B"
558630620126144,"E"
558630621126144,"E"
558630622126144,"B"
558630623126144,"A"
558630624126144,"A"
558630625126144,"E"
558630626126144,"E"
558630627126144,"E"
558630628126144,"B"
558630629126144,"E"
558630630126144,NA
558630631126144,"E"
558630632126144,"E"
558630633126144,"B"
558630634126144,"E"
558630636126144,"C"
558630637126144,"B"
558630638126144,"E"
558630639126144,"E"
558630640126144,"D"
558630641126144,"E"
558630642126144,"E"
558630643126144,"E"
558630644126144,"C"
558630645126144,"D"
558630646126144,"E"
558630647126144,NA
558630648126144,"C"
558630649126144,"B"
558630650126144,"E"
558630651126144,"D"
558630652126144,"E"
558630445126144,"E"
558630446126144,"C"
558630447126144,"C"
558630448126144,"E"
558630449126144,"E"
558630450126144,"B"
558630451126144,"C"
558630452126144,"B"
558630453126144,"E"
558630454126144,"C"
558630455126144,"E"
558630456126144,"C"
558630609126144,"E"
558630457126144,"B"
24378293010900,NA
24378308010900,NA
24378324010900,NA
24378340010900,NA
24378356010900,NA
24378463010900,NA
24378478010900,NA
24378494010900,NA
24378510010900,NA
24378526010900,NA
24378542010900,NA
24378557010900,NA
24378579010900,NA
24378595010900,NA
24378611010900,NA
24378627010900,NA
24378643010900,NA
24378659010900,NA
24378681010900,NA
24378697010900,NA
24378713010900,"A"
24378838010900,NA
24378855010900,NA
24378871010900,NA
24378888010900,NA
24378904010900,NA
24378934010900,NA
24378950010900,NA
24378966010900,NA
24378983010900,NA
24379000010900,NA
24379016010900,NA
24379047010900,NA
24379064010900,NA
24379080010900,NA
24379096010900,"E"
24379411010900,NA
24379428010900,"B"
23852775010900,NA
23852799010900,NA
23852813010900,NA
23852837010900,"C"
23852971010900,NA
23853081010900,"C"
23853246010900,NA
23853271010900,NA
23853297010900,NA
23853323010900,NA
23853349010900,NA
23853375010900,NA
23853401010900,NA
23853427010900,"E"
23853632010900,NA
23853651010900,NA
24378277010900,NA
23853677010900,NA
23853703010900,NA
23853729010900,NA
23853755010900,NA
23853781010900,"A"
24451927010900,"B"
24452118010900,NA
24452142010900,"A"
24452300010900,"B"
24452495010900,NA
24452511010900,NA
24452528010900,NA
24452704010900,"E"
24452936010900,NA
24452953010900,"D"
24453058010900,"E"
24453245010900,"B"
24453444010900,"C"
24453619010900,"E"
24453805010900,"B"
24453960010900,"E"
24454167010900,"C"
24454333010900,"D"
24454480010900,"E"
24454810010900,NA
24454833010900,NA
24454850010900,NA
24454867010900,NA
24454883010900,NA
24454900010900,NA
24454917010900,NA
24454934010900,NA
24454950010900,NA
24454967010900,NA
24454984010900,NA
24455001010900,NA
24455018010900,NA
24455035010900,NA
24455052010900,NA
24455068010900,NA
24455084010900,"D"
24455288010900,"C"
24455483010900,"C"
24455693010900,"B"
24455962010900,"B"
24469543010900,"B"
24469798010900,"A"
24469972010900,NA
24469989010900,NA
24470005010900,NA
24470021010900,"C"
24470130010900,NA
24470147010900,NA
24470179010900,"C"
15350081010497,NA
15350096010497,NA
15350111010497,NA
15350126010497,NA
15350141010497,NA
15350156010497,NA
15350170010497,NA
15350185010497,NA
15350200010497,NA
15350214010497,NA
15350229010497,NA
15350244010497,NA
23853934010900,NA
23853958010900,"C"
23854100010900,"A"
23854226010900,"C"
23854394010900,"E"
23854647010900,"C"
23854800010900,NA
23854832010900,"C"
23854973010900,NA
23854997010900,NA
23855021010900,"C"
23855286010900,"C"
23855467010900,"E"
23855711010900,NA
23855735010900,"D"
23855958010900,"A"
23856080010900,"C"
23856223010900,NA
23856269010900,"A"
23856448010900,"E"
23856719010900,"D"
23856904010900,"C"
23857173010900,"D"
23857345010900,"B"
23857563010900,NA
23857657010900,NA
23857681010900,"D"
23857867010900,"C"
23858043010900,NA
23858067010900,NA
23858084010900,NA
23858108010900,NA
23858147010900,NA
23858229010900,NA
23858252010900,NA
23858275010900,NA
23858298010900,"A"
23852751010900,NA
23858562010900,NA
41118896010497,"E"
41118897010497,"E"
41118898010497,"B"
41118899010497,"B"
41118900010497,"A"
41118902010497,"B"
41118903010497,"C"
41118905010497,"B"
41118906010497,NA
41118907010497,"E"
41118908010497,"B"
41118910010497,"B"
41118911010497,"E"
41118912010497,"E"
41118913010497,"A"
41118914010497,"C"
41118915010497,"C"
41118916010497,"C"
41118917010497,"B"
41118918010497,"C"
41118919010497,"D"
41118920010497,"C"
41118921010497,"A"
41118922010497,"D"
41118923010497,"B"
41118925010497,"E"
41118926010497,"C"
41118927010497,"C"
41118928010497,"B"
41118929010497,"D"
41118930010497,"E"
41118931010497,"C"
41118932010497,"D"
41118933010497,"E"
41118934010497,"A"
41118935010497,"C"
24391154010900,"A"
24391292010900,"D"
24391477010900,"D"
24391653010900,"A"
24391821010900,"D"
24391995010900,NA
24392009010900,"A"
24392248010900,"B"
24392480010900,"C"
24392620010900,"C"
24392928010900,"B"
24393135010900,"C"
24393245010900,"A"
24393546010900,"B"
24393806010900,"A"
24394008010900,"D"
24394178010900,"C"
24394420010900,"A"
24394678010900,"B"
24394950010900,"A"
24395166010900,NA
24395201010900,"D"
24395322010900,"A"
24395579010900,NA
24395594010900,"A"
24395814010900,"A"
24396017010900,"A"
24396237010900,NA
24396252010900,"C"
24396512010900,NA
24396535010900,"A"
24396769010900,NA
24396784010900,NA
24396800010900,"C"
24397070010900,NA
24387156010900,"E"
24387460010900,"A"
24387726010900,NA
24387741010900,"C"
24387894010900,"E"
24388143010900,"A"
24388375010900,NA
24388392010900,NA
24388415010900,NA
24388585010900,"E"
24388882010900,"C"
24388983010900,NA
24388999010900,"C"
24389222010900,NA
24389444010900,"A"
24389551010900,"B"
24389850010900,"B"
24390071010900,"C"
24390335010900,"C"
24390590010900,"E"
24390782010900,"D"
24390927010900,"D"
24397086010900,NA
24397117010900,"B"
24397321010900,"C"
23859117010900,NA
23859140010900,NA
23859164010900,NA
23859187010900,NA
23859211010900,NA
23859234010900,NA
23859257010900,NA
23859280010900,"B"
23859502010900,NA
23859525010900,"B"
23859682010900,"E"
23859766010900,"A"
23859897010900,NA
23859921010900,"A"
23860125010900,NA
23860148010900,NA
23860171010900,NA
23860194010900,NA
23860210010900,"B"
23860369010900,NA
23860393010900,NA
23860417010900,NA
23860510010900,NA
23860534010900,NA
23860557010900,NA
23860581010900,NA
23860604010900,"B"
23860781010900,NA
23860877010900,NA
23860900010900,NA
23860924010900,NA
23860948010900,NA
23860972010900,NA
23860995010900,NA
23861018010900,NA
23861041010900,"E"
24387577010900,"A"
23861177010900,NA
23861200010900,NA
23861223010900,NA
23861246010900,NA
23861332010900,NA
23861392010900,NA
23861479010900,NA
23861538010900,NA
23861561010900,"E"
23861827010900,"A"
23862044010900,"E"
23862225010900,"A"
23862313010900,"B"
23862490010900,"B"
23862812010900,"B"
23863006010900,"A"
23858585010900,NA
23858609010900,NA
23858632010900,NA
23858655010900,NA
23858678010900,"A"
23858879010900,"B"
23858943010900,"B"
23863116010900,"C"
23863258010900,NA
