"pltID","mapzone","strat","n","MAP_ZONE","BPS_LLID","BPS","BpS_Code","OBJECTID","PVT","BpS","LF_BPS","BpS_Name","FRG"
"4_41_1_50638",2,2051,3259,"OBM","RaMCONms_fcm_17050201","RaMCONms","RaMCONms_fcm",22,"fcm","RaMCONms","RaMCONms_fcm","Mixed Conifer - Eastside Mesic",3
"4_41_1_54407",2,724,2085,"OBM","RaPIPOm_fdp_1705020201","RaPIPOm","RaPIPOm_fdp",52,"fdp","RaPIPOm","RaPIPOm_fdp","Dry Ponderosa Pine - Mesic",1
"4_41_1_57388",2,680,1631,"OBM","RaMCONdy_fdd_1705020301","RaMCONdy","RaMCONdy_fdd",42,"fdd","RaMCONdy","RaMCONdy_fdd","Mixed Conifer - Eastside Dry",1
"4_41_1_59296",2,874,3301,"OBM","RaMCONdy_fdg_1705011612","RaMCONdy","RaMCONdy_fdg",23,"fdg","RaMCONdy","RaMCONdy_fdg","Mixed Conifer - Eastside Dry",1
"4_41_1_61614",2,700,1184,"OBM","RaMCONdy_fdg_1705020302","RaMCONdy","RaMCONdy_fdg",23,"fdg","RaMCONdy","RaMCONdy_fdg","Mixed Conifer - Eastside Dry",1
"4_41_1_61957",2,612,1572,"OBM","RaMCONdy_fdd_1705020308","RaMCONdy","RaMCONdy_fdd",42,"fdd","RaMCONdy","RaMCONdy_fdd","Mixed Conifer - Eastside Dry",1
"4_41_1_62549",2,775,1091,"OBM","RaMCONdy_fdd_1705020205","RaMCONdy","RaMCONdy_fdd",42,"fdd","RaMCONdy","RaMCONdy_fdd","Mixed Conifer - Eastside Dry",1
"4_41_1_63431",2,820,2638,"OBM","RaMCONdy_fdg_1705020202","RaMCONdy","RaMCONdy_fdg",23,"fdg","RaMCONdy","RaMCONdy_fdg","Mixed Conifer - Eastside Dry",1
"4_41_1_64521",2,820,1775,"OBM","RaMCONdy_fdg_1705020202","RaMCONdy","RaMCONdy_fdg",23,"fdg","RaMCONdy","RaMCONdy_fdg","Mixed Conifer - Eastside Dry",1
"4_41_1_64528",2,2318,597,"OBM","RaSPFI_fcd_OBM","RaSPFI","RaSPFI_fcd",9,"fcd","RaSPFI","RaSPFI_fcd","Spruce - Fir",4
"4_41_1_66091",2,676,2537,"OBM","RaMCONdy_fdg_1705020301","RaMCONdy","RaMCONdy_fdg",23,"fdg","RaMCONdy","RaMCONdy_fdg","Mixed Conifer - Eastside Dry",1
"4_41_1_66490",2,2056,1971,"OBM","RaMCONms_fcm_17050203","RaMCONms","RaMCONms_fcm",22,"fcm","RaMCONms","RaMCONms_fcm","Mixed Conifer - Eastside Mesic",3
"4_41_1_67217",2,683,857,"OBM","RaPIPOm_fdp_1705020301","RaPIPOm","RaPIPOm_fdp",52,"fdp","RaPIPOm","RaPIPOm_fdp","Dry Ponderosa Pine - Mesic",1
"4_41_1_67366",2,822,2394,"OBM","RaMCONdy_fdd_1705020202","RaMCONdy","RaMCONdy_fdd",42,"fdd","RaMCONdy","RaMCONdy_fdd","Mixed Conifer - Eastside Dry",1
