"PLT_CN","CONDID","sclass"
5931296010901,1,"B"
5931423010901,1,"E"
5936567010901,1,"E"
5953858010901,2,"B"
8601029010901,1,"E"
8601215010901,1,"B"
8601444010901,1,"E"
8601534010901,1,"B"
8601608010901,1,"A"
8601727010901,1,"B"
8601830010901,1,"E"
8601898010901,1,"B"
8601987010901,2,"E"
8602092010901,1,"B"
8602201010901,1,"B"
8602309010901,1,"B"
8602309010901,2,"B"
8602309010901,3,"A"
8602439010901,1,"E"
8602439010901,2,"A"
8602576010901,1,"B"
8602576010901,2,"B"
8602701010901,1,"B"
8603058010901,1,"B"
8603138010901,1,"B"
8603202010901,1,"B"
8603298010901,1,"B"
8603412010901,1,"B"
8603504010901,1,"B"
8603585010901,1,"B"
8603585010901,2,"B"
8603672010901,1,"B"
8603786010901,1,"B"
8603868010901,1,"B"
8603953010901,1,"B"
8604065010901,1,"A"
8604065010901,2,"B"
8604185010901,1,"E"
8604281010901,1,"E"
8604451010901,1,"B"
8604558010901,1,"B"
8604814010901,1,"C"
8604981010901,1,"B"
8605136010901,2,"B"
8605189010901,1,"E"
8605352010901,1,"E"
8605545010901,1,"B"
8605640010901,1,"E"
8605721010901,1,"B"
8605918010901,1,"B"
8606898010901,3,"B"
8607086010901,1,"B"
8607214010901,1,"A"
8607314010901,1,"B"
8607420010901,1,"A"
8607420010901,2,"B"
8607548010901,1,"B"
8607548010901,2,"A"
8607657010901,1,"B"
8607752010901,1,"B"
8607920010901,1,"B"
8608037010901,1,"A"
8608037010901,2,"B"
8608141010901,1,"A"
8608289010901,1,"E"
8608495010901,1,"B"
8608687010901,1,"E"
8608929010901,1,"B"
8609048010901,1,"A"
8609172010901,1,"E"
8609367010901,1,"E"
8609564010901,1,"E"
8609695010901,1,"E"
8609695010901,2,"B"
8609835010901,1,"B"
8609953010901,1,"E"
8610065010901,1,"E"
8610184010901,1,"E"
8610319010901,1,"B"
8610439010901,1,"E"
8610591010901,1,"E"
8610691010901,1,"E"
8610899010901,1,"B"
8611003010901,1,"E"
8611129010901,1,"E"
8611282010901,1,"E"
8611388010901,1,"A"
8611504010901,1,"B"
8611606010901,1,"B"
8611720010901,1,"A"
8611720010901,3,"E"
8611843010901,1,"E"
8612080010901,1,"E"
8612169010901,2,"B"
8612169010901,3,"E"
8612300010901,1,"E"
8612489010901,3,"C"
8612719010901,1,"B"
8612980010901,1,"E"
8613196010901,1,"B"
8613276010901,2,"B"
8613355010901,1,"E"
8613561010901,2,"C"
8613652010901,1,"E"
8613768010901,1,"E"
8614073010901,1,"E"
8614179010901,1,"E"
8614308010901,1,"B"
8614308010901,2,"C"
8614440010901,1,"A"
8614440010901,2,"A"
8614641010901,2,"B"
8614672010901,1,"B"
8614749010901,1,"B"
8614909010901,2,"B"
8615050010901,1,"E"
8615050010901,2,"B"
8615300010901,1,"E"
8615448010901,1,"E"
8615562010901,1,"B"
8615716010901,1,"B"
8615827010901,1,"E"
