"type","REST_ACRES","YEAR","BpS_Code","BPS_LLID","AREA_STRATA","REST_PCT"
"passive",45140.8519951345,2002,"Na0210290_fwo","Na0210290_fwo_1710030708",54073.6013486532,0.834803876
"active",16971.0500412035,2002,"Na0210290_fwo","Na0210290_fwo_1710031001",64849.0067348059,0.261701002
"both",40118.6931438066,2002,"Na0210290_fwo","Na0210290_fwo_1710031001",64849.0067348059,0.618647766
"passive",1569.29174921267,2002,"Na0210290_fwo","Na0210290_fwo_1710031001",64849.0067348059,0.024199164
"active",2911.90098807963,2002,"Na0710270_fdd","Na0710270_fdd_1710030111",39745.138030872,0.073264332
"passive",25537.28483664,2002,"Na0710270_fdd","Na0710270_fdd_1710030111",39745.138030872,0.642526007
"passive",10784.0140434519,2002,"Na0710270_fdd","Na0710270_fdd_1710030201",13148.172665163,0.820191088
"active",3829.83343519097,2002,"Na0710270_fdd","Na0710270_fdd_1710030203",15262.5927323672,0.250929413
"both",723.698819869846,2002,"Na0710270_fdd","Na0710270_fdd_1710030203",15262.5927323672,0.047416506
"passive",3047.23517106024,2002,"Na0710270_fdd","Na0710270_fdd_1710030203",15262.5927323672,0.199653835
"active",15940.598408007,2002,"Na0710270_fdd","Na0710270_fdd_1710030204",24661.1484792752,0.646385079
"both",1169.34549483444,2002,"Na0710270_fdd","Na0710270_fdd_1710030204",24661.1484792752,0.047416506
"active",5983.32862664725,2002,"Na0710270_fdd","Na0710270_fdd_1710030205",138307.2076847,0.0432611483292142
"both",42839.1068984296,2002,"Na0710270_fdd","Na0710270_fdd_1710030205",138307.2076847,0.309738788133806
"passive",39468.8264515156,2002,"Na0710270_fdd","Na0710270_fdd_1710030205",138307.2076847,0.285370712866194
"active",29452.9566885373,2002,"Na0710270_fdd","Na0710270_fdd_1710030207",45565.6506398677,0.646385079
"both",2160.56394695919,2002,"Na0710270_fdd","Na0710270_fdd_1710030207",45565.6506398677,0.047416506
"active",21037.0063043729,2002,"Na0710270_fdd","Na0710270_fdd_1710030209",83836.3508401182,0.250929413
"both",33153.5599564886,2002,"Na0710270_fdd","Na0710270_fdd_1710030209",83836.3508401182,0.395455666
"passive",16738.2489576351,2002,"Na0710270_fdd","Na0710270_fdd_1710030209",83836.3508401182,0.199653835
"passive",49262.301202466,2002,"Na0710270_fdd","Na0710270_fdd_1710030210",60061.9805838051,0.820191088
"active",15206.191185508,2002,"Na0710270_fdd","Na0710270_fdd_1710030501",60599.4769752561,0.250929413
"both",23964.4065265016,2002,"Na0710270_fdd","Na0710270_fdd_1710030501",60599.4769752561,0.395455666
"passive",12098.9179771041,2002,"Na0710270_fdd","Na0710270_fdd_1710030501",60599.4769752561,0.199653835
"active",13078.4792658943,2002,"Na0710270_fdd","Na0710270_fdd_1710030704",178510.864821565,0.073264332
"both",69780.0527851102,2002,"Na0710270_fdd","Na0710270_fdd_1710030704",178510.864821565,0.390900872363487
"passive",36453.4589019298,2002,"Na0710270_fdd","Na0710270_fdd_1710030704",178510.864821565,0.204208628636513
"passive",48976.085377447,2002,"Na0710270_fdd","Na0710270_fdd_1710030705",59713.0182149053,0.820191088
"active",5807.82127261486,2002,"Na0710270_fdd","Na0710270_fdd_1710030707",79272.1521382991,0.073264332
"passive",50934.4193797178,2002,"Na0710270_fdd","Na0710270_fdd_1710030707",79272.1521382991,0.642526007
"active",28334.0570835753,2002,"Na0710270_fdd","Na0710270_fdd_1710030802",112916.444289356,0.250929413
"both",44653.4476787992,2002,"Na0710270_fdd","Na0710270_fdd_1710030802",112916.444289356,0.395455666
"passive",22544.2011369338,2002,"Na0710270_fdd","Na0710270_fdd_1710030802",112916.444289356,0.199653835
"active",4751.11915928906,2002,"Na0710270_fdd","Na0710270_fdd_1710030803",64849.0067348059,0.073264332
"passive",41667.1733552309,2002,"Na0710270_fdd","Na0710270_fdd_1710030803",64849.0067348059,0.642526007
"active",8093.98869954818,2002,"Na0710270_fdd","Na0710270_fdd_1710030902",32256.0380737358,0.250929413
"both",12755.8330189705,2002,"Na0710270_fdd","Na0710270_fdd_1710030902",32256.0380737358,0.395455666
"passive",6440.04170332737,2002,"Na0710270_fdd","Na0710270_fdd_1710030902",32256.0380737358,0.199653835
"active",16290.5349915496,2002,"Na0710270_fdd","Na0710270_fdd_1710030903",64920.7870722975,0.250929413
"both",25673.2930889196,2002,"Na0710270_fdd","Na0710270_fdd_1710030903",64920.7870722975,0.395455666
"passive",12961.6841102026,2002,"Na0710270_fdd","Na0710270_fdd_1710030903",64920.7870722975,0.199653835
"active",11433.7619680251,2002,"Na0710270_fdd","Na0710270_fdd_1710030904",45565.6506398677,0.250929413
"both",18019.1947205122,2002,"Na0710270_fdd","Na0710270_fdd_1710030904",45565.6506398677,0.395455666
"passive",9097.35689451979,2002,"Na0710270_fdd","Na0710270_fdd_1710030904",45565.6506398677,0.199653835
"active",4893.22309154439,2002,"Na0710270_fdd","Na0710270_fdd_1710031002",66788.6126573076,0.073264332
"both",26411.9352996116,2002,"Na0710270_fdd","Na0710270_fdd_1710031002",66788.6126573076,0.395455666
"passive",13334.602651361,2002,"Na0710270_fdd","Na0710270_fdd_1710031002",66788.6126573076,0.199653835
"active",28759.8511171793,2002,"Na0710270_fdd","Na0710270_fdd_1710031003",96679.5467612026,0.297476064800095
"passive",21139.9921564523,2002,"Na0710270_fdd","Na0710270_fdd_1710031003",96679.5467612026,0.218660439199905
"active",20198.9397876238,2002,"Na0710270_fdd","Na0710270_fdd_1710031105",322149.791800929,0.0627004589222446
"passive",228750.230912726,2002,"Na0710270_fdd","Na0710270_fdd_1710031105",322149.791800929,0.710074123077756
"active",13072.8226368486,2002,"Na0710270_fdd","Na0710270_fdd_1710031107",20224.511767928,0.646385079
"both",958.975683591029,2002,"Na0710270_fdd","Na0710270_fdd_1710031107",20224.511767928,0.047416506
"passive",8198.82527052865,2002,"Na0710412_fmc","Na0710412_fmc_OEC",10741.9555273939,0.76325258
"active",7350.89126594496,2002,"Na0710412_fmc","Na0710412_fmc_OSW",24661.1484792752,0.298075788
"both",4973.22091431203,2002,"Na0710412_fmc","Na0710412_fmc_OSW",24661.1484792752,0.201662178
"active",125735.822333145,2002,"Na0710412_fmh","Na0710412_fmh_OEC",577726.832315111,0.217638882773173
"passive",143130.055448552,2002,"Na0710412_fmh","Na0710412_fmh_OEC",577726.832315111,0.247746941015341
"active",18063.2368517873,2002,"Na0710412_fmh","Na0710412_fmh_OSW",60599.4769752561,0.298075788
"both",12220.622512491,2002,"Na0710412_fmh","Na0710412_fmh_OSW",60599.4769752561,0.201662178
"active",105566.084658307,2002,"Na0710412_fmh","Na0710412_fmh_WEC",835866.585157539,0.126295376
"both",58990.9755762708,2002,"Na0710412_fmh","Na0710412_fmh_WEC",835866.585157539,0.0705746307171168
"passive",33398.5926777354,2002,"Na0710412_fmh","Na0710412_fmh_WEC",835866.585157539,0.0399568463087212
"active",12936.0647053817,2002,"Na0710412_fmi","Na0710412_fmi_OSW",43398.5758862832,0.298075788
"both",8751.85133532615,2002,"Na0710412_fmi","Na0710412_fmi_OSW",43398.5758862832,0.201662178
"active",7628.82153514735,2002,"Na1010471_frn","Na1010471_frn_17010215",55974.4663526952,0.136291099
"both",4219.97132864284,2002,"Na1010471_frn","Na1010471_frn_17010215",55974.4663526952,0.075391006
"passive",20001.7862255825,2002,"Na1010471_frn","Na1010471_frn_17010215",55974.4663526952,0.357337685
