"BpS_Code","Order","Donate","Receive","Primary","Secondary","ActiveOnly","ActivePassive","PassiveOnly","REST_ACRES","strataID"
"Na0210290_fwo",10,"A","C","Grow w/ fire","None",0,0,1,10123.6473157137,"2002_Na0210290_fwo_Na0210290_fwo_1710030708"
"Na0210290_fwo",12,"A","B","Grow w/o fire","None",0,0,1,256.156058395205,"2002_Na0210290_fwo_Na0210290_fwo_1710030708"
"Na0210290_fwo",18,"A","D","Grow w/ fire","Grow w/ fire",0,0,1,33452.5126739189,"2002_Na0210290_fwo_Na0210290_fwo_1710030708"
"Na0210290_fwo",19,"A","E","Grow w/o fire","Grow w/o fire",0,0,1,1308.53594710668,"2002_Na0210290_fwo_Na0210290_fwo_1710030708"
"Na0210290_fwo",1,"B","C","Thin / low fire","None",1,0,0,12141.0162553168,"2002_Na0210290_fwo_Na0210290_fwo_1710031001"
"Na0210290_fwo",3,"B","D","Thin / low fire","Grow w/ fire",0,1,0,40118.6931438066,"2002_Na0210290_fwo_Na0210290_fwo_1710031001"
"Na0210290_fwo",6,"B","A","Regen / high fire","None",1,0,0,4830.03378588663,"2002_Na0210290_fwo_Na0210290_fwo_1710031001"
"Na0210290_fwo",13,"B","E","Grow w/o fire","None",0,0,1,1569.29174921267,"2002_Na0210290_fwo_Na0210290_fwo_1710031001"
"Na0710270_fdd",7,"C","A","Regen / high fire","None",1,0,0,2911.90098807963,"2002_Na0710270_fdd_Na0710270_fdd_1710030111"
"Na0710270_fdd",11,"C","D","Grow w/ fire","None",0,0,1,15717.4400302604,"2002_Na0710270_fdd_Na0710270_fdd_1710030111"
"Na0710270_fdd",14,"C","B","Grow w/o fire","None",0,0,1,1884.57557591167,"2002_Na0710270_fdd_Na0710270_fdd_1710030111"
"Na0710270_fdd",19,"C","E","Grow w/o fire","Grow w/o fire",0,0,1,7935.26923046794,"2002_Na0710270_fdd_Na0710270_fdd_1710030111"
"Na0710270_fdd",10,"A","C","Grow w/ fire","None",0,0,1,2335.97116155817,"2002_Na0710270_fdd_Na0710270_fdd_1710030201"
"Na0710270_fdd",12,"A","B","Grow w/o fire","None",0,0,1,623.440408066737,"2002_Na0710270_fdd_Na0710270_fdd_1710030201"
"Na0710270_fdd",18,"A","D","Grow w/ fire","Grow w/ fire",0,0,1,5199.51937798503,"2002_Na0710270_fdd_Na0710270_fdd_1710030201"
"Na0710270_fdd",20,"A","E","Grow w/o fire","Grow w/o fire",0,0,1,2625.08309584196,"2002_Na0710270_fdd_Na0710270_fdd_1710030201"
"Na0710270_fdd",4,"D","C","Overstory removal","None",1,0,0,2711.62977406603,"2002_Na0710270_fdd_Na0710270_fdd_1710030203"
"Na0710270_fdd",8,"D","A","Regen / high fire","None",1,0,0,1118.20366112494,"2002_Na0710270_fdd_Na0710270_fdd_1710030203"
"Na0710270_fdd",15,"D","E","Grow w/o fire","None",0,0,1,3047.23517106024,"2002_Na0710270_fdd_Na0710270_fdd_1710030203"
"Na0710270_fdd",16,"D","B","Regen / high fire","Grow w/o fire",0,1,0,723.698819869846,"2002_Na0710270_fdd_Na0710270_fdd_1710030203"
"Na0710270_fdd",2,"E","D","Thin / low fire","None",1,0,0,9752.39089619666,"2002_Na0710270_fdd_Na0710270_fdd_1710030204"
"Na0710270_fdd",5,"E","C","Overstory removal","None",1,0,0,4381.42494212346,"2002_Na0710270_fdd_Na0710270_fdd_1710030204"
"Na0710270_fdd",9,"E","A","Regen / high fire","None",1,0,0,1806.78256968691,"2002_Na0710270_fdd_Na0710270_fdd_1710030204"
"Na0710270_fdd",17,"E","B","Regen / high fire","Grow w/o fire",0,1,0,1169.34549483444,"2002_Na0710270_fdd_Na0710270_fdd_1710030204"
"Na0710270_fdd",1,"B","C","Thin / low fire","None",1,0,0,5983.32862664725,"2002_Na0710270_fdd_Na0710270_fdd_1710030205"
"Na0710270_fdd",3,"B","D","Thin / low fire","Grow w/ fire",0,1,0,42839.1068984296,"2002_Na0710270_fdd_Na0710270_fdd_1710030205"
"Na0710270_fdd",13,"B","E","Grow w/o fire","None",0,0,1,1.81898940354586e-12,"2002_Na0710270_fdd_Na0710270_fdd_1710030205"
"Na0710270_fdd",18,"A","D","Grow w/ fire","Grow w/ fire",0,0,1,11855.2620291238,"2002_Na0710270_fdd_Na0710270_fdd_1710030205"
"Na0710270_fdd",20,"A","E","Grow w/o fire","Grow w/o fire",0,0,1,27613.5644223918,"2002_Na0710270_fdd_Na0710270_fdd_1710030205"
"Na0710270_fdd",2,"E","D","Thin / low fire","None",1,0,0,18019.1947205122,"2002_Na0710270_fdd_Na0710270_fdd_1710030207"
"Na0710270_fdd",5,"E","C","Overstory removal","None",1,0,0,8095.4250117498,"2002_Na0710270_fdd_Na0710270_fdd_1710030207"
"Na0710270_fdd",9,"E","A","Regen / high fire","None",1,0,0,3338.33695627528,"2002_Na0710270_fdd_Na0710270_fdd_1710030207"
