"type","REST_ACRES","YEAR","BpS_Code","BPS_LLID","AREA_STRATA","REST_PCT"
"active",6930.52130986855,2010,"Na0210290_fwo","Na0210290_fwo_1710030111",7872.47232209286,0.880348768
"both",37.2932711999379,2010,"Na0210290_fwo","Na0210290_fwo_1710030111",7872.47232209286,0.004737174
"active",17808.4279160122,2010,"Na0210290_fwo","Na0210290_fwo_1710030301",21769.033178366,0.818062417843628
"both",103.123697977693,2010,"Na0210290_fwo","Na0210290_fwo_1710030301",21769.033178366,0.004737174
"passive",1263.1379167592,2010,"Na0210290_fwo","Na0210290_fwo_1710030707",1513.09541447218,0.834803876
"active",9365.44431246784,2010,"Na0210290_fwo","Na0210290_fwo_1710030708",41388.8839406164,0.226279218495118
"both",11209.9844878123,2010,"Na0210290_fwo","Na0210290_fwo_1710030708",41388.8839406164,0.270845295173847
"passive",7250.66974022238,2010,"Na0210290_fwo","Na0210290_fwo_1710030708",41388.8839406164,0.175183987822079
"active",7761.04447566649,2010,"Na0210290_fwo","Na0210290_fwo_1710030801",22685.6790164427,0.342112064181163
"both",5314.09111321047,2010,"Na0210290_fwo","Na0210290_fwo_1710030801",22685.6790164427,0.234248713003424
"passive",1542.15209773026,2010,"Na0210290_fwo","Na0210290_fwo_1710030801",22685.6790164427,0.0679791024378201
"active",1614.63766993951,2010,"Na0210290_fwo","Na0210290_fwo_1710030802",6169.78023622358,0.261701002
"both",3816.92075985067,2010,"Na0210290_fwo","Na0210290_fwo_1710030802",6169.78023622358,0.618647766
"passive",149.303523780333,2010,"Na0210290_fwo","Na0210290_fwo_1710030802",6169.78023622358,0.024199164
"active",965.466564340237,2010,"Na0210290_fwo","Na0210290_fwo_1710030903",12962.5486090957,0.07448123
"both",6336.59445035893,2010,"Na0210290_fwo","Na0210290_fwo_1710030903",12962.5486090957,0.488838625909769
"passive",1996.34012797402,2010,"Na0210290_fwo","Na0210290_fwo_1710030903",12962.5486090957,0.154008304090231
"active",1843.68042913893,2010,"Na0210290_fwo","Na0210290_fwo_1710031001",7044.98803997292,0.261701002
"both",4358.36611242597,2010,"Na0210290_fwo","Na0210290_fwo_1710031001",7044.98803997292,0.618647766
"passive",170.482820957343,2010,"Na0210290_fwo","Na0210290_fwo_1710031001",7044.98803997292,0.024199164
"active",2723.88158924386,2010,"Na0210290_fwo","Na0210290_fwo_1801020604",14549.1128428671,0.187219772
"both",4513.13514090103,2010,"Na0210290_fwo","Na0210290_fwo_1801020604",14549.1128428671,0.310200023165924
"passive",4839.71738435968,2010,"Na0210290_fwo","Na0210290_fwo_1801020604",14549.1128428671,0.332646906834076
"active",154.63319595148,2010,"Na0710270_fdd","Na0710270_fdd_1710030103",2110.62043057295,0.073264332
"passive",1356.12851754866,2010,"Na0710270_fdd","Na0710270_fdd_1710030103",2110.62043057295,0.642526007
"both",9903.53223716278,2010,"Na0710270_fdd","Na0710270_fdd_1710030111",28887.4665177882,0.342831457063374
"passive",7158.64600271763,2010,"Na0710270_fdd","Na0710270_fdd_1710030111",28887.4665177882,0.247811485936626
"active",3820.20512331798,2010,"Na0710270_fdd","Na0710270_fdd_1710030201",10382.421378855,0.367949342828472
"passive",2065.53510055479,2010,"Na0710270_fdd","Na0710270_fdd_1710030201",10382.421378855,0.198945412171528
"active",8671.68105349322,2010,"Na0710270_fdd","Na0710270_fdd_1710030202",22708.186985655,0.381874654236871
"both",4533.20656653836,2010,"Na0710270_fdd","Na0710270_fdd_1710030202",22708.186985655,0.199628731672944
"both",4604.79192507448,2010,"Na0710270_fdd","Na0710270_fdd_1710030203",21771.9016079646,0.211501595404508
"passive",2452.43415645612,2010,"Na0710270_fdd","Na0710270_fdd_1710030203",21771.9016079646,0.112642166064124
"active",3813.30961568577,2010,"Na0710270_fdd","Na0710270_fdd_1710030204",5899.43942020631,0.646385079
"both",36081.5833186044,2010,"Na0710270_fdd","Na0710270_fdd_1710030205",91240.5268675664,0.395455666
"passive",3197.18887727502,2010,"Na0710270_fdd","Na0710270_fdd_1710030205",91240.5268675664,0.0350413241466225
"active",5997.01462098203,2010,"Na0710270_fdd","Na0710270_fdd_1710030206",13738.1756540743,0.436521905963801
"both",988.727639676017,2010,"Na0710270_fdd","Na0710270_fdd_1710030206",13738.1756540743,0.0719693549254328
"active",7777.23424623153,2010,"Na0710270_fdd","Na0710270_fdd_1710030207",62643.0344416151,0.124151620616018
"both",24772.5429053699,2010,"Na0710270_fdd","Na0710270_fdd_1710030207",62643.0344416151,0.395455666
"passive",5948.39439132995,2010,"Na0710270_fdd","Na0710270_fdd_1710030207",62643.0344416151,0.0949569963261278
"active",8433.80624083181,2010,"Na0710270_fdd","Na0710270_fdd_1710030208",13047.6499455703,0.646385079
"both",618.673971930034,2010,"Na0710270_fdd","Na0710270_fdd_1710030208",13047.6499455703,0.047416506
"active",15243.9985180603,2010,"Na0710270_fdd","Na0710270_fdd_1710030209",85801.8831402231,0.177665081
"both",31585.050226214,2010,"Na0710270_fdd","Na0710270_fdd_1710030209",85801.8831402231,0.368116049091785
"passive",12917.9379632489,2010,"Na0710270_fdd","Na0710270_fdd_1710030209",85801.8831402231,0.150555413126977
"both",9363.84925117072,2010,"Na0710270_fdd","Na0710270_fdd_1710030210",31602.0892221103,0.296304753314199
"passive",9442.85429635685,2010,"Na0710270_fdd","Na0710270_fdd_1710030210",31602.0892221103,0.298804747685801
"both",9248.01488797601,2010,"Na0710270_fdd","Na0710270_fdd_1710030211",24915.3833138182,0.371176905909652
"passive",5468.08043847066,2010,"Na0710270_fdd","Na0710270_fdd_1710030211",24915.3833138182,0.219466037090348
"active",3412.70239250802,2010,"Na0710270_fdd","Na0710270_fdd_1710030212",53136.5978240526,0.0642250827538537
"both",21013.1686814849,2010,"Na0710270_fdd","Na0710270_fdd_1710030212",53136.5978240526,0.395455666
"active",822.714632536203,2010,"Na0710270_fdd","Na0710270_fdd_1710030213",15525.1502583154,0.0529923780992426
"both",5827.27669604514,2010,"Na0710270_fdd","Na0710270_fdd_1710030213",15525.1502583154,0.375344302572789
"passive",3411.88772713094,2010,"Na0710270_fdd","Na0710270_fdd_1710030213",15525.1502583154,0.219765198427211
"active",2653.96614930759,2010,"Na0710270_fdd","Na0710270_fdd_1710030501",14938.0290959234,0.177665081
"both",4223.05738014692,2010,"Na0710270_fdd","Na0710270_fdd_1710030501",14938.0290959234,0.282705124821279
"passive",4666.70566105154,2010,"Na0710270_fdd","Na0710270_fdd_1710030501",14938.0290959234,0.312404376178721
"active",1369.06962825363,2010,"Na0710270_fdd","Na0710270_fdd_1710030703",18686.7141333335,0.073264332
"both",7389.766982949,2010,"Na0710270_fdd","Na0710270_fdd_1710030703",18686.7141333335,0.395455666
