"BpS_Code","Order","Donate","Receive","Primary","Secondary","ActiveOnly","ActivePassive","PassiveOnly","REST_ACRES","strataID"
"Na0210290_fwo",2,"E","D","Thin / low fire","None",1,0,0,4870.28741495958,"2011_Na0210290_fwo_Na0210290_fwo_1710030111"
"Na0210290_fwo",5,"E","C","Overstory removal","None",1,0,0,1473.88247321854,"2011_Na0210290_fwo_Na0210290_fwo_1710030111"
"Na0210290_fwo",9,"E","A","Regen / high fire","None",1,0,0,586.351421690432,"2011_Na0210290_fwo_Na0210290_fwo_1710030111"
"Na0210290_fwo",17,"E","B","Regen / high fire","Grow w/o fire",0,1,0,37.2932711999379,"2011_Na0210290_fwo_Na0210290_fwo_1710030111"
"Na0210290_fwo",10,"A","C","Grow w/ fire","None",0,0,1,281.490828083052,"2011_Na0210290_fwo_Na0210290_fwo_1710030213"
"Na0210290_fwo",12,"A","B","Grow w/o fire","None",0,0,1,7.1224904174838,"2011_Na0210290_fwo_Na0210290_fwo_1710030213"
"Na0210290_fwo",18,"A","D","Grow w/ fire","Grow w/ fire",0,0,1,930.156415012994,"2011_Na0210290_fwo_Na0210290_fwo_1710030213"
"Na0210290_fwo",19,"A","E","Grow w/o fire","Grow w/o fire",0,0,1,36.3842057946613,"2011_Na0210290_fwo_Na0210290_fwo_1710030213"
"Na0210290_fwo",2,"E","D","Thin / low fire","None",1,0,0,12628.5308099479,"2011_Na0210290_fwo_Na0210290_fwo_1710030301"
"Na0210290_fwo",5,"E","C","Overstory removal","None",1,0,0,3821.73958894313,"2011_Na0210290_fwo_Na0210290_fwo_1710030301"
"Na0210290_fwo",12,"A","B","Grow w/o fire","None",0,0,1,96.7004992160341,"2011_Na0210290_fwo_Na0210290_fwo_1710030301"
"Na0210290_fwo",10,"A","C","Grow w/ fire","None",0,0,1,283.281378511727,"2011_Na0210290_fwo_Na0210290_fwo_1710030707"
"Na0210290_fwo",12,"A","B","Grow w/o fire","None",0,0,1,7.16779625695684,"2011_Na0210290_fwo_Na0210290_fwo_1710030707"
"Na0210290_fwo",18,"A","D","Grow w/ fire","Grow w/ fire",0,0,1,936.073097908058,"2011_Na0210290_fwo_Na0210290_fwo_1710030707"
"Na0210290_fwo",19,"A","E","Grow w/o fire","Grow w/o fire",0,0,1,36.6156440824603,"2011_Na0210290_fwo_Na0210290_fwo_1710030707"
"Na0210290_fwo",2,"E","D","Thin / low fire","None",1,0,0,5551.37848138899,"2011_Na0210290_fwo_Na0210290_fwo_1710030708"
"Na0210290_fwo",3,"B","D","Thin / low fire","Grow w/ fire",0,1,0,13537.6847815432,"2011_Na0210290_fwo_Na0210290_fwo_1710030708"
"Na0210290_fwo",18,"A","D","Grow w/ fire","Grow w/ fire",0,0,1,1935.61607301886,"2011_Na0210290_fwo_Na0210290_fwo_1710030708"
"Na0210290_fwo",2,"E","D","Thin / low fire","None",1,0,0,7178.20143277461,"2011_Na0210290_fwo_Na0210290_fwo_1710030801"
"Na0210290_fwo",3,"B","D","Thin / low fire","Grow w/ fire",0,1,0,5314.09111321047,"2011_Na0210290_fwo_Na0210290_fwo_1710030801"
"Na0210290_fwo",6,"B","A","Regen / high fire","None",1,0,0,1.13686837721616e-13,"2011_Na0210290_fwo_Na0210290_fwo_1710030801"
"Na0210290_fwo",7,"C","A","Regen / high fire","None",1,0,0,582.843042891881,"2011_Na0210290_fwo_Na0210290_fwo_1710030801"
"Na0210290_fwo",11,"C","D","Grow w/ fire","None",0,0,1,1542.15209773026,"2011_Na0210290_fwo_Na0210290_fwo_1710030801"
"Na0210290_fwo",1,"B","C","Thin / low fire","None",1,0,0,1155.10484911588,"2011_Na0210290_fwo_Na0210290_fwo_1710030802"
"Na0210290_fwo",3,"B","D","Thin / low fire","Grow w/ fire",0,1,0,3816.92075985067,"2011_Na0210290_fwo_Na0210290_fwo_1710030802"
"Na0210290_fwo",6,"B","A","Regen / high fire","None",1,0,0,459.532820823623,"2011_Na0210290_fwo_Na0210290_fwo_1710030802"
"Na0210290_fwo",13,"B","E","Grow w/o fire","None",0,0,1,149.303523780333,"2011_Na0210290_fwo_Na0210290_fwo_1710030802"
"Na0210290_fwo",3,"B","D","Thin / low fire","Grow w/ fire",0,1,0,6336.59445035893,"2011_Na0210290_fwo_Na0210290_fwo_1710030903"
"Na0210290_fwo",6,"B","A","Regen / high fire","None",1,0,0,1.13686837721616e-13,"2011_Na0210290_fwo_Na0210290_fwo_1710030903"
"Na0210290_fwo",7,"C","A","Regen / high fire","None",1,0,0,965.466564340237,"2011_Na0210290_fwo_Na0210290_fwo_1710030903"
"Na0210290_fwo",11,"C","D","Grow w/ fire","None",0,0,1,1682.65728832454,"2011_Na0210290_fwo_Na0210290_fwo_1710030903"
"Na0210290_fwo",20,"C","E","Grow w/o fire","Grow w/o fire",0,0,1,313.682839649479,"2011_Na0210290_fwo_Na0210290_fwo_1710030903"
"Na0210290_fwo",1,"B","C","Thin / low fire","None",1,0,0,1318.96105458646,"2011_Na0210290_fwo_Na0210290_fwo_1710031001"
"Na0210290_fwo",3,"B","D","Thin / low fire","Grow w/ fire",0,1,0,4358.36611242597,"2011_Na0210290_fwo_Na0210290_fwo_1710031001"
"Na0210290_fwo",6,"B","A","Regen / high fire","None",1,0,0,524.719374552472,"2011_Na0210290_fwo_Na0210290_fwo_1710031001"
"Na0210290_fwo",13,"B","E","Grow w/o fire","None",0,0,1,170.482820957343,"2011_Na0210290_fwo_Na0210290_fwo_1710031001"
"Na0210290_fwo",1,"B","C","Thin / low fire","None",1,0,0,2723.88158924386,"2011_Na0210290_fwo_Na0210290_fwo_1801020604"
"Na0210290_fwo",3,"B","D","Thin / low fire","Grow w/ fire",0,1,0,4513.13514090103,"2011_Na0210290_fwo_Na0210290_fwo_1801020604"
"Na0210290_fwo",13,"B","E","Grow w/o fire","None",0,0,1,1.98951966012828e-13,"2011_Na0210290_fwo_Na0210290_fwo_1801020604"
"Na0210290_fwo",18,"A","D","Grow w/ fire","Grow w/ fire",0,0,1,4487.64101662064,"2011_Na0210290_fwo_Na0210290_fwo_1801020604"
"Na0210290_fwo",19,"A","E","Grow w/o fire","Grow w/o fire",0,0,1,352.076367739048,"2011_Na0210290_fwo_Na0210290_fwo_1801020604"
"Na0710270_fdd",7,"C","A","Regen / high fire","None",1,0,0,154.63319595148,"2011_Na0710270_fdd_Na0710270_fdd_1710030103"
"Na0710270_fdd",11,"C","D","Grow w/ fire","None",0,0,1,834.656808045433,"2011_Na0710270_fdd_Na0710270_fdd_1710030103"
"Na0710270_fdd",14,"C","B","Grow w/o fire","None",0,0,1,100.078246309985,"2011_Na0710270_fdd_Na0710270_fdd_1710030103"
"Na0710270_fdd",19,"C","E","Grow w/o fire","Grow w/o fire",0,0,1,421.393463193241,"2011_Na0710270_fdd_Na0710270_fdd_1710030103"
"Na0710270_fdd",3,"B","D","Thin / low fire","Grow w/ fire",0,1,0,9923.84578737975,"2011_Na0710270_fdd_Na0710270_fdd_1710030111"
"Na0710270_fdd",13,"B","E","Grow w/o fire","None",0,0,1,278.335482906285,"2011_Na0710270_fdd_Na0710270_fdd_1710030111"
"Na0710270_fdd",19,"C","E","Grow w/o fire","Grow w/o fire",0,0,1,4662.92132578304,"2011_Na0710270_fdd_Na0710270_fdd_1710030111"
"Na0710270_fdd",1,"B","C","Thin / low fire","None",1,0,0,288.155558875496,"2011_Na0710270_fdd_Na0710270_fdd_1710030201"
"Na0710270_fdd",2,"E","D","Thin / low fire","None",1,0,0,3087.79164046297,"2011_Na0710270_fdd_Na0710270_fdd_1710030201"
"Na0710270_fdd",10,"A","C","Grow w/ fire","None",0,0,1,752.608790273674,"2011_Na0710270_fdd_Na0710270_fdd_1710030201"
"Na0710270_fdd",18,"A","D","Grow w/ fire","Grow w/ fire",0,0,1,1333.82543584194,"2011_Na0710270_fdd_Na0710270_fdd_1710030201"
"Na0710270_fdd",1,"B","C","Thin / low fire","None",1,0,0,2688.25339291088,"2011_Na0710270_fdd_Na0710270_fdd_1710030202"
"Na0710270_fdd",2,"E","D","Thin / low fire","None",1,0,0,2325.94611935771,"2011_Na0710270_fdd_Na0710270_fdd_1710030202"
"Na0710270_fdd",3,"B","D","Thin / low fire","Grow w/ fire",0,1,0,3657.70035684733,"2011_Na0710270_fdd_Na0710270_fdd_1710030202"
"Na0710270_fdd",6,"B","A","Regen / high fire","None",1,0,0,1108.56386617891,"2011_Na0710270_fdd_Na0710270_fdd_1710030202"
"Na0710270_fdd",1,"B","C","Thin / low fire","None",1,0,0,1251.66670681123,"2011_Na0710270_fdd_Na0710270_fdd_1710030203"
"Na0710270_fdd",3,"B","D","Thin / low fire","Grow w/ fire",0,1,0,4434.98233072649,"2011_Na0710270_fdd_Na0710270_fdd_1710030203"
"Na0710270_fdd",13,"B","E","Grow w/o fire","None",0,0,1,1301.11268335675,"2011_Na0710270_fdd_Na0710270_fdd_1710030203"
"Na0710270_fdd",1,"B","C","Thin / low fire","None",1,0,0,1048.12438244555,"2011_Na0710270_fdd_Na0710270_fdd_1710030204"
"Na0710270_fdd",2,"E","D","Thin / low fire","None",1,0,0,2332.96674494434,"2011_Na0710270_fdd_Na0710270_fdd_1710030204"
"Na0710270_fdd",6,"B","A","Regen / high fire","None",1,0,0,245.795828145096,"2011_Na0710270_fdd_Na0710270_fdd_1710030204"
"Na0710270_fdd",3,"B","D","Thin / low fire","Grow w/ fire",0,1,0,17164.0725240421,"2011_Na0710270_fdd_Na0710270_fdd_1710030205"
"Na0710270_fdd",11,"C","D","Grow w/ fire","None",0,0,1,1952.09180913265,"2011_Na0710270_fdd_Na0710270_fdd_1710030205"
"Na0710270_fdd",18,"A","D","Grow w/ fire","Grow w/ fire",0,0,1,10524.3185835168,"2011_Na0710270_fdd_Na0710270_fdd_1710030205"
"Na0710270_fdd",20,"A","E","Grow w/o fire","Grow w/o fire",0,0,1,18.0187289505584,"2011_Na0710270_fdd_Na0710270_fdd_1710030205"
"Na0710270_fdd",1,"B","C","Thin / low fire","None",1,0,0,1558.66920321132,"2011_Na0710270_fdd_Na0710270_fdd_1710030206"
"Na0710270_fdd",2,"E","D","Thin / low fire","None",1,0,0,2411.19868886349,"2011_Na0710270_fdd_Na0710270_fdd_1710030206"
"Na0710270_fdd",3,"B","D","Thin / low fire","Grow w/ fire",0,1,0,1087.18509850494,"2011_Na0710270_fdd_Na0710270_fdd_1710030206"
