"strataID","YEAR","BpS_Code","SCLASS","MAP_ZONE","sclass","PERC_AREA","AREA_TOTAL","PERC_AREA_VAR","AREA_TOTAL_VAR","nPlots_AREA","N","AREA_STRATA","avg","low","high","departure"
"2002_Na0210290_fwo_OSW",2002,"Na0210290_fwo","A","OSW","A",0.573545001728765,18172.8239438999,0.00133207776505308,3532830624.23246,1,740,118922.608083459,11009.8362665946,8857.50212486398,13162.1702894026,5010.65365449731
"2002_Na0210290_fwo_OSW",2002,"Na0210290_fwo","B","OSW","B",0.687836999056275,2036.08705448379,0.00187816053161869,4257493065.73912,1,740,118922.608083459,1299.72207075447,563.357087025152,2036.08705448379,0
"2002_Na0210290_fwo_OSW",2002,"Na0210290_fwo","C",NA,NA,0,22264.6635710306,NA,NA,NA,NA,118922.608083459,25187.4752898514,22264.6635710306,28110.2892682018,0
"2002_Na0210290_fwo_OSW",2002,"Na0210290_fwo","D",NA,NA,0,73571.2058177255,NA,NA,NA,NA,118922.608083459,77206.9774807014,73571.2058177255,80842.7491436772,0
"2002_Na0210290_fwo_OSW",2002,"Na0210290_fwo","E",NA,NA,0,2877.82769631935,NA,NA,NA,NA,118922.608083459,4218.59566740862,2877.82769631935,5559.36340065266,0
"2002_Na0710270_fdd_OSW",2002,"Na0710270_fdd","A","OSW","A",2.48811381865666,174315.789175251,0.00637145243423373,30889701272.2183,6,1454,1625034.14360362,146686.414279264,119057.041008312,174315.789175251,0
"2002_Na0710270_fdd_OSW",2002,"Na0710270_fdd","B","OSW","B",3.36390105172116,127958.397909783,0.0116119501176561,37383299757.2746,13,1454,1625034.14360362,102505.92362767,77053.4412203861,127958.397909783,0
"2002_Na0710270_fdd_OSW",2002,"Na0710270_fdd","C","OSW","C",1.95793565816321,362945.007465061,0.00393019622316793,22241515721.4835,7,1454,1625034.14360362,325828.415108082,288711.822751104,362945.007465061,0
"2002_Na0710270_fdd_OSW",2002,"Na0710270_fdd","D","OSW","D",0.161641390016456,642628.959531511,9.38721860674108e-06,303694328.108526,1,714,1625034.14360362,687022.943918824,642628.959531511,731416.868179873,0
"2002_Na0710270_fdd_OSW",2002,"Na0710270_fdd","E","OSW","E",0.720802329131661,317185.989522018,0.000551235490022086,6885995727.05392,4,1454,1625034.14360362,362990.446669784,324444.298776404,401536.623813779,-7258.30925438611
"2002_Na0710412_fmc_OEC",2002,"Na0710412_fmc","A","OEC","A",0.113764722245432,2543.13025686525,5.31933379229281e-06,244883424.213676,1,714,10741.9555273939,1584.54989882115,1356.65931230749,1812.44048533481,730.689771530432
"2002_Na0710412_fmc_OEC",2002,"Na0710412_fmc","B",NA,NA,0,2166.24614763339,NA,NA,NA,NA,10741.9555273939,2437.48273754293,2166.24614763339,2708.71912335531,0
"2002_Na0710412_fmc_OEC",2002,"Na0710412_fmc","C",NA,NA,0,1468.20641028305,NA,NA,NA,NA,10741.9555273939,1712.58288004176,1468.20641028305,1956.95925312287,0
"2002_Na0710412_fmc_OEC",2002,"Na0710412_fmc","D",NA,NA,0,377.051135898348,NA,NA,NA,NA,10741.9555273939,529.18603609097,377.051135898348,681.320947025548,0
"2002_Na0710412_fmc_OEC",2002,"Na0710412_fmc","E",NA,NA,0,4187.32157671386,NA,NA,NA,NA,10741.9555273939,4478.15392118731,4187.32157671386,4768.98668459703,0
"2002_Na0710412_fmc_OSW",2002,"Na0710412_fmc","A",NA,NA,0,3114.58901978189,NA,NA,NA,NA,24661.1484792752,3637.77528476971,3114.58901978189,4160.96154975754,0
"2002_Na0710412_fmc_OSW",2002,"Na0710412_fmc","B",NA,NA,0,4973.22091431203,NA,NA,NA,NA,24661.1484792752,5595.91999361031,4973.22091431203,6218.61860434678,0
"2002_Na0710412_fmc_OSW",2002,"Na0710412_fmc","C",NA,NA,0,3370.67642757206,NA,NA,NA,NA,24661.1484792752,3931.71062569285,3370.67642757206,4492.7446018633,0
"2002_Na0710412_fmc_OSW",2002,"Na0710412_fmc","D",NA,NA,0,865.625818591007,NA,NA,NA,NA,24661.1484792752,1214.89382225776,865.625818591007,1564.16185058567,0
"2002_Na0710412_fmc_OSW",2002,"Na0710412_fmc","E","OSW","E",0.26117858148299,12337.0362990182,2.08665352827152e-05,492274726.964675,1,714,24661.1484792752,10280.8486296388,9613.16204209478,10948.5361789677,1388.50012005056
"2002_Na0710412_fmh_OEC",2002,"Na0710412_fmh","A","OEC","A",0.277390186996411,72964.227512526,2.37452725368325e-05,510232818.377176,2,714,577726.832315111,85220.702260091,72964.227512526,97477.1770076561,0
"2002_Na0710412_fmh_OEC",2002,"Na0710412_fmh","B","OEC","B",2.92732441235182,145681.083372264,0.00347334707969111,15091525219.1697,6,749,577726.832315111,131093.37282139,116505.651293706,145681.083372264,0
"2002_Na0710412_fmh_OEC",2002,"Na0710412_fmh","C",NA,NA,0,78963.48448236,NA,NA,NA,NA,577726.832315111,92106.6075762889,78963.48448236,105249.725470676,0
"2002_Na0710412_fmh_OEC",2002,"Na0710412_fmh","D","OEC","D",1.4193806817387,54914.3462204758,0.00655248082436663,11453297875.1191,2,775,577726.832315111,28460.830205131,20278.6687961848,36642.9921918041,18271.3540286717
"2002_Na0710412_fmh_OEC",2002,"Na0710412_fmh","E","OEC","E",0.759585027559072,225203.690727485,0.000235720899597868,5598586437.04958,2,749,577726.832315111,240845.316563576,225203.690727485,256486.964931013,0
"2002_Na0710412_fmh_OSW",2002,"Na0710412_fmh","A",NA,NA,0,7653.43372999331,NA,NA,NA,NA,60599.4769752561,8939.05163402337,7653.43372999331,10224.6695380534,0
"2002_Na0710412_fmh_OSW",2002,"Na0710412_fmh","B",NA,NA,0,12220.622512491,NA,NA,NA,NA,60599.4769752561,13750.7717896085,12220.622512491,15280.9199153359,0
"2002_Na0710412_fmh_OSW",2002,"Na0710412_fmh","C",NA,NA,0,8282.71354577623,NA,NA,NA,NA,60599.4769752561,9661.33461851028,8282.71354577623,11039.955145849,0
"2002_Na0710412_fmh_OSW",2002,"Na0710412_fmh","D",NA,NA,0,2127.08957601778,NA,NA,NA,NA,60599.4769752561,2985.34069778465,2127.08957601778,3843.591880151,0
"2002_Na0710412_fmh_OSW",2002,"Na0710412_fmh","E","OSW","E",0.642763312590076,30315.6176109778,0.00163458914025323,4207725893.08553,1,740,60599.4769752561,25262.9779323319,23622.2815137298,26903.6767143137,3411.94089666409
"2002_Na0710412_fmh_WEC",2002,"Na0710412_fmh","A",NA,NA,0,105566.084658307,NA,NA,NA,NA,835866.585157539,123298.994262425,105566.084658307,141031.903866542,0
"2002_Na0710412_fmh_WEC",2002,"Na0710412_fmh","B","WEC","B",1.29425200143748,168562.676080292,0.00515821007212746,4376303851.07412,5,915,835866.585157539,189668.479544036,168562.676080292,210774.267126315,0
"2002_Na0710412_fmh_WEC",2002,"Na0710412_fmh","C","WEC","C",3.25576695122112,153231.256644813,0.02537458064898,15369077326.2,8,949,835866.585157539,133261.65799972,114245.928065897,152277.380410745,953.876234068215
"2002_Na0710412_fmh_WEC",2002,"Na0710412_fmh","D","WEC","D",3.24844694275534,82677.4225725326,0.00713987478902352,2172125993.53193,6,323,835866.585157539,41177.6909495106,29339.5783094985,53015.8044253894,29661.6181471433
"2002_Na0710412_fmh_WEC",2002,"Na0710412_fmh","E","WEC","E",2.995974609085,325829.145201594,0.0218837821542921,24376640077.3295,3,949,835866.585157539,348459.758222514,325829.145201594,371090.403842231,0
"2002_Na0710412_fmi_OSW",2002,"Na0710412_fmi","A",NA,NA,0,5481.03945942267,NA,NA,NA,NA,43398.5758862832,6401.74024685017,5481.03945942267,7322.44103427767,0
"2002_Na0710412_fmi_OSW",2002,"Na0710412_fmi","B",NA,NA,0,8751.85133532615,NA,NA,NA,NA,43398.5758862832,9847.67431656143,8751.85133532615,10943.4964732238,0
"2002_Na0710412_fmi_OSW",2002,"Na0710412_fmi","C",NA,NA,0,5931.70090407693,NA,NA,NA,NA,43398.5758862832,6919.00631049005,5931.70090407693,7906.31132631598,0
"2002_Na0710412_fmi_OSW",2002,"Na0710412_fmi","D",NA,NA,0,1523.32434188207,NA,NA,NA,NA,43398.5758862832,2137.96457141236,1523.32434188207,2752.60484434124,0
"2002_Na0710412_fmi_OSW",2002,"Na0710412_fmi","E","OSW","E",3.18449912028513,21710.6598455754,0.146942316680393,4703826128.67231,1,35,43398.5758862832,18092.1902239763,16917.1984322463,19267.1837082508,2443.47613732461
"2002_Na1010471_frn_WNE",2002,"Na1010471_frn","A","WNE","A",1.42351242101983,79140.7443998682,0.00621923736144523,6235365095.7426,3,915,561306.345744507,67843.5611533639,56546.3835199231,79140.7443998682,0
"2002_Na1010471_frn_WNE",2002,"Na1010471_frn","B","WNE","B",2.55823051800744,212186.191774231,0.0195643380803859,12951027778.7833,7,915,561306.345744507,196039.662974753,179893.133613968,212186.191774231,0
"2002_Na1010471_frn_WNE",2002,"Na1010471_frn","C","WNE","C",5.24683698985279,35639.3016569971,0.0185510347042333,3400963923.49896,11,323,561306.345744507,27796.9881564803,19954.6752172697,35639.3016569971,0
"2002_Na1010471_frn_WNE",2002,"Na1010471_frn","D",NA,NA,0,42317.4500798622,NA,NA,NA,NA,561306.345744507,52438.6735184716,42317.4500798622,62559.8963957746,0
