"type","REST_ACRES","YEAR","BpS_Code","MAP_ZONE","AREA_STRATA","REST_PCT"
"active",16971.0500412035,2002,"Na0210290_fwo","OSW",64849.0067348059,0.261701002
"both",40118.6931438066,2002,"Na0210290_fwo","OSW",64849.0067348059,0.618647766
"passive",1569.29174921267,2002,"Na0210290_fwo","OSW",64849.0067348059,0.024199164
"both",418423.625036195,2002,"Na0710270_fdd","OSW",1478008.29752866,0.283099645472783
"passive",312051.821721221,2002,"Na0710270_fdd","OSW",1478008.29752866,0.211129952546948
"passive",8198.82527052865,2002,"Na0710412_fmc","OEC",10741.9555273939,0.76325258
"active",3370.67642757206,2002,"Na0710412_fmc","OSW",24661.1484792752,0.136679621
"both",3819.31038841007,2002,"Na0710412_fmc","OSW",24661.1484792752,0.154871554
"passive",10767.0725679967,2002,"Na0710412_fmc","OSW",24661.1484792752,0.436600614
"active",120194.303634296,2002,"Na0710412_fmh","OEC",577726.832315112,0.208046946950074
"passive",143130.055448552,2002,"Na0710412_fmh","OEC",577726.832315112,0.247746941015341
"active",18063.2368517873,2002,"Na0710412_fmh","OSW",60599.4769752561,0.298075788
"both",12220.622512491,2002,"Na0710412_fmh","OSW",60599.4769752561,0.201662178
"active",94208.0206105152,2002,"Na0710412_fmh","WEC",835866.585157539,0.112707006456969
"both",58990.9755762709,2002,"Na0710412_fmh","WEC",835866.585157539,0.0705746307171169
"passive",33398.5926777356,2002,"Na0710412_fmh","WEC",835866.585157539,0.0399568463087214
"active",12936.0647053817,2002,"Na0710412_fmi","OSW",43398.5758862832,0.298075788
"both",8751.85133532615,2002,"Na0710412_fmi","OSW",43398.5758862832,0.201662178
"both",4394.24837809568,2002,"Na1010471_frn","WNE",561306.345744507,0.00782860983384613
"passive",193218.906098001,2002,"Na1010471_frn","WNE",561306.345744507,0.34423075306893
"active",31085.3622289314,2002,"R1RFWF_fcw","OSW",159271.141649511,0.1951725962845
"both",4558.01374396779,2002,"R1RFWF_fcw","OSW",159271.141649511,0.0286179511037729
"active",3114.66090295405,2002,"RaABAMlw_fsi","OEC",23824.1999569163,0.130735173
"both",1393.7177225366,2002,"RaABAMlw_fsi","OEC",23824.1999569163,0.058500085
"active",3580.85068805401,2002,"RaABAMlw_fsi","OSW",32362.238509521,0.110649042
"both",5852.9000240932,2002,"RaABAMlw_fsi","OSW",32362.238509521,0.180855846
"passive",16953.4420379692,2002,"RaABAMlw_fsi","OSW",32362.238509521,0.523864937
"active",2120.17812004871,2002,"RaABAMlw_fsi","WEC",192594.360415861,0.0110085161137154
"both",13550.3430796219,2002,"RaABAMlw_fsi","WEC",192594.360415861,0.0703569047939059
"passive",100893.43248581,2002,"RaABAMlw_fsi","WEC",192594.360415861,0.523864937
"active",2475.62189983973,2002,"RaABAMlw_fsw","OEC",13082.2444295224,0.189235258
