"BpS_Code","Order","Donate","Receive","Primary","Secondary","ActiveOnly","ActivePassive","PassiveOnly","REST_ACRES","strataID"
"Na0210290_fwo",1,"B","C","Thin / low fire","None",1,0,0,22264.6635710306,"2002_Na0210290_fwo_OSW"
"Na0210290_fwo",3,"B","D","Thin / low fire","Grow w/ fire",0,1,0,40548.2561092915,"2002_Na0210290_fwo_OSW"
"Na0210290_fwo",18,"A","D","Grow w/ fire","Grow w/ fire",0,0,1,33022.949708434,"2002_Na0210290_fwo_OSW"
"Na0210290_fwo",19,"A","E","Grow w/o fire","Grow w/o fire",0,0,1,2877.82769631935,"2002_Na0210290_fwo_OSW"
"Na0710270_fdd",3,"B","D","Thin / low fire","Grow w/ fire",0,1,0,506817.020315607,"2002_Na0710270_fdd_OSW"
"Na0710270_fdd",11,"C","D","Grow w/ fire","None",0,0,1,6521.69418867631,"2002_Na0710270_fdd_OSW"
"Na0710270_fdd",18,"A","D","Grow w/ fire","Grow w/ fire",0,0,1,114027.65229486,"2002_Na0710270_fdd_OSW"
"Na0710270_fdd",20,"A","E","Grow w/o fire","Grow w/o fire",0,0,1,181169.027995079,"2002_Na0710270_fdd_OSW"
"Na0710412_fmc",9,"A","B","Grow w/o fire","None",0,0,1,2166.24614763339,"2002_Na0710412_fmc_OEC"
"Na0710412_fmc",12,"A","C","Grow w/ fire","None",0,0,1,1468.20641028305,"2002_Na0710412_fmc_OEC"
"Na0710412_fmc",18,"A","E","Grow w/o fire","Grow w/o fire",0,0,1,4187.32157671386,"2002_Na0710412_fmc_OEC"
"Na0710412_fmc",20,"A","D","Grow w/ fire","Grow w/ fire",0,0,1,377.051135898348,"2002_Na0710412_fmc_OEC"
"Na0710412_fmc",4,"E","A","Regen / high fire","None",1,0,0,3114.58901978189,"2002_Na0710412_fmc_OSW"
"Na0710412_fmc",6,"E","C","Overstory removal","None",1,0,0,3370.67642757206,"2002_Na0710412_fmc_OSW"
"Na0710412_fmc",8,"E","D","Thin / low fire","None",1,0,0,865.625818591007,"2002_Na0710412_fmc_OSW"
"Na0710412_fmc",16,"E","B","Regen / high fire","Grow w/o fire",0,1,0,4973.22091431203,"2002_Na0710412_fmc_OSW"
"Na0710412_fmh",1,"B","A","Regen / high fire","None",1,0,0,46772.3378507853,"2002_Na0710412_fmh_OEC"
"Na0710412_fmh",5,"D","C","Overstory removal","None",1,0,0,78963.48448236,"2002_Na0710412_fmh_OEC"
"Na0710412_fmh",10,"B","E","Grow w/o fire","None",0,0,1,123845.804598377,"2002_Na0710412_fmh_OEC"
"Na0710412_fmh",11,"D","E","Grow w/o fire","None",0,0,1,19284.2508501742,"2002_Na0710412_fmh_OEC"
"Na0710412_fmh",4,"E","A","Regen / high fire","None",1,0,0,7653.43372999331,"2002_Na0710412_fmh_OSW"
"Na0710412_fmh",6,"E","C","Overstory removal","None",1,0,0,8282.71354577623,"2002_Na0710412_fmh_OSW"
"Na0710412_fmh",8,"E","D","Thin / low fire","None",1,0,0,2127.08957601778,"2002_Na0710412_fmh_OSW"
"Na0710412_fmh",16,"E","B","Regen / high fire","Grow w/o fire",0,1,0,12220.622512491,"2002_Na0710412_fmh_OSW"
"Na0710412_fmh",2,"C","A","Regen / high fire","None",1,0,0,105566.084658307,"2002_Na0710412_fmh_WEC"
"Na0710412_fmh",11,"D","E","Grow w/o fire","None",0,0,1,33398.5926777354,"2002_Na0710412_fmh_WEC"
"Na0710412_fmh",14,"C","B","Regen / high fire","Grow w/o fire",0,1,0,58990.9755762708,"2002_Na0710412_fmh_WEC"
"Na0710412_fmi",4,"E","A","Regen / high fire","None",1,0,0,5481.03945942267,"2002_Na0710412_fmi_OSW"
"Na0710412_fmi",6,"E","C","Overstory removal","None",1,0,0,5931.70090407693,"2002_Na0710412_fmi_OSW"
"Na0710412_fmi",8,"E","D","Thin / low fire","None",1,0,0,1523.32434188207,"2002_Na0710412_fmi_OSW"
"Na0710412_fmi",16,"E","B","Regen / high fire","Grow w/o fire",0,1,0,8751.85133532615,"2002_Na0710412_fmi_OSW"
"Na1010471_frn",3,"B","D","Thin / low fire","Grow w/ fire",0,1,0,4394.24837809568,"2002_Na1010471_frn_WNE"
"Na1010471_frn",11,"C","D","Grow w/ fire","None",0,0,1,37923.2017017665,"2002_Na1010471_frn_WNE"
"Na1010471_frn",19,"A","E","Grow w/o fire","Grow w/o fire",0,0,1,41374.1757907138,"2002_Na1010471_frn_WNE"
"Na1010471_frn",20,"C","E","Grow w/o fire","Grow w/o fire",0,0,1,113921.52860552,"2002_Na1010471_frn_WNE"
"R1RFWF_fcw",1,"B","C","Thin / low fire","None",1,0,0,10983.6817945451,"2002_R1RFWF_fcw_OSW"
"R1RFWF_fcw",2,"E","D","Thin / low fire","None",1,0,0,18423.9239001707,"2002_R1RFWF_fcw_OSW"
"R1RFWF_fcw",3,"B","D","Thin / low fire","Grow w/ fire",0,1,0,4558.0137439678,"2002_R1RFWF_fcw_OSW"
"R1RFWF_fcw",6,"B","A","Regen / high fire","None",1,0,0,1677.75653421551,"2002_R1RFWF_fcw_OSW"
"RaABAMlw_fsi",1,"B","C","Thin / low fire","None",1,0,0,478.536001304815,"2002_RaABAMlw_fsi_OEC"
"RaABAMlw_fsi",3,"B","D","Thin / low fire","Grow w/ fire",0,1,0,1393.7177225366,"2002_RaABAMlw_fsi_OEC"
"RaABAMlw_fsi",6,"B","A","Regen / high fire","None",1,0,0,2636.12490164923,"2002_RaABAMlw_fsi_OEC"
"RaABAMlw_fsi",7,"C","A","Regen / high fire","None",1,0,0,3580.85068805401,"2002_RaABAMlw_fsi_OSW"
"RaABAMlw_fsi",14,"C","E","Grow w/o fire","None",0,0,1,12251.2257532007,"2002_RaABAMlw_fsi_OSW"
"RaABAMlw_fsi",15,"D","E","Grow w/o fire","None",0,0,1,4702.21628476848,"2002_RaABAMlw_fsi_OSW"
"RaABAMlw_fsi",17,"D","B","Regen / high fire","Grow w/o fire",0,1,0,5852.9000240932,"2002_RaABAMlw_fsi_OSW"
"RaABAMlw_fsi",7,"C","A","Regen / high fire","None",1,0,0,22642.6964784737,"2002_RaABAMlw_fsi_WEC"
"RaABAMlw_fsi",14,"C","E","Grow w/o fire","None",0,0,1,90961.0559387677,"2002_RaABAMlw_fsi_WEC"
"RaABAMlw_fsi",16,"C","B","Regen / high fire","Grow w/o fire",0,1,0,5325.44459617683,"2002_RaABAMlw_fsi_WEC"
"RaABAMlw_fsi",17,"D","B","Regen / high fire","Grow w/o fire",0,1,0,10402.5671989218,"2002_RaABAMlw_fsi_WEC"
"RaABAMlw_fsw",2,"E","D","Thin / low fire","None",1,0,0,765.312411117837,"2002_RaABAMlw_fsw_OEC"
"RaABAMlw_fsw",5,"E","C","Overstory removal","None",1,0,0,262.771675385407,"2002_RaABAMlw_fsw_OEC"
"RaABAMlw_fsw",9,"E","A","Regen / high fire","None",1,0,0,1447.53781333649,"2002_RaABAMlw_fsw_OEC"
"RaABAMlw_fsw",18,"E","B","Regen / high fire","Grow w/o fire",0,1,0,2366.00038388006,"2002_RaABAMlw_fsw_OEC"
"RaDFHEdy_fwi",2,"E","D","Thin / low fire","None",1,0,0,2259.0924658587,"2002_RaDFHEdy_fwi_OEC"
"RaDFHEdy_fwi",5,"E","C","Overstory removal","None",1,0,0,783.947500319721,"2002_RaDFHEdy_fwi_OEC"
"RaDFHEdy_fwi",9,"E","A","Regen / high fire","None",1,0,0,735.567409547873,"2002_RaDFHEdy_fwi_OEC"
"RaDFHEdy_fwi",18,"E","B","Regen / high fire","Grow w/o fire",0,1,0,2597.54833347086,"2002_RaDFHEdy_fwi_OEC"
"RaDFHEdy_fwi",1,"B","C","Thin / low fire","None",1,0,0,5009.51573793538,"2002_RaDFHEdy_fwi_OSW"
"RaDFHEdy_fwi",13,"B","E","Grow w/o fire","None",0,0,1,124296.604439364,"2002_RaDFHEdy_fwi_OSW"
"RaDFHEdy_fwi",20,"A","E","Grow w/o fire","Grow w/o fire",0,0,1,23794.6775524314,"2002_RaDFHEdy_fwi_OSW"
"RaDFHEdy_fwx",2,"E","D","Thin / low fire","None",1,0,0,5427.65716998981,"2002_RaDFHEdy_fwx_OSW"
"RaDFHEdy_fwx",5,"E","C","Overstory removal","None",1,0,0,1883.49894274405,"2002_RaDFHEdy_fwx_OSW"
"RaDFHEdy_fwx",9,"E","A","Regen / high fire","None",1,0,0,1767.26175877258,"2002_RaDFHEdy_fwx_OSW"
"RaDFHEdy_fwx",18,"E","B","Regen / high fire","Grow w/o fire",0,1,0,6240.82548617558,"2002_RaDFHEdy_fwx_OSW"
"RaDFHEwt_fhc",1,"B","A","Regen / high fire","None",1,0,0,2077.23548166623,"2002_RaDFHEwt_fhc_OSW"
"RaDFHEwt_fhc",7,"B","C","Thin / low fire","None",1,0,0,49.0602386848255,"2002_RaDFHEwt_fhc_OSW"
"RaDFHEwt_fhc",10,"B","E","Grow w/o fire","None",0,0,1,45540.0735931868,"2002_RaDFHEwt_fhc_OSW"
"RaDFHEwt_fhc",18,"B","D","Thin / low fire","Grow w/ fire",0,1,0,1453.82602208427,"2002_RaDFHEwt_fhc_OSW"
"RaDFHEwt_fwm",10,"B","E","Grow w/o fire","None",0,0,1,41806.7934677154,"2002_RaDFHEwt_fwm_OSW"
"RaDFHEwt_fwm",11,"C","E","Grow w/o fire","None",0,0,1,177.267653717688,"2002_RaDFHEwt_fwm_OSW"
"RaDFHEwt_fwm",12,"D","E","Grow w/o fire","None",0,0,1,31692.2410556992,"2002_RaDFHEwt_fwm_OSW"
"RaDFHEwt_fwm",19,"A","E","Grow w/o fire","Grow w/o fire",0,0,1,47020.3103740245,"2002_RaDFHEwt_fwm_OSW"
"RaDFHEwt_fwn",1,"B","A","Regen / high fire","None",1,0,0,9173.17118602245,"2002_RaDFHEwt_fwn_OSW"
"RaDFHEwt_fwn",10,"B","E","Grow w/o fire","None",0,0,1,72839.8660706854,"2002_RaDFHEwt_fwn_OSW"
"RaDFHEwt_fwn",11,"C","E","Grow w/o fire","None",0,0,1,75782.0456721932,"2002_RaDFHEwt_fwn_OSW"
"RaDFHEwt_fwn",14,"C","D","Grow w/ fire","None",0,0,1,6420.165211397,"2002_RaDFHEwt_fwn_OSW"
"RaMCONdy_fdd",3,"B","D","Thin / low fire","Grow w/ fire",0,1,0,291594.744324488,"2002_RaMCONdy_fdd_OBM"
"RaMCONdy_fdd",11,"C","D","Grow w/ fire","None",0,0,1,177358.263422654,"2002_RaMCONdy_fdd_OBM"
"RaMCONdy_fdd",19,"A","D","Grow w/ fire","Grow w/ fire",0,0,1,187954.215016489,"2002_RaMCONdy_fdd_OBM"
"RaMCONdy_fdd",20,"A","E","Grow w/o fire","Grow w/o fire",0,0,1,126801.906777733,"2002_RaMCONdy_fdd_OBM"
"RaMCONdy_fdd",3,"B","D","Thin / low fire","Grow w/ fire",0,1,0,1210169.64631181,"2002_RaMCONdy_fdd_WNE"
"RaMCONdy_fdd",13,"B","E","Grow w/o fire","None",0,0,1,67785.7647190846,"2002_RaMCONdy_fdd_WNE"
"RaMCONdy_fdg",3,"B","D","Thin / low fire","Grow w/ fire",0,1,0,276927.296194377,"2002_RaMCONdy_fdg_OBM"
"RaMCONdy_fdg",7,"C","A","Regen / high fire","None",1,0,0,5600.97046311366,"2002_RaMCONdy_fdg_OBM"
"RaMCONdy_fdg",11,"C","D","Grow w/ fire","None",0,0,1,20445.1195429844,"2002_RaMCONdy_fdg_OBM"
"RaMCONdy_fdg",15,"C","E","Grow w/o fire","Grow w/o fire",0,0,1,54847.481100555,"2002_RaMCONdy_fdg_OBM"
"RaMCONdy_fmd",3,"B","D","Thin / low fire","Grow w/ fire",0,1,0,222208.711314125,"2002_RaMCONdy_fmd_OEC"
"RaMCONdy_fmd",19,"A","D","Grow w/ fire","Grow w/ fire",0,0,1,53910.9808692228,"2002_RaMCONdy_fmd_OEC"
