"type","REST_ACRES","YEAR","BpS_Code","MAP_ZONE","AREA_STRATA","REST_PCT"
"active",37561.4124194324,2011,"Na0210290_fwo","OSW",129868.665936025,0.289226135871262
"both",42599.2420132081,2011,"Na0210290_fwo","OSW",129868.665936025,0.328017861015011
"passive",2461.03872755151,2011,"Na0210290_fwo","OSW",129868.665936025,0.0189502118144791
"both",534335.446504651,2011,"Na0710270_fdd","OSW",1372564.43727486,0.389297166671127
"passive",126886.723017479,2011,"Na0710270_fdd","OSW",1372564.43727486,0.0924450026327397
"active",927.955191860221,2011,"Na0710412_fmc","OEC",5401.98490070114,0.171780412
"both",140.129394592798,2011,"Na0710412_fmc","OEC",5401.98490070114,0.025940352882995
"passive",949.246646005707,2011,"Na0710412_fmc","OEC",5401.98490070114,0.175721825117005
"active",1853.70755739296,2011,"Na0710412_fmc","OSW",16804.6411677733,0.110309261524005
"passive",2545.58708017369,2011,"Na0710412_fmc","OSW",16804.6411677733,0.151481192294389
"active",14916.3831668815,2011,"Na0710412_fmh","OEC",502704.17781909,0.0296722880474041
"passive",67172.9420540146,2011,"Na0710412_fmh","OEC",502704.17781909,0.133623202308433
"active",21536.8689423553,2011,"Na0710412_fmh","OSW",178273.484860215,0.120808032440957
"passive",21681.7982964417,2011,"Na0710412_fmh","OSW",178273.484860215,0.121620993236557
"passive",100707.876123008,2011,"Na0710412_fmh","WEC",628993.674984818,0.160109521173546
"active",1225.56704347799,2011,"Na0710412_fmi","OEC",12350.7767594588,0.0992299567344529
"passive",5247.97819881831,2011,"Na0710412_fmi","OEC",12350.7767594588,0.424910781
"active",5678.12634529963,2011,"Na0710412_fmi","OSW",21591.8867195562,0.262974997
"both",4354.26690299497,2011,"Na0710412_fmi","OSW",21591.8867195562,0.201662178
"passive",179372.457415166,2011,"Na1010471_frn","WNE",505280.056374755,0.354996115821617
"active",16061.4168909179,2011,"R1RFWF_fcw","OSW",183343.327153739,0.0876029531058414
"both",8315.94143809157,2011,"R1RFWF_fcw","OSW",183343.327153739,0.0453572080707274
"passive",2262.96471720262,2011,"R1RFWF_fcw","OSW",183343.327153739,0.0123427710859914
"active",722.041141165251,2011,"RaABAMlw_fsi","OEC",64548.4610094851,0.0111860318568889
"passive",23622.9873519346,2011,"RaABAMlw_fsi","OEC",64548.4610094851,0.365972898230111
"active",2969.42989889894,2011,"RaABAMlw_fsi","OSW",36125.4571881679,0.0821977112547521
"both",4422.87969132994,2011,"RaABAMlw_fsi","OSW",36125.4571881679,0.122431106360601
"passive",8339.68329136779,2011,"RaABAMlw_fsi","OSW",36125.4571881679,0.230853363264819
"passive",86906.6878675155,2011,"RaABAMlw_fsi","WEC",236993.488186646,0.366704961104549
"both",309.748088428244,2011,"RaABAMlw_fsw","OEC",5294.83142508672,0.058500085
"passive",978.760384271579,2011,"RaABAMlw_fsw","OEC",5294.83142508672,0.184852038845703
"active",126.27019754536,2011,"RaABAMlw_fwc","OEC",1153.02568776282,0.109512042
"both",208.531436220076,2011,"RaABAMlw_fwc","OEC",1153.02568776282,0.180855846
"passive",671.481830020558,2011,"RaABAMlw_fwc","OEC",1153.02568776282,0.582365022
"active",492.318240121531,2011,"RaABLA_faf","WNE",3716.14215603071,0.132481003
"both",59.4911549222879,2011,"RaABLA_faf","WNE",3716.14215603071,0.016008848
"passive",2115.24803373464,2011,"RaABLA_faf","WNE",3716.14215603071,0.56920536
"passive",13964.0567347898,2011,"RaDFHEdy_fwi","OEC",42604.6431520037,0.327759035205839
"passive",73316.4070551032,2011,"RaDFHEdy_fwi","OSW",339436.321138228,0.215994584224965
"both",6715.31233146866,2011,"RaDFHEdy_fwx","OSW",68082.0280640836,0.0986356094613947
"passive",6653.97057926994,2011,"RaDFHEdy_fwx","OSW",68082.0280640836,0.0977346117393383
"active",37.7266084594875,2011,"RaDFHEwt_fdm","OSW",1157.45821108148,0.032594359
"both",170.247863799173,2011,"RaDFHEwt_fdm","OSW",1157.45821108148,0.147087698
"passive",853.499984194216,2011,"RaDFHEwt_fdm","OSW",1157.45821108148,0.737391619
"both",9.09494701772928e-13,2011,"RaDFHEwt_fhc","OSW",38006.7156917639,2.39298420086852e-17
"passive",21870.840035405,2011,"RaDFHEwt_fhc","OSW",38006.7156917639,0.575446724015262
"passive",100397.454093683,2011,"RaDFHEwt_fwm","OSW",258455.422577797,0.388451722514982
"passive",116357.175579542,2011,"RaDFHEwt_fwn","OSW",217653.90966402,0.534597222531661
"passive",226.587843237647,2011,"RaDFHEwt_fwn","ZoneNull",255.959407410802,0.885249132
"active",111.462069534192,2011,"RaDFHEwt_fww","OEC",1984.14129013556,0.056176478
"both",291.84277487279,2011,"RaDFHEwt_fww","OEC",1984.14129013556,0.147087698
"active",160.226383357622,2011,"RaDFHEwt_fww","OSW",4915.77034411451,0.032594359
"both",723.049343812471,2011,"RaDFHEwt_fww","OSW",4915.77034411451,0.147087698
"passive",3624.84785267879,2011,"RaDFHEwt_fww","OSW",4915.77034411451,0.737391619
"active",1187.72639760889,2011,"RaDFWV_fwx","OSW",19581.7969591451,0.0606546171470843
"both",2656.21117989725,2011,"RaDFWV_fwx","OSW",19581.7969591451,0.13564695750033
"both",241411.700145336,2011,"RaMCONdy_fdd","OBM",1497087.76810428,0.161254206525934
"passive",368890.072806795,2011,"RaMCONdy_fdd","OBM",1497087.76810428,0.246405107747231
"both",826996.657794888,2011,"RaMCONdy_fdd","WNE",2743239.20184676,0.301467206081828
"passive",248263.718908008,2011,"RaMCONdy_fdd","WNE",2743239.20184676,0.0905002081994438
"both",207541.69987178,2011,"RaMCONdy_fdg","OBM",868252.803117115,0.239033722812855
"passive",96598.7733147421,2011,"RaMCONdy_fdg","OBM",868252.803117115,0.11125650613271
"active",1469.70009024125,2011,"RaMCONdy_fdx","OEC",1868.23765682519,0.786677265
"both",3.38816668962486,2011,"RaMCONdy_fdx","OEC",1868.23765682519,0.001813563
"both",165174.547649535,2011,"RaMCONdy_fmd","OEC",661462.512328574,0.249711124320658
"passive",73560.2293191739,2011,"RaMCONdy_fmd","OEC",661462.512328574,0.111208462986386
"active",769.455933206844,2011,"RaMCONdy_fmd","OSE",6595.36713516007,0.116666126
"both",11.9611138077423,2011,"RaMCONdy_fmd","OSE",6595.36713516007,0.001813563
"passive",3198.92489624797,2011,"RaMCONdy_fmd","OSE",6595.36713516007,0.485026054
"passive",4899.1529512036,2011,"RaMCONdy_fmd","WCB",6326.32971296359,0.774406832
"both",299392.734432071,2011,"RaMCONdy_fmd","WEC",1321086.42262771,0.226626153523373
"passive",168135.038159246,2011,"RaMCONdy_fmd","WEC",1321086.42262771,0.12727027943018
"active",9083.87792142653,2011,"RaMCONdy_fmd","WNE",77107.2687955834,0.117808321618919
"both",8364.05171861451,2011,"RaMCONdy_fmd","WNE",77107.2687955834,0.108472934513971
"passive",18299.7767544701,2011,"RaMCONdy_fmd","WNE",77107.2687955834,0.237328815302538
"both",89409.6514735544,2011,"RaMCONdy_fmx","OEC",563455.564783053,0.158680927231555
"passive",130644.14820942,2011,"RaMCONdy_fmx","OEC",563455.564783053,0.23186237988389
"both",445672.512255598,2011,"RaMCONms_fcm","OBM",1956517.46528088,0.227788670514942
"passive",290163.329069386,2011,"RaMCONms_fcm","OBM",1956517.46528088,0.148306025485814
"both",170296.935415665,2011,"RaMCONms_fmm","OEC",816277.374898953,0.20862630847357
"passive",108481.997938597,2011,"RaMCONms_fmm","OEC",816277.374898953,0.132898450054464
"active",691.48475836623,2011,"RaMCONms_fmm","WCB",5568.08173436669,0.12418725
"both",2312.38816845546,2011,"RaMCONms_fmm","WCB",5568.08173436669,0.415293503
"passive",1363.05666442993,2011,"RaMCONms_fmm","WCB",5568.08173436669,0.24479825
"both",188618.058003564,2011,"RaMCONms_fmm","WEC",762544.01379724,0.247353666923832
"passive",20948.7238100174,2011,"RaMCONms_fmm","WEC",762544.01379724,0.0274721503689985
"active",49220.6034497012,2011,"RaMCONsw_fdm","OSW",162548.900476916,0.302804899358216
"both",36245.8631438205,2011,"RaMCONsw_fdm","OSW",162548.900476916,0.222984363705172
"active",159936.695761822,2011,"RaMCONsw_fiw","OSW",983762.894768218,0.16257646696413
"both",171215.055179737,2011,"RaMCONsw_fiw","OSW",983762.894768218,0.174040976835253
"passive",23884.0770984281,2011,"RaMCONsw_fiw","OSW",983762.894768218,0.0242782861860788
"active",5120.31822041871,2011,"RaMCONsw_fvw","OSW",79089.8645793338,0.0647405106539613
