"strataID","YEAR","BpS_Code","SCLASS","sclass","PERC_AREA","AREA_TOTAL","PERC_AREA_VAR","AREA_TOTAL_VAR","nPlots_AREA","N","AREA_STRATA","avg","low","high","departure"
"2002_Na0210290_fwo",2002,"Na0210290_fwo","A",NA,0,4830.03378588663,NA,NA,NA,NA,64849.0067348059,6003.71079736527,4830.03378588663,7177.3877439949,0
"2002_Na0210290_fwo",2002,"Na0210290_fwo","B","B",0.746293173269551,6189.97180058314,0.00251745369194016,4257493065.73912,1,740,64849.0067348059,708.74400316365,307.201028629947,1110.28697769735,5079.68482288579
"2002_Na0210290_fwo",2002,"Na0210290_fwo","C",NA,0,12141.0162553168,NA,NA,NA,NA,64849.0067348059,13734.837984364,12141.0162553168,15328.6609455424,0
"2002_Na0210290_fwo",2002,"Na0210290_fwo","D",NA,0,40118.6931438066,NA,NA,NA,NA,64849.0067348059,42101.2949792211,40118.6931438066,44083.8968146355,0
"2002_Na0210290_fwo",2002,"Na0210290_fwo","E",NA,0,1569.29174921267,NA,NA,NA,NA,64849.0067348059,2300.41825735283,1569.29174921267,3031.54463579497,0
"2002_Na0710270_fdd",2002,"Na0710270_fdd","A","A",2.67265676666665,173583.65399103,0.00767816541422606,28911582480.0378,11,1454,1478008.29752866,133414.881338248,108285.290608895,158544.47354561,15039.1804454201
"2002_Na0710270_fdd",2002,"Na0710270_fdd","B","B",2.9432569343765,116381.292413794,0.0092976803562054,29269543866.4067,12,1454,1478008.29752866,93231.6445558266,70081.9893078175,116381.292413794,0
"2002_Na0710270_fdd",2002,"Na0710270_fdd","C","C",1.69762158805068,308466.570707695,0.00310993676915615,18093115631.8114,6,1454,1478008.29752866,296348.912418805,262590.463899102,330107.360938508,0
"2002_Na0710270_fdd",2002,"Na0710270_fdd","D","D",0.160980277202225,584486.755652723,9.23753724940334e-06,303694328.108526,1,714,1478008.29752866,624864.170209257,584486.755652723,665241.530079484,0
"2002_Na0710270_fdd",2002,"Na0710270_fdd","E","E",0.7365710177049,295090.024763418,0.000603167553939243,6802874884.5435,4,1454,1478008.29752866,330148.689006524,295090.024763418,365207.379853779,0
"2002_Na0710412_fmc",2002,"Na0710412_fmc","A","A",0.123237524105814,7378.78769044871,3.96870545229066e-06,267748180.455137,2,1037,35403.1040066691,5222.32518359086,4471.24833208938,5973.40203509235,1405.38565535636
"2002_Na0710412_fmc",2002,"Na0710412_fmc","B","B",0,7139.46706194542,0,0,0,714,35403.1040066691,8033.40273115324,7139.46706194542,8927.33772770208,0
"2002_Na0710412_fmc",2002,"Na0710412_fmc","C","C",0,4838.88283785511,0,0,0,323,35403.1040066691,5644.29350573461,4838.88283785511,6449.70385498617,0
