"type","REST_ACRES","YEAR","BpS_Code","AREA_STRATA","REST_PCT"
"active",16971.0500412035,2002,"Na0210290_fwo",64849.0067348059,0.261701002
"both",40118.6931438066,2002,"Na0210290_fwo",64849.0067348059,0.618647766
"passive",1569.29174921267,2002,"Na0210290_fwo",64849.0067348059,0.024199164
"both",418423.625036195,2002,"Na0710270_fdd",1478008.29752866,0.283099645472783
"passive",312051.821721221,2002,"Na0710270_fdd",1478008.29752866,0.211129952546948
"active",4838.88283785511,2002,"Na0710412_fmc",35403.1040066691,0.136679621
"passive",20939.9506807541,2002,"Na0710412_fmc",35403.1040066691,0.591472168
"active",148633.792191294,2002,"Na0710412_fmh",1474192.89444791,0.100823842491086
"passive",119099.763830501,2002,"Na0710412_fmh",1474192.89444791,0.0807898099896245
"active",12936.0647053817,2002,"Na0710412_fmi",43398.5758862832,0.298075788
"both",8751.85133532615,2002,"Na0710412_fmi",43398.5758862832,0.201662178
"both",4394.24837809568,2002,"Na1010471_frn",561306.345744507,0.00782860983384613
"passive",193218.906098001,2002,"Na1010471_frn",561306.345744507,0.34423075306893
"active",31085.3622289314,2002,"R1RFWF_fcw",159271.141649511,0.1951725962845
"both",4558.01374396779,2002,"R1RFWF_fcw",159271.141649511,0.0286179511037729
"active",8337.15370975197,2002,"RaABAMlw_fsi",248780.798882298,0.0335120465373873
"both",12970.0334148025,2002,"RaABAMlw_fsi",248780.798882298,0.0521343828505785
"passive",117245.293103762,2002,"RaABAMlw_fsi",248780.798882298,0.471279510438556
"active",2475.62189983973,2002,"RaABAMlw_fsw",13082.2444295224,0.189235258
"both",2366.00038388006,2002,"RaABAMlw_fsw",13082.2444295224,0.180855846
"active",204.233751055905,2002,"RaDFHEdy_fwi",440192.485713119,0.00046396464656829
"both",8628.46434262882,2002,"RaDFHEdy_fwi",440192.485713119,0.0196015711823217
"passive",145473.18033782,2002,"RaDFHEdy_fwi",440192.485713119,0.33047629175712
"active",9078.41787150644,2002,"RaDFHEdy_fwx",41934.1642100948,0.216492162
"both",6240.82548617558,2002,"RaDFHEdy_fwx",41934.1642100948,0.148824368
"active",49.0602386848254,2002,"RaDFHEwt_fhc",63729.9074255833,0.000769815
"passive",46993.899615271,2002,"RaDFHEwt_fhc",63729.9074255833,0.737391619
"passive",121878.850704261,2002,"RaDFHEwt_fwm",296895.774515857,0.410510560155349
"active",9173.17118602245,2002,"RaDFHEwt_fwn",281434.31769965,0.032594359
"passive",155042.076954276,2002,"RaDFHEwt_fwn",281434.31769965,0.55089968494794
"both",1476572.71079792,2002,"RaMCONdy_fdd",4777692.21016067,0.309055637292353
"passive",534082.308884825,2002,"RaMCONdy_fdd",4777692.21016067,0.111786671345006
"active",29959.1099243946,2002,"RaMCONdy_fdg",829361.49279366,0.0361231021511246
"both",256267.069585207,2002,"RaMCONdy_fdg",829361.49279366,0.308993209609944
"passive",90964.81213469,2002,"RaMCONdy_fdg",829361.49279366,0.109680534875426
"both",417858.728820517,2002,"RaMCONdy_fmd",2633907.99813522,0.158645909088836
"passive",328470.22600359,2002,"RaMCONdy_fmd",2633907.99813522,0.124708314123403
"both",64796.7643511554,2002,"RaMCONdy_fmx",711318.454479445,0.0910938890213031
"passive",177006.736337147,2002,"RaMCONdy_fmx",711318.454479445,0.248843166126885
"both",217427.750767639,2002,"RaMCONms_fcm",1711501.43734334,0.127039186776926
"passive",445157.30944624,2002,"RaMCONms_fcm",1711501.43734334,0.260097537596714
"both",332000.788981756,2002,"RaMCONms_fmm",1804833.28431859,0.183950945423251
"passive",338084.829600356,2002,"RaMCONms_fmm",1804833.28431859,0.187321916399607
"active",127464.792355535,2002,"RaMCONsw_fdm",216591.530279779,0.588503124710757
"both",12950.2973431443,2002,"RaMCONsw_fdm",216591.530279779,0.0597913377610652
"active",101856.947861981,2002,"RaMCONsw_fiw",987132.34538309,0.103184692851344
"both",205274.50673936,2002,"RaMCONsw_fiw",987132.34538309,0.207950339890541
"active",6694.94024961701,2002,"RaMCONsw_fvw",29571.2130722784,0.226400595513384
"passive",11436.0122000058,2002,"RaMCONsw_fvw",29571.2130722784,0.386727868486616
"active",278040.406800611,2002,"RaMEVG_ftd",495459.331609106,0.561177051399188
"passive",60651.1871447016,2002,"RaMEVG_fuc",136190.407856844,0.445341108079027
"passive",72652.5690380422,2002,"RaOAPI_fop",145211.557359214,0.500322222
"both",24508.5342540666,2002,"RaPICOpu_fld",270037.412434544,0.090759773
"passive",42835.8567798369,2002,"RaPICOpu_fld",270037.412434544,0.158629341
"active",5418.3433891865,2002,"RaPICOpu_flp",25640.4924373787,0.211319786561027
"both",1719.3855910399,2002,"RaPICOpu_flp",25640.4924373787,0.0670574325059911
