"BpS_Code","Order","Donate","Receive","Primary","Secondary","ActiveOnly","ActivePassive","PassiveOnly","REST_ACRES","strataID"
"Na0210290_fwo",1,"B","C","Thin / low fire","None",1,0,0,12141.0162553168,"2002_Na0210290_fwo"
"Na0210290_fwo",3,"B","D","Thin / low fire","Grow w/ fire",0,1,0,40118.6931438066,"2002_Na0210290_fwo"
"Na0210290_fwo",6,"B","A","Regen / high fire","None",1,0,0,4830.03378588663,"2002_Na0210290_fwo"
"Na0210290_fwo",13,"B","E","Grow w/o fire","None",0,0,1,1569.29174921267,"2002_Na0210290_fwo"
"Na0710270_fdd",3,"B","D","Thin / low fire","Grow w/ fire",0,1,0,418423.625036195,"2002_Na0710270_fdd"
"Na0710270_fdd",18,"A","D","Grow w/ fire","Grow w/ fire",0,0,1,150800.537884161,"2002_Na0710270_fdd"
"Na0710270_fdd",20,"A","E","Grow w/o fire","Grow w/o fire",0,0,1,161251.28383706,"2002_Na0710270_fdd"
"Na0710412_fmc",5,"D","C","Overstory removal","None",1,0,0,4838.88283785511,"2002_Na0710412_fmc"
"Na0710412_fmc",9,"A","B","Grow w/o fire","None",0,0,1,7139.46706194542,"2002_Na0710412_fmc"
"Na0710412_fmc",11,"D","E","Grow w/o fire","None",0,0,1,12261.9107681494,"2002_Na0710412_fmc"
"Na0710412_fmc",18,"A","E","Grow w/o fire","Grow w/o fire",0,0,1,1538.57285065928,"2002_Na0710412_fmc"
"Na0710412_fmh",1,"B","A","Regen / high fire","None",1,0,0,48593.1372126832,"2002_Na0710412_fmh"
"Na0710412_fmh",2,"C","A","Regen / high fire","None",1,0,0,97038.976371626,"2002_Na0710412_fmh"
"Na0710412_fmh",3,"D","A","Regen / high fire","None",1,0,0,3001.67860698458,"2002_Na0710412_fmh"
"Na0710412_fmh",11,"D","E","Grow w/o fire","None",0,0,1,119099.763830501,"2002_Na0710412_fmh"
"Na0710412_fmi",4,"E","A","Regen / high fire","None",1,0,0,5481.03945942267,"2002_Na0710412_fmi"
"Na0710412_fmi",6,"E","C","Overstory removal","None",1,0,0,5931.70090407693,"2002_Na0710412_fmi"
"Na0710412_fmi",8,"E","D","Thin / low fire","None",1,0,0,1523.32434188207,"2002_Na0710412_fmi"
"Na0710412_fmi",16,"E","B","Regen / high fire","Grow w/o fire",0,1,0,8751.85133532615,"2002_Na0710412_fmi"
"Na1010471_frn",3,"B","D","Thin / low fire","Grow w/ fire",0,1,0,4394.24837809568,"2002_Na1010471_frn"
"Na1010471_frn",11,"C","D","Grow w/ fire","None",0,0,1,37923.2017017665,"2002_Na1010471_frn"
"Na1010471_frn",19,"A","E","Grow w/o fire","Grow w/o fire",0,0,1,41374.1757907138,"2002_Na1010471_frn"
"Na1010471_frn",20,"C","E","Grow w/o fire","Grow w/o fire",0,0,1,113921.52860552,"2002_Na1010471_frn"
"R1RFWF_fcw",1,"B","C","Thin / low fire","None",1,0,0,6078.0786975099,"2002_R1RFWF_fcw"
"R1RFWF_fcw",2,"E","D","Thin / low fire","None",1,0,0,18423.9239001708,"2002_R1RFWF_fcw"
"R1RFWF_fcw",3,"B","D","Thin / low fire","Grow w/ fire",0,1,0,4558.01374396779,"2002_R1RFWF_fcw"
"R1RFWF_fcw",6,"B","A","Regen / high fire","None",1,0,0,6583.35963125071,"2002_R1RFWF_fcw"
"RaABAMlw_fsi",7,"C","A","Regen / high fire","None",1,0,0,8337.15370975197,"2002_RaABAMlw_fsi"
"RaABAMlw_fsi",14,"C","E","Grow w/o fire","None",0,0,1,110754.545106479,"2002_RaABAMlw_fsi"
"RaABAMlw_fsi",15,"D","E","Grow w/o fire","None",0,0,1,6490.74799728306,"2002_RaABAMlw_fsi"
"RaABAMlw_fsi",17,"D","B","Regen / high fire","Grow w/o fire",0,1,0,12970.0334148025,"2002_RaABAMlw_fsi"
"RaABAMlw_fsw",2,"E","D","Thin / low fire","None",1,0,0,765.312411117837,"2002_RaABAMlw_fsw"
"RaABAMlw_fsw",5,"E","C","Overstory removal","None",1,0,0,262.771675385407,"2002_RaABAMlw_fsw"
"RaABAMlw_fsw",9,"E","A","Regen / high fire","None",1,0,0,1447.53781333649,"2002_RaABAMlw_fsw"
"RaABAMlw_fsw",18,"E","B","Regen / high fire","Grow w/o fire",0,1,0,2366.00038388006,"2002_RaABAMlw_fsw"
"RaDFHEdy_fwi",1,"B","C","Thin / low fire","None",1,0,0,204.233751055905,"2002_RaDFHEdy_fwi"
"RaDFHEdy_fwi",3,"B","D","Thin / low fire","Grow w/ fire",0,1,0,8628.46434262882,"2002_RaDFHEdy_fwi"
"RaDFHEdy_fwi",13,"B","E","Grow w/o fire","None",0,0,1,117140.063244296,"2002_RaDFHEdy_fwi"
"RaDFHEdy_fwi",20,"A","E","Grow w/o fire","Grow w/o fire",0,0,1,28333.1170935248,"2002_RaDFHEdy_fwi"
"RaDFHEdy_fwx",2,"E","D","Thin / low fire","None",1,0,0,5427.65716998981,"2002_RaDFHEdy_fwx"
"RaDFHEdy_fwx",5,"E","C","Overstory removal","None",1,0,0,1883.49894274405,"2002_RaDFHEdy_fwx"
"RaDFHEdy_fwx",9,"E","A","Regen / high fire","None",1,0,0,1767.26175877258,"2002_RaDFHEdy_fwx"
"RaDFHEdy_fwx",18,"E","B","Regen / high fire","Grow w/o fire",0,1,0,6240.82548617558,"2002_RaDFHEdy_fwx"
"RaDFHEwt_fhc",7,"B","C","Thin / low fire","None",1,0,0,49.0602386848254,"2002_RaDFHEwt_fhc"
"RaDFHEwt_fhc",10,"B","E","Grow w/o fire","None",0,0,1,24999.2909298787,"2002_RaDFHEwt_fhc"
"RaDFHEwt_fhc",19,"A","E","Grow w/o fire","Grow w/o fire",0,0,1,20540.7826633081,"2002_RaDFHEwt_fhc"
"RaDFHEwt_fhc",20,"A","D","Grow w/ fire","Grow w/ fire",0,0,1,1453.82602208426,"2002_RaDFHEwt_fhc"
"RaDFHEwt_fwm",10,"B","E","Grow w/o fire","None",0,0,1,36560.1703778151,"2002_RaDFHEwt_fwm"
"RaDFHEwt_fwm",12,"D","E","Grow w/o fire","None",0,0,1,31692.2410556992,"2002_RaDFHEwt_fwm"
"RaDFHEwt_fwm",19,"A","E","Grow w/o fire","Grow w/o fire",0,0,1,53626.4392707467,"2002_RaDFHEwt_fwm"
"RaDFHEwt_fwn",1,"B","A","Regen / high fire","None",1,0,0,9173.17118602245,"2002_RaDFHEwt_fwn"
"RaDFHEwt_fwn",10,"B","E","Grow w/o fire","None",0,0,1,72839.8660706854,"2002_RaDFHEwt_fwn"
"RaDFHEwt_fwn",11,"C","E","Grow w/o fire","None",0,0,1,75782.0456721932,"2002_RaDFHEwt_fwn"
"RaDFHEwt_fwn",14,"C","D","Grow w/ fire","None",0,0,1,6420.165211397,"2002_RaDFHEwt_fwn"
"RaMCONdy_fdd",3,"B","D","Thin / low fire","Grow w/ fire",0,1,0,1476572.71079792,"2002_RaMCONdy_fdd"
"RaMCONdy_fdd",11,"C","D","Grow w/ fire","None",0,0,1,255076.853216337,"2002_RaMCONdy_fdd"
"RaMCONdy_fdd",13,"B","E","Grow w/o fire","None",0,0,1,9.45874489843845e-11,"2002_RaMCONdy_fdd"
"RaMCONdy_fdd",19,"A","D","Grow w/ fire","Grow w/ fire",0,0,1,69193.4985912882,"2002_RaMCONdy_fdd"
"RaMCONdy_fdd",20,"A","E","Grow w/o fire","Grow w/o fire",0,0,1,209811.9570772,"2002_RaMCONdy_fdd"
"RaMCONdy_fdg",3,"B","D","Thin / low fire","Grow w/ fire",0,1,0,256267.069585207,"2002_RaMCONdy_fdg"
"RaMCONdy_fdg",6,"B","A","Regen / high fire","None",1,0,0,7.27595761418343e-12,"2002_RaMCONdy_fdg"
"RaMCONdy_fdg",7,"C","A","Regen / high fire","None",1,0,0,29959.1099243946,"2002_RaMCONdy_fdg"
"RaMCONdy_fdg",11,"C","D","Grow w/ fire","None",0,0,1,28877.9276967737,"2002_RaMCONdy_fdg"
"RaMCONdy_fdg",15,"C","E","Grow w/o fire","Grow w/o fire",0,0,1,62086.8844379162,"2002_RaMCONdy_fdg"
"RaMCONdy_fmd",3,"B","D","Thin / low fire","Grow w/ fire",0,1,0,417858.728820517,"2002_RaMCONdy_fmd"
"RaMCONdy_fmd",11,"C","D","Grow w/ fire","None",0,0,1,148617.383341506,"2002_RaMCONdy_fmd"
"RaMCONdy_fmd",19,"A","D","Grow w/ fire","Grow w/ fire",0,0,1,179852.842662085,"2002_RaMCONdy_fmd"
"RaMCONdy_fmx",3,"B","D","Thin / low fire","Grow w/ fire",0,1,0,64796.7643511554,"2002_RaMCONdy_fmx"
"RaMCONdy_fmx",11,"C","D","Grow w/ fire","None",0,0,1,164348.284020356,"2002_RaMCONdy_fmx"
"RaMCONdy_fmx",13,"B","E","Grow w/o fire","None",0,0,1,2.72848410531878e-12,"2002_RaMCONdy_fmx"
"RaMCONdy_fmx",15,"C","E","Grow w/o fire","Grow w/o fire",0,0,1,5439.72132653443,"2002_RaMCONdy_fmx"
"RaMCONdy_fmx",20,"A","E","Grow w/o fire","Grow w/o fire",0,0,1,7218.73099025732,"2002_RaMCONdy_fmx"
"RaMCONms_fcm",11,"C","D","Grow w/ fire","None",0,0,1,16900.2155143667,"2002_RaMCONms_fcm"
"RaMCONms_fcm",12,"A","B","Grow w/o fire","None",0,0,1,320063.955244632,"2002_RaMCONms_fcm"
"RaMCONms_fcm",15,"C","E","Grow w/o fire","Grow w/o fire",0,0,1,108193.138687242,"2002_RaMCONms_fcm"
"RaMCONms_fcm",16,"C","B","Regen / high fire","Grow w/o fire",0,1,0,217427.750767639,"2002_RaMCONms_fcm"
"RaMCONms_fmm",12,"A","B","Grow w/o fire","None",0,0,1,84489.7492513705,"2002_RaMCONms_fmm"
