"strataID","YEAR","BpS_Code","SCLASS","sclass","PERC_AREA","AREA_TOTAL","PERC_AREA_VAR","AREA_TOTAL_VAR","nPlots_AREA","N","AREA_STRATA","avg","low","high","departure"
"2011_Na0210290_fwo",2011,"Na0210290_fwo","A","A",0.237785750979766,17710.0664220483,1.96753998456553e-05,126524201.495048,5,7550,135955.593600149,12586.747374518,10126.1398367193,15047.3547763612,2662.71164568711
"2011_Na0210290_fwo",2011,"Na0210290_fwo","B","B",0.501681368541372,2327.71067314345,8.38559415317482e-05,293113209.625534,7,7550,135955.593600149,1485.87798815032,644.045303157194,2327.71067314345,4.54747350886464e-13
"2011_Na0210290_fwo",2011,"Na0210290_fwo","C","C",0.222878653528435,25453.5752359446,1.70465717370513e-05,99099595.9951914,6,7550,135955.593600149,28795.013912894,25453.5752359446,32136.4551729996,0
"2011_Na0210290_fwo",2011,"Na0210290_fwo","D",NA,0,84108.6242559363,NA,NA,NA,NA,135955.593600149,88265.1383334579,84108.6242559363,92421.6524109796,0
"2011_Na0210290_fwo",2011,"Na0210290_fwo","E","E",0.485727653340037,6355.61701307663,7.8845621777042e-05,297928935.765428,6,7550,135955.593600149,4822.81449561759,3290.01170624737,6355.61701307664,0
"2011_Na0710270_fdd",2011,"Na0710270_fdd","A","A",1.11932699029399,213473.392281725,0.00010523922292434,1192432476.02429,42,14475,1560088.27579162,140823.967321398,114298.825386905,167349.110815979,46124.2814657459
"2011_Na0710270_fdd",2011,"Na0710270_fdd","B","B",4.3946921984035,141018.318301924,0.00145924907744745,4824769541.40077,167,14816,1560088.27579162,98409.1874501103,73973.9350896028,122844.432010177,18173.8862917475
"2011_Na0710270_fdd",2011,"Na0710270_fdd","C","C",1.41900263298144,277173.209885668,0.000167707282212505,1435065443.57876,56,14475,1560088.27579162,312806.406148886,277173.209885668,348439.602412105,0
"2011_Na0710270_fdd",2011,"Na0710270_fdd","D","D",0.0413620465403058,616945.748121965,1.11359265583971e-07,7822358.59321475,2,6925,1560088.27579162,659565.489270749,616945.748121965,702185.172696267,0
"2011_Na0710270_fdd",2011,"Na0710270_fdd","E","E",0.925654984247651,311477.607200334,7.20014812936414e-05,874717921.745615,43,14475,1560088.27579162,348483.225600472,311477.607200334,385488.8720822,0
"2011_Na0710412_fmc",2011,"Na0710412_fmc","A","A",0.0087323992724321,2538.0325881369,1.18558637914185e-08,3677165.75257164,1,16753,20096.0056379015,2964.36934774498,2538.0325881369,3390.70610735306,0
"2011_Na0710412_fmc",2011,"Na0710412_fmc","B","B",0.0245395484516536,5067.46044848375,5.38094627874642e-08,10633585.1303567,1,16753,20096.0056379015,4560.03254817368,4052.6042660395,5067.46044848375,0
"2011_Na0710412_fmc",2011,"Na0710412_fmc","C","C",0,2294.09979598995,0,0,0,10556,20096.0056379015,3203.89291548692,2746.71443420225,3661.07121590755,-452.614638212299
"2011_Na0710412_fmc",2011,"Na0710412_fmc","D","D",0.0109115483099779,1274.61238856642,1.32431476638782e-08,6379182.63079976,2,24303,20096.0056379015,989.99903115061,705.385693830804,1274.61238856642,0
"2011_Na0710412_fmc",2011,"Na0710412_fmc","E","E",0.0453207347721057,8921.80041672453,1.42306702160284e-07,18034441.681436,5,16753,20096.0056379015,8377.71169486532,7833.62375675034,8921.80041672453,0
"2011_Na0710412_fmh",2011,"Na0710412_fmh","A","A",0.536602303906474,191151.297842591,1.70221891974828e-05,582066174.417016,58,23960,1513525.70376441,223260.745647953,191151.297842591,255370.193453316,0
"2011_Na0710412_fmh",2011,"Na0710412_fmh","B","B",1.26727493925981,381654.532735819,8.87715980895944e-05,1666623907.79111,126,24303,1513525.70376441,343437.725686461,305220.889880115,381654.532735819,0
"2011_Na0710412_fmh",2011,"Na0710412_fmh","C","C",0.656841430905779,206868.119564278,2.44383645916834e-05,1024712674.78021,54,24303,1513525.70376441,241300.404024196,206868.119564278,275732.674862383,0
"2011_Na0710412_fmh",2011,"Na0710412_fmh","D","D",1.270146862089,143864.314172576,8.92853428078479e-05,1927527517.78295,108,24303,1513525.70376441,74561.5326422043,53125.9494009626,95997.1173969716,47867.1967756048
"2011_Na0710412_fmh",2011,"Na0710412_fmh","E","E",1.22312695941544,589987.43944915,8.2268894293632e-05,1952840712.55032,99,24303,1513525.70376441,630965.288195971,589987.43944915,671943.195970296,0
"2011_Na0710412_fmi",2011,"Na0710412_fmi","A","A",0.0560837538713154,5726.98865793828,1.17064893386834e-06,38488348.6855216,1,7893,33942.663479015,5006.89505223098,4286.80144652367,5726.98865793828,0
"2011_Na0710412_fmi",2011,"Na0710412_fmi","B","B",0.0625381673200776,6844.95144429923,1.67455009289375e-06,37383071.3139799,1,7550,33942.663479015,7702.01068933303,6844.95144429923,8559.06928945623,0
"2011_Na0710412_fmi",2011,"Na0710412_fmi","C","C",0.00477681535286074,4639.27038004232,2.76543598075896e-09,219204.576573745,1,6925,33942.663479015,5411.45643630147,4639.27038004232,6183.64218707665,0
"2011_Na0710412_fmi",2011,"Na0710412_fmi","D","D",0.0546592445483424,3317.9027631158,3.14806928026451e-07,15736271.1321569,4,12781,33942.663479015,1672.13348584654,1191.41433676024,2152.85266887551,1165.05009424029
"2011_Na0710412_fmi",2011,"Na0710412_fmi","E","E",0.122086605849824,13413.5502336194,1.11231957027465e-06,85047789.0522701,2,7266,33942.663479015,14150.1676455897,13231.1893113282,15069.147303615,0
"2011_Na1010471_frn",2011,"Na1010471_frn","A","A",1.3920816706131,90843.1482783269,0.000358189155324264,493709622.798564,49,9487,644305.736352399,77875.4702438083,64907.7986523471,90843.1482783269,0
"2011_Na1010471_frn",2011,"Na1010471_frn","B","B",2.53716748627034,227881.213317693,0.00139797825649322,652018271.175078,81,9144,644305.736352399,225027.706108844,206493.617605823,243561.79396756,0
"2011_Na1010471_frn",2011,"Na1010471_frn","C","C",2.02511637398602,46771.7968608143,0.000754051877872273,662758314.042277,77,9487,644305.736352399,31907.2803261911,22905.3382471256,40909.2230495623,5862.57381125193
"2011_Na1010471_frn",2011,"Na1010471_frn","D","D",0.300075912256371,48574.8576351781,1.29604300852236e-05,85737079.4914784,4,3631,644305.736352399,60192.6887355032,48574.8576351781,71810.5191915226,0
"2011_Na1010471_frn",2011,"Na1010471_frn","E","E",0.541149928405998,230234.720260386,6.47768412222544e-05,144435024.609704,19,9144,644305.736352399,249302.599958332,230234.720260386,268370.455816966,0
"2011_R1RFWF_fcw",2011,"R1RFWF_fcw","A","A",0.132261931871607,28429.0701563819,1.59551823470796e-06,113269334.646263,10,14816,191981.623269006,32494.5177424446,28429.0701563819,36559.9672483236,0
"2011_R1RFWF_fcw",2011,"R1RFWF_fcw","B","B",0.173492837223886,43212.1600597646,2.72581430509621e-06,84241271.2293471,16,14475,191981.623269006,48309.4748901509,43212.1600597646,53406.7860728863,0
"2011_R1RFWF_fcw",2011,"R1RFWF_fcw","C","C",0.0859629637262095,13239.4672289553,2.89724818038111e-07,15763357.1059613,5,6925,191981.623269006,16843.532291154,13239.4672289553,20447.5983132609,0
"2011_R1RFWF_fcw",2011,"R1RFWF_fcw","D","D",0.109190285436692,27701.8777481863,8.07234565793287e-07,58353338.7281531,4,7266,191981.623269006,31869.8289304712,27701.8777481863,36037.7856802233,0
"2011_R1RFWF_fcw",2011,"R1RFWF_fcw","E","E",0.585290973584505,79399.0480757181,2.90733029284523e-05,266292084.745944,52,14475,191981.623269006,62464.2674949692,57443.1062070667,67485.432238541,11913.6158371772
"2011_RaABAMlw_fsi",2011,"RaABAMlw_fsi","A","A",0.179508019898291,55103.0567480553,1.93556884363592e-06,159221958.537932,18,24303,411308.590916812,54105.1414997138,45510.9015513152,62699.3814481123,0
"2011_RaABAMlw_fsi",2011,"RaABAMlw_fsi","B","B",0.259489036683388,79654.5977275249,3.91811180119261e-06,279164597.336354,33,24303,411308.590916812,85647.2584236359,74387.563177328,96906.9454437719,0
"2011_RaABAMlw_fsi",2011,"RaABAMlw_fsi","C","C",0.519159686680976,23604.0114666633,1.5467359525069e-05,816593851.404958,43,24303,411308.590916812,12185.9000854553,8261.5982385805,16110.2006984043,7493.81076825902
"2011_RaABAMlw_fsi",2011,"RaABAMlw_fsi","D","D",0.122087271235867,37476.7759063742,9.23112770292311e-07,97173576.6472314,18,24303,411308.590916812,31583.1642873698,24061.5875298638,39104.7393996415,0
"2011_RaABAMlw_fsi",2011,"RaABAMlw_fsi","E","E",0.259666964673045,215470.149068195,3.91014128998037e-06,255376154.847961,34,24303,411308.590916812,227787.126620638,215470.149068195,240104.104173081,0
"2011_RaABAMlw_fsw",2011,"RaABAMlw_fsw","A","A",0,585.86802473734,0,0,0,6925,5294.83142508672,696.502844331274,585.86802473734,807.137663925207,0
"2011_RaABAMlw_fsw",2011,"RaABAMlw_fsw","B","B",0.0319655521178399,1519.08610336525,8.07934465001342e-08,6666218.67974683,2,7266,5294.83142508672,1102.54880493296,957.601216811444,1247.49628715784,271.589816207409
"2011_RaABAMlw_fsw",2011,"RaABAMlw_fsw","C","C",0,106.352677627209,0,0,0,6925,5294.83142508672,156.870748971264,106.352677627209,207.388804430825,0
"2011_RaABAMlw_fsw",2011,"RaABAMlw_fsw","D","D",0,309.748088428244,0,0,0,6925,5294.83142508672,406.574368893414,309.748088428244,503.400628179258,0
"2011_RaABAMlw_fsw",2011,"RaABAMlw_fsw","E","E",0.0162266107307124,2773.77653092867,3.53701715210585e-08,3483962.02202399,1,7266,5294.83142508672,2932.33465795781,2773.77653092867,3090.89278498695,0
"2011_RaABAMlw_fwc",2011,"RaABAMlw_fwc","A","A",0,127.581187752347,0,0,0,16069,1153.02568776282,151.673510757838,127.581187752347,175.765833763328,0
"2011_RaABAMlw_fwc",2011,"RaABAMlw_fwc","B","B",0,208.531436220077,0,0,0,16069,1153.02568776282,240.095858024239,208.531436220077,271.660256767887,0
"2011_RaABAMlw_fwc",2011,"RaABAMlw_fwc","C","C",0.00617761406749173,145.431233769836,9.10013047736492e-09,2446796.46967561,1,16069,1153.02568776282,34.1608615461252,23.1598250107691,45.1618946224042,100.269339147432
"2011_RaABAMlw_fwc",2011,"RaABAMlw_fwc","D","D",0,67.4521007413084,0,0,0,16412,1153.02568776282,88.5374157709629,67.4521007413084,109.622726188515,0
"2011_RaABAMlw_fwc",2011,"RaABAMlw_fwc","E","E",0,604.029729279251,0,0,0,16410,1153.02568776282,638.558041663656,604.029729279251,673.08635404806,0
"2011_RaABLA_faf",2011,"RaABLA_faf","A","A",0,480.73903473857,0,0,0,9487,3716.14215603071,567.132245750908,480.73903473857,653.525453047104,0
"2011_RaABLA_faf",2011,"RaABLA_faf","B","B",0.0360053822814848,1049.08472725225,3.09031673903867e-07,7556676.74910465,2,9487,3716.14215603071,786.327523284066,689.812362306116,882.842684262015,166.242042990239
"2011_RaABLA_faf",2011,"RaABLA_faf","C","C",0,11.5792053829614,0,0,0,9144,3716.14215603071,32.5477678991783,11.5792053829614,53.5163304153953,0
"2011_RaABLA_faf",2011,"RaABLA_faf","D",NA,0,59.4911549222879,NA,NA,NA,NA,3716.14215603071,96.8785625193875,59.4911549222879,134.265977548772,0
"2011_RaABLA_faf",2011,"RaABLA_faf","E","E",0,2115.24803373464,0,0,0,9487,3716.14215603071,2233.25607515788,2115.24803373464,2351.26397536772,0
"2011_RaDFHEdy_fwi",2011,"RaDFHEdy_fwi","A","A",0.276012825008969,30435.9180308357,5.02334297692525e-06,406557623.782185,19,23619,430694.574288493,24293.4941415427,18151.0724057226,30435.9180308357,3.63797880709171e-12
"2011_RaDFHEdy_fwi",2011,"RaDFHEdy_fwi","B","B",0.261854868464612,76873.6597147619,4.22979796098565e-06,334396695.751297,22,23960,430694.574288493,73176.3872556418,64097.847819514,82254.9189392673,0
"2011_RaDFHEdy_fwi",2011,"RaDFHEdy_fwi","C","C",0.149244896637014,31196.1055832084,1.53700995857345e-06,163095338.325523,14,23619,430694.574288493,25270.5105703952,19344.9134041091,31196.1055832084,0
"2011_RaDFHEdy_fwi",2011,"RaDFHEdy_fwi","D","D",0.307696165517124,76233.074456465,5.79155093879979e-06,350271261.485359,32,23960,430694.574288493,65989.5419445365,55746.0137395537,76233.074456465,0
