"type","REST_ACRES","YEAR","BpS_Code","AREA_STRATA","REST_PCT"
"active",43776.1210462061,2011,"Na0210290_fwo",135955.593600149,0.321988377873979
"both",40245.6429083557,2011,"Na0210290_fwo",135955.593600149,0.296020500831468
"passive",4614.97755359695,2011,"Na0210290_fwo",135955.593600149,0.033944742039594
"active",6546.9243176888,2011,"Na0710270_fdd",1560088.27579162,0.00419650888945164
"both",612940.718196575,2011,"Na0710270_fdd",1560088.27579162,0.392888484393974
"passive",134940.535117463,2011,"Na0710270_fdd",1560088.27579162,0.0864954485020994
"active",2971.43380460401,2011,"Na0710412_fmc",20096.0056379015,0.14786191137406
"active",38858.4706356539,2011,"Na0710412_fmh",1513525.70376441,0.0256741398834561
"passive",214527.70069802,2011,"Na0710412_fmh",1513525.70376441,0.141740374916957
"active",4176.73793698186,2011,"Na0710412_fmi",33942.663479015,0.123052745685798
"both",683.695785839117,2011,"Na0710412_fmi",33942.663479015,0.0201426675387985
"passive",289.720758558561,2011,"Na0710412_fmi",33942.663479015,0.00853559293417502
"passive",215076.594413564,2011,"Na1010471_frn",644305.736352399,0.333811391516044
"active",22100.8871738411,2011,"R1RFWF_fcw",191981.623269006,0.115119805726786
"both",10124.3270852048,2011,"R1RFWF_fcw",191981.623269006,0.0527359177030112
"passive",135760.933301227,2011,"RaABAMlw_fsi",411308.590916812,0.330070745662311
"active",692.220702364549,2011,"RaABAMlw_fsw",5294.83142508672,0.130735173
"both",309.748088428244,2011,"RaABAMlw_fsw",5294.83142508672,0.058500085
"passive",990.972785646955,2011,"RaABAMlw_fsw",5294.83142508672,0.187158514802145
"active",127.581187752347,2011,"RaABAMlw_fwc",1153.02568776282,0.110649042
"both",208.531436220077,2011,"RaABAMlw_fwc",1153.02568776282,0.180855846
"passive",671.48183002056,2011,"RaABAMlw_fwc",1153.02568776282,0.582365022
"active",492.318240121531,2011,"RaABLA_faf",3716.14215603071,0.132481003
"both",59.4911549222879,2011,"RaABLA_faf",3716.14215603071,0.016008848
"passive",2115.24803373464,2011,"RaABLA_faf",3716.14215603071,0.56920536
"passive",71765.1855963311,2011,"RaDFHEdy_fwi",430694.574288493,0.166626630286409
"both",6664.32918315444,2011,"RaDFHEdy_fwx",73627.9090139208,0.090513628220712
"passive",2149.59145819958,2011,"RaDFHEdy_fwx",73627.9090139208,0.0291953348531622
"active",37.7266084594875,2011,"RaDFHEwt_fdm",1157.45821108148,0.032594359
"both",170.247863799173,2011,"RaDFHEwt_fdm",1157.45821108148,0.147087698
"passive",853.499984194216,2011,"RaDFHEwt_fdm",1157.45821108148,0.737391619
"passive",21870.840035405,2011,"RaDFHEwt_fhc",38006.7156917639,0.575446724015262
"passive",88267.4878842153,2011,"RaDFHEwt_fwm",275949.131109798,0.319868692933461
"passive",96370.0688723893,2011,"RaDFHEwt_fwn",212990.827187544,0.452461123067676
"active",224.898196875024,2011,"RaDFHEwt_fww",6899.91163425007,0.032594359
"both",1014.89211868526,2011,"RaDFHEwt_fww",6899.91163425007,0.147087698
"passive",3103.79572080104,2011,"RaDFHEwt_fww",6899.91163425007,0.449831227605044
"active",7733.41075236023,2011,"RaDFWV_fwx",21476.2064539619,0.360092028773247
"both",3001.36874761147,2011,"RaDFWV_fwx",21476.2064539619,0.139753208
"both",1427754.63453589,2011,"RaMCONdy_fdd",5378691.72103654,0.26544645214594
"passive",711983.938877387,2011,"RaMCONdy_fdd",5378691.72103654,0.132371211403092
"both",263463.998055063,2011,"RaMCONdy_fdg",993962.489410165,0.265064326734712
"passive",73045.7049404283,2011,"RaMCONdy_fdg",993962.489410165,0.0734893979588455
"active",1469.70009024125,2011,"RaMCONdy_fdx",1868.23765682519,0.786677265
"both",3.38816668962486,2011,"RaMCONdy_fdx",1868.23765682519,0.001813563
"both",651268.635348092,2011,"RaMCONdy_fmd",2504688.23165199,0.260019840840048
"passive",185062.757552005,2011,"RaMCONdy_fmd",2504688.23165199,0.0738865441268693
"both",125364.228353729,2011,"RaMCONdy_fmx",590007.643657647,0.212478990232323
"passive",91235.1629618097,2011,"RaMCONdy_fmx",590007.643657647,0.154633866090638
"both",534571.966394127,2011,"RaMCONms_fcm",2239261.12887746,0.238726944124693
"passive",308498.790143353,2011,"RaMCONms_fcm",2239261.12887746,0.137768117422734
"both",389577.565076878,2011,"RaMCONms_fmm",1790922.26282461,0.217529020194569
"passive",55869.6692903664,2011,"RaMCONms_fmm",1790922.26282461,0.0311960325973333
"active",57130.0387612112,2011,"RaMCONsw_fdm",173320.147079677,0.329621453269064
"both",40370.6402583634,2011,"RaMCONsw_fdm",173320.147079677,0.232925259634153
"active",251487.724410147,2011,"RaMCONsw_fiw",1133716.72580733,0.221825892381591
"both",213011.910140902,2011,"RaMCONsw_fiw",1133716.72580733,0.187888125218594
"active",7654.42760697851,2011,"RaMCONsw_fvw",89123.8368979885,0.0858853015466536
"both",30718.2213173276,2011,"RaMCONsw_fvw",89123.8368979885,0.34466897281911
"passive",1956.6238756617,2011,"RaMCONsw_fvw",89123.8368979885,0.0219539905794368
"active",171304.857133745,2011,"RaMEVG_ftd",338994.09480769,0.505332864960157
"active",5459.31009535859,2011,"RaMEVG_fuc",111165.757477118,0.0491096378890086
"passive",27088.6907082288,2011,"RaMEVG_fuc",111165.757477118,0.243678371136946
"active",19641.373916358,2011,"RaOAPI_fop",55464.3555367022,0.354126063961219
"both",4.54747350886464e-13,2011,"RaOAPI_fop",55464.3555367022,8.19891165210684e-18
"passive",6930.08282770155,2011,"RaOAPI_fop",55464.3555367022,0.124946603284982
"both",4235.01332261404,2011,"RaPICOpu_fld",328627.226182659,0.0128869825297436
