"BpS_Code","Order","Donate","Receive","Primary","Secondary","ActiveOnly","ActivePassive","PassiveOnly","REST_ACRES","strataID"
"Na0210290_fwo",1,"B","C","Thin / low fire","None",1,0,0,4528.11725222243,"2011_Na0210290_fwo"
"Na0210290_fwo",2,"E","D","Thin / low fire","None",1,0,0,39248.0037939837,"2011_Na0210290_fwo"
"Na0210290_fwo",3,"B","D","Thin / low fire","Grow w/ fire",0,1,0,40245.6429083557,"2011_Na0210290_fwo"
"Na0210290_fwo",18,"A","D","Grow w/ fire","Grow w/ fire",0,0,1,4614.97755359695,"2011_Na0210290_fwo"
"Na0710270_fdd",1,"B","C","Thin / low fire","None",1,0,0,6546.9243176888,"2011_Na0710270_fdd"
"Na0710270_fdd",3,"B","D","Thin / low fire","Grow w/ fire",0,1,0,612940.718196575,"2011_Na0710270_fdd"
"Na0710270_fdd",13,"B","E","Grow w/o fire","None",0,0,1,134940.535117463,"2011_Na0710270_fdd"
"Na0710412_fmc",1,"B","A","Regen / high fire","None",1,0,0,161.423563986083,"2011_Na0710412_fmc"
"Na0710412_fmc",3,"D","A","Regen / high fire","None",1,0,0,515.910444627983,"2011_Na0710412_fmc"
"Na0710412_fmc",5,"D","C","Overstory removal","None",1,0,0,1558.96353557358,"2011_Na0710412_fmc"
"Na0710412_fmc",6,"E","C","Overstory removal","None",1,0,0,735.136260416362,"2011_Na0710412_fmc"
"Na0710412_fmh",1,"B","A","Regen / high fire","None",1,0,0,7357.18347043975,"2011_Na0710412_fmh"
"Na0710412_fmh",3,"D","A","Regen / high fire","None",1,0,0,26261.8784640067,"2011_Na0710412_fmh"
"Na0710412_fmh",5,"D","C","Overstory removal","None",1,0,0,5239.40870120749,"2011_Na0710412_fmh"
"Na0710412_fmh",11,"D","E","Grow w/o fire","None",0,0,1,214527.70069802,"2011_Na0710412_fmh"
"Na0710412_fmi",5,"D","C","Overstory removal","None",1,0,0,4176.73793698186,"2011_Na0710412_fmi"
"Na0710412_fmi",9,"A","B","Grow w/o fire","None",0,0,1,289.720758558561,"2011_Na0710412_fmi"
"Na0710412_fmi",15,"D","B","Regen / high fire","Grow w/o fire",0,1,0,683.695785839117,"2011_Na0710412_fmi"
"Na1010471_frn",11,"C","D","Grow w/ fire","None",0,0,1,33446.4313766423,"2011_Na1010471_frn"
"Na1010471_frn",19,"A","E","Grow w/o fire","Grow w/o fire",0,0,1,52834.6313480611,"2011_Na1010471_frn"
"Na1010471_frn",20,"C","E","Grow w/o fire","Grow w/o fire",0,0,1,128795.53168886,"2011_Na1010471_frn"
"R1RFWF_fcw",2,"E","D","Thin / low fire","None",1,0,0,15705.235130978,"2011_R1RFWF_fcw"
"R1RFWF_fcw",5,"E","C","Overstory removal","None",1,0,0,4915.79200018829,"2011_R1RFWF_fcw"
"R1RFWF_fcw",9,"E","A","Regen / high fire","None",1,0,0,1479.86004267483,"2011_R1RFWF_fcw"
"R1RFWF_fcw",17,"E","B","Regen / high fire","Grow w/o fire",0,1,0,10124.3270852048,"2011_R1RFWF_fcw"
"RaABAMlw_fsi",14,"C","E","Grow w/o fire","None",0,0,1,135760.933301227,"2011_RaABAMlw_fsi"
"RaABAMlw_fsw",1,"B","C","Thin / low fire","None",1,0,0,106.352677627209,"2011_RaABAMlw_fsw"
"RaABAMlw_fsw",3,"B","D","Thin / low fire","Grow w/ fire",0,1,0,309.748088428244,"2011_RaABAMlw_fsw"
"RaABAMlw_fsw",6,"B","A","Regen / high fire","None",1,0,0,585.86802473734,"2011_RaABAMlw_fsw"
"RaABAMlw_fsw",13,"B","E","Grow w/o fire","None",0,0,1,990.972785646955,"2011_RaABAMlw_fsw"
"RaABAMlw_fwc",7,"C","A","Regen / high fire","None",1,0,0,127.581187752347,"2011_RaABAMlw_fwc"
"RaABAMlw_fwc",11,"C","D","Grow w/ fire","None",0,0,1,67.4521007413084,"2011_RaABAMlw_fwc"
"RaABAMlw_fwc",14,"C","E","Grow w/o fire","None",0,0,1,604.029729279251,"2011_RaABAMlw_fwc"
"RaABAMlw_fwc",16,"C","B","Regen / high fire","Grow w/o fire",0,1,0,208.531436220077,"2011_RaABAMlw_fwc"
