"type","REST_ACRES","YEAR","BpS_Code","BPS_LLID","AREA_STRATA","REST_PCT"
"active",8894.73675525919,2011,"Na0210290_fdw","Na0210290_fdw_1710030303",11570.6416294558,0.768733233653659
"both",1291.46334820172,2011,"Na0210290_fdw","Na0210290_fdw_1710030303",11570.6416294558,0.111615534346341
"active",6930.52130986855,2011,"Na0210290_fwo","Na0210290_fwo_1710030111",7872.47232209286,0.880348768
"both",37.2932711999379,2011,"Na0210290_fwo","Na0210290_fwo_1710030111",7872.47232209286,0.004737174
"passive",1255.15393930819,2011,"Na0210290_fwo","Na0210290_fwo_1710030213",1503.53151847152,0.834803876
"active",17542.9571720901,2011,"Na0210290_fwo","Na0210290_fwo_1710030301",21769.033178366,0.805867538
"active",395.978586088975,2011,"Na0210290_fwo","Na0210290_fwo_1710030707",1513.09541447218,0.261701002
"both",936.073097908058,2011,"Na0210290_fwo","Na0210290_fwo_1710030707",1513.09541447218,0.618647766
"passive",36.6156440824603,2011,"Na0210290_fwo","Na0210290_fwo_1710030707",1513.09541447218,0.024199164
"active",13008.7449687837,2011,"Na0210290_fwo","Na0210290_fwo_1710030708",41388.8839406165,0.314305285144879
"both",19502.1329095022,2011,"Na0210290_fwo","Na0210290_fwo_1710030708",41388.8839406165,0.471192529314955
"passive",843.080123506399,2011,"Na0210290_fwo","Na0210290_fwo_1710030708",41388.8839406165,0.0203697235401666
"active",12008.2521287901,2011,"Na0210290_fwo","Na0210290_fwo_1710030801",22685.6790164426,0.529331836181163
"both",6856.24321094071,2011,"Na0210290_fwo","Na0210290_fwo_1710030801",22685.6790164426,0.302227815441243
"active",1614.63766993951,2011,"Na0210290_fwo","Na0210290_fwo_1710030802",6169.78023622358,0.261701002
"both",3816.92075985067,2011,"Na0210290_fwo","Na0210290_fwo_1710030802",6169.78023622358,0.618647766
"passive",149.303523780333,2011,"Na0210290_fwo","Na0210290_fwo_1710030802",6169.78023622358,0.024199164
"active",3392.31195947405,2011,"Na0210290_fwo","Na0210290_fwo_1710030903",12962.5486090957,0.261701002
"both",8019.25173868346,2011,"Na0210290_fwo","Na0210290_fwo_1710030903",12962.5486090957,0.618647766
"passive",313.682839649479,2011,"Na0210290_fwo","Na0210290_fwo_1710030903",12962.5486090957,0.024199164
"active",1843.68042913893,2011,"Na0210290_fwo","Na0210290_fwo_1710031001",7044.98803997292,0.261701002
"both",4358.36611242597,2011,"Na0210290_fwo","Na0210290_fwo_1710031001",7044.98803997292,0.618647766
"passive",170.482820957343,2011,"Na0210290_fwo","Na0210290_fwo_1710031001",7044.98803997292,0.024199164
"active",2723.88158924386,2011,"Na0210290_fwo","Na0210290_fwo_1801020604",14549.1128428671,0.187219772
"both",4513.13514090103,2011,"Na0210290_fwo","Na0210290_fwo_1801020604",14549.1128428671,0.310200023165924
"passive",4839.71738435968,2011,"Na0210290_fwo","Na0210290_fwo_1801020604",14549.1128428671,0.332646906834076
"active",7543.46436289153,2011,"Na0210350_fvg","Na0210350_fvg_17100206",14611.8011140506,0.516258352
"both",1218.32686275915,2011,"Na0210350_fvg","Na0210350_fvg_17100206",14611.8011140506,0.08337965
"active",27596.24625648,2011,"Na0210350_fvg","Na0210350_fvg_17100303A",69220.3089461665,0.39867268257849
"both",6838.26206375264,2011,"Na0210350_fvg","Na0210350_fvg_17100303A",69220.3089461665,0.0987898229271244
"active",529.616745709478,2011,"Na0710270_fdd","Na0710270_fdd_1710030103",2110.62043057295,0.250929413
"both",834.656808045433,2011,"Na0710270_fdd","Na0710270_fdd_1710030103",2110.62043057295,0.395455666
"passive",421.393463193241,2011,"Na0710270_fdd","Na0710270_fdd_1710030103",2110.62043057295,0.199653835
"active",5132.29407876763,2011,"Na0710270_fdd","Na0710270_fdd_1710030111",28887.4665177882,0.177665081
"both",11423.7123108446,2011,"Na0710270_fdd","Na0710270_fdd_1710030111",28887.4665177882,0.395455666
"passive",5767.49347371051,2011,"Na0710270_fdd","Na0710270_fdd_1710030111",28887.4665177882,0.199653835
"active",6849.71329024118,2011,"Na0710270_fdd","Na0710270_fdd_1710030201",11359.9177340855,0.602972085765075
"active",13384.9601069079,2011,"Na0710270_fdd","Na0710270_fdd_1710030202",22708.186985655,0.589433234602275
"both",584.872932925693,2011,"Na0710270_fdd","Na0710270_fdd_1710030202",22708.186985655,0.0257560382647528
"active",14845.3106337505,2011,"Na0710270_fdd","Na0710270_fdd_1710030203",23882.5220385376,0.621597275605804
"active",3813.30961568577,2011,"Na0710270_fdd","Na0710270_fdd_1710030204",5899.43942020631,0.646385079
