"strataID","YEAR","BpS_Code","SCLASS","ew","sclass","PERC_AREA","AREA_TOTAL","PERC_AREA_VAR","AREA_TOTAL_VAR","nPlots_AREA","N","AREA_STRATA","avg","low","high","departure"
"2002_Na0210290_fwo",2002,"Na0210290_fwo","A","eastside","A",0.352158871262405,18172.8239438999,0.000145968802205035,3532830624.23246,1,740,118922.608083459,11009.8362665946,8857.50212486398,13162.1702894026,5010.65365449731
"2002_Na0210290_fwo",2002,"Na0210290_fwo","B","eastside","B",0.422334604032919,2036.08705448379,0.000201840736128455,4257493065.73912,1,740,118922.608083459,1299.72207075447,563.357087025152,2036.08705448379,0
"2002_Na0210290_fwo",2002,"Na0210290_fwo","C",NA,NA,0,22264.6635710306,NA,NA,NA,NA,118922.608083459,25187.4752898514,22264.6635710306,28110.2892682018,0
"2002_Na0210290_fwo",2002,"Na0210290_fwo","D",NA,NA,0,73571.2058177255,NA,NA,NA,NA,118922.608083459,77206.9774807014,73571.2058177255,80842.7491436772,0
"2002_Na0210290_fwo",2002,"Na0210290_fwo","E",NA,NA,0,2877.82769631935,NA,NA,NA,NA,118922.608083459,4218.59566740862,2877.82769631935,5559.36340065266,0
"2002_Na0210350_fvg",2002,"Na0210350_fvg","A",NA,NA,0,2260.60452527083,NA,NA,NA,NA,60599.4769752561,3063.70885040121,2260.60452527083,3866.81305433263,0
"2002_Na0210350_fvg",2002,"Na0210350_fvg","B",NA,NA,0,5052.76318037991,NA,NA,NA,NA,60599.4769752561,6170.76880924568,5052.76318037991,7288.77383211668,0
"2002_Na0210350_fvg",2002,"Na0210350_fvg","C",NA,NA,0,4379.61334283239,NA,NA,NA,NA,60599.4769752561,5449.86470525787,4379.61334283239,6520.11552228805,0
"2002_Na0210350_fvg",2002,"Na0210350_fvg","D",NA,NA,0,24644.7682472044,NA,NA,NA,NA,60599.4769752561,26634.099395594,24644.7682472044,28623.4305439835,0
"2002_Na0210350_fvg",2002,"Na0210350_fvg","E","westside","E",0.394659184490027,24261.7276795685,0.000182871868303007,4207725893.08553,1,740,60599.4769752561,19281.0358207521,17469.9530647282,21092.1197281661,3169.60795140239
"2002_Na0710270_fdd",2002,"Na0710270_fdd","A","eastside","A",1.01605378541015,156013.923897774,0.00109481068803249,8601765081.32801,5,740,1628872.48852112,147032.888877925,119338.254784678,174727.524600045,0
"2002_Na0710270_fdd",2002,"Na0710270_fdd","B","eastside","B",3.40770079324663,136832.890389036,0.00408534989982271,56279993369.3618,17,1454,1628872.48852112,102748.043519439,77235.4421251968,128260.636769318,8572.25361971815
"2002_Na0710270_fdd",2002,"Na0710270_fdd","C",NA,NA,0,289393.762611777,NA,NA,NA,NA,1628872.48852112,326598.024685844,289393.762611777,363802.28675991,0
"2002_Na0710270_fdd",2002,"Na0710270_fdd","D",NA,NA,0,644146.854777198,NA,NA,NA,NA,1628872.48852112,688645.698145481,644146.854777198,733144.481245483,0
"2002_Na0710270_fdd",2002,"Na0710270_fdd","E","eastside","E",2.0003030837346,402485.056845338,0.00146466174394769,27281888106.4312,14,1454,1628872.48852112,363847.833292434,325210.639059236,402485.056845338,0
"2002_Na0710411_fmt",2002,"Na0710411_fmt","A","westside","A",1.21920915626386,13296.3514410175,0.000668294017635941,10472539265.4343,7,357,315606.375977935,2899.48398187506,1096.24044178955,4702.72752196058,8593.62391905691
"2002_Na0710411_fmt",2002,"Na0710411_fmt","B","westside","B",0.511003743749886,19455.8839090036,6.66328600939025e-05,630592029.056876,2,323,315606.375977935,15172.5398203572,10889.1960473173,19455.8839090036,0
"2002_Na0710411_fmt",2002,"Na0710411_fmt","C",NA,NA,0,9829.22824631888,NA,NA,NA,NA,315606.375977935,13944.2578766243,9829.22824631888,18059.2890849616,0
"2002_Na0710411_fmt",2002,"Na0710411_fmt","D",NA,NA,0,7240.72258852441,NA,NA,NA,NA,315606.375977935,10929.4926694021,7240.72258852441,14618.2643283118,0
"2002_Na0710411_fmt",2002,"Na0710411_fmt","E","westside","E",0.829181366606682,265784.189793071,0.000237337961307257,12409724282.2384,7,949,315606.375977935,272660.605416953,265784.189793071,279537.020725228,0
"2002_Na0710412_fmc",2002,"Na0710412_fmc","A","eastside","A",0.135159586175795,29139.260246458,3.85904664326287e-06,267748180.455137,2,714,727848.231962838,107365.166367773,91923.8661266818,122806.466608865,-62784.6058802239
"2002_Na0710412_fmc",2002,"Na0710412_fmc","A","westside","A",0.287689450682185,30408.801795934,2.10542303468644e-05,131854704.460399,2,323,727848.231962838,107365.166367773,91923.8661266818,122806.466608865,-61515.0643307479
"2002_Na0710412_fmc",2002,"Na0710412_fmc","B","westside","B",0.570032536194966,67719.3118208363,4.49332179835624e-05,1424324803.38602,3,714,727848.231962838,165157.777504873,146779.459711075,183536.081469554,-79060.1478902388
"2002_Na0710412_fmc",2002,"Na0710412_fmc","C","westside","C",0.553000853117312,132598.699443169,6.17276282489515e-05,10738704311.1778,2,1306,727848.231962838,116040.363242002,99482.0204902008,132598.699443169,0
"2002_Na0710412_fmc",2002,"Na0710412_fmc","D",NA,NA,0,0,NA,NA,NA,NA,727848.231962838,35856.331723399,25548.0486698471,46164.6155047991,-25548.0486698471
