"type","REST_ACRES","YEAR","BpS_Code","AREA_STRATA","REST_PCT"
"active",22264.6635710306,2002,"Na0210290_fwo",118922.608083459,0.187219772
"both",40548.2561092915,2002,"Na0210290_fwo",118922.608083459,0.340963394284416
"passive",35900.7774047533,2002,"Na0210290_fwo",118922.608083459,0.301883535715584
"active",31284.9861153077,2002,"Na0210350_fvg",60599.4769752561,0.516258352
"both",5052.76318037991,2002,"Na0210350_fvg",60599.4769752561,0.08337965
"active",431687.074225295,2002,"Na0710270_fdd",1628872.48852112,0.265022018155166
"both",501853.54316368,2002,"Na0710270_fdd",1628872.48852112,0.308098728844834
"active",9829.22824631888,2002,"Na0710411_fmt",315606.375977935,0.031143947
"passive",86342.804257731,2002,"Na0710411_fmt",315606.375977935,0.273577502958202
"active",84088.7180409462,2002,"Na0710412_fmc",727848.231962838,0.115530565780422
"both",79060.1478902388,2002,"Na0710412_fmc",727848.231962838,0.10862174890091
"active",302011.773560592,2002,"Na0710412_fmh",1424740.85128399,0.211976636514926
"both",1563.35588349825,2002,"Na0710412_fmh",1424740.85128399,0.00109729140010925
"active",12936.0647053817,2002,"Na0710412_fmi",43398.5758862832,0.298075788
"both",8751.85133532615,2002,"Na0710412_fmi",43398.5758862832,0.201662178
"active",19954.6752172697,2002,"Na1010471_frn",561306.345744507,0.035550418
"both",42317.4500798622,2002,"Na1010471_frn",561306.345744507,0.075391006
"passive",163848.956726838,2002,"Na1010471_frn",561306.345744507,0.291906474902776
"active",40548.9790699341,2002,"R1RFWF_fcw",159271.14164951,0.254590873462599
"both",7914.95257171164,2002,"R1RFWF_fcw",159271.14164951,0.0496948316546207
"active",30220.0558775139,2002,"RaABAMlw_fsi",2270934.31777587,0.013307322735389
"both",132849.850619305,2002,"RaABAMlw_fsi",2270934.31777587,0.058500085
"passive",7692.98657379253,2002,"RaABAMlw_fsi",2270934.31777587,0.00338758656011107
"active",34920.772745548,2002,"RaABAMlw_fsw",188945.533625746,0.184819254921989
"both",23378.0205121547,2002,"RaABAMlw_fsw",188945.533625746,0.123728886645507
"both",3729.39500491911,2002,"RaABAMlw_fwc",63750.2493358619,0.058500085
"passive",17928.2219520204,2002,"RaABAMlw_fwc",63750.2493358619,0.281225911095145
"active",41077.0495474525,2002,"RaABAMup_fst",1599176.65562807,0.0256863739242865
"passive",248078.381015037,2002,"RaABAMup_fst",1599176.65562807,0.155128815907837
"active",15542.4565136028,2002,"RaABLA_faf",104670.160343839,0.148489851
"both",13613.8680649723,2002,"RaABLA_faf",104670.160343839,0.130064461736288
"active",35897.371966652,2002,"RaDFHEdy_fdg",799218.017381703,0.044915619
