"type","REST_ACRES","YEAR","BpS_Code","AREA_STRATA","REST_PCT"
"active",8894.73675525919,2011,"Na0210290_fdw",11570.6416294558,0.768733233653659
"both",1291.46334820172,2011,"Na0210290_fdw",11570.6416294558,0.111615534346341
"active",59556.0943168231,2011,"Na0210290_fwo",137459.125118621,0.433264028600713
"both",50110.938184516,2011,"Na0210290_fwo",137459.125118621,0.364551557717776
"active",38723.3916236627,2011,"Na0210350_fvg",83832.1100602171,0.461915984171786
"both",3254.5810594615,2011,"Na0210350_fvg",83832.1100602171,0.0388226069595972
"active",490042.006550658,2011,"Na0710270_fdd",1587887.90654531,0.308612468506557
"both",414936.967886817,2011,"Na0710270_fdd",1587887.90654531,0.261313765396435
"passive",83524.4273082639,2011,"Na0710411_fmt",459762.015010533,0.181668829919215
"active",250340.011026748,2011,"Na0710412_fmh",1567022.12444439,0.159755249859992
"both",40545.7191745321,2011,"Na0710412_fmh",1567022.12444439,0.0258743756977319
"active",-10423.0698176093,2011,"Na0710412_fmi",36573.7627174212,-0.284987626188226
"active",19830.5245625171,2011,"Na1010471_frn",650521.685125427,0.0304840330706171
"both",49043.4842664212,2011,"Na1010471_frn",650521.685125427,0.075391006
"passive",170599.664965923,2011,"Na1010471_frn",650521.685125427,0.262250542705628
"active",54243.6413851671,2011,"R1RFWF_fcw",200283.622380539,0.270834133817013
"both",8987.2577373847,2011,"R1RFWF_fcw",200283.622380539,0.0448726542418376
"active",395.781907169227,2011,"RaABAMup_fsi",22041.2839190404,0.0179563907721061
"both",385.431898337302,2011,"RaABAMup_fsi",22041.2839190404,0.017486817
"passive",193.104506616559,2011,"RaABAMup_fsi",22041.2839190404,0.00876103712133326
"both",26392.8683376245,2011,"RaABAMup_fst",1654677.84834967,0.0159504572832398
"passive",134988.926581635,2011,"RaABAMup_fst",1654677.84834967,0.0815801859656664
"active",36234.7800690192,2011,"RaDFHEdy_fdg",828088.748277205,0.0437571216181885
"both",107181.862727877,2011,"RaDFHEdy_fdg",828088.748277205,0.129432821
"passive",131029.598409933,2011,"RaDFHEdy_fdg",828088.748277205,0.158231347403926
"active",12798.3903445089,2011,"RaDFHEdy_fwx",73627.9090139208,0.173825258871458
"both",7003.55272093542,2011,"RaDFHEdy_fwx",73627.9090139208,0.0951208966101599
"passive",4110.19427474563,2011,"RaDFHEwt_fdm",26783.7715905144,0.153458382844083
"passive",4934.13594578944,2011,"RaDFHEwt_fhc",120816.979046812,0.0408397560071224
"both",1.45519152283669e-11,2011,"RaDFHEwt_fww",484845.587610686,3.00135045057923e-17
"passive",209188.524072798,2011,"RaDFHEwt_fww",484845.587610686,0.431453909075829
"active",1700430.5087053,2011,"RaMCONdy_fdd",5337461.94886378,0.3185840995208
"both",2041279.89192415,2011,"RaMCONdy_fdd",5337461.94886378,0.382443924
"passive",121125.765565344,2011,"RaMCONdy_fdd",5337461.94886378,0.022693513644838
"active",272671.709491457,2011,"RaMCONdy_fdg",991208.703288485,0.275090108255534
"both",379081.7459886,2011,"RaMCONdy_fdg",991208.703288485,0.382443924
"active",1469.70009024125,2011,"RaMCONdy_fdx",1868.23765682519,0.786677265
