"type","REST_ACRES","YEAR","ew","BpS_Code","AREA_STRATA","REST_PCT"
"active",22264.6635710306,2002,"eastside","Na0210290_fwo",118922.608083459,0.187219772
"both",40548.2561092915,2002,"eastside","Na0210290_fwo",118922.608083459,0.340963394284416
"passive",35900.7774047533,2002,"eastside","Na0210290_fwo",118922.608083459,0.301883535715584
"both",382077.459298806,2002,"eastside","Na0710270_fdd",1556045.86261873,0.245543829058992
"passive",303452.875536115,2002,"eastside","Na0710270_fdd",1556045.86261873,0.195015380218564
"active",3628.75354005102,2002,"eastside","Na0710412_fmc",35403.1040066691,0.10249817471845
"passive",9592.27331423886,2002,"eastside","Na0710412_fmc",35403.1040066691,0.27094441528155
"active",94088.7686982501,2002,"eastside","Na0710412_fmh",1416879.04359823,0.0664056463558858
"active",12936.0647053817,2002,"eastside","Na0710412_fmi",43398.5758862832,0.298075788
"both",8751.85133532615,2002,"eastside","Na0710412_fmi",43398.5758862832,0.201662178
"both",45535.0106068373,2002,"eastside","Na1010471_frn",603984.653114157,0.075391006
"passive",169895.934867684,2002,"eastside","Na1010471_frn",603984.653114157,0.281291807650571
"active",36519.2122511175,2002,"eastside","R1RFWF_fcw",165549.24505813,0.220594254225045
"both",1392.68626207131,2002,"eastside","R1RFWF_fcw",165549.24505813,0.00841251955925436
"active",29590.0529823125,2002,"eastside","RaABAMlw_fsi",450550.636271816,0.065675310609174
"both",9257.60474155153,2002,"eastside","RaABAMlw_fsi",450550.636271816,0.0205473125466112
"active",2475.62189983973,2002,"eastside","RaABAMlw_fsw",13082.2444295224,0.189235258
"both",2366.00038388006,2002,"eastside","RaABAMlw_fsw",13082.2444295224,0.180855846
"both",4119.93962198442,2002,"eastside","RaDFHEdy_fwi",481278.508306229,0.00856040639853997
"passive",81361.7042029834,2002,"eastside","RaDFHEdy_fwi",481278.508306229,0.16905326707673
"active",9078.41787150644,2002,"eastside","RaDFHEdy_fwx",41934.1642100948,0.216492162
"both",6240.82548617558,2002,"eastside","RaDFHEdy_fwx",41934.1642100948,0.148824368
"active",49.0602386848254,2002,"eastside","RaDFHEwt_fhc",63729.9074255833,0.000769815
"passive",46993.899615271,2002,"eastside","RaDFHEwt_fhc",63729.9074255833,0.737391619
"passive",93193.5450319383,2002,"eastside","RaDFHEwt_fwm",282917.719779159,0.329401583982381
"active",9173.17118602245,2002,"eastside","RaDFHEwt_fwn",281434.31769965,0.032594359
"passive",155042.076954276,2002,"eastside","RaDFHEwt_fwn",281434.31769965,0.55089968494794
"both",1875517.79410862,2002,"eastside","RaMCONdy_fdd",4949492.78658456,0.378931311748176
"passive",247334.212012206,2002,"eastside","RaMCONdy_fdd",4949492.78658456,0.0499716279378359
"both",274716.249104774,2002,"eastside","RaMCONdy_fdg",936875.562646946,0.293225973712689
"passive",124662.757665543,2002,"eastside","RaMCONdy_fdg",936875.562646946,0.133062236476032
"both",685369.864706946,2002,"eastside","RaMCONdy_fmd",2618174.03919765,0.261773989981575
"passive",93259.6217541347,2002,"eastside","RaMCONdy_fmd",2618174.03919765,0.035620100252279
"both",141794.8732985,2002,"eastside","RaMCONdy_fmx",663899.875082123,0.213578701579001
"passive",77184.6260668234,2002,"eastside","RaMCONdy_fmx",663899.875082123,0.116259437550393
"both",176542.204438635,2002,"eastside","RaMCONms_fcm",1770570.84898297,0.0997092008715958
"passive",574880.538763136,2002,"eastside","RaMCONms_fcm",1770570.84898297,0.324686549026463
"both",177708.823676575,2002,"eastside","RaMCONms_fmm",1630657.1401751,0.108979882587392
"passive",315392.944641744,2002,"eastside","RaMCONms_fmm",1630657.1401751,0.193414628293889
"active",127055.497481943,2002,"eastside","RaMCONsw_fdm",201328.937547412,0.631084130427214
"both",17652.0188424474,2002,"eastside","RaMCONsw_fdm",201328.937547412,0.087677504572786
"active",354822.351546669,2002,"eastside","RaMCONsw_fiw",1026055.05325513,0.345812196354381
"both",158181.446990168,2002,"eastside","RaMCONsw_fiw",1026055.05325513,0.15416467809241
"active",21254.6534567643,2002,"eastside","RaMCONsw_fvw",29571.2130722785,0.718761635
"both",534.770164167406,2002,"eastside","RaMCONsw_fvw",29571.2130722785,0.018084147
"active",200319.521946409,2002,"eastside","RaMEVG_ftd",610220.121721591,0.328274199449954
"passive",172467.900058079,2002,"eastside","RaMEVG_ftd",610220.121721591,0.282632273041901
"active",173.94409065686,2002,"eastside","RaMEVG_fuc",136190.407856844,0.00127721249531538
"passive",77000.3719956479,2002,"eastside","RaMEVG_fuc",136190.407856844,0.565387630504685
"passive",85455.3137996496,2002,"eastside","RaOAPI_fop",170800.556205656,0.500322222
"passive",65071.9251092784,2002,"eastside","RaPICOpu_fld",257538.250914633,0.252668972
"active",11464.8283538296,2002,"eastside","RaPICOpu_flp",25640.4924373787,0.447137604
"both",1719.38559103991,2002,"eastside","RaPICOpu_flp",25640.4924373787,0.0670574325059915
"passive",230.703343309553,2002,"eastside","RaPICOpu_flp",25640.4924373787,0.00899761749400856
"active",38.4502612548986,2002,"eastside","RaPICOpu_flw",75733.8980602692,0.000507702128633334
"passive",44092.9044109702,2002,"eastside","RaPICOpu_flw",75733.8980602692,0.582208304871367
"active",13797.3839216355,2002,"eastside","RaPIJEsp_fjp",15262.5927323672,0.904000006
"active",184146.484813963,2002,"eastside","RaPIPOm_fdp",835611.35857321,0.220373362478449
"both",143830.265513422,2002,"eastside","RaPIPOm_fdp",835611.35857321,0.172125790342306
"passive",32507.0341858006,2002,"eastside","RaPIPOm_fdp",835611.35857321,0.0389020970721433
"active",125110.869643404,2002,"eastside","RaPIPOm_fpd",453442.14058285,0.275913635822617
"both",14120.4194848321,2002,"eastside","RaPIPOm_fpd",453442.14058285,0.0311405099373469
"passive",91065.2167975567,2002,"eastside","RaPIPOm_fpd",453442.14058285,0.200830952060394
"active",88825.7697722913,2002,"eastside","RaPIPOm_fpl",1023398.25906128,0.086794919754669
"both",132382.393562007,2002,"eastside","RaPIPOm_fpl",1023398.25906128,0.129355695487929
"passive",70786.9171682253,2002,"eastside","RaPIPOm_fpl",1023398.25906128,0.0691684948078331
"active",16115.0562674304,2002,"eastside","RaPIPOxe_fpd",991377.048727798,0.0162552242742661
"both",402672.802766489,2002,"eastside","RaPIPOxe_fpd",991377.048727798,0.406175232
"both",58551.9488773247,2002,"eastside","RaPIPOxe_fxp",3148855.9115805,0.0185946739137822
"passive",1056548.80406975,2002,"eastside","RaPIPOxe_fxp",3148855.9115805,0.335534185665371
"active",77080.6736942039,2002,"eastside","RaREFI_fcw",406725.137489269,0.189515391573843
"both",48507.7613496459,2002,"eastside","RaREFI_fcw",406725.137489269,0.119264232471802
"active",3968.15870720703,2002,"eastside","RaREFI_frf",36253.1833412416,0.109456835
"both",7018.93184257218,2002,"eastside","RaREFI_frf",36253.1833412416,0.193608704
"passive",11782.4726674187,2002,"eastside","RaREFI_frf",36253.1833412416,0.325005188
"active",22370.6894982198,2002,"eastside","RaREFI_frm",70988.4221883867,0.315131521571972
"both",2919.96871694735,2002,"eastside","RaREFI_frm",70988.4221883867,0.0411330274280282
"active",66435.3393995852,2002,"eastside","RaSAWD_fal",956947.262615391,0.0694242431061599
"passive",356686.550335579,2002,"eastside","RaSAWD_fal",956947.262615391,0.372733758975113
"passive",29606.9998979073,2002,"eastside","RaSAWD_fsw",62086.8814034638,0.476864020685946
"passive",152039.009528293,2002,"eastside","RaSPFI_fcd",1231659.76779237,0.123442377111016
