"BpS_Code","Order","Donate","Receive","Primary","Secondary","ActiveOnly","ActivePassive","PassiveOnly","REST_ACRES","strataID"
"Na0210290_fwo",1,"B","C","Thin / low fire","None",1,0,0,22264.6635710306,"2002_eastside_Na0210290_fwo"
"Na0210290_fwo",3,"B","D","Thin / low fire","Grow w/ fire",0,1,0,40548.2561092915,"2002_eastside_Na0210290_fwo"
"Na0210290_fwo",18,"A","D","Grow w/ fire","Grow w/ fire",0,0,1,33022.949708434,"2002_eastside_Na0210290_fwo"
"Na0210290_fwo",19,"A","E","Grow w/o fire","Grow w/o fire",0,0,1,2877.82769631935,"2002_eastside_Na0210290_fwo"
"Na0710270_fdd",3,"B","D","Thin / low fire","Grow w/ fire",0,1,0,382077.459298806,"2002_eastside_Na0710270_fdd"
"Na0710270_fdd",11,"C","D","Grow w/ fire","None",0,0,1,30821.2171004998,"2002_eastside_Na0710270_fdd"
"Na0710270_fdd",18,"A","D","Grow w/ fire","Grow w/ fire",0,0,1,187185.883796762,"2002_eastside_Na0710270_fdd"
"Na0710270_fdd",20,"A","E","Grow w/o fire","Grow w/o fire",0,0,1,85445.7746388533,"2002_eastside_Na0710270_fdd"
"Na0710412_fmc",6,"E","C","Overstory removal","None",1,0,0,3628.75354005102,"2002_eastside_Na0710412_fmc"
"Na0710412_fmc",9,"A","B","Grow w/o fire","None",0,0,1,7139.46706194542,"2002_eastside_Na0710412_fmc"
"Na0710412_fmc",12,"A","C","Grow w/ fire","None",0,0,1,1210.12929780409,"2002_eastside_Na0710412_fmc"
"Na0710412_fmc",20,"A","D","Grow w/ fire","Grow w/ fire",0,0,1,1242.67695448935,"2002_eastside_Na0710412_fmc"
"Na0710412_fmh",1,"B","A","Regen / high fire","None",1,0,0,73779.0227411781,"2002_eastside_Na0710412_fmh"
"Na0710412_fmh",4,"E","A","Regen / high fire","None",1,0,0,20309.745957072,"2002_eastside_Na0710412_fmh"
"Na0710412_fmi",4,"E","A","Regen / high fire","None",1,0,0,5481.03945942267,"2002_eastside_Na0710412_fmi"
"Na0710412_fmi",6,"E","C","Overstory removal","None",1,0,0,5931.70090407693,"2002_eastside_Na0710412_fmi"
"Na0710412_fmi",8,"E","D","Thin / low fire","None",1,0,0,1523.32434188207,"2002_eastside_Na0710412_fmi"
"Na0710412_fmi",16,"E","B","Regen / high fire","Grow w/o fire",0,1,0,8751.85133532615,"2002_eastside_Na0710412_fmi"
"Na1010471_frn",3,"B","D","Thin / low fire","Grow w/ fire",0,1,0,45535.0106068373,"2002_eastside_Na1010471_frn"
"Na1010471_frn",13,"B","E","Grow w/o fire","None",0,0,1,51896.0289409833,"2002_eastside_Na1010471_frn"
"Na1010471_frn",19,"A","E","Grow w/o fire","Grow w/o fire",0,0,1,92269.4453933296,"2002_eastside_Na1010471_frn"
"Na1010471_frn",20,"C","E","Grow w/o fire","Grow w/o fire",0,0,1,25730.4605333714,"2002_eastside_Na1010471_frn"
"R1RFWF_fcw",1,"B","C","Thin / low fire","None",1,0,0,6511.03026299357,"2002_eastside_R1RFWF_fcw"
"R1RFWF_fcw",2,"E","D","Thin / low fire","None",1,0,0,22495.1466972264,"2002_eastside_R1RFWF_fcw"
"R1RFWF_fcw",3,"B","D","Thin / low fire","Grow w/ fire",0,1,0,1392.68626207131,"2002_eastside_R1RFWF_fcw"
"R1RFWF_fcw",6,"B","A","Regen / high fire","None",1,0,0,7513.03529089747,"2002_eastside_R1RFWF_fcw"
"RaABAMlw_fsi",3,"B","D","Thin / low fire","Grow w/ fire",0,1,0,9257.60474155153,"2002_eastside_RaABAMlw_fsi"
