"type","REST_ACRES","YEAR","ew","BpS_Code","AREA_STRATA","REST_PCT"
"active",41892.8594058445,2011,"eastside","Na0210290_fwo",163437.345514965,0.256323665034125
"both",52774.5796849359,2011,"eastside","Na0210290_fwo",163437.345514965,0.322904043250651
"passive",8750.61475724005,2011,"eastside","Na0210290_fwo",163437.345514965,0.0535410969241347
"active",24622.2967492553,2011,"eastside","Na0710270_fdd",1591716.02441488,0.0154690261149482
"both",621612.299043853,2011,"eastside","Na0710270_fdd",1591716.02441488,0.390529648196737
"passive",68544.5858734842,2011,"eastside","Na0710270_fdd",1591716.02441488,0.0430633258835735
"active",2614.37066382786,2011,"eastside","Na0710412_fmc",15219.259480108,0.171780412
"both",1210.83280971739,2011,"eastside","Na0710412_fmc",15219.259480108,0.0795592460526733
"passive",1858.31620458834,2011,"eastside","Na0710412_fmc",15219.259480108,0.122102931947327
"active",70420.3812006689,2011,"eastside","Na0710412_fmh",1597355.33589162,0.0440856080161784
"active",8175.11870104513,2011,"eastside","Na0710412_fmi",32846.2667080776,0.248890346464692
"both",752.314783618272,2011,"eastside","Na0710412_fmi",32846.2667080776,0.0229041184590169
"both",22739.3828108434,2011,"eastside","Na1010471_frn",651559.448186445,0.0348999356453756
"passive",189294.463844221,2011,"eastside","Na1010471_frn",651559.448186445,0.290525238136143
"active",25969.7338241161,2011,"eastside","R1RFWF_fcw",217298.672265848,0.11951170043204
"both",19102.1581151005,2011,"eastside","R1RFWF_fcw",217298.672265848,0.0879073853324356
"both",18637.7906166015,2011,"eastside","RaABAMlw_fsi",445030.075075745,0.0418798451170503
"passive",88951.0420543195,2011,"eastside","RaABAMlw_fsi",445030.075075745,0.199876473605025
"active",11.0230849710138,2011,"eastside","RaABAMlw_fsw",7046.21735891323,0.00156439752132681
"both",412.204314424899,2011,"eastside","RaABAMlw_fsw",7046.21735891323,0.058500085
"passive",1908.46246753366,2011,"eastside","RaABAMlw_fsw",7046.21735891323,0.270849218853506
"active",492.318240121531,2011,"eastside","RaABLA_faf",3716.14215603071,0.132481003
"both",59.4911549222879,2011,"eastside","RaABLA_faf",3716.14215603071,0.016008848
"passive",2115.24803373464,2011,"eastside","RaABLA_faf",3716.14215603071,0.56920536
"passive",56848.481029358,2011,"eastside","RaDFHEdy_fwi",445198.307431891,0.127692491369265
"active",4150.01492470032,2011,"eastside","RaDFHEdy_fwx",76209.6804768648,0.0544552201076365
"both",3516.52942632494,2011,"eastside","RaDFHEdy_fwx",76209.6804768648,0.0461428181344031
"passive",3686.64627432307,2011,"eastside","RaDFHEdy_fwx",76209.6804768648,0.0483750391191081
"active",23.8140645199226,2011,"eastside","RaDFHEwt_fhc",30934.788903727,0.000769815
"passive",16722.4252342093,2011,"eastside","RaDFHEwt_fhc",30934.788903727,0.540570206774373
"passive",89887.4714888362,2011,"eastside","RaDFHEwt_fwm",298871.280509589,0.300756470596886
"passive",93774.7909540272,2011,"eastside","RaDFHEwt_fwn",214387.934550215,0.437407035758642
"active",14.6978522186004,2011,"eastside","RaDFHEwt_fww",19092.7069732343,0.000769815
"passive",5687.07119923433,2011,"eastside","RaDFHEwt_fww",19092.7069732343,0.297866154192117
"active",7601.37888373264,2011,"eastside","RaDFWV_fwx",21476.2064539618,0.353944207978611
"both",2109.44286926187,2011,"eastside","RaDFWV_fwx",21476.2064539618,0.0982223221677373
"both",1770668.70047401,2011,"eastside","RaMCONdy_fdd",5321349.15226459,0.332748077566095
"passive",389067.730563707,2011,"eastside","RaMCONdy_fdd",5321349.15226459,0.0731144902224904
"both",340518.986449998,2011,"eastside","RaMCONdy_fdg",1020744.26861597,0.333598724890916
"passive",20445.4527936975,2011,"eastside","RaMCONdy_fdg",1020744.26861597,0.020029946209171
"active",1469.70009024125,2011,"eastside","RaMCONdy_fdx",1868.23765682519,0.786677265
"both",3.38816668962486,2011,"eastside","RaMCONdy_fdx",1868.23765682519,0.001813563
"both",772568.116916092,2011,"eastside","RaMCONdy_fmd",2482796.80387728,0.311168483747686
"passive",119738.39092226,2011,"eastside","RaMCONdy_fmd",2482796.80387728,0.0482272213075469
"both",146577.535481199,2011,"eastside","RaMCONdy_fmx",590875.825535638,0.248068255878169
"passive",75763.3637206089,2011,"eastside","RaMCONdy_fmx",590875.825535638,0.128222141516668
"both",431256.671420519,2011,"eastside","RaMCONms_fcm",2290116.75329527,0.188312089678389
"passive",329742.447423461,2011,"eastside","RaMCONms_fcm",2290116.75329527,0.143984994192542
"both",245835.63352978,2011,"eastside","RaMCONms_fmm",1765767.21063813,0.139223127515738
"passive",202078.821266832,2011,"eastside","RaMCONms_fmm",1765767.21063813,0.114442504113441
"active",46949.9072120147,2011,"eastside","RaMCONsw_fdm",181517.61055001,0.258652078273582
"both",41518.3877715114,2011,"eastside","RaMCONsw_fdm",181517.61055001,0.228729254675114
"active",311498.818428403,2011,"eastside","RaMCONsw_fiw",1096366.89944315,0.284119138024519
