"type","REST_ACRES","YEAR","STATE","BpS_Code","BPS_LLID","AREA_STRATA","REST_PCT"
"passive",45140.8519951345,2002,"Oregon","Na0210290_fwo","Na0210290_fwo_1710030708",54073.6013486532,0.834803876
"active",16971.0500412035,2002,"Oregon","Na0210290_fwo","Na0210290_fwo_1710031001",64849.0067348059,0.261701002
"both",40118.6931438066,2002,"Oregon","Na0210290_fwo","Na0210290_fwo_1710031001",64849.0067348059,0.618647766
"passive",1569.29174921267,2002,"Oregon","Na0210290_fwo","Na0210290_fwo_1710031001",64849.0067348059,0.024199164
"active",31284.9861153077,2002,"Oregon","Na0210350_fvg","Na0210350_fvg_17100303A",60599.4769752561,0.516258352
"both",5052.76318037991,2002,"Oregon","Na0210350_fvg","Na0210350_fvg_17100303A",60599.4769752561,0.08337965
"active",9973.22415569069,2002,"Oregon","Na0710270_fdd","Na0710270_fdd_1710030111",39745.138030872,0.250929413
"both",15717.4400302604,2002,"Oregon","Na0710270_fdd","Na0710270_fdd_1710030111",39745.138030872,0.395455666
"passive",7935.26923046794,2002,"Oregon","Na0710270_fdd","Na0710270_fdd_1710030111",39745.138030872,0.199653835
"active",3299.263248892,2002,"Oregon","Na0710270_fdd","Na0710270_fdd_1710030201",13148.172665163,0.250929413
"both",5199.51937798503,2002,"Oregon","Na0710270_fdd","Na0710270_fdd_1710030201",13148.172665163,0.395455666
"passive",2625.08309584196,2002,"Oregon","Na0710270_fdd","Na0710270_fdd_1710030201",13148.172665163,0.199653835
"active",9865.512209056,2002,"Oregon","Na0710270_fdd","Na0710270_fdd_1710030203",15262.5927323672,0.646385079
"both",723.698819869846,2002,"Oregon","Na0710270_fdd","Na0710270_fdd_1710030203",15262.5927323672,0.047416506
"active",15940.598408007,2002,"Oregon","Na0710270_fdd","Na0710270_fdd_1710030204",24661.1484792752,0.646385079
"both",1169.34549483444,2002,"Oregon","Na0710270_fdd","Na0710270_fdd_1710030204",24661.1484792752,0.047416506
"active",24572.361256186,2002,"Oregon","Na0710270_fdd","Na0710270_fdd_1710030205",138307.2076847,0.177665081
"both",52797.0397141156,2002,"Oregon","Na0710270_fdd","Na0710270_fdd_1710030205",138307.2076847,0.381737442306532
"passive",10921.8610062907,2002,"Oregon","Na0710270_fdd","Na0710270_fdd_1710030205",138307.2076847,0.0789681260226826
"active",29452.9566885373,2002,"Oregon","Na0710270_fdd","Na0710270_fdd_1710030207",45565.6506398677,0.646385079
"both",2160.56394695919,2002,"Oregon","Na0710270_fdd","Na0710270_fdd_1710030207",45565.6506398677,0.047416506
"active",54190.5662608615,2002,"Oregon","Na0710270_fdd","Na0710270_fdd_1710030209",83836.3508401182,0.646385079
"both",3975.22683262857,2002,"Oregon","Na0710270_fdd","Na0710270_fdd_1710030209",83836.3508401182,0.047416506
"passive",49262.301202466,2002,"Oregon","Na0710270_fdd","Na0710270_fdd_1710030210",60061.9805838051,0.820191088
"active",15206.191185508,2002,"Oregon","Na0710270_fdd","Na0710270_fdd_1710030501",60599.4769752561,0.250929413
"both",23964.4065265016,2002,"Oregon","Na0710270_fdd","Na0710270_fdd_1710030501",60599.4769752561,0.395455666
"passive",12098.9179771041,2002,"Oregon","Na0710270_fdd","Na0710270_fdd_1710030501",60599.4769752561,0.199653835
"active",84520.9657122734,2002,"Oregon","Na0710270_fdd","Na0710270_fdd_1710030704",178510.864821565,0.473477991363487
"both",30865.7937477721,2002,"Oregon","Na0710270_fdd","Na0710270_fdd_1710030704",178510.864821565,0.172907087636513
"passive",48976.085377447,2002,"Oregon","Na0710270_fdd","Na0710270_fdd_1710030705",59713.0182149053,0.820191088
"active",19891.7146033101,2002,"Oregon","Na0710270_fdd","Na0710270_fdd_1710030707",79272.1521382991,0.250929413
"both",31348.6217191044,2002,"Oregon","Na0710270_fdd","Na0710270_fdd_1710030707",79272.1521382991,0.395455666
"passive",15826.9891831149,2002,"Oregon","Na0710270_fdd","Na0710270_fdd_1710030707",79272.1521382991,0.199653835
"active",53344.3382729178,2002,"Oregon","Na0710270_fdd","Na0710270_fdd_1710030802",112916.444289356,0.472423114353648
"both",19643.1664894567,2002,"Oregon","Na0710270_fdd","Na0710270_fdd_1710030802",112916.444289356,0.173961964646352
"active",16272.5231935979,2002,"Oregon","Na0710270_fdd","Na0710270_fdd_1710030803",64849.0067348059,0.250929413
"both",25644.9071477512,2002,"Oregon","Na0710270_fdd","Na0710270_fdd_1710030803",64849.0067348059,0.395455666
"passive",12947.3528905448,2002,"Oregon","Na0710270_fdd","Na0710270_fdd_1710030803",64849.0067348059,0.199653835
"active",8093.98869954818,2002,"Oregon","Na0710270_fdd","Na0710270_fdd_1710030902",32256.0380737358,0.250929413
"both",12755.8330189705,2002,"Oregon","Na0710270_fdd","Na0710270_fdd_1710030902",32256.0380737358,0.395455666
"passive",6440.04170332737,2002,"Oregon","Na0710270_fdd","Na0710270_fdd_1710030902",32256.0380737358,0.199653835
"active",41963.8280804692,2002,"Oregon","Na0710270_fdd","Na0710270_fdd_1710030903",64920.7870722975,0.646385079
"both",3078.31688973832,2002,"Oregon","Na0710270_fdd","Na0710270_fdd_1710030903",64920.7870722975,0.047416506
"active",10491.3731814913,2002,"Oregon","Na0710270_fdd","Na0710270_fdd_1710030904",45565.6506398676,0.230247413
"both",18019.1947205122,2002,"Oregon","Na0710270_fdd","Na0710270_fdd_1710030904",45565.6506398676,0.395455666
"passive",9097.35689451978,2002,"Oregon","Na0710270_fdd","Na0710270_fdd_1710030904",45565.6506398676,0.199653835
"passive",3148.17629400237,2002,"Oregon","Na0710270_fdd","Na0710270_fdd_1710030905",3838.34491749851,0.820191088
"active",38257.0308333885,2002,"Oregon","Na0710270_fdd","Na0710270_fdd_1710031002",66788.6126573076,0.572807688485541
"both",4914.13183540568,2002,"Oregon","Na0710270_fdd","Na0710270_fdd_1710031002",66788.6126573076,0.0735773905144593
"active",45936.4306235516,2002,"Oregon","Na0710270_fdd","Na0710270_fdd_1710031003",96679.5467612026,0.475141145800095
"both",16555.7858473725,2002,"Oregon","Na0710270_fdd","Na0710270_fdd_1710031003",96679.5467612026,0.171243933199905
"active",80836.8581546792,2002,"Oregon","Na0710270_fdd","Na0710270_fdd_1710031105",322149.791800929,0.250929413
"both",127395.960468398,2002,"Oregon","Na0710270_fdd","Na0710270_fdd_1710031105",322149.791800929,0.395455666
"passive",12914.3228954174,2002,"Oregon","Na0710270_fdd","Na0710270_fdd_1710031105",322149.791800929,0.0400879442548196
"active",13072.8226368486,2002,"Oregon","Na0710270_fdd","Na0710270_fdd_1710031107",20224.511767928,0.646385079
"both",958.975683591029,2002,"Oregon","Na0710270_fdd","Na0710270_fdd_1710031107",20224.511767928,0.047416506
"passive",8198.82527052865,2002,"Oregon","Na0710412_fmc","Na0710412_fmc_OEC",10741.9555273939,0.76325258
"active",4236.30224616306,2002,"Oregon","Na0710412_fmc","Na0710412_fmc_OSW",24661.1484792752,0.171780412
"both",3819.31038841007,2002,"Oregon","Na0710412_fmc","Na0710412_fmc_OSW",24661.1484792752,0.154871554
"passive",1153.91052590195,2002,"Oregon","Na0710412_fmc","Na0710412_fmc_OSW",24661.1484792752,0.0467906240000004
"active",64653.2447666285,2002,"Oregon","Na0710412_fmc","Na0710412_fmc_OWC",224336.870240672,0.288197141634665
"active",116361.451193212,2002,"Oregon","Na0710412_fmh","Na0710412_fmh_OEC",577726.832315111,0.20141257889463
"both",20278.6687961848,2002,"Oregon","Na0710412_fmh","Na0710412_fmh_OEC",577726.832315111,0.035100791
"active",18063.2368517873,2002,"Oregon","Na0710412_fmh","Na0710412_fmh_OSW",60599.4769752561,0.298075788
"both",12220.622512491,2002,"Oregon","Na0710412_fmh","Na0710412_fmh_OSW",60599.4769752561,0.201662178
"active",12936.0647053817,2002,"Oregon","Na0710412_fmi","Na0710412_fmi_OSW",43398.5758862832,0.298075788
"both",8751.85133532615,2002,"Oregon","Na0710412_fmi","Na0710412_fmi_OSW",43398.5758862832,0.201662178
"active",40548.9790699341,2002,"Oregon","R1RFWF_fcw","R1RFWF_fcw_17100301",159271.14164951,0.254590873462599
"both",7914.95257171164,2002,"Oregon","R1RFWF_fcw","R1RFWF_fcw_17100301",159271.14164951,0.0496948316546207
"active",3114.66090295405,2002,"Oregon","RaABAMlw_fsi","RaABAMlw_fsi_17070105B",23824.1999569163,0.130735173
"both",1393.7177225366,2002,"Oregon","RaABAMlw_fsi","RaABAMlw_fsi_17070105B",23824.1999569163,0.058500085
"active",13023.0562419854,2002,"Oregon","RaABAMlw_fsi","RaABAMlw_fsi_17080001A",68819.3964466461,0.189235258
"both",12446.3901655676,2002,"Oregon","RaABAMlw_fsi","RaABAMlw_fsi_17080001A",68819.3964466461,0.180855846
"active",17324.7901551638,2002,"Oregon","RaABAMlw_fsi","RaABAMlw_fsi_17080001B",91551.5974045586,0.189235258
"both",5815.68607385895,2002,"Oregon","RaABAMlw_fsi","RaABAMlw_fsi_17080001B",91551.5974045586,0.0635235893062569
"passive",24482.9162308666,2002,"Oregon","RaABAMlw_fsi","RaABAMlw_fsi_17090001",260391.790165445,0.0940233799817992
"active",15656.6756169689,2002,"Oregon","RaABAMlw_fsi","RaABAMlw_fsi_17090004",82736.5670776262,0.189235258
"both",14963.3918339598,2002,"Oregon","RaABAMlw_fsi","RaABAMlw_fsi_17090004",82736.5670776262,0.180855846
"active",2748.32883503695,2002,"Oregon","RaABAMlw_fsi","RaABAMlw_fsi_17090005",46979.9118246913,0.058500085
"both",8496.59169805995,2002,"Oregon","RaABAMlw_fsi","RaABAMlw_fsi_17090005",46979.9118246913,0.180855846
"active",12899.1885910421,2002,"Oregon","RaABAMlw_fsi","RaABAMlw_fsi_17090006",71409.4570361592,0.180636979
"active",22311.1178910384,2002,"Oregon","RaABAMlw_fsi","RaABAMlw_fsi_17090011",257508.661291483,0.0866422037190571
"both",15064.278573788,2002,"Oregon","RaABAMlw_fsi","RaABAMlw_fsi_17090011",257508.661291483,0.058500085
"passive",26833.6288892041,2002,"Oregon","RaABAMlw_fsi","RaABAMlw_fsi_17090011",257508.661291483,0.104204762490805
"active",3235.85588034831,2002,"Oregon","RaABAMlw_fsi","RaABAMlw_fsi_17100301",17099.6457771538,0.189235258
"both",3092.57090332748,2002,"Oregon","RaABAMlw_fsi","RaABAMlw_fsi_17100301",17099.6457771538,0.180855846
"active",2888.22067345843,2002,"Oregon","RaABAMlw_fsi","RaABAMlw_fsi_17100302",15262.5927323672,0.189235258
"both",2760.32912076572,2002,"Oregon","RaABAMlw_fsi","RaABAMlw_fsi_17100302",15262.5927323672,0.180855846
"active",2475.62189983973,2002,"Oregon","RaABAMlw_fsw","RaABAMlw_fsw_17070306",13082.2444295224,0.189235258
"both",2366.00038388006,2002,"Oregon","RaABAMlw_fsw","RaABAMlw_fsw_17070306",13082.2444295224,0.180855846
"active",7297.23327293923,2002,"Oregon","RaABAMlw_fsw","RaABAMlw_fsw_17090001",42970.9421856623,0.169817856015594
"both",5415.47423493809,2002,"Oregon","RaABAMlw_fsw","RaABAMlw_fsw_17090001",42970.9421856623,0.126026425288506
"active",8417.58684167544,2002,"Oregon","RaABAMlw_fsw","RaABAMlw_fsw_17090002",44482.1273299685,0.189235258
"active",16730.3307310935,2002,"Oregon","RaABAMlw_fsw","RaABAMlw_fsw_17090004",88410.219680592,0.189235258
