"BpS_Code","Order","Donate","Receive","Primary","Secondary","ActiveOnly","ActivePassive","PassiveOnly","REST_ACRES","strataID"
"Na0210290_fdw",1,"B","C","Thin / low fire","None",1,0,0,2166.25288776042,"2011_Oregon_Na0210290_fdw_Na0210290_fdw_1710030303"
"Na0210290_fdw",2,"E","D","Thin / low fire","None",1,0,0,5866.6882470477,"2011_Oregon_Na0210290_fdw_Na0210290_fdw_1710030303"
"Na0210290_fdw",3,"B","D","Thin / low fire","Grow w/ fire",0,1,0,1291.46334820172,"2011_Oregon_Na0210290_fdw_Na0210290_fdw_1710030303"
"Na0210290_fdw",6,"B","A","Regen / high fire","None",1,0,0,861.795620451071,"2011_Oregon_Na0210290_fdw_Na0210290_fdw_1710030303"
"Na0210290_fwo",2,"E","D","Thin / low fire","None",1,0,0,4870.28741495958,"2011_Oregon_Na0210290_fwo_Na0210290_fwo_1710030111"
"Na0210290_fwo",5,"E","C","Overstory removal","None",1,0,0,1473.88247321854,"2011_Oregon_Na0210290_fwo_Na0210290_fwo_1710030111"
"Na0210290_fwo",9,"E","A","Regen / high fire","None",1,0,0,586.351421690432,"2011_Oregon_Na0210290_fwo_Na0210290_fwo_1710030111"
"Na0210290_fwo",17,"E","B","Regen / high fire","Grow w/o fire",0,1,0,37.2932711999379,"2011_Oregon_Na0210290_fwo_Na0210290_fwo_1710030111"
"Na0210290_fwo",10,"A","C","Grow w/ fire","None",0,0,1,281.490828083052,"2011_Oregon_Na0210290_fwo_Na0210290_fwo_1710030213"
"Na0210290_fwo",12,"A","B","Grow w/o fire","None",0,0,1,7.1224904174838,"2011_Oregon_Na0210290_fwo_Na0210290_fwo_1710030213"
"Na0210290_fwo",18,"A","D","Grow w/ fire","Grow w/ fire",0,0,1,930.156415012994,"2011_Oregon_Na0210290_fwo_Na0210290_fwo_1710030213"
"Na0210290_fwo",19,"A","E","Grow w/o fire","Grow w/o fire",0,0,1,36.3842057946613,"2011_Oregon_Na0210290_fwo_Na0210290_fwo_1710030213"
"Na0210290_fwo",1,"B","C","Thin / low fire","None",1,0,0,983.203611472936,"2011_Oregon_Na0210290_fwo_Na0210290_fwo_1710030301"
"Na0210290_fwo",2,"E","D","Thin / low fire","None",1,0,0,13467.363743776,"2011_Oregon_Na0210290_fwo_Na0210290_fwo_1710030301"
"Na0210290_fwo",5,"E","C","Overstory removal","None",1,0,0,3092.38981684118,"2011_Oregon_Na0210290_fwo_Na0210290_fwo_1710030301"
"Na0210290_fwo",1,"B","C","Thin / low fire","None",1,0,0,283.281378511727,"2011_Oregon_Na0210290_fwo_Na0210290_fwo_1710030707"
"Na0210290_fwo",3,"B","D","Thin / low fire","Grow w/ fire",0,1,0,936.073097908058,"2011_Oregon_Na0210290_fwo_Na0210290_fwo_1710030707"
"Na0210290_fwo",6,"B","A","Regen / high fire","None",1,0,0,112.697207577248,"2011_Oregon_Na0210290_fwo_Na0210290_fwo_1710030707"
"Na0210290_fwo",13,"B","E","Grow w/o fire","None",0,0,1,36.6156440824603,"2011_Oregon_Na0210290_fwo_Na0210290_fwo_1710030707"
"Na0210290_fwo",1,"B","C","Thin / low fire","None",1,0,0,7748.81741469668,"2011_Oregon_Na0210290_fwo_Na0210290_fwo_1710030708"
"Na0210290_fwo",2,"E","D","Thin / low fire","None",1,0,0,5259.92755408707,"2011_Oregon_Na0210290_fwo_Na0210290_fwo_1710030708"
"Na0210290_fwo",3,"B","D","Thin / low fire","Grow w/ fire",0,1,0,19502.1329095022,"2011_Oregon_Na0210290_fwo_Na0210290_fwo_1710030708"
"Na0210290_fwo",18,"A","D","Grow w/ fire","Grow w/ fire",0,0,1,843.080123506399,"2011_Oregon_Na0210290_fwo_Na0210290_fwo_1710030708"
"Na0210290_fwo",1,"B","C","Thin / low fire","None",1,0,0,3140.39341948562,"2011_Oregon_Na0210290_fwo_Na0210290_fwo_1710030801"
"Na0210290_fwo",2,"E","D","Thin / low fire","None",1,0,0,7178.20143277461,"2011_Oregon_Na0210290_fwo_Na0210290_fwo_1710030801"
"Na0210290_fwo",3,"B","D","Thin / low fire","Grow w/ fire",0,1,0,6856.24321094071,"2011_Oregon_Na0210290_fwo_Na0210290_fwo_1710030801"
"Na0210290_fwo",6,"B","A","Regen / high fire","None",1,0,0,1689.65727652984,"2011_Oregon_Na0210290_fwo_Na0210290_fwo_1710030801"
"Na0210290_fwo",1,"B","C","Thin / low fire","None",1,0,0,1155.10484911588,"2011_Oregon_Na0210290_fwo_Na0210290_fwo_1710030802"
"Na0210290_fwo",3,"B","D","Thin / low fire","Grow w/ fire",0,1,0,3816.92075985067,"2011_Oregon_Na0210290_fwo_Na0210290_fwo_1710030802"
"Na0210290_fwo",6,"B","A","Regen / high fire","None",1,0,0,459.532820823623,"2011_Oregon_Na0210290_fwo_Na0210290_fwo_1710030802"
"Na0210290_fwo",13,"B","E","Grow w/o fire","None",0,0,1,149.303523780333,"2011_Oregon_Na0210290_fwo_Na0210290_fwo_1710030802"
"Na0210290_fwo",1,"B","C","Thin / low fire","None",1,0,0,2426.84539513381,"2011_Oregon_Na0210290_fwo_Na0210290_fwo_1710030903"
"Na0210290_fwo",3,"B","D","Thin / low fire","Grow w/ fire",0,1,0,8019.25173868346,"2011_Oregon_Na0210290_fwo_Na0210290_fwo_1710030903"
"Na0210290_fwo",6,"B","A","Regen / high fire","None",1,0,0,965.466564340237,"2011_Oregon_Na0210290_fwo_Na0210290_fwo_1710030903"
"Na0210290_fwo",13,"B","E","Grow w/o fire","None",0,0,1,313.682839649479,"2011_Oregon_Na0210290_fwo_Na0210290_fwo_1710030903"
"Na0210290_fwo",1,"B","C","Thin / low fire","None",1,0,0,1318.96105458646,"2011_Oregon_Na0210290_fwo_Na0210290_fwo_1710031001"
"Na0210290_fwo",3,"B","D","Thin / low fire","Grow w/ fire",0,1,0,4358.36611242597,"2011_Oregon_Na0210290_fwo_Na0210290_fwo_1710031001"
"Na0210290_fwo",6,"B","A","Regen / high fire","None",1,0,0,524.719374552472,"2011_Oregon_Na0210290_fwo_Na0210290_fwo_1710031001"
"Na0210290_fwo",13,"B","E","Grow w/o fire","None",0,0,1,170.482820957343,"2011_Oregon_Na0210290_fwo_Na0210290_fwo_1710031001"
"Na0210290_fwo",1,"B","C","Thin / low fire","None",1,0,0,2723.88158924386,"2011_Oregon_Na0210290_fwo_Na0210290_fwo_1801020604"
"Na0210290_fwo",3,"B","D","Thin / low fire","Grow w/ fire",0,1,0,4513.13514090103,"2011_Oregon_Na0210290_fwo_Na0210290_fwo_1801020604"
"Na0210290_fwo",13,"B","E","Grow w/o fire","None",0,0,1,1.98951966012828e-13,"2011_Oregon_Na0210290_fwo_Na0210290_fwo_1801020604"
"Na0210290_fwo",18,"A","D","Grow w/ fire","Grow w/ fire",0,0,1,4487.64101662064,"2011_Oregon_Na0210290_fwo_Na0210290_fwo_1801020604"
"Na0210290_fwo",19,"A","E","Grow w/o fire","Grow w/o fire",0,0,1,352.076367739048,"2011_Oregon_Na0210290_fwo_Na0210290_fwo_1801020604"
"Na0210350_fvg",2,"E","D","Thin / low fire","None",1,0,0,5942.36897914248,"2011_Oregon_Na0210350_fvg_Na0210350_fvg_17100206"
"Na0210350_fvg",5,"E","C","Overstory removal","None",1,0,0,1056.01636047188,"2011_Oregon_Na0210350_fvg_Na0210350_fvg_17100206"
"Na0210350_fvg",9,"E","A","Regen / high fire","None",1,0,0,545.079023277174,"2011_Oregon_Na0210350_fvg_Na0210350_fvg_17100206"
"Na0210350_fvg",18,"E","B","Regen / high fire","Grow w/o fire",0,1,0,1218.32686275915,"2011_Oregon_Na0210350_fvg_Na0210350_fvg_17100206"
"Na0210350_fvg",1,"B","C","Thin / low fire","None",1,0,0,5002.65355061391,"2011_Oregon_Na0210350_fvg_Na0210350_fvg_17100303A"
"Na0210350_fvg",2,"E","D","Thin / low fire","None",1,0,0,21312.4507332361,"2011_Oregon_Na0210350_fvg_Na0210350_fvg_17100303A"
"Na0210350_fvg",3,"B","D","Thin / low fire","Grow w/ fire",0,1,0,6838.26206375264,"2011_Oregon_Na0210350_fvg_Na0210350_fvg_17100303A"
"Na0210350_fvg",6,"B","A","Regen / high fire","None",1,0,0,1281.14197263002,"2011_Oregon_Na0210350_fvg_Na0210350_fvg_17100303A"
"Na0710270_fdd",1,"B","C","Thin / low fire","None",1,0,0,374.983549757998,"2011_Oregon_Na0710270_fdd_Na0710270_fdd_1710030103"
"Na0710270_fdd",3,"B","D","Thin / low fire","Grow w/ fire",0,1,0,834.656808045433,"2011_Oregon_Na0710270_fdd_Na0710270_fdd_1710030103"
"Na0710270_fdd",6,"B","A","Regen / high fire","None",1,0,0,154.63319595148,"2011_Oregon_Na0710270_fdd_Na0710270_fdd_1710030103"
"Na0710270_fdd",13,"B","E","Grow w/o fire","None",0,0,1,421.393463193241,"2011_Oregon_Na0710270_fdd_Na0710270_fdd_1710030103"
"Na0710270_fdd",1,"B","C","Thin / low fire","None",1,0,0,5132.29407876763,"2011_Oregon_Na0710270_fdd_Na0710270_fdd_1710030111"
