"type","REST_ACRES","YEAR","STATE","BpS_Code","AREA_STRATA","REST_PCT"
"active",22264.6635710306,2002,"Oregon","Na0210290_fwo",118922.608083459,0.187219772
"both",40548.2561092915,2002,"Oregon","Na0210290_fwo",118922.608083459,0.340963394284416
"passive",35900.7774047533,2002,"Oregon","Na0210290_fwo",118922.608083459,0.301883535715584
"active",31284.9861153077,2002,"Oregon","Na0210350_fvg",60599.4769752561,0.516258352
"both",5052.76318037991,2002,"Oregon","Na0210350_fvg",60599.4769752561,0.08337965
"active",431687.074225295,2002,"Oregon","Na0710270_fdd",1628872.48852112,0.265022018155166
"both",501853.54316368,2002,"Oregon","Na0710270_fdd",1628872.48852112,0.308098728844834
"active",2222.61212315302,2002,"Oregon","Na0710412_fmc",259739.974247341,0.00855706607961895
"active",132297.598468982,2002,"Oregon","Na0710412_fmh",638326.309290368,0.207257004048694
"both",22405.7583722026,2002,"Oregon","Na0710412_fmh",638326.309290368,0.035100791
"active",12936.0647053817,2002,"Oregon","Na0710412_fmi",43398.5758862832,0.298075788
"both",8751.85133532615,2002,"Oregon","Na0710412_fmi",43398.5758862832,0.201662178
"active",40548.9790699341,2002,"Oregon","R1RFWF_fcw",159271.14164951,0.254590873462599
"both",7914.95257171164,2002,"Oregon","R1RFWF_fcw",159271.14164951,0.0496948316546207
"active",1161.86415980502,2002,"Oregon","RaABAMlw_fwc",10500.4448190796,0.110649042
"both",614.276914453967,2002,"Oregon","RaABAMlw_fwc",10500.4448190796,0.058500085
"passive",5500.81486361912,2002,"Oregon","RaABAMlw_fwc",10500.4448190796,0.523864937
"active",9078.41787150644,2002,"Oregon","RaDFHEdy_fwx",41934.1642100948,0.216492162
"both",6240.82548617558,2002,"Oregon","RaDFHEdy_fwx",41934.1642100948,0.148824368
"active",786.504009825656,2002,"Oregon","RaDFHEwt_fdm",14000.5930921062,0.056176478
"both",2059.3150085526,2002,"Oregon","RaDFHEwt_fdm",14000.5930921062,0.147087698
"passive",56416.8452309381,2002,"Oregon","RaDFHEwt_fhc",63729.9074255834,0.885249132
"passive",24235.4662968517,2002,"Oregon","RaDFHEwt_fwm",637029.475833137,0.0380444974938646
"passive",28620.8805930279,2002,"Oregon","RaDFHEwt_fwn",2421754.46218615,0.0118182421215367
"active",266.852991771878,2002,"Oregon","RaDFHEwt_fww",346645.611961157,0.000769815
"passive",192932.177322265,2002,"Oregon","RaDFHEwt_fww",346645.611961157,0.556568929953408
"active",231708.895307053,2002,"Oregon","RaDFWV_fwx",1130362.60555828,0.204986341699275
"both",58567.2160294472,2002,"Oregon","RaDFWV_fwx",1130362.60555828,0.0518127685235315
"passive",77770.9714726591,2002,"Oregon","RaDFWV_fwx",1130362.60555828,0.0688017907618664
"active",444763.778981383,2002,"Oregon","RaMCONdy_fdd",1632031.25804602,0.272521605691478
"both",624160.438417776,2002,"Oregon","RaMCONdy_fdd",1632031.25804602,0.382443924
"passive",111695.912776969,2002,"Oregon","RaMCONdy_fdd",1632031.25804602,0.0684398121827021
"active",272487.388652085,2002,"Oregon","RaMCONdy_fdg",914920.95766518,0.297826152488031
"both",349905.96119931,2002,"Oregon","RaMCONdy_fdg",914920.95766518,0.382443924
"passive",38824.490149573,2002,"Oregon","RaMCONdy_fdg",914920.95766518,0.0424348025086786
"active",231889.422913371,2002,"Oregon","RaMCONdy_fmd",806383.380363339,0.287567215
