"type","REST_ACRES","YEAR","STATE","BpS_Code","AREA_STRATA","REST_PCT"
"active",8894.73675525919,2011,"Oregon","Na0210290_fdw",11570.6416294558,0.768733233653659
"both",1291.46334820172,2011,"Oregon","Na0210290_fdw",11570.6416294558,0.111615534346341
"active",59556.0943168231,2011,"Oregon","Na0210290_fwo",137459.125118621,0.433264028600713
"both",50110.938184516,2011,"Oregon","Na0210290_fwo",137459.125118621,0.364551557717776
"active",38723.3916236627,2011,"Oregon","Na0210350_fvg",83832.1100602171,0.461915984171786
"both",3254.5810594615,2011,"Oregon","Na0210350_fvg",83832.1100602171,0.0388226069595972
"active",490042.006550658,2011,"Oregon","Na0710270_fdd",1587887.90654531,0.308612468506557
"both",414936.967886817,2011,"Oregon","Na0710270_fdd",1587887.90654531,0.261313765396435
"active",129603.942304717,2011,"Oregon","Na0710412_fmh",749970.930910593,0.172811954387827
"both",19408.58269326,2011,"Oregon","Na0710412_fmh",749970.930910593,0.025879113300691
"active",-10726.7828805279,2011,"Oregon","Na0710412_fmi",35725.4672242968,-0.30025591584797
"active",54243.6413851671,2011,"Oregon","R1RFWF_fcw",200283.622380539,0.270834133817013
"both",8987.2577373847,2011,"Oregon","R1RFWF_fcw",200283.622380539,0.0448726542418376
"active",4386.93496368541,2011,"Oregon","RaABAMlw_fwc",28876.7131197783,0.151919470387393
"both",33.0121400425105,2011,"Oregon","RaABAMlw_fwc",28876.7131197783,0.00114320975194022
"active",395.781907169227,2011,"Oregon","RaABAMup_fsi",22041.2839190404,0.0179563907721061
"both",385.431898337302,2011,"Oregon","RaABAMup_fsi",22041.2839190404,0.017486817
"passive",193.104506616559,2011,"Oregon","RaABAMup_fsi",22041.2839190404,0.00876103712133326
"active",12798.3903445089,2011,"Oregon","RaDFHEdy_fwx",73627.9090139208,0.173825258871458
"both",7003.55272093542,2011,"Oregon","RaDFHEdy_fwx",73627.9090139208,0.0951208966101599
"passive",4110.19427474563,2011,"Oregon","RaDFHEwt_fdm",26783.7715905144,0.153458382844083
"passive",4934.13594578944,2011,"Oregon","RaDFHEwt_fhc",120816.979046812,0.0408397560071224
"both",0,2011,"Oregon","RaDFHEwt_fwm",649937.361422125,0
"passive",15405.1921741984,2011,"Oregon","RaDFHEwt_fwm",649937.361422125,0.023702579800137
"passive",177519.659923279,2011,"Oregon","RaDFHEwt_fww",386635.018118629,0.459140149247453
"active",521582.804122288,2011,"Oregon","RaMCONdy_fdd",1683255.43293024,0.309865510556712
"both",643750.81286416,2011,"Oregon","RaMCONdy_fdd",1683255.43293024,0.382443924
"passive",55467.5826011902,2011,"Oregon","RaMCONdy_fdd",1683255.43293024,0.0329525641302291
"active",272671.709491457,2011,"Oregon","RaMCONdy_fdg",991208.703288485,0.275090108255534
"both",379081.7459886,2011,"Oregon","RaMCONdy_fdg",991208.703288485,0.382443924
"active",1469.70009024125,2011,"Oregon","RaMCONdy_fdx",1868.23765682519,0.786677265
"both",3.38816668962486,2011,"Oregon","RaMCONdy_fdx",1868.23765682519,0.001813563
"active",196153.009180412,2011,"Oregon","RaMCONdy_fmd",702151.279499674,0.279360039506277
"both",268533.490573476,2011,"Oregon","RaMCONdy_fmd",702151.279499674,0.382443924
"active",167804.325154353,2011,"Oregon","RaMCONdy_fmx",600901.586773662,0.279254255352064
"both",229811.160783546,2011,"Oregon","RaMCONdy_fmx",600901.586773662,0.382443924
"passive",1895.33476973554,2011,"Oregon","RaMCONdy_fmx",600901.586773662,0.00315415171378046
"active",162980.558708191,2011,"Oregon","RaMCONms_fcm",1914699.08560486,0.0851207168444983
"both",149156.190355778,2011,"Oregon","RaMCONms_fcm",1914699.08560486,0.077900591
"active",66377.8378476654,2011,"Oregon","RaMCONms_fmm",870125.503266376,0.0762853606732462
"both",52140.7006720332,2011,"Oregon","RaMCONms_fmm",870125.503266376,0.0599231955347838
"passive",7919.48126688131,2011,"Oregon","RaMCONms_fmm",870125.503266376,0.00910153907356153
"active",97771.4320831465,2011,"Oregon","RaMCONsw_fdm",171425.737584861,0.570342782015137
"both",11082.0583076977,2011,"Oregon","RaMCONsw_fdm",171425.737584861,0.0646464087821802
"active",-154242.742013509,2011,"Oregon","RaMCONsw_fiw",1195693.3155764,-0.128998581830455
"both",0,2011,"Oregon","RaMCONsw_fiw",1195693.3155764,0
"active",34611.2374517276,2011,"Oregon","RaMCONsw_fvw",95531.4265147044,0.362302110566727
"both",20346.2130869403,2011,"Oregon","RaMCONsw_fvw",95531.4265147044,0.212979265873399
"passive",781.393100066525,2011,"Oregon","RaMCONsw_fvw",95531.4265147044,0.00817943506733097
"active",279343.606063497,2011,"Oregon","RaMEVG_ftd",399372.454713275,0.699456366523948
"active",80832.4941049706,2011,"Oregon","RaMEVG_fuc",132042.27903034,0.612171303756408
"active",33079.0926625077,2011,"Oregon","RaOAPI_fop",54784.6696152433,0.603801992324214
"active",118830.381170603,2011,"Oregon","RaPICOpu_fld",330219.878386885,0.359852295237604
"passive",59050.316756074,2011,"Oregon","RaPICOpu_fld",330219.878386885,0.17882120556925
"active",19942.3793771339,2011,"Oregon","RaPICOpu_flp",33464.5283078845,0.59592590678875
"both",3037.23299277568,2011,"Oregon","RaPICOpu_flp",33464.5283078845,0.090759773
"active",22132.5329889128,2011,"Oregon","RaPICOpu_flw",49498.2591285541,0.447137604
"both",2038.68945228235,2011,"Oregon","RaPICOpu_flw",49498.2591285541,0.0411870940145102
"passive",1725.90312065279,2011,"Oregon","RaPICOpu_flw",49498.2591285541,0.0348679559854898
"active",34069.6320990838,2011,"Oregon","RaPIJEsp_fjp",50797.5190075641,0.670694804878376
"active",721998.15041568,2011,"Oregon","RaPIPOm_fdp",989345.622363406,0.72977343215097
"active",24770.7702258393,2011,"Oregon","RaPIPOm_fpd",32724.8164793429,0.756941455774872
"active",579890.549712248,2011,"Oregon","RaPIPOm_fpl",1048067.60640192,0.553294984188136
"both",115491.169909637,2011,"Oregon","RaPIPOm_fpl",1048067.60640192,0.11019438937353
"passive",70686.5452100005,2011,"Oregon","RaPIPOm_fpl",1048067.60640192,0.067444642672119
"active",288838.000330073,2011,"Oregon","RaPIPOxe_fpd",682964.761422896,0.4229178672825
"both",214479.805222407,2011,"Oregon","RaPIPOxe_fpd",682964.761422896,0.314042271779232
"active",819595.461001252,2011,"Oregon","RaPIPOxe_fxp",2707879.16424771,0.302670618328328
"both",1001565.6705471,2011,"Oregon","RaPIPOxe_fxp",2707879.16424771,0.369870887804311
"active",71020.8796374721,2011,"Oregon","RaREFI_fcw",252712.683468037,0.28103409240421
"both",22649.3411943564,2011,"Oregon","RaREFI_fcw",252712.683468037,0.0896248691736957
"passive",2890.88243316523,2011,"Oregon","RaREFI_fcw",252712.683468037,0.0114394038063027
"active",7366.51745571438,2011,"Oregon","RaREFI_frf",73521.9728271819,0.100194774057952
"both",14234.4938745939,2011,"Oregon","RaREFI_frf",73521.9728271819,0.193608704
"passive",3716.20592437275,2011,"Oregon","RaREFI_frf",73521.9728271819,0.0505455142384158
"active",18308.8645665393,2011,"Oregon","RaREFI_frm",66151.8047877788,0.276770446781851
"active",-17855.5551826637,2011,"Oregon","RaSAWD_fal",106803.38748374,-0.167181543613325
"passive",-21384.1594666299,2011,"Oregon","RaSAWD_fal",106803.38748374,-0.200219861658279
"active",17163.1689791397,2011,"Oregon","RaSAWD_fsw",31453.5272908733,0.545667543751757
"active",40164.416676336,2011,"Oregon","RaSPFI_fcd",556096.763973634,0.0722255896425973
"passive",79116.3551281974,2011,"Oregon","RaSPFI_fcd",556096.763973634,0.14227084251105
"active",4128.05771101402,2011,"Oregon","RaSPFI_fmz",226952.905637407,0.0181890498357806
"passive",71364.8776260403,2011,"Oregon","RaSPFI_fmz",226952.905637407,0.314447957498534
"active",417909.409538938,2011,"Oregon","RaTAOAco_ftm",634759.7486065,0.658374149363412
"active",8907.2054479587,2011,"Oregon","RaTAOAco_fto",11872.1651958511,0.750259561
"passive",83524.4273082639,2011,"Washington","Na0710411_fmt",459762.015010533,0.181668829919215
"active",41189.633011649,2011,"Washington","Na0710412_fmc",414895.6101711,0.099277100075035
"both",6330.37758262051,2011,"Washington","Na0710412_fmc",414895.6101711,0.0152577598495436
"active",120736.068722031,2011,"Washington","Na0710412_fmh",817051.193533794,0.147770506520944
"both",21137.1364812721,2011,"Washington","Na0710412_fmh",817051.193533794,0.025870027054061
"active",252.856347569894,2011,"Washington","Na0710412_fmi",848.295493124365,0.298075788
"both",171.069116731043,2011,"Washington","Na0710412_fmi",848.295493124365,0.201662178
"active",19830.5245625171,2011,"Washington","Na1010471_frn",650521.685125427,0.0304840330706171
"both",49043.4842664212,2011,"Washington","Na1010471_frn",650521.685125427,0.075391006
"passive",170599.664965923,2011,"Washington","Na1010471_frn",650521.685125427,0.262250542705628
"active",88.5877683128033,2011,"Washington","RaABAMlw_fwc",134663.71585999,0.000657844377359287
"both",7877.83882422528,2011,"Washington","RaABAMlw_fwc",134663.71585999,0.058500085
"passive",11586.1901974821,2011,"Washington","RaABAMlw_fwc",134663.71585999,0.0860379510805138
"both",26392.8683376245,2011,"Washington","RaABAMup_fst",1654677.84834967,0.0159504572832398
"passive",134988.926581635,2011,"Washington","RaABAMup_fst",1654677.84834967,0.0815801859656664
"active",36234.7800690192,2011,"Washington","RaDFHEdy_fdg",828088.748277205,0.0437571216181885
"both",107181.862727877,2011,"Washington","RaDFHEdy_fdg",828088.748277205,0.129432821
"passive",131029.598409933,2011,"Washington","RaDFHEdy_fdg",828088.748277205,0.158231347403926
"active",71746.1470088726,2011,"Washington","RaDFHEdy_fwi",2584133.23959555,0.0277641051589514
"both",332983.683227275,2011,"Washington","RaDFHEdy_fwi",2584133.23959555,0.128857010205631
"passive",394055.445531201,2011,"Washington","RaDFHEdy_fwi",2584133.23959555,0.152490374526073
"passive",653455.026397068,2011,"Washington","RaDFHEwt_fwm",1584682.95537209,0.412356947603839
"passive",555533.457262681,2011,"Washington","RaDFHEwt_fwn",1267553.61267891,0.438272158041971
"passive",32837.5613389016,2011,"Washington","RaDFHEwt_fww",98210.5694920572,0.334358730518891
