"BpS_Code","Order","Donate","Receive","Primary","Secondary","ActiveOnly","ActivePassive","PassiveOnly","REST_ACRES","strataID"
"Na0210290_fdw",1,"B","C","Thin / low fire","None",1,0,0,2166.25288776042,"2011_Oregon_Na0210290_fdw"
"Na0210290_fdw",2,"E","D","Thin / low fire","None",1,0,0,5866.6882470477,"2011_Oregon_Na0210290_fdw"
"Na0210290_fdw",3,"B","D","Thin / low fire","Grow w/ fire",0,1,0,1291.46334820172,"2011_Oregon_Na0210290_fdw"
"Na0210290_fdw",6,"B","A","Regen / high fire","None",1,0,0,861.795620451071,"2011_Oregon_Na0210290_fdw"
"Na0210290_fwo",1,"B","C","Thin / low fire","None",1,0,0,24628.2518303897,"2011_Oregon_Na0210290_fwo"
"Na0210290_fwo",2,"E","D","Thin / low fire","None",1,0,0,34927.8424864334,"2011_Oregon_Na0210290_fwo"
"Na0210290_fwo",3,"B","D","Thin / low fire","Grow w/ fire",0,1,0,50110.938184516,"2011_Oregon_Na0210290_fwo"
"Na0210350_fvg",1,"B","C","Thin / low fire","None",1,0,0,6058.66991108579,"2011_Oregon_Na0210350_fvg"
"Na0210350_fvg",2,"E","D","Thin / low fire","None",1,0,0,30838.5007166697,"2011_Oregon_Na0210350_fvg"
"Na0210350_fvg",3,"B","D","Thin / low fire","Grow w/ fire",0,1,0,3254.5810594615,"2011_Oregon_Na0210350_fvg"
"Na0210350_fvg",6,"B","A","Regen / high fire","None",1,0,0,1826.22099590719,"2011_Oregon_Na0210350_fvg"
"Na0710270_fdd",1,"B","C","Thin / low fire","None",1,0,0,277039.704821254,"2011_Oregon_Na0710270_fdd"
"Na0710270_fdd",2,"E","D","Thin / low fire","None",1,0,0,213002.301729404,"2011_Oregon_Na0710270_fdd"
"Na0710270_fdd",3,"B","D","Thin / low fire","Grow w/ fire",0,1,0,414936.967886817,"2011_Oregon_Na0710270_fdd"
"Na0710412_fmh",1,"B","A","Regen / high fire","None",1,0,0,29787.1657573681,"2011_Oregon_Na0710412_fmh"
"Na0710412_fmh",6,"E","C","Overstory removal","None",1,0,0,82284.1583804485,"2011_Oregon_Na0710412_fmh"
"Na0710412_fmh",7,"B","C","Thin / low fire","None",1,0,0,17532.6181669008,"2011_Oregon_Na0710412_fmh"
"Na0710412_fmh",17,"B","D","Thin / low fire","Grow w/ fire",0,1,0,19408.58269326,"2011_Oregon_Na0710412_fmh"
"Na0710412_fmi",1,"B","A","Regen / high fire","None",1,0,0,1416.55739563889,"2011_Oregon_Na0710412_fmi"
"Na0710412_fmi",4,"E","A","Regen / high fire","None",1,0,0,-12143.3402761667,"2011_Oregon_Na0710412_fmi"
"Na0710412_fmi",6,"E","C","Overstory removal","None",1,0,0,0,"2011_Oregon_Na0710412_fmi"
"Na0710412_fmi",8,"E","D","Thin / low fire","None",1,0,0,0,"2011_Oregon_Na0710412_fmi"
"R1RFWF_fcw",2,"E","D","Thin / low fire","None",1,0,0,28270.5041435408,"2011_Oregon_R1RFWF_fcw"
"R1RFWF_fcw",5,"E","C","Overstory removal","None",1,0,0,12800.1872972579,"2011_Oregon_R1RFWF_fcw"
"R1RFWF_fcw",9,"E","A","Regen / high fire","None",1,0,0,13172.9499443684,"2011_Oregon_R1RFWF_fcw"
"R1RFWF_fcw",17,"E","B","Regen / high fire","Grow w/o fire",0,1,0,8987.2577373847,"2011_Oregon_R1RFWF_fcw"
"RaABAMlw_fwc",2,"E","D","Thin / low fire","None",1,0,0,1689.29017202764,"2011_Oregon_RaABAMlw_fwc"
"RaABAMlw_fwc",9,"E","A","Regen / high fire","None",1,0,0,2697.64479165776,"2011_Oregon_RaABAMlw_fwc"
"RaABAMlw_fwc",18,"E","B","Regen / high fire","Grow w/o fire",0,1,0,33.0121400425105,"2011_Oregon_RaABAMlw_fwc"
"RaABAMup_fsi",1,"B","A","Regen / high fire","None",1,0,0,76.7626675322372,"2011_Oregon_RaABAMup_fsi"
"RaABAMup_fsi",7,"B","C","Thin / low fire","None",1,0,0,319.01923963699,"2011_Oregon_RaABAMup_fsi"
"RaABAMup_fsi",10,"B","E","Grow w/o fire","None",0,0,1,193.104506616559,"2011_Oregon_RaABAMup_fsi"
"RaABAMup_fsi",18,"B","D","Thin / low fire","Grow w/ fire",0,1,0,385.431898337302,"2011_Oregon_RaABAMup_fsi"
"RaDFHEdy_fwx",2,"E","D","Thin / low fire","None",1,0,0,9529.8679680031,"2011_Oregon_RaDFHEdy_fwx"
"RaDFHEdy_fwx",5,"E","C","Overstory removal","None",1,0,0,1328.24735200195,"2011_Oregon_RaDFHEdy_fwx"
"RaDFHEdy_fwx",9,"E","A","Regen / high fire","None",1,0,0,1940.27502450387,"2011_Oregon_RaDFHEdy_fwx"
"RaDFHEdy_fwx",18,"E","B","Regen / high fire","Grow w/o fire",0,1,0,7003.55272093542,"2011_Oregon_RaDFHEdy_fwx"
"RaDFHEwt_fdm",9,"A","B","Grow w/o fire","None",0,0,1,1235.77900893785,"2011_Oregon_RaDFHEwt_fdm"
"RaDFHEwt_fdm",13,"A","C","Grow w/ fire","None",0,0,1,20.6185491269519,"2011_Oregon_RaDFHEwt_fdm"
"RaDFHEwt_fdm",19,"A","E","Grow w/o fire","Grow w/o fire",0,0,1,2242.79717689145,"2011_Oregon_RaDFHEwt_fdm"
"RaDFHEwt_fdm",20,"A","D","Grow w/ fire","Grow w/ fire",0,0,1,610.999539789379,"2011_Oregon_RaDFHEwt_fdm"
"RaDFHEwt_fhc",9,"A","B","Grow w/o fire","None",0,0,1,4618.20268937506,"2011_Oregon_RaDFHEwt_fhc"
"RaDFHEwt_fhc",13,"A","C","Grow w/ fire","None",0,0,1,93.0067227249218,"2011_Oregon_RaDFHEwt_fhc"
"RaDFHEwt_fhc",19,"A","E","Grow w/o fire","Grow w/o fire",0,0,1,222.92653368946,"2011_Oregon_RaDFHEwt_fhc"
"RaDFHEwt_fwm",9,"A","B","Grow w/o fire","None",0,0,1,15405.1921741984,"2011_Oregon_RaDFHEwt_fwm"
"RaDFHEwt_fwm",11,"C","E","Grow w/o fire","None",0,0,1,0,"2011_Oregon_RaDFHEwt_fwm"
"RaDFHEwt_fwm",14,"C","D","Grow w/ fire","None",0,0,1,0,"2011_Oregon_RaDFHEwt_fwm"
"RaDFHEwt_fwm",15,"C","B","Regen / high fire","Grow w/o fire",0,1,0,0,"2011_Oregon_RaDFHEwt_fwm"
"RaDFHEwt_fwm",19,"A","E","Grow w/o fire","Grow w/o fire",0,0,1,0,"2011_Oregon_RaDFHEwt_fwm"
"RaDFHEwt_fwm",20,"A","D","Grow w/ fire","Grow w/ fire",0,0,1,0,"2011_Oregon_RaDFHEwt_fwm"
"RaDFHEwt_fww",10,"B","E","Grow w/o fire","None",0,0,1,140280.609824056,"2011_Oregon_RaDFHEwt_fww"
"RaDFHEwt_fww",19,"A","E","Grow w/o fire","Grow w/o fire",0,0,1,32134.2230937669,"2011_Oregon_RaDFHEwt_fww"
"RaDFHEwt_fww",20,"A","D","Grow w/ fire","Grow w/ fire",0,0,1,5104.82700545639,"2011_Oregon_RaDFHEwt_fww"
"RaMCONdy_fdd",1,"B","C","Thin / low fire","None",1,0,0,453883.267905609,"2011_Oregon_RaMCONdy_fdd"
"RaMCONdy_fdd",3,"B","D","Thin / low fire","Grow w/ fire",0,1,0,643750.81286416,"2011_Oregon_RaMCONdy_fdd"
"RaMCONdy_fdd",6,"B","A","Regen / high fire","None",1,0,0,67699.5362166791,"2011_Oregon_RaMCONdy_fdd"
"RaMCONdy_fdd",13,"B","E","Grow w/o fire","None",0,0,1,55467.5826011902,"2011_Oregon_RaMCONdy_fdd"
"RaMCONdy_fdg",1,"B","C","Thin / low fire","None",1,0,0,272621.258648462,"2011_Oregon_RaMCONdy_fdg"
