"BpS_Code","Order","Donate","Receive","Primary","Secondary","ActiveOnly","ActivePassive","PassiveOnly","REST_ACRES","strataID"
"Na0210290_fwo",1,"B","C","Thin / low fire","None",1,0,0,22264.6635710306,"2002_Oregon_eastside_Na0210290_fwo"
"Na0210290_fwo",3,"B","D","Thin / low fire","Grow w/ fire",0,1,0,40548.2561092915,"2002_Oregon_eastside_Na0210290_fwo"
"Na0210290_fwo",18,"A","D","Grow w/ fire","Grow w/ fire",0,0,1,33022.949708434,"2002_Oregon_eastside_Na0210290_fwo"
"Na0210290_fwo",19,"A","E","Grow w/o fire","Grow w/o fire",0,0,1,2877.82769631935,"2002_Oregon_eastside_Na0210290_fwo"
"Na0710270_fdd",1,"B","C","Thin / low fire","None",1,0,0,289393.762611777,"2002_Oregon_eastside_Na0710270_fdd"
"Na0710270_fdd",2,"E","D","Thin / low fire","None",1,0,0,142293.311613518,"2002_Oregon_eastside_Na0710270_fdd"
"Na0710270_fdd",3,"B","D","Thin / low fire","Grow w/ fire",0,1,0,501853.54316368,"2002_Oregon_eastside_Na0710270_fdd"
"Na0710412_fmc",6,"E","C","Overstory removal","None",1,0,0,3628.75354005102,"2002_Oregon_eastside_Na0710412_fmc"
"Na0710412_fmc",9,"A","B","Grow w/o fire","None",0,0,1,7139.46706194542,"2002_Oregon_eastside_Na0710412_fmc"
"Na0710412_fmc",12,"A","C","Grow w/ fire","None",0,0,1,1210.12929780409,"2002_Oregon_eastside_Na0710412_fmc"
"Na0710412_fmc",20,"A","D","Grow w/ fire","Grow w/ fire",0,0,1,1242.67695448935,"2002_Oregon_eastside_Na0710412_fmc"
"Na0710412_fmh",1,"B","A","Regen / high fire","None",1,0,0,45051.4004408454,"2002_Oregon_eastside_Na0710412_fmh"
"Na0710412_fmh",6,"E","C","Overstory removal","None",1,0,0,12444.5521618727,"2002_Oregon_eastside_Na0710412_fmh"
"Na0710412_fmh",7,"B","C","Thin / low fire","None",1,0,0,74801.6458662636,"2002_Oregon_eastside_Na0710412_fmh"
"Na0710412_fmh",17,"B","D","Thin / low fire","Grow w/ fire",0,1,0,22405.7583722026,"2002_Oregon_eastside_Na0710412_fmh"
"Na0710412_fmi",4,"E","A","Regen / high fire","None",1,0,0,5481.03945942267,"2002_Oregon_eastside_Na0710412_fmi"
