"YEAR","BpS_Code","MAP_ZONE","sclass","PERC_AREA","AREA_TOTAL","PERC_AREA_VAR","AREA_TOTAL_VAR","nPlots_AREA","N"
2011,"Na0210290_fdw","OCR","B",0,0,0,0,0,7550
2011,"Na0210290_fwo","OSW","A",0.22620583315307,19378.1999782622,2.08682970258436e-05,74301809.5522138,7,7550
2011,"Na0210290_fwo","OSW","B",0.549825446358744,47101.4708337216,0.000120334529245192,293113209.625534,7,7550
2011,"Na0210290_fwo","OSW","C",0.25722212829393,22035.2489210173,2.68696321187864e-05,103473486.995997,6,7550
2011,"Na0210290_fwo","OSW","E",0.48273103922703,41353.7462030244,9.3027046636684e-05,249724128.262915,6,7550
2011,"Na0210350_fvg","OCR","A",0,0,0,0,0,7550
2011,"Na0210350_fvg","OCR","B",0,0,0,0,0,7550
2011,"Na0210350_fvg","OCR","D",0,0,0,0,0,7550
2011,"Na0210350_fvg","OCR","E",0,0,0,0,0,7550
2011,"Na0710270_fdd","OSW","A",1.34576776669882,232356.448582558,0.000191632674519682,1159874657.83563,78,14475
2011,"Na0710270_fdd","OSW","B",3.91171827671558,722343.030119408,0.00148780898260484,3819317406.7498,140,14816
2011,"Na0710270_fdd","OSW","C",1.5189696259811,262260.990738034,0.000244573239000247,1316097412.70243,65,14475
2011,"Na0710270_fdd","OSW","D",0.0489579283942786,8452.93716579228,4.01340047486445e-07,45492698.4822983,2,14475
2011,"Na0710270_fdd","OSW","E",0.852272941504238,147151.030669063,7.79015870221632e-05,733939800.017513,36,14475
2011,"Na0710411_fmt","WCR","A",0,0,0,0,0,9144
2011,"Na0710411_fmt","WCR","C",0,0,0,0,0,5856
2011,"Na0710411_fmt","WCR","D",0,0,0,0,0,9144
2011,"Na0710411_fmt","WCR","E",0,0,0,0,0,9144
2011,"Na0710411_fmt","WNC","A",0,0,0,0,0,9487
2011,"Na0710411_fmt","WNC","B",0,0,0,0,0,3631
2011,"Na0710411_fmt","WNC","C",0,0,0,0,0,3631
2011,"Na0710411_fmt","WNC","D",0,0,0,0,0,9487
2011,"Na0710411_fmt","WNC","E",0,0,0,0,0,9487
2011,"Na0710412_fmc","OEC","A",0.0213895674286313,1860.69857952283,6.52444919649417e-08,3677165.75257164,1,6925
2011,"Na0710412_fmc","OEC","E",0.0407086797316512,3541.28632117831,1.42381604698481e-07,6135494.85359568,2,6925
2011,"Na0710412_fmc","OSW","A",0.00522896375245717,454.872472715359,3.59025137769654e-09,191957.557406855,1,6925
2011,"Na0710412_fmc","OSW","B",0.0601083745599986,5228.88401246983,2.80167769306412e-07,10633585.1303567,1,6925
2011,"Na0710412_fmc","OSW","C",0.0242625315635831,2110.62043057295,7.72975665266573e-08,4132817.03786179,1,6925
2011,"Na0710412_fmc","OSW","D",0.0575374207857529,5005.23432662558,2.42214956178208e-07,8878470.2361268,3,6925
2011,"Na0710412_fmc","OSW","E",0.0460396211323902,4005.02992538963,1.84862704158688e-07,7822358.59321475,2,6925
2011,"Na0710412_fmc","OWC","A",0,0,0,0,0,7266
2011,"Na0710412_fmc","OWC","B",0,0,0,0,0,7266
2011,"Na0710412_fmc","OWC","C",0,0,0,0,0,7266
2011,"Na0710412_fmc","OWC","D",0,0,0,0,0,14816
2011,"Na0710412_fmc","OWC","E",0,0,0,0,0,7266
2011,"Na0710412_fmc","WCR","A",0,0,0,0,0,9144
2011,"Na0710412_fmc","WCR","D",0,0,0,0,0,5856
2011,"Na0710412_fmc","WCR","E",0,0,0,0,0,5856
2011,"Na0710412_fmc","WNC","A",0,0,0,0,0,3288
2011,"Na0710412_fmc","WNC","B",0,0,0,0,0,3631
2011,"Na0710412_fmc","WNC","C",0,0,0,0,0,343
2011,"Na0710412_fmc","WNC","D",0,0,0,0,0,3631
2011,"Na0710412_fmc","WNC","E",0,0,0,0,0,3631
2011,"Na0710412_fmc","WWC","A",0,0,0,0,0,9487
2011,"Na0710412_fmc","WWC","B",0,0,0,0,0,3288
2011,"Na0710412_fmc","WWC","C",0,0,0,0,0,9487
2011,"Na0710412_fmc","WWC","D",0,0,0,0,0,9487
2011,"Na0710412_fmc","WWC","E",0,0,0,0,0,9487
2011,"Na0710412_fmh","OEC","A",0.263037392058306,48572.8299875513,7.28464107025926e-06,161212485.210946,30,14816
2011,"Na0710412_fmh","OEC","B",0.751420935504787,138758.376000285,5.72944621167088e-05,543409123.447483,48,14816
2011,"Na0710412_fmh","OEC","C",0.424095172242406,78313.9710239583,1.88673982633766e-05,388754673.498078,26,14816
2011,"Na0710412_fmh","OEC","D",0.586331977256763,108272.832332692,3.53224752865573e-05,521661408.723117,33,14816
2011,"Na0710412_fmh","OEC","E",0.697418245908733,128786.168474603,4.9099266585456e-05,579944955.535464,42,14816
2011,"Na0710412_fmh","OSW","A",0.134424327738901,23209.3234578853,2.28314118275161e-06,112513503.4203,8,14475
2011,"Na0710412_fmh","OSW","B",0.285998474548306,49379.6860724972,9.27596683077997e-06,182725075.091264,16,14475
2011,"Na0710412_fmh","OSW","C",0.0325261848942296,2829.48340268809,8.6566154962384e-08,3453180.2964351,2,6925
2011,"Na0710412_fmh","OSW","D",0.298080871424186,55044.0048729603,9.55645016752532e-06,295075950.874029,13,14816
2011,"Na0710412_fmh","OSW","E",0.258911769186374,47810.9870541837,7.35061552436508e-06,266843548.979799,11,14816
2011,"Na0710412_fmh","WEC","A",1.12829515938788,91441.2159018965,0.000387482743792611,301494492.305844,49,9487
2011,"Na0710412_fmh","WEC","B",1.87076696082926,151613.878818846,0.00105919594713345,777430715.467303,43,9487
2011,"Na0710412_fmh","WEC","C",1.6970653090382,137536.454031736,0.000873328004578197,688436421.405135,41,9487
2011,"Na0710412_fmh","WEC","D",1.4517543163452,117655.543208615,0.000642081575065748,489512674.035728,44,9487
2011,"Na0710412_fmh","WEC","E",1.61328494243167,130746.583023724,0.000788045928950762,818788508.735986,27,9487
2011,"Na0710412_fmi","OEC","A",0.0702343235143268,6016.70941649684,2.44402700376014e-06,38488348.6855216,1,7550
2011,"Na0710412_fmi","OEC","B",0.0685396706303711,5871.53489990155,2.31565944346821e-06,37383071.3139799,1,7550
2011,"Na0710412_fmi","OEC","C",0.00531701855832463,462.532443060455,4.06869482695836e-09,219204.576573745,1,6925
2011,"Na0710412_fmi","OSW","D",0.0940136579052158,8178.33648593678,5.48389053095183e-07,15736271.1321569,4,6925
2011,"Na0710412_fmi","OSW","E",1.11740975711972,13413.5502336194,0.00189152438343675,85047789.0522701,2,341
2011,"Na0710412_fmi","OWC","E",0,0,0,0,0,6925
2011,"Na0710412_fmi","WWC","D",0,0,0,0,0,5856
2011,"Na1010471_frn","WNE","A",1.49806621104965,121408.830570756,0.000683266761088421,436006828.714112,58,9487
2011,"Na1010471_frn","WNE","B",2.27934864010411,160458.779919371,0.00179776262709981,421143241.537086,61,9144
2011,"Na1010471_frn","WNE","C",2.59468220357208,182657.243976799,0.00232797054702693,562406800.21969,74,9144
2011,"Na1010471_frn","WNE","D",0.206299569386822,6177.6850438688,9.1481372787596e-06,12385338.8700948,3,3288
2011,"Na1010471_frn","WNE","E",0.491180451961854,34577.5168639601,8.49879534958509e-05,96073353.8582293,13,9144
2011,"R1RFWF_fcw","OSW","A",0.201330208180624,37177.9004376232,4.38423486573689e-06,155251419.497918,23,14816
2011,"R1RFWF_fcw","OSW","B",0.177744745910975,30688.9040858758,3.59916407615798e-06,77131752.8782948,16,14475
2011,"R1RFWF_fcw","OSW","C",0.0586195793943957,10121.0904455652,4.32474353893235e-07,21865659.2654682,9,14475
2011,"R1RFWF_fcw","OSW","D",0.130477830674682,12916.6641281743,1.47864349637864e-06,58761406.2124959,6,7266
2011,"R1RFWF_fcw","OSW","E",0.535389119616303,92438.7680565,3.10055955868738e-05,208054009.190077,45,14475
2011,"RaABAMlw_fsi","OEC","A",0.0738029066331311,6420.18423210863,3.41679599692858e-07,10303190.7033846,6,6925
2011,"RaABAMlw_fsi","OEC","B",0.0800755697135211,13825.6209260381,8.45323648347186e-07,53029762.0799494,5,14475
2011,"RaABAMlw_fsi","OEC","C",0.164273051665636,30334.877287418,3.11284948267592e-06,165903572.547021,9,14816
2011,"RaABAMlw_fsi","OEC","D",0.0211442536143726,1839.35850019437,6.15774084685957e-08,3410077.00653539,1,6925
2011,"RaABAMlw_fsi","OEC","E",0.122515374226885,12128.420063726,1.17783691751967e-06,48941179.0497599,5,7266
2011,"RaABAMlw_fsi","OSW","A",0.0118152227034832,1027.81733078386,1.66490732862902e-08,853063.681209218,2,6925
2011,"RaABAMlw_fsi","OSW","B",0.0242625315635831,2110.62043057295,7.72975665266573e-08,4132817.03786179,1,6925
2011,"RaABAMlw_fsi","OSW","C",0.0729832840674467,12601.0869865031,7.48393471789642e-07,55039883.0532634,4,14475
2011,"RaABAMlw_fsi","OSW","D",0.112664093104535,9800.75537770003,7.09740545035469e-07,16875112.0997398,6,6925
2011,"RaABAMlw_fsi","OSW","E",0.121681373338135,10585.177062608,8.51606411683982e-07,21199414.1115846,4,6925
2011,"RaABAMlw_fsi","OWC","A",0,0,0,0,0,14816
2011,"RaABAMlw_fsi","OWC","B",0,0,0,0,0,14816
2011,"RaABAMlw_fsi","OWC","C",0,0,0,0,0,14816
2011,"RaABAMlw_fsi","OWC","D",0,0,0,0,0,14816
2011,"RaABAMlw_fsi","OWC","E",0,0,0,0,0,14816
2011,"RaABAMlw_fsi","WCR","A",0,0,0,0,0,3288
2011,"RaABAMlw_fsi","WCR","B",0,0,0,0,0,3288
2011,"RaABAMlw_fsi","WCR","C",0,0,0,0,0,9144
2011,"RaABAMlw_fsi","WCR","D",0,0,0,0,0,5856
2011,"RaABAMlw_fsi","WCR","E",0,0,0,0,0,9144
2011,"RaABAMlw_fsi","WEC","A",1.14909738152568,46644.330551789,0.000361572605683492,138850271.34775,23,3631
2011,"RaABAMlw_fsi","WEC","B",0.517046822258986,41903.3882332912,8.28525338942897e-05,151849879.308889,17,9487
2011,"RaABAMlw_fsi","WEC","C",1.0595590320651,85870.5857290331,0.00034472126594339,405147178.611195,27,9487
2011,"RaABAMlw_fsi","WEC","D",0.600387627549792,24371.0232125449,0.000101631025803008,71040309.9415587,12,3631
2011,"RaABAMlw_fsi","WEC","E",0.471401970001449,38204.1604599877,6.91520153000081e-05,146838184.052238,16,9487
2011,"RaABAMlw_fsi","WNC","A",0,0,0,0,0,3288
2011,"RaABAMlw_fsi","WNC","B",0,0,0,0,0,3288
2011,"RaABAMlw_fsi","WNC","C",0,0,0,0,0,3288
2011,"RaABAMlw_fsi","WNC","E",0,0,0,0,0,9487
2011,"RaABAMlw_fsi","WWC","A",0,0,0,0,0,16069
2011,"RaABAMlw_fsi","WWC","B",0,0,0,0,0,16410
2011,"RaABAMlw_fsi","WWC","C",0,0,0,0,0,9487
2011,"RaABAMlw_fsi","WWC","D",0,0,0,0,0,9144
2011,"RaABAMlw_fsi","WWC","E",0,0,0,0,0,9828
2011,"RaABAMlw_fsw","OEC","A",0.00883579501952586,768.634115516505,1.11334846503521e-08,627480.837540356,1,6925
2011,"RaABAMlw_fsw","OEC","B",0.0236576361840176,2058.00001282617,5.06007666081389e-08,2289387.00553327,2,6925
2011,"RaABAMlw_fsw","OEC","C",0.00787890728003455,685.39355146232,9.0584158178429e-09,514927.830272849,1,6925
2011,"RaABAMlw_fsw","OEC","E",0.0204941312587549,1782.80374528172,6.11484005512783e-08,3483962.02202399,1,6925
2011,"RaABAMlw_fsw","OWC","A",0,0,0,0,0,6925
2011,"RaABAMlw_fsw","OWC","B",0,0,0,0,0,7266
2011,"RaABAMlw_fsw","OWC","C",0,0,0,0,0,6925
2011,"RaABAMlw_fsw","OWC","D",0,0,0,0,0,6925
2011,"RaABAMlw_fsw","OWC","E",0,0,0,0,0,7266
2011,"RaABAMlw_fwc","OEC","A",1.50704223344979e-05,1.31099020698632,5.03519923747288e-14,3.16314262530608,1,6925
2011,"RaABAMlw_fwc","OEC","C",0.0132394786845238,1151.71469755583,3.88604283035588e-08,2441235.6176462,1,6925
2011,"RaABAMlw_fwc","OWC","A",0,0,0,0,0,6925
2011,"RaABAMlw_fwc","OWC","B",0,0,0,0,0,6925
2011,"RaABAMlw_fwc","OWC","C",0,0,0,0,0,6925
2011,"RaABAMlw_fwc","OWC","D",0,0,0,0,0,6925
2011,"RaABAMlw_fwc","OWC","E",0,0,0,0,0,7266
2011,"RaABAMlw_fwc","WNC","A",0,0,0,0,0,9144
2011,"RaABAMlw_fwc","WNC","B",0,0,0,0,0,3288
2011,"RaABAMlw_fwc","WNC","C",0,0,0,0,0,9144
2011,"RaABAMlw_fwc","WNC","D",0,0,0,0,0,5856
2011,"RaABAMlw_fwc","WNC","E",0,0,0,0,0,3288
2011,"RaABAMlw_fwc","WWC","A",0,0,0,0,0,9144
2011,"RaABAMlw_fwc","WWC","B",0,0,0,0,0,9144
2011,"RaABAMlw_fwc","WWC","C",0,0,0,0,0,9144
2011,"RaABAMlw_fwc","WWC","D",0,0,0,0,0,3288
2011,"RaABAMlw_fwc","WWC","E",0,0,0,0,0,9144
