"YEAR","ew","BpS_Code","sclass","PERC_AREA","AREA_TOTAL","PERC_AREA_VAR","AREA_TOTAL_VAR","nPlots_AREA","N"
2011,"eastside","Na0210290_fwo","A",0.187851734586245,30040.5533928367,0.00573226585243178,146572599.459549,8,7550
2011,"eastside","Na0210290_fwo","B",0.361943813430749,57880.7136198226,0.013771077974354,352546990.239689,9,7550
2011,"eastside","Na0210290_fwo","C",0.176910035404634,28290.79739938,0.00524127462219987,134235765.197508,8,7550
2011,"eastside","Na0210290_fwo","E",0.295312501587373,47225.2811029259,0.0112250709863764,287107199.576895,7,7550
2011,"eastside","Na0710270_fdd","A",0.898447807386041,252556.422368922,0.0155776450497793,1233780492.15291,74,14475
2011,"eastside","Na0710270_fdd","B",2.7410993398235,823901.098282641,0.0483730549630189,4373511994.13878,159,14816
2011,"eastside","Na0710270_fdd","C",0.918417840482005,258170.059657413,0.0166890617152539,1321101993.4898,61,14475
2011,"eastside","Na0710270_fdd","D",0.0278930497801254,7840.82147400671,0.000300908057722178,23776802.8821882,3,14475
2011,"eastside","Na0710270_fdd","E",0.886677036162241,249247.622631901,0.0150865717113144,1191096839.30047,61,14475
2011,"eastside","Na0710412_fmc","A",0.0365237219236405,4426.19148281113,0.000544020613083761,7989822.14108202,3,6925
2011,"eastside","Na0710412_fmc","E",0.0890614461139068,10793.0679972969,0.00136758703121007,20084451.4516514,6,6925
2011,"eastside","Na0710412_fmh","A",0.447236280677743,234371.901116731,0.00332791646755428,914255250.861637,94,24303
2011,"eastside","Na0710412_fmh","B",0.856833107773668,449019.037776523,0.00726397213689106,1995061198.3401,141,24303
2011,"eastside","Na0710412_fmh","C",0.252592860766251,132370.005618925,0.00232754485169013,639539304.647946,43,24303
2011,"eastside","Na0710412_fmh","D",0.23949985116588,125508.68044484,0.00159580052538892,438260618.433046,55,24303
2011,"eastside","Na0710412_fmh","E",1.25196464152101,656085.710934602,0.0117098838131169,3215516238.71361,182,24303
2011,"eastside","Na0710412_fmi","B",0.0367163015010632,5871.53489990155,0.00146184080156008,37383071.3139799,1,7550
2011,"eastside","Na0710412_fmi","C",0.0133311439757663,1615.55813082327,0.000181541610987034,2666001.04624936,2,6925
2011,"eastside","Na0710412_fmi","E",0.180290951288605,25359.1736773528,0.00543724373275153,107566640.341617,8,7266
2011,"eastside","Na1010471_frn","A",0.812268491623933,181519.008168429,0.0130353657722999,650533541.618077,70,9487
2011,"eastside","Na1010471_frn","B",1.3389639374769,269043.240006376,0.0176609706230836,711778945.437421,102,9144
2011,"eastside","Na1010471_frn","C",0.701778656550469,141011.119299781,0.0100369211374514,405644161.888176,59,9144
2011,"eastside","Na1010471_frn","D",0.0350085372007718,2146.28966153952,0.0011530580239651,4333918.51172484,1,3288
2011,"eastside","Na1010471_frn","E",0.25882380201578,57839.7910503192,0.00436733771854346,218038176.794995,20,9487
2011,"eastside","R1RFWF_fcw","A",0.0955539895340566,28720.9718300346,0.00123218354561136,111302159.067655,15,14816
2011,"eastside","R1RFWF_fcw","B",0.245971482984006,29808.4868041212,0.00351703491051809,51644696.7646107,18,6925
2011,"eastside","R1RFWF_fcw","C",0.0382220859247747,10744.3450774552,0.000305802159953916,24162102.5904742,8,14475
2011,"eastside","R1RFWF_fcw","D",0.0930163643773741,13083.3972654891,0.00296159129813226,58641004.3624994,8,7266
2011,"eastside","R1RFWF_fcw","E",0.448947062499857,134941.471288748,0.00402419943128573,363150066.644457,61,14816
2011,"eastside","RaABAMlw_fsi","A",0.26816660683437,54982.7774362099,0.00280488764771164,117904968.141218,28,10556
2011,"eastside","RaABAMlw_fsi","B",0.279164605550188,146294.793499645,0.00247073001293386,678490782.335966,46,24303
2011,"eastside","RaABAMlw_fsi","C",0.18267142670436,92171.3873486633,0.00159548691332015,406126221.187782,32,23962
2011,"eastside","RaABAMlw_fsi","D",0.0514630709262493,7396.50660288601,0.00135115385967371,27896971.3777962,3,7268
2011,"eastside","RaABAMlw_fsi","E",0.275137883356959,144184.610188341,0.00215687301804364,592154098.893179,55,24303
2011,"eastside","RaABAMlw_fsw","A",0.00634255856421251,768.634115516505,4.27248378124485e-05,627480.837540356,1,6925
2011,"eastside","RaABAMlw_fsw","B",0.0314340112838954,3809.38594665268,0.000383262143244687,5628585.64151231,3,6925
2011,"eastside","RaABAMlw_fsw","C",0.00565568018895724,685.39355146232,3.50627293466245e-05,514927.830272849,1,6925
2011,"eastside","RaABAMlw_fsw","E",0.0147112090586147,1782.80374528172,0.000237226541458044,3483962.02202399,1,6925
2011,"eastside","RaABLA_faf","B",0.0606146985861359,3716.14215603071,0.00201045726561518,7556676.74910465,2,3288
2011,"eastside","RaDFHEdy_fwi","A",0.318039686170009,95594.2175922049,0.00524808129629517,474165980.830031,29,14816
2011,"eastside","RaDFHEdy_fwi","B",0.257901944214473,72497.0241090584,0.0039891850008156,315106343.545638,22,14475
2011,"eastside","RaDFHEdy_fwi","C",0.144006071529475,40480.5464779325,0.00190952704007635,150900387.65075,23,14475
2011,"eastside","RaDFHEdy_fwi","D",0.0733971356268193,30880.3285635398,0.000359700942123566,63640079.6792511,20,20331
2011,"eastside","RaDFHEdy_fwi","E",0.600875538813045,205746.190689155,0.00640552347887044,750501529.611552,73,17763
2011,"eastside","RaDFHEdy_fwx","A",0.07486098473995,9072.16010853346,0.000993693000490735,14594025.1133549,8,6925
2011,"eastside","RaDFHEdy_fwx","B",0.0341512708933245,4138.68183180334,0.000418129270244455,6140987.25292413,3,6925
2011,"eastside","RaDFHEdy_fwx","C",0.0128277521044476,1554.55370148265,5.87228052005977e-05,862242.66584294,3,6925
2011,"eastside","RaDFHEdy_fwx","D",0.06256847156256,7582.47027785687,0.00098480569431406,14463329.7378338,5,6925
2011,"eastside","RaDFHEdy_fwx","E",0.382930371004881,53861.8145571885,0.00724055852361695,143272379.584551,25,7266
2011,"eastside","RaDFHEwt_fhc","A",0.0508519212042966,8132.05082950486,0.00126249140433414,32289311.4896793,2,7550
2011,"eastside","RaDFHEwt_fhc","B",0.104517861933319,16714.1092352889,0.0035691042639829,91272312.438365,3,7550
2011,"eastside","RaDFHEwt_fhc","E",0.0380738488299011,6088.62883893321,0.00140896711936064,36027603.1947416,1,7550
2011,"eastside","RaDFHEwt_fwm","A",0.265901879377514,74745.8303138832,0.00506047159389352,400156821.104267,18,14475
2011,"eastside","RaDFHEwt_fwm","B",0.256172397621561,72010.8432800382,0.00499336915877881,394562720.984136,17,14475
2011,"eastside","RaDFHEwt_fwm","C",0.0781649921317631,21972.4179913444,0.00102172862368934,80730555.7091529,11,14475
2011,"eastside","RaDFHEwt_fwm","D",0.0502736379860411,14132.0731653467,0.000764485997268285,60405581.2689496,6,14475
2011,"eastside","RaDFHEwt_fwm","E",0.412696035050738,116010.115758977,0.0071971072355125,568589825.114042,32,14475
2011,"eastside","RaDFHEwt_fwn","A",0.413602082934507,66141.7126818074,0.0141557204830064,362415110.892992,14,7550
2011,"eastside","RaDFHEwt_fwn","B",0.334221815387543,53447.5144044557,0.0132509475691862,339093153.140424,8,7550
2011,"eastside","RaDFHEwt_fwn","C",0.180346417141323,28840.3308347062,0.00669774358907392,171337345.1661,5,7550
2011,"eastside","RaDFHEwt_fwn","D",0.0752744838657004,12037.6165632243,0.00230354999987132,58887626.9470648,3,7550
2011,"eastside","RaDFHEwt_fwn","E",0.337181148967321,53920.7600660215,0.0123851662389776,316690436.08424,9,7550
2011,"eastside","RaDFHEwt_fww","A",0.036176461720093,5785.2057222683,0.00141918530836368,36291866.1243245,1,7550
2011,"eastside","RaDFHEwt_fww","B",0.0307396463005814,4915.77034411451,0.00101193094680496,25874410.2670272,1,7550
2011,"eastside","RaDFHEwt_fww","E",0.0298528628284932,8391.73090685152,0.000562748140685223,44466991.8601706,2,14475
2011,"eastside","RaDFWV_fwx","A",0.00709078753683235,859.309559621747,4.66459829049834e-05,685054.60532271,1,6925
2011,"eastside","RaDFWV_fwx","B",0.00735992848114415,891.925878349591,5.56892486141792e-05,817866.109056078,1,6925
2011,"eastside","RaDFWV_fwx","C",0.0345076210930256,5518.33091234454,0.000358900648024885,9178156.28951396,3,7550
2011,"eastside","RaDFWV_fwx","E",0.0505389034724225,14206.6401036459,0.000738093571261336,58315960.3448547,4,14475
2011,"eastside","RaMCONdy_fdd","A",2.50166836192732,1254604.52392641,0.0215990483625483,5490260643.15647,447,23960
2011,"eastside","RaMCONdy_fdd","B",3.49370916262263,1830860.5400974,0.0256149458455677,7053608857.47613,601,24303
2011,"eastside","RaMCONdy_fdd","C",3.48076173494903,1824075.50639255,0.0283462926006089,7870306311.88511,580,24303
2011,"eastside","RaMCONdy_fdd","D",0.137118392488369,68765.8516802325,0.00130973680974074,329464004.219229,21,23960
2011,"eastside","RaMCONdy_fdd","E",0.654605582080691,343042.730168001,0.00516569707151301,1418430265.84539,118,24303
2011,"eastside","RaMCONdy_fdg","A",0.620391965440627,186473.22053099,0.00536998801265687,484998798.750162,113,14816
2011,"eastside","RaMCONdy_fdg","B",1.17131193978907,352065.019900345,0.00997180379307128,899003644.173329,170,14816
2011,"eastside","RaMCONdy_fdg","C",1.15869463466465,348272.595671735,0.0104001491566144,939758537.889134,174,14816
2011,"eastside","RaMCONdy_fdg","D",0.123375400164567,14951.4648736651,0.00183194892062789,26907759.1769896,9,6925
2011,"eastside","RaMCONdy_fdg","E",0.845901858033525,118981.967639235,0.014002016032066,277098032.890972,58,7266
2011,"eastside","RaMCONdy_fdx","E",0.0154161863376548,1868.23765682519,0.000251605277163358,3695144.17483958,1,6925
2011,"eastside","RaMCONdy_fmd","A",1.19238887816322,601649.30631046,0.0105081319362371,2686054147.46456,204,23962
2011,"eastside","RaMCONdy_fmd","B",1.66097639064051,800651.992407111,0.0162065986528307,3775411517.72966,224,23619
2011,"eastside","RaMCONdy_fmd","C",1.46779505666825,740612.306792658,0.0131444607405686,3362966198.12789,215,23962
2011,"eastside","RaMCONdy_fmd","D",0.177647858138234,57224.0443311325,0.00296720258955861,308170100.711297,13,16069
2011,"eastside","RaMCONdy_fmd","E",0.58638482874511,282659.154035915,0.00535737387329558,1244740669.06896,84,23619
2011,"eastside","RaMCONdy_fmx","A",0.467960215625949,131545.04568644,0.00523583712011992,413699659.964253,68,14475
2011,"eastside","RaMCONdy_fmx","B",1.08960965345451,153261.160612777,0.0150458820750126,297532342.178788,82,7266
2011,"eastside","RaMCONdy_fmx","C",0.868023482414023,244004.051708373,0.0119380618183118,943820513.673953,90,14475
2011,"eastside","RaMCONdy_fmx","D",0.0273325513742846,3312.34331345762,0.000371691272124122,5459504.08638629,2,6925
2011,"eastside","RaMCONdy_fmx","E",0.484815542134687,58753.2242145907,0.00720642645098999,105817090.112839,32,6925
2011,"eastside","RaMCONms_fcm","A",1.05373423041827,552204.070923434,0.00592895456549492,1627922162.59493,282,24303
2011,"eastside","RaMCONms_fcm","B",0.664209198707619,348075.456679005,0.00448925737665554,1233025688.10871,136,24303
2011,"eastside","RaMCONms_fcm","C",1.8838549530585,987224.618958471,0.0132647139797353,3646483254.90555,387,24303
2011,"eastside","RaMCONms_fcm","D",0.262646387944595,131719.036592986,0.00161060717614873,404821803.785166,59,23960
2011,"eastside","RaMCONms_fcm","E",0.70468376733562,270893.570141369,0.00650507142105425,960980365.353538,108,18447
2011,"eastside","RaMCONms_fmm","A",0.74104031977337,388338.41540369,0.00532697670281855,1463846007.32497,175,24303
2011,"eastside","RaMCONms_fmm","B",0.748964529747305,392491.057388872,0.00423033189980395,1161248431.70675,172,24303
2011,"eastside","RaMCONms_fmm","C",1.25582519910009,633657.671354378,0.00985648342134766,2511649190.25511,251,23962
2011,"eastside","RaMCONms_fmm","D",0.0631911049901619,30460.4474800931,0.000417259617446167,96955414.3080949,15,23619
2011,"eastside","RaMCONms_fmm","E",0.612198699977732,320819.619011093,0.00402497168906369,1104338922.52986,128,24303
2011,"eastside","RaMCONsw_fdm","A",0.107139172052516,30117.1484494762,0.00155518131620269,122908478.353973,9,14475
2011,"eastside","RaMCONsw_fdm","B",0.183673186507215,51631.0936350587,0.00358049535360916,282902450.452041,11,14475
2011,"eastside","RaMCONsw_fdm","C",0.0585240293548274,16451.2833744588,0.000946838490313597,74821203.0887748,4,14475
2011,"eastside","RaMCONsw_fdm","D",0.0145560878217203,2327.75563325157,0.000190634418941116,4875663.68097276,1,7550
