"YEAR","sclass","PERC_AREA","AREA_TOTAL","PERC_AREA_VAR","AREA_TOTAL_VAR","nPlots_AREA","N"
2011,"A",22.241512971561,11655551.8952034,0.135419529912192,41847194138.8918,3927,24303
2011,"B",28.6156494118167,14995885.7187837,0.172814352458932,48656710911.6231,4402,24303
2011,"C",19.8577904942236,10406374.2392636,0.123234522269851,36191653043.0091,3591,24303
2011,"D",3.99303070685064,2092527.45900639,0.0275364693103282,7582027663.33018,888,24303
2011,"E",25.2920164155481,13254152.7297487,0.128933067173032,34807515948.7395,4261,24303
2017,"A",21.282038379299,11031310.1094873,0.122107804190671,36280490353.318,3873,24359
2017,"B",28.687702542443,14869954.5332199,0.16480992601944,45228629605.1161,4358,24359
2017,"C",19.1525332599274,9927504.59364072,0.119047120847389,33631435026.2517,3604,24359
2017,"D",4.71614153805486,2444560.00404183,0.0329225667723097,8874782060.33785,1022,24359
2017,"E",26.1615842802757,13560568.9646687,0.120669431647776,32441502919.1446,4427,24359
2018,"A",21.3769322153067,11077595.1488149,0.121969601821095,36236907532.6489,3888,24489
2018,"B",28.6187163997068,14830311.0456467,0.164712628308885,45241010276.8506,4381,24489
2018,"C",19.0464586024522,9869936.21402576,0.118012886711841,33325520657.0968,3612,24489
2018,"D",4.74660423789225,2459705.60927211,0.0325643792188783,8778195530.03954,1051,24489
2018,"E",26.211288544642,13582774.1746034,0.118771298653865,31819100222.9076,4522,24489
2019,"A",21.697474035453,11240289.3931619,0.122062422568988,36354634973.3252,3945,24617
2019,"B",28.3485759352578,14685866.0540699,0.16316800910269,44775124707.3473,4360,24617
2019,"C",18.8927551780003,9787316.03908783,0.116089032370231,32807981593.7263,3627,24617
2019,"D",4.79524794262736,2484158.9624223,0.0328024023858297,8839597692.31613,1077,24617
2019,"E",26.2659469086616,13606968.440491,0.118036922403412,31562726809.2941,4618,24617
