"YEAR","STATE","ew","BpS_Code","sclass","PERC_AREA","AREA_TOTAL","PERC_AREA_VAR","AREA_TOTAL_VAR","nPlots_AREA","N"
2002,"Oregon","eastside","Na0210290_fwo","A",0.352158871262405,54073.6013486532,0.000145968802205035,3532830624.23246,1,740
2002,"Oregon","eastside","Na0210290_fwo","B",0.422334604032919,64849.0067348059,0.000201840736128455,4257493065.73912,1,740
2002,"Oregon","eastside","Na0710270_fdd","A",1.01605378541015,156013.923897774,0.00109481068803249,8601765081.32801,5,740
2002,"Oregon","eastside","Na0710270_fdd","B",3.40770079324663,928080.196164493,0.00408534989982271,56279993369.3618,17,1454
2002,"Oregon","eastside","Na0710270_fdd","E",2.0003030837346,544778.368458856,0.00146466174394769,27281888106.4312,14,1454
2002,"Oregon","eastside","Na0710412_fmc","A",0.135159586175795,16056.8276030534,3.85904664326287e-06,267748180.455137,2,714
2002,"Oregon","eastside","Na0710412_fmc","E",0.162848775449144,19346.2764036157,4.97946032055526e-06,302953323.093098,1,714
2002,"Oregon","eastside","Na0710412_fmh","A",0.299381746545035,35566.2608016739,1.42871372278343e-05,641775176.528116,3,714
2002,"Oregon","eastside","Na0710412_fmh","B",2.22462930897376,306924.854681494,0.000926884500895976,14850322926.2051,6,749
2002,"Oregon","eastside","Na0710412_fmh","E",1.01481762839658,295835.1938072,0.000362898550211198,21259610205.2542,5,1489
2002,"Oregon","eastside","Na0710412_fmi","E",2.26415009804897,43398.5758862832,0.028580205423255,4703826128.67231,1,35
2002,"Oregon","eastside","R1RFWF_fcw","A",0.143114544318569,17001.8689064641,4.36763787327116e-06,294067309.208346,1,714
2002,"Oregon","eastside","R1RFWF_fcw","B",0.235141423141179,27934.5727561179,9.1127884252697e-06,385597473.834235,3,714
2002,"Oregon","eastside","R1RFWF_fcw","E",0.962421165487776,114334.699986928,0.000115724121759515,2147074998.91692,6,714
2002,"Oregon","eastside","RaABAMlw_fsi","B",0.0904212400913655,10741.9555273939,2.61551724226112e-06,244883424.213676,1,714
2002,"Oregon","eastside","RaABAMlw_fsi","E",0.382532444132741,45444.4829390433,2.21029122337007e-05,803833470.618835,3,714
2002,"Oregon","eastside","RaABAMlw_fsw","E",0.110120802630315,13082.2444295224,3.18717625393123e-06,263462624.147105,1,714
2002,"Oregon","eastside","RaDFHEdy_fwi","A",0.273584164904399,74510.0761003337,3.18584446080872e-05,3825462272.88986,3,1454
2002,"Oregon","eastside","RaDFHEdy_fwi","B",0.599033818800966,163145.609838677,0.000139960052588969,9178969548.87381,4,1454
2002,"Oregon","eastside","RaDFHEdy_fwi","E",0.799710160479928,217799.392506475,0.000241318144827679,9527412555.25368,10,1454
2002,"Oregon","eastside","RaDFHEdy_fwx","E",0.352984065182742,41934.1642100948,1.88376823473165e-05,778420950.67611,3,714
2002,"Oregon","eastside","RaDFHEwt_fhc","A",0.415046375771123,63729.9074255834,0.000195193431468235,4111817848.74176,1,740
2002,"Oregon","eastside","RaDFHEwt_fwm","A",0.257375315564257,70095.6298247063,2.84477878147503e-05,4293380282.85046,2,1454
2002,"Oregon","eastside","RaDFHEwt_fwm","B",0.357610523969627,97394.4795546487,5.33084895692971e-05,5822483952.20178,3,1454
2002,"Oregon","eastside","RaDFHEwt_fwm","E",0.475148364935166,129405.665136503,9.14654266543353e-05,8366031156.44465,3,1454
2002,"Oregon","eastside","RaDFHEwt_fwn","B",0.887805748391791,136321.581056548,0.000871096871086293,9109218033.88777,2,740
2002,"Oregon","eastside","RaDFHEwt_fwn","E",0.945058887654545,145112.736643102,0.000984397540245956,11171300461.3123,2,740
2002,"Oregon","eastside","RaMCONdy_fdd","A",1.09242923427281,297520.82109116,0.000434369622345402,14586988137.8866,14,1454
2002,"Oregon","eastside","RaMCONdy_fdd","B",4.30245963071417,1254234.20236703,0.00608027987168596,55560763550.2553,47,1489
2002,"Oregon","eastside","RaMCONdy_fdd","C",0.0901600621678092,24554.9046878563,3.27686056336812e-06,182149342.94784,5,1454
2002,"Oregon","eastside","RaMCONdy_fdd","E",0.469038596952549,55721.3298999716,3.13020016291636e-05,1075344518.00503,4,714
2002,"Oregon","eastside","RaMCONdy_fdg","A",0.357462504700801,97354.1668158304,5.05941067028763e-05,4680648399.30217,7,1454
2002,"Oregon","eastside","RaMCONdy_fdg","B",2.79986262589319,762536.740379989,0.0027876456769315,20108800759.1642,35,1454
2002,"Oregon","eastside","RaMCONdy_fdg","E",0.463219698968279,55030.050469361,3.12404397717354e-05,1102473334.0724,2,714
