"YEAR","STATE","ew","BpS_Code","sclass","PERC_AREA","AREA_TOTAL","PERC_AREA_VAR","AREA_TOTAL_VAR","nPlots_AREA","N"
2011,"Oregon","eastside","Na0210290_fwo","A",0.109867448426376,17166.3920283528,1.30308404657449e-06,89225677.9381481,4,7550
2011,"Oregon","eastside","Na0210290_fwo","B",0.498137418789527,77832.1726536058,2.0553548499611e-05,437258367.805598,16,7550
2011,"Oregon","eastside","Na0210290_fwo","C",0.00708377482763718,1106.81423363796,8.91113310770528e-09,1200348.5086335,1,7550
2011,"Oregon","eastside","Na0210290_fwo","E",0.264670093208524,41353.7462030244,6.40663678778432e-06,249724128.262915,6,7550
2011,"Oregon","eastside","Na0710270_fdd","A",0.487329108637625,135105.011186384,6.81224808173269e-06,644143983.772035,60,14475
2011,"Oregon","eastside","Na0710270_fdd","B",3.0383899305423,842350.063393729,0.000241496310144372,4558848877.15537,167,14475
2011,"Oregon","eastside","Na0710270_fdd","C",0.0182968113102874,5072.5287140393,2.7990066307228e-08,15071670.9020648,3,14475
2011,"Oregon","eastside","Na0710270_fdd","E",2.04027086883818,605360.303251158,0.000101471703977397,2828719520.15588,145,14816
2011,"Oregon","eastside","Na0710412_fmc","A",0.0191386464397964,2315.57105223819,2.88805752101468e-08,3869123.30997849,2,6925
2011,"Oregon","eastside","Na0710412_fmc","B",0.0174446895724932,2110.62043057295,3.03225623106793e-08,4132817.03786179,1,6925
2011,"Oregon","eastside","Na0710412_fmc","E",0.161408070528588,19528.6462336462,4.33411242442649e-07,36842209.6361222,9,6925
2011,"Oregon","eastside","Na0710412_fmh","A",0.218838606843854,64930.6949510553,1.44089382171953e-06,272442447.348678,32,14816
2011,"Oregon","eastside","Na0710412_fmh","B",0.876945488844874,260194.857050607,1.92819988285193e-05,977712853.21269,91,14816
2011,"Oregon","eastside","Na0710412_fmh","C",0.0222248289379516,2688.96605052774,2.74054606353234e-08,3492928.44994377,3,6925
2011,"Oregon","eastside","Na0710412_fmh","D",0.0249462496924465,6915.9902087082,3.14681197630991e-08,11820439.3188162,5,14475
2011,"Oregon","eastside","Na0710412_fmh","E",1.3995019715469,415240.422649695,4.83195227802932e-05,1818899645.14294,123,14816
2011,"Oregon","eastside","Na0710412_fmi","A",0.0123240845249168,1925.59369836507,2.78473611649375e-08,3942216.90436583,1,7550
2011,"Oregon","eastside","Na0710412_fmi","B",0.0376040468368572,10425.1830610938,1.08505123539026e-07,55397142.277115,3,14475
2011,"Oregon","eastside","Na0710412_fmi","E",0.153723262354331,21591.8867195562,7.39930325389077e-07,100784060.184427,6,7266
