"YEAR","BpS_Code","BPS_LLID","sclass","PERC_CHNG","AREA_CHNG","PREV_AREA","PERC_CHNG_VAR","AREA_CHNG_VAR","PREV_AREA_VAR","nPlots_AREA","N"
2017,"Na0210290_fdw","Na0210290_fdw_1710030303","B",NA,0,0,NA,0,0,0,5128
2017,"Na0210290_fdw","Na0210290_fdw_1710030303","E",NA,0,0,NA,0,0,0,5128
2017,"Na0210290_fwo","Na0210290_fwo_1710030111","E",0,0,13014.6506545072,0,0,127720297.423695,1,5128
2017,"Na0210290_fwo","Na0210290_fwo_1710030213","A",-10.4166666666667,-174.307086256186,1673.34802805938,114.953180120971,32841.5127641545,3026673.81634448,1,5128
2017,"Na0210290_fwo","Na0210290_fwo_1710030301","E",0,0,9496.67683838963,0,0,93171939.0174143,1,5128
2017,"Na0210290_fwo","Na0210290_fwo_1710030707","A",-9.9009900990099,-297.278170220667,3002.50951922873,77.2708487930384,71074.5436027086,7250314.19291231,1,5128
2017,"Na0210290_fwo","Na0210290_fwo_1710030707","C",Inf,691.740071690708,0,NA,221314.172537008,0,2,5128
2017,"Na0210290_fwo","Na0210290_fwo_1710030708","A",6.38994468381327,669.521564289436,10477.7364659422,22.8544630246667,255997.411814238,62696222.8362644,1,5128
2017,"Na0210290_fwo","Na0210290_fwo_1710030708","B",0,0,27365.5087302261,0,0,255582271.964514,2,5128
2017,"Na0210290_fwo","Na0210290_fwo_1710030708","C",-10.2040816326531,-669.521564289436,6561.31133003647,58.2806884416293,255997.411814238,24585991.4306395,1,5128
2017,"Na0210290_fwo","Na0210290_fwo_1710030801","B",-10,-586.09364321309,5860.9364321309,132.836529965054,465565.891209087,46556589.1209087,1,5128
2017,"Na0210290_fwo","Na0210290_fwo_1710030801","C",1.40916308273274,181.03837746744,12847.2268175206,1.48733030055461,44421.0101453654,123601887.150113,2,5128
2017,"Na0210290_fwo","Na0210290_fwo_1710030801","E",0,0,11099.6521274106,0,0,104485763.513788,1,5128
2017,"Na0210290_fwo","Na0210290_fwo_1710030802","B",-10.989010989011,-1843.49471111407,16775.8018711381,70.5638486550051,2026181.97354948,167788129.229632,1,5128
2017,"Na0210290_fwo","Na0210290_fwo_1710030802","C",Inf,1382.62103333555,0,NA,1139727.36012158,0,1,5128
2017,"Na0210290_fwo","Na0210290_fwo_1710030903","B",0,0,11099.6521274106,0,0,104485763.513788,1,5128
2017,"Na0210290_fwo","Na0210290_fwo_1710030903","C",0,0,11162.8733881781,0,0,96942496.2953262,1,5128
2017,"Na0210290_fwo","Na0210290_fwo_1710030904","C",Inf,441.491785993625,0,NA,205868.064927349,0,1,5128
2017,"Na0210290_fwo","Na0210290_fwo_1710031001","B",0,0,14877.6902937739,0,0,146897798.631761,1,5128
2017,"Na0210290_fwo","Na0210290_fwo_1801020604","A",-10,-945.184339371117,9451.84339371116,103.517581221286,943575.728590689,94357572.8590689,1,5128
2017,"Na0210290_fwo","Na0210290_fwo_1801020604","B",18.3066368364099,945.184339371117,5163.06926180591,718.258444856448,943575.728590689,57129195.4142981,2,5128
2017,"Na0210350_fvg","Na0210350_fvg_17100206","A",NA,0,0,NA,0,0,0,5128
2017,"Na0210350_fvg","Na0210350_fvg_17100206","E",NA,0,0,NA,0,0,0,5128
2017,"Na0210350_fvg","Na0210350_fvg_17100303A","A",NA,0,0,NA,0,0,0,5128
2017,"Na0210350_fvg","Na0210350_fvg_17100303A","B",NA,0,0,NA,0,0,0,5128
2017,"Na0210350_fvg","Na0210350_fvg_17100303A","C",NA,0,0,NA,0,0,0,5128
2017,"Na0210350_fvg","Na0210350_fvg_17100303A","D",NA,0,0,NA,0,0,0,5128
2017,"Na0210350_fvg","Na0210350_fvg_17100303A","E",NA,0,0,NA,0,0,0,5128
2017,"Na0710270_fdd","Na0710270_fdd_1710030103","C",0,0,3569.57623280938,0,0,10458767.0211589,1,4789
2017,"Na0710270_fdd","Na0710270_fdd_1710030111","A",0,0,4279.44000029933,0,0,18919763.2620124,1,5128
2017,"Na0710270_fdd","Na0710270_fdd_1710030111","B",3.40878619925166,767.363024846211,22511.3274928968,5.07261108282731,902577.125531657,220892236.441109,3,5128
2017,"Na0710270_fdd","Na0710270_fdd_1710030111","C",-6.52410250983446,-811.670254647952,12441.1021044571,26.690692375471,901096.844798611,99496373.31648,2,5128
2017,"Na0710270_fdd","Na0710270_fdd_1710030201","A",-7.97914723158485,-428.753382697611,5373.42362853542,31.9093041569379,101160.312752991,14772292.1916632,4,4789
2017,"Na0710270_fdd","Na0710270_fdd_1710030201","B",18.5198518789535,419.911717745593,2267.36002258632,383.692617144651,101072.102729423,5750795.66995971,3,4789
2017,"Na0710270_fdd","Na0710270_fdd_1710030201","D",Inf,282.77325578347,0,NA,78557.1771652996,0,1,4789
2017,"Na0710270_fdd","Na0710270_fdd_1710030201","E",-3.39997800214233,-282.77325578347,8316.91427430692,3.67545276294256,78557.1771652996,22452099.3260401,3,4789
2017,"Na0710270_fdd","Na0710270_fdd_1710030202","A",Inf,588.98889002153,0,NA,339572.722286285,0,2,9917
2017,"Na0710270_fdd","Na0710270_fdd_1710030202","B",-6.43936115858217,-803.203161126033,12473.3361174431,19.5095879616426,643351.938549154,75183285.0452528,3,9917
2017,"Na0710270_fdd","Na0710270_fdd_1710030202","C",Inf,200.275953167052,0,NA,47978.1242433365,0,1,5128
2017,"Na0710270_fdd","Na0710270_fdd_1710030202","E",0,0,8332.69954784898,0,0,23660150.7637096,3,4789
2017,"Na0710270_fdd","Na0710270_fdd_1710030203","A",-10.1010101010101,-80.5488187985754,797.433306105897,98.244716752013,6374.22746311572,624738.033659972,1,4789
2017,"Na0710270_fdd","Na0710270_fdd_1710030203","B",1.67995574303289,170.033561448177,10121.3119543976,0.762328797634682,164579.773212245,27092359.693739,5,4789
2017,"Na0710270_fdd","Na0710270_fdd_1710030203","D",-10.752688172043,-383.825401377353,3569.57623280938,93.0147146918373,120924.581121041,10458767.0211589,1,4789
2017,"Na0710270_fdd","Na0710270_fdd_1710030203","E",10.1010101010101,291.342142322363,2884.2872089914,100.261656641367,83390.3551910802,8173088.71227777,2,4789
2017,"Na0710270_fdd","Na0710270_fdd_1710030204","A",-2.4495948746938,-6.2492889528147,255.115203635289,5.77787475326663,38.368110899304,63941.3626643557,1,4789
2017,"Na0710270_fdd","Na0710270_fdd_1710030204","B",0,0,2884.2872089914,0,0,8173088.71227777,1,4789
